,x,y
CEBPA,-334.09747,193.30319
HOXA9,-623.1179,227.0167
PLAGL2,-28.674362,-374.298
MEIS1,-528.01733,165.52768
ETV6,231.584,-436.99963
FLAG_GFI1,-374.74454,-392.1115
RUNX1,-274.95563,-55.20381
FOSL2,781.0304,123.61557
FLI1,162.48395,-352.9971
GATA2,-607.8763,-167.51288
SP1,278.26114,42.57388
E2F3,507.50815,-237.89627
ZNF281,82.927185,-690.38495
SREBF1,585.5925,-312.8262
LMO2,8.533547,-196.98183
STAT5B,255.25479,390.83875
ZMYND8,138.88382,-141.70035
LYL1,-469.4867,-123.13597
MYC,-2.7297544,-26.347288
TFAP4,649.93164,162.2411
RUNX2,-322.81503,28.627935
MAX,99.45058,-25.07872
IRF8,-9.5752125,709.54675
MYB,-217.32318,-200.1831
ZEB2,288.3473,-161.8196
RXRA,561.96466,195.02576
SPI1,-45.948483,623.5177
MEF2C,-37.695606,261.1089
FLAG_MEF2D,35.344215,139.22128
