Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
20201001_FLAG_DMSO_MP8262_S93_R1_001	24.808098436059993	42.0	100.0	0.0	137070798.0
20201001_FLAG_DMSO_MP8262_S93_R2_001	23.984742034920004	42.0	100.0	0.0	137070798.0
20201001_FLAG_VHL_MP8262_S99_R1_001	31.4502577926189	46.0	100.0	9.090909090909092	170948860.0
20201001_FLAG_VHL_MP8262_S99_R2_001	30.318725344150636	46.0	100.0	9.090909090909092	170948860.0
20201001_IRF8_DMSO_MP8262_S88_R1_001	49.67514609516407	40.0	100.0	0.0	111729255.0
20201001_IRF8_DMSO_MP8262_S88_R2_001	47.76203375658897	40.0	100.0	0.0	111729255.0
20201001_IRF8_VHL_MP8262_S94_R1_001	48.38719216717998	41.0	100.0	0.0	157513821.0
20201001_IRF8_VHL_MP8262_S94_R2_001	46.24045910279043	41.0	100.0	0.0	157513821.0
20201001_MED1_DMSO_MP8262_S91_R1_001	47.60142269928149	40.0	100.0	0.0	133212899.0
20201001_MED1_DMSO_MP8262_S91_R2_001	46.097603721897876	40.0	100.0	0.0	133212899.0
20201001_MED1_VHL_MP8262_S97_R1_001	40.694546016791314	39.0	100.0	0.0	170252424.0
20201001_MED1_VHL_MP8262_S97_R2_001	38.97286043204413	39.0	100.0	0.0	170252424.0
20201001_MEF2C_DMSO_MP8262_S90_R1_001	27.57796207673279	38.0	100.0	0.0	153950778.0
20201001_MEF2C_DMSO_MP8262_S90_R2_001	26.160867064546338	38.0	100.0	0.0	153950778.0
20201001_MEF2C_VHL_MP8262_S96_R1_001	40.03808868614336	40.0	100.0	0.0	91591265.0
20201001_MEF2C_VHL_MP8262_S96_R2_001	38.24696914948689	40.0	100.0	0.0	91591265.0
20201001_MYC_DMSO_MP8262_S89_R1_001	39.67019322824108	44.0	100.0	9.090909090909092	164617280.0
20201001_MYC_DMSO_MP8262_S89_R2_001	38.29852213564485	43.0	100.0	9.090909090909092	164617280.0
20201001_MYC_VHL_MP8262_S95_R1_001	44.91356701426379	45.0	100.0	9.090909090909092	129130170.0
20201001_MYC_VHL_MP8262_S95_R2_001	43.70473076191208	45.0	100.0	9.090909090909092	129130170.0
20201001_POL_II_Total_DMSO_MP8262_S92_R1_001	32.1219168662858	45.0	100.0	9.090909090909092	177193698.0
20201001_POL_II_Total_DMSO_MP8262_S92_R2_001	30.94638003389784	45.0	100.0	9.090909090909092	177193698.0
20201001_POL_II_Total_VHL_MP8262_S98_R1_001	71.84651621529369	41.0	100.0	9.090909090909092	142398171.0
20201001_POL_II_Total_VHL_MP8262_S98_R2_001	69.76556408690014	41.0	100.0	9.090909090909092	142398171.0
