GENE,MV411-MYB-dTAG-DMSO_1h,MV411-MYB-dTAG-VHL_1h,MONOMAC1-MYB-dTAG-DMSO_1h,MONOMAC1-MYB-dTAG-VHL_1h,NOMO1-MYB-dTAG-DMSO_1h,NOMO1-MYB-dTAG-VHL_1h,P31FUJ-MYB-dTAG-DMSO_1h,P31FUJ-MYB-dTAG-VHL_1h,THP1-MYB-dTAG-DMSO_1h,THP1-MYB-dTAG-VHL_1h
A1BG,1.5,0.0,23.0,14.0,28.5,35.0,28.0,21.0,23.0,23.5
A2M,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,15.0,12.0
NAT1,120.5,135.0,120.0,75.0,76.0,49.5,65.0,80.0,179.5,175.5
NAT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
AAMP,1097.0,1004.0,655.5,523.0,692.0,683.0,908.0,1005.5,485.0,502.5
AARS1,1117.5,1075.0,481.5,364.0,841.0,885.0,526.5,513.0,813.5,834.0
ABAT,232.5,202.0,150.5,151.5,251.5,222.0,726.0,702.5,195.5,185.0
ABCA1,13.5,7.0,44.5,27.5,17.0,6.5,148.5,108.0,397.5,259.5
ABCA2,406.0,426.0,186.0,172.5,182.0,184.5,181.5,170.0,297.0,315.0
ABCA3,4.0,0.0,14.0,14.0,23.5,26.5,94.0,117.5,54.0,45.5
ABCB7,61.0,63.0,71.5,52.0,67.0,67.0,60.5,58.0,45.5,46.5
ABCF1,1303.5,1167.0,1315.5,1111.0,1005.0,956.5,1173.0,1276.0,502.0,491.0
ABL1,1362.5,1483.0,687.0,668.0,726.5,767.0,1004.0,1012.5,814.5,721.5
AOC1,3.0,3.0,39.5,34.0,53.0,44.5,0.0,0.0,110.0,126.0
ABL2,754.0,712.0,1623.5,1350.0,778.5,692.0,859.0,747.0,1428.0,1434.5
ABO,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABR,4927.0,5292.0,1401.5,1357.0,2729.0,2536.0,2133.0,2143.0,2248.0,1961.5
ACAA1,1454.5,1459.0,1158.5,1047.5,1539.5,1617.5,1663.5,1704.0,1213.0,1163.0
ACACA,1492.5,1403.0,1330.0,1168.5,1148.5,1082.5,1018.0,1046.5,1122.0,1005.5
ACACB,57.5,57.0,58.5,62.5,89.0,98.0,33.5,37.5,394.5,371.0
ACADM,601.0,713.0,809.0,572.5,912.0,497.0,791.5,972.0,640.0,856.0
ACADS,65.0,87.0,173.0,128.5,133.0,132.0,77.0,99.5,102.0,93.0
ACADSB,1153.0,1114.0,169.0,140.5,510.0,448.0,1318.5,1268.5,453.5,387.0
ACADVL,768.0,769.0,474.5,341.5,772.5,710.0,916.0,988.5,367.5,373.0
ACAT1,542.5,541.0,608.5,415.5,525.0,494.5,542.0,587.5,509.0,501.0
ACAT2,3378.0,2929.0,2048.0,1913.5,2100.0,1915.5,2212.5,2280.0,2129.0,2210.5
ASIC2,0.0,0.0,0.0,0.0,45.0,49.5,0.0,0.0,0.0,0.0
ASIC1,306.5,313.0,152.0,113.5,170.5,179.5,673.5,754.5,179.5,176.0
ACHE,0.0,0.0,0.0,0.0,2.0,1.5,1.0,0.5,0.0,0.0
ACLY,4640.5,4498.0,4059.5,3451.5,2893.0,2916.5,3951.0,4094.5,3391.0,3311.0
ACO1,242.0,233.0,330.5,283.0,255.5,239.0,394.0,366.5,257.5,237.5
ACO2,1444.5,1388.0,1512.5,1316.0,1648.0,1578.0,1058.0,1157.0,1012.0,1055.5
ACOX1,983.5,946.0,620.5,612.0,752.0,645.5,881.0,849.5,936.5,926.0
ACP1,2795.0,2510.0,2445.5,2174.5,2065.0,1848.0,3626.5,3606.5,1802.0,1786.0
ACP2,206.5,204.0,373.5,320.5,249.5,260.0,231.5,279.5,261.0,277.5
ACP5,0.0,0.0,0.5,0.5,5.0,3.0,0.5,0.0,1.0,0.0
ACP3,250.0,222.0,744.5,675.0,1012.5,988.0,966.5,972.0,485.0,462.0
ACRV1,3.0,4.0,2.0,3.5,5.0,2.0,3.5,3.5,8.5,8.0
ACTA2,0.0,0.0,1.0,3.5,35.5,33.0,11.0,13.5,7.5,4.0
ACTB,85703.5,87596.0,150940.0,126778.5,139923.0,134873.0,66688.5,69964.5,157950.5,171223.5
ACTG1,118657.0,122586.0,168933.5,146632.5,125805.0,125154.5,56890.0,59063.0,158771.5,151426.0
ACTG2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4.5,2.5
ACTN4,6116.0,6266.0,5411.0,4713.5,6529.0,5827.5,5005.5,5288.0,4848.5,5105.5
ACTL6A,916.0,842.0,766.0,598.5,807.5,752.5,694.5,712.0,593.0,621.0
ACTN1,1490.5,1385.0,1543.5,1395.0,1922.0,1585.0,2530.5,2417.0,3590.0,3305.5
ACTN2,0.0,0.0,5.5,3.5,7.5,6.5,0.0,0.0,0.0,0.0
ACVR1,57.0,83.0,180.0,133.5,84.5,90.0,50.0,46.0,109.5,96.5
ACVR1B,386.5,387.0,467.0,423.5,633.5,556.0,854.5,827.0,568.0,475.5
ACVR2A,57.0,65.0,23.0,23.0,91.5,81.5,60.0,53.5,53.5,74.0
ACVR2B,131.0,141.0,157.0,140.5,354.5,276.0,554.0,463.5,257.0,192.5
ACVRL1,90.5,85.0,9.5,7.5,59.5,52.5,139.5,139.0,275.5,304.5
ACY1,149.5,182.0,67.0,39.5,111.0,108.0,76.0,81.0,89.0,110.0
ACYP1,492.0,429.0,279.5,227.5,359.5,330.5,573.0,537.5,264.5,253.5
ACYP2,126.0,101.0,123.0,96.0,112.0,84.5,301.5,296.5,127.0,131.5
ADA,1171.5,1170.0,859.5,827.5,1436.5,1363.5,1073.5,1164.0,364.5,347.0
ADAM8,30.0,51.0,365.5,408.0,251.0,400.5,59.5,97.0,35.5,31.0
ADAM10,3010.0,2822.0,2509.5,2251.5,2575.5,1767.0,2293.5,2311.5,3066.0,2964.5
ADAR,7209.5,6898.0,5226.5,4646.0,6354.0,5878.0,5713.0,5715.5,11186.0,9778.0
ADARB1,505.0,485.0,264.5,213.5,613.5,571.0,773.0,684.0,219.0,185.0
ADCY1,0.0,3.0,4.0,5.0,10.5,10.5,0.0,0.0,1231.5,977.5
ADCY2,0.0,0.0,0.0,0.5,65.0,48.0,0.0,0.0,0.0,0.0
ADCY3,844.5,908.0,432.5,366.5,778.5,678.0,951.0,1012.5,884.5,834.0
ADCY5,8.5,4.0,4.0,3.5,7.5,10.0,19.0,23.5,3.0,4.0
ADCY6,0.0,0.0,218.5,208.5,137.5,181.0,174.0,170.0,277.0,277.5
ADCY7,2445.5,2508.0,2160.0,1972.5,2883.5,2935.5,1838.5,1875.5,2258.0,1856.5
ADCY9,2347.5,2196.0,1928.0,1676.5,808.0,636.0,179.5,214.0,2175.0,1379.5
ADCYAP1R1,4.5,5.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
ADD1,2610.0,2689.0,2367.0,2213.0,4497.5,4594.0,3405.0,3522.0,2492.5,2388.0
ADD2,1841.5,1930.0,1067.5,882.0,2223.0,1801.0,0.0,0.5,1382.0,993.0
ADD3,528.0,536.0,1100.5,924.0,1732.5,1242.0,1590.0,1630.5,378.5,380.5
PLIN2,369.5,321.0,9451.0,6666.5,560.5,577.0,1337.0,1388.0,4670.5,3653.5
ADH5,1138.5,1010.0,771.0,640.0,830.0,749.5,1124.5,1092.5,1134.5,1159.0
ADH6,0.0,0.0,0.5,2.0,1.0,0.0,1.0,0.5,6.5,5.5
ADK,1015.5,970.0,396.0,360.5,418.5,353.0,718.0,766.0,296.5,313.0
ADM,0.0,0.0,9.0,7.5,94.0,38.5,1.0,2.0,8.0,9.0
ADORA1,6.0,7.0,3.5,6.5,38.5,95.5,0.0,0.0,8.5,14.0
ADORA2A,10.5,6.0,54.0,38.0,109.5,172.5,38.0,75.0,5.5,4.5
ADORA2B,316.0,256.0,263.0,178.5,166.0,123.5,148.5,147.5,88.5,78.0
ADORA3,8.0,6.0,10.0,7.5,6.5,12.0,10.0,18.0,30.5,46.0
ADPRH,0.5,0.0,472.5,422.0,488.5,462.5,424.5,421.0,479.0,406.0
PARP1,2706.5,2404.0,2342.0,2111.0,1881.5,1820.0,2248.5,2182.5,4644.5,4299.0
PARP4,74.5,92.0,101.5,104.5,136.5,76.5,128.5,145.5,75.5,78.0
ADRA1D,0.0,1.0,1.5,3.0,0.0,0.0,0.5,0.5,0.0,0.5
ADRA2A,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,55.5,29.5
ADRA2B,0.0,0.0,6.5,2.5,2.0,5.5,0.0,0.0,4.0,3.0
ADRA2C,2.5,5.0,0.0,0.5,61.0,72.5,4.5,2.5,8.0,7.0
ADRB1,2.0,4.0,0.0,0.0,29.5,26.5,148.5,120.0,858.0,676.5
ADRB2,41.5,12.0,127.0,33.5,98.0,39.5,222.5,131.5,13.0,5.0
ADRB3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,9.0
GRK2,2759.5,2511.0,2572.0,2178.0,4610.5,3670.5,3612.5,2903.0,5149.5,4767.5
GRK3,756.0,685.0,1327.5,1094.0,1311.0,1130.0,2474.0,2108.5,933.0,743.0
ADSL,283.5,263.0,159.0,137.5,193.0,185.5,204.0,231.0,170.5,173.0
ADSS2,1230.5,1124.0,559.0,483.5,837.5,629.0,975.0,872.5,947.0,871.5
AP2A1,469.5,620.0,343.0,268.5,254.5,244.5,301.5,328.5,326.0,348.5
AP2A2,464.5,477.0,262.5,261.0,334.5,278.0,296.5,290.0,362.5,336.5
AP1B1,1105.5,1280.0,1317.5,1153.5,1480.5,1337.5,1204.5,1306.0,1224.0,1175.5
AP2B1,6490.5,6565.0,3302.0,2959.5,5031.0,4586.5,6251.0,6616.5,4460.0,3728.5
AP1G1,4444.0,4096.0,3525.5,3195.5,2751.5,2488.5,3287.0,3120.5,3691.5,2994.0
AEBP1,2.0,2.0,51.0,45.5,121.0,131.5,50.5,54.5,1.0,1.0
TLE5,20.0,20.0,3803.5,3658.5,5665.5,5622.5,6681.5,7284.0,2538.0,2916.0
AFG3L1P,875.0,889.0,935.0,863.0,925.0,840.0,827.0,848.0,872.5,879.5
AGA,654.0,636.0,1498.0,1338.0,1346.5,1119.5,326.5,363.5,1669.0,1669.0
AGER,115.5,126.0,163.5,145.5,179.5,241.0,137.0,147.0,205.5,218.0
AGL,208.0,279.0,179.0,175.5,474.0,286.0,497.5,533.0,291.0,382.5
AGRP,0.0,0.0,3.0,4.0,1.0,3.0,0.5,0.5,1.0,2.5
JAG1,6.0,10.0,39.5,28.5,106.0,61.0,469.5,348.5,18.5,16.0
AGT,58.5,77.0,904.0,826.5,261.0,225.5,2.0,0.0,3658.0,3817.5
APLNR,0.0,0.0,8.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0
AHCY,6171.0,6198.0,2867.0,2528.5,2820.5,2677.5,3347.0,3794.5,3185.0,3310.5
AHR,572.5,381.0,1051.5,674.5,258.5,173.5,195.0,166.0,355.5,257.0
AIF1,1154.0,989.0,332.0,257.5,3000.5,3172.5,3071.0,3646.5,928.0,1121.5
CRYBG1,1282.0,930.0,4532.5,3761.0,1338.5,906.5,964.0,911.5,573.5,513.5
AK1,11.0,12.0,134.5,134.5,94.5,99.5,14.0,13.0,200.5,235.5
AK2,21574.5,19440.0,34822.5,29071.5,36134.0,31164.5,16593.0,17016.0,19311.5,18370.0
AK4,2.0,3.0,1302.5,1157.5,908.5,819.5,2100.5,2086.0,1310.0,1143.5
AKT1,2636.5,2835.0,2910.0,2701.5,2566.5,2429.5,2335.5,2405.5,3732.0,3929.0
AKT2,2897.0,3032.0,1517.5,1383.5,2082.0,2013.5,2643.5,2808.5,1382.5,1318.0
ALAD,1385.5,1342.0,2389.0,2130.5,2362.0,2068.5,1169.5,1173.0,2826.0,2467.0
ALAS1,64.5,93.0,237.5,135.5,162.0,204.5,230.0,252.5,200.0,238.5
ALAS2,0.0,0.0,0.5,0.5,0.0,0.5,3.0,2.5,0.5,0.5
ALCAM,1001.0,1130.0,3044.0,2554.0,3036.5,2214.0,2091.0,2236.0,5516.0,5376.5
ABCD1,483.5,476.0,653.5,632.0,285.5,261.5,116.5,115.0,850.5,874.5
ALDH1A1,0.0,0.0,12.5,6.0,14.5,15.0,109.0,133.0,2.0,7.5
ALDH2,9.5,15.0,1938.5,1790.5,537.5,487.5,468.5,487.0,2802.0,2938.0
ALDH3A1,0.0,0.0,3.0,2.0,11.5,10.0,1.0,4.0,2.0,0.0
ALDH1B1,1971.5,1757.0,891.5,786.5,630.5,618.0,631.0,670.5,1230.5,1209.5
ALDH1A3,60.0,61.0,11.5,8.5,129.0,73.5,0.0,0.0,78.0,56.0
ALDH3B1,314.0,300.0,1915.5,1786.5,1192.0,1152.5,151.5,178.0,1114.5,1146.0
ALDH9A1,2015.5,1589.0,2611.0,2214.5,1063.5,861.5,863.0,799.5,1604.0,1510.0
ALDH3A2,169.5,162.0,588.5,524.5,2501.5,2096.0,1275.5,1224.5,289.5,283.0
