,CEBPA_filtered,HOXA9_filtered,PLAGL2,MEIS1_filtered,ETV6_filtered,HEX,FLAG_GFI1,RUNX1_filtered,FOSL2_filtered,FLI1_filtered,GATA2_filtered,SP1_filtered,E2F3_filtered,ZNF281_filtered,SREBF1_filtered,LMO2,STAT5B_filtered,ZMYND8,FLAG_MEF2C,LYL1_filtered,MYC_filtered,TFAP4_filtered,RUNX2_filtered,MAX_filtered,IRF8_filtered,MYB_filtered,ZEB2_filtered,RXRA_filtered,FLAG_MEF2D,activation,repression,ELF2_filtered,JUND_filtered,FLAG_SPI1,FLAG_IRF2BP2,SMC1,LDB1,H3K79me2,WDR5,H3K27ac,H3K27me3,MYBL2,CDK9,H3K4me3,FOXP1_filtered,MLL_KTM2A,RARA_filtered,IKZF1_filtered,AFF4,CTCF_filtered,BRD4,CEBPB_filtered,H3K36me2,PSER2,H3K36me3,H3K9ac,CDK13,H3K4me1,POLII,MED1,ATAC,promoters,super_enhancer,regular_enhancer
CEBPA_filtered,0.0,0.011154059695235495,3.2337057089816925e-27,6.735728587486691e-19,1.0,2.069846596556267e-59,3.0426390187266994e-24,1.0,1.0,1.2096389261702309e-09,2.5941665161896812e-19,9.361143204789331e-64,4.824309136662401e-33,8.779760424881518e-33,1.0,0.0004178364788915062,1.0,1.0,5.561717989670848e-15,1.0,3.7756244591979966e-05,0.6923310439012165,1.0,3.718852043089598e-15,8.869537387815654e-10,0.5818401980808281,0.00610644051687477,1.0,1.1132679572136954e-10,1.0,2.767518356603462e-05,3.567511679401841e-24,4.342981214404562e-12,1.6750620209536854e-10,1.0,9.275072148244462e-70,1.0,0.09147987641262362,0.9878615755705265,1.0,3.1504383220174436e-38,0.10056147409458904,1.9302414973248282e-09,8.475541334975191e-84,2.5595031152272824e-38,2.0649245896712157e-25,1.0,5.794118395263148e-34,9.11330651307365e-16,4.090463885569932e-101,4.245874036040413e-06,0.0,1.0,0.02127683105239693,1.0,1.4599300699146798e-49,1.0,1.149457721506189e-41,4.997694263601932e-10,0.016774136964447156,1.0866701598116159e-26,2.0729856272823726e-91,1.0,0.13264858967094512
HOXA9_filtered,0.21466045789045712,0.0,1.0,1.1652653805596453e-98,0.03854363026638463,1.0,0.015751827352751813,7.622284200800269e-07,4.111936401587427e-12,1.0,1.0,1.0,1.0,1.0,1.0,0.06571857489185043,0.05279476798977037,4.5010894919688605e-20,1.0,5.333285373691574e-05,1.0,1.0,0.03249933617915519,1.0,1.0,0.00024869866110438326,1.0,1.0,9.322216433738433e-18,1.0,7.57007045908271e-05,1.0,1.1736949444683959e-32,0.1661787560238859,8.517013035754097e-41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00010604720068180502,1.0,3.614413606293586e-16,5.983488975491964e-15,0.7364932770962376,1.0,1.0,1.0,1.2792804847283373e-12,1.0,0.00033932319651201303,1.0,1.0,1.0,1.0,1.1956010723664297e-08,1.0,4.254001883554728e-05,0.41899237886203533,0.5276531082685343,1.0,0.12428231675121557
PLAGL2,3.9568474862436183e-26,1.0,0.0,3.2761633121708554e-155,0.0,1.7897405257189552e-138,0.0,1.8939125677435736e-217,8.462511518099891e-58,0.0,0.4965771304006534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05327527058593e-310,0.0,0.0,1.1783170582489535e-145,0.0,3.214726841012677e-11,0.0,0.0,0.0,0.0,4.560189657392377e-205,5.0476803919428695e-286,0.0,2.729414315294611e-77,1.2313208239661473e-164,0.0,0.0,1.0,0.0,7.816995568097091e-176,0.0,6.698929882544224e-31,3.784197069874232e-73,0.0,0.0,2.598992832414498e-230,1.0,0.0,0.0,0.0,9.05964153603506e-142,0.0,1.0,1.6838136513189039e-292,0.0,2.550353570853241e-08,0.0,4.843912782373235e-11,3.342939386223526e-34,0.0,0.0,3.564541418017474e-158,0.0,1.5919741620194634e-93,3.2877110938604893e-43
MEIS1_filtered,1.9644073860883027e-21,5.9883119653476596e-217,7.348291547855603e-186,0.0,2.622554643359982e-123,4.759095289187932e-107,4.205121426075358e-56,8.445027671446879e-164,1.215582639509337e-56,2.646041436126045e-121,8.684133713267169e-27,5.771235967402913e-119,1.4107550612324506e-167,3.7286599001672186e-118,4.3596202133918255e-129,0.0,5.3595341219906195e-133,0.0,1.0,3.3185834432726838e-208,1.7880953040139855e-58,1.8473214358217904e-188,6.273234581467797e-118,1.472527217420504e-77,2.3200602566433258e-17,0.0,1.01212022297242e-102,2.915290575305625e-259,0.0,7.847608375980113e-54,1.0,4.6568855323194385e-137,3.8365107616047745e-84,3.201126269199892e-74,0.0,3.684569540638152e-131,1.0,7.351873910390244e-67,3.5292118234059935e-10,9.595136825052021e-139,6.922634911908315e-27,1.0,2.1556530422579434e-203,1.1639515460401116e-118,1.6226988317218595e-252,2.9434956218697535e-124,1.8661534351816208e-154,8.93537095085165e-177,3.5087848630228337e-57,1.0,4.019197159214898e-269,5.2537503457369595e-22,0.07112991993024625,7.115005783213078e-22,1.0,2.1398431636240174e-101,1.0,2.8810715329396027e-98,2.1088696034412997e-95,1.152072434971211e-280,2.5964432289972017e-58,1.3116579922740807e-94,3.229807733944975e-37,7.365116632096398e-11
ETV6_filtered,1.0,0.023694694454726658,0.0,2.020324931372024e-78,0.0,1.2909238024474328e-06,5.759858365228579e-81,1.0215811376074645e-126,1.8055410112622813e-25,0.0,2.5889128086386085e-21,3.882184578447667e-214,4.54859854333e-312,4.9974603863540606e-216,1.9910056496993164e-175,0.0,1.4211316571864277e-156,0.0,3.1812673170704497e-26,8.77501047478464e-208,1.113272920650817e-64,6.551961436732772e-157,1.1030348219152107e-72,8.736724403797332e-91,1.717260544381841e-48,1.1355774164146743e-174,1.224710522459475e-138,0.0,0.0,1.823119794078433e-37,3.349753510316727e-21,0.0,9.995554147801267e-80,3.469112120171749e-61,0.0,2.712533307672937e-183,1.0,9.840861827309032e-89,8.323038859682285e-19,1.9761682589704482e-131,3.575593489972891e-05,7.747469486909616e-06,2.9700963521444164e-257,4.353425821399313e-197,1.0350760501939434e-103,1.3803652838362052e-28,1.5932952900213457e-249,2.0683641214000404e-166,5.452929336440676e-96,1.266842221689446e-08,2.5313536674861643e-248,0.8111252309915145,5.932409793361932e-28,5.917497166608654e-68,0.03699111119563289,1.118331120793648e-128,1.0,1.255680623348295e-15,1.617598032414057e-145,2.1876384711161004e-285,3.63583994889897e-27,5.776641302754433e-179,2.1414815797602812e-54,1.0
HEX,3.0838352740562253e-51,1.0,2.1776913564847893e-97,1.5314547540804265e-88,1.8758060078363046e-06,0.0,1.0017086114088075e-141,6.219034653470391e-82,1.4009927269267123e-12,2.5753183006153685e-69,9.811302238334968e-13,1.505138839662985e-53,1.194189592204057e-30,4.9175604040210016e-42,0.00287105701202286,4.182319156719777e-57,1.863544494246575e-07,2.3795818000090555e-80,0.0,6.855817297234487e-13,1.3081451144963842e-56,5.73840830639027e-56,1.6593413489915258e-118,3.4466320709307515e-58,5.084159524457325e-66,6.861033349312665e-29,4.16223948366373e-14,4.115054141074511e-34,3.130535646109819e-36,5.519710284249741e-188,3.5065553700762655e-95,1.3987417358398051e-58,0.0006422771394113196,3.1105527581624776e-230,4.202452645312354e-62,1.4135767276087967e-135,7.895156692368022e-12,6.576504417901326e-85,1.0,1.6659418096563822e-146,1.0,4.0157197937916866e-18,3.5208910112263175e-26,1.6750010681924279e-84,1.2337175261734504e-35,1.706414177374147e-103,1.6258339093566543e-09,3.563164790655277e-20,8.225841112122693e-67,6.775794363485931e-49,1.725587118985177e-122,1.3667931484031617e-40,1.6453430719167614e-113,1.3232752175895442e-57,0.0008603169404272931,6.663246960253248e-146,1.5444144879425186e-14,4.9921344074754085e-161,1.9175266538146037e-51,2.2799166866198853e-38,2.5992227416352055e-51,5.4452608114107775e-36,2.5093116910938413e-33,4.956479266096994e-143
FLAG_GFI1,1.476228879575029e-27,3.858887068974214e-05,0.0,2.781515932057097e-56,4.384519755051695e-128,2.44576013061903e-264,0.0,3.829471682338785e-189,4.976337312327348e-17,4.670687666928612e-91,2.432576452847045e-06,0.0,0.0,5.079152158165815e-296,7.059271666045368e-192,0.0,5.363263369631643e-165,0.0,0.0,6.0094278322581006e-123,3.525746427096173e-64,7.637568794283148e-163,7.128768841989554e-101,3.7946335446909115e-107,1.0,1.554539807188401e-152,9.402473447304187e-177,0.0,0.0,1.0,2.9473987699094266e-112,2.864668271130719e-131,3.3184618685174123e-46,3.3150982819726664e-23,0.0,1.1284500499779806e-172,1.0,8.651116283569464e-42,8.821312330983732e-23,1.1832634192995824e-35,9.419291948265595e-113,3.002252459607454e-10,1.6199398740285455e-302,9.426158961368708e-230,1.1772909346986177e-65,1.0,1.385902969368752e-230,1.4005108162648173e-192,1.0980200073613774e-249,1.0,2.642118730030991e-228,1.3648320267562276e-143,3.951494183844109e-73,1.2340954164619259e-52,1.0,1.2618019892543509e-106,1.0,3.306219675318933e-08,3.0739770787325607e-201,0.0,6.632380427796263e-23,2.4639598054111562e-256,6.640880587063968e-18,1.0208349521457745e-23
RUNX1_filtered,1.0,2.067613038098473e-11,1.6605974149036628e-252,3.2681469270226294e-158,1.0492720408435994e-197,2.9546472752369734e-97,4.971007754754025e-182,0.0,9.963584773131342e-40,1.7194769585213169e-136,2.3453793838981637e-39,1.2078316326676641e-73,6.647871173298713e-135,3.5353913140692464e-123,1.0489017894441497e-75,0.0,3.4724177947373275e-237,0.0,1.0,0.0,5.491201844858022e-127,3.894413255811584e-273,0.0,5.439817872592671e-128,1.0,5.535120518184601e-276,1.108503097117241e-101,1.3968963864724164e-298,0.0,2.2117965948456162e-88,2.125195713960983e-50,1.0171356452450106e-86,5.587148306143764e-74,1.271328846847567e-121,0.0,5.769844721772618e-169,1.0,2.371435402915963e-24,1.8519996977853064e-05,1.2040882752486387e-195,1.0,1.0,0.0,2.7178094921034092e-86,2.6816247663704976e-237,0.0,1.6329179718075717e-188,2.6030826566021476e-175,4.141434264568889e-25,1.0,0.0,0.02096465413732653,8.916412841031348e-54,2.911014335788862e-21,1.0,6.741466912025967e-152,1.0,2.0072048921764238e-172,2.522207762439333e-114,5.05923e-319,1.0596110056076319e-132,7.522432659075475e-43,9.290164717536189e-66,2.864358257425546e-39
FOSL2_filtered,1.0,2.4875658543114883e-13,3.497452898160957e-46,5.371027976302937e-38,7.571794641989379e-26,6.083683197048522e-13,2.795545931125507e-11,1.1374268208055078e-27,0.0,9.015016082580438e-05,1.0,1.0,5.486926479250426e-07,3.532582921329484e-06,1.466139773185969e-29,4.036163320816115e-30,2.873455036704957e-30,8.323690726758683e-112,1.0,6.447239113292601e-63,0.00012781735657800937,3.2749178858574644e-88,6.058924094108875e-13,2.3455570492978357e-05,1.0,3.124423533695651e-28,6.258903928929475e-17,4.652919399330386e-87,6.652594608733415e-14,0.0005835284036549237,1.0,1.0,0.0,1.0,1.643014539158681e-193,1.2787786745892096e-15,1.0,0.03365812966854513,1.0,2.1958929880901818e-27,4.211613954704099e-15,1.0,1.2679468988441465e-11,1.0,1.68693967203487e-34,2.883784039073984e-72,1.0602222416228471e-73,2.1908036711869057e-39,1.0,4.883419626006595e-11,7.00959581778755e-105,1.0,1.0,1.0,1.0,0.014536714510668904,1.0,9.227988610584631e-17,1.0,3.9391316369666476e-81,1.435291097026088e-20,1.164280721076774e-11,2.2142783708478484e-05,9.890953049936488e-08
FLI1_filtered,6.746374281920478e-10,1.0,0.0,4.442397605835646e-110,0.0,3.700845449659857e-80,1.8069731099362356e-82,4.298780346130459e-128,8.175093212393345e-07,0.0,7.086079306132813e-08,0.0,0.0,0.0,3.2821734404522033e-233,0.0,1.185291084364107e-176,0.0,2.7927353598580814e-32,4.894213561390407e-274,3.8508388461742616e-141,1.4862888181529662e-296,1.5731030605287172e-86,1.3101480068867158e-260,1.9448581753251173e-87,6.806835488103227e-258,5.129026699454108e-202,0.0,0.0,8.522786937466638e-136,6.010551223597776e-137,0.0,3.567821738142328e-23,6.001853231014305e-295,0.0,0.0,1.0,7.173539745336929e-185,1.9651959810150757e-44,0.0,1.0,6.211451919631263e-05,0.0,0.0,1.5281713645189048e-155,5.24709608069039e-74,4.8427471449266085e-234,2.2139055979052464e-267,3.086637755436934e-179,2.602224034917519e-13,0.0,1.0,6.50945042559485e-163,2.2097882920004341e-131,1.0,0.0,1.0,6.169440310428407e-53,0.0,0.0,1.3510286846071802e-72,0.0,3.171697297971345e-77,6.235711900303556e-08
