,x,y
CEBPA,-90.06609,-196.66975
HOXA9,-132.72682,230.37415
PLAGL2,97.7137,50.270832
MEIS1,-115.477264,199.44417
ETV6,6.7022786,14.629221
GFI1,-401.3906,-97.24232
RUNX1,-19.240591,157.38504
FOSL2,-221.60922,230.04622
FLI1,34.767666,18.692465
GATA2,28.55916,223.18622
SP1,248.97122,-79.67523
E2F3,324.4483,-66.90894
ZNF281,-249.68733,-23.187319
SREBF1,350.28232,-60.140812
LMO2,139.97632,-135.79173
STAT5B,-135.29517,-137.13148
ZMYND8,20.45852,85.098564
LYL1,5.772846,194.34435
MYC,160.88841,1.2416573
TFAP4,-328.42795,197.64883
RUNX2,-44.685616,160.46364
MAX,134.94885,4.7853065
IRF8,-120.18811,-51.54749
MYB,-101.55988,127.14437
ZEB2,55.84911,111.22396
RXRA,-303.65466,194.4689
SPI1,-81.181984,-50.50894
MEF2C,-289.70004,43.851173
FLAG_MEF2D,-260.9021,13.945543
activation,173.29086,-99.456924
repression,-546.9148,7.25958
ELF2,93.79989,14.1579075
JUND,-87.71194,272.1375
FLAG_SPI1,-89.94224,-27.393679
FLAG_IRF2BP2,-15.925656,87.72162
SMC1,273.2673,-261.7757
LDB1,-148.82312,305.1585
H3K79me2,219.0892,-159.85704
WDR5,202.796,1.4660523
H3K27ac,108.22359,-110.99875
H3K27me3,-522.6956,35.612164
FLAG_GFI1,-394.37518,-73.82596
MYBL2,-95.60827,307.5321
CDK9,81.54435,-178.56973
H3K4me3,205.2107,-96.34761
FOXP1,-84.50133,159.6018
MLL_KTM2A,-133.39177,43.83189
RARA,-267.46814,194.23804
IKZF1,139.76556,104.78665
AFF4,106.255615,-209.76866
CTCF,274.87393,-286.17505
BRD4,65.7671,-146.16304
CEBPB,-83.61278,-220.59242
H3K36me2,-562.6081,-12.371696
PSER2,190.80344,-251.6945
FLAG_MEF2C,-318.51025,21.09282
H3K36me3,278.44516,-17.634129
H3K9ac,194.98302,-125.24176
CDK13,-143.52876,339.11737
H3K4me1,-156.461,35.87693
POLII,137.11223,-70.76743
MED1,82.74606,-97.971054
super_enhancer,33.203304,-189.59892
