,LYL1,IKZF1,MYB,LMO2,GFI1,MAX,MYC,SP1,ELF2,MEF2D_FLAG,RUNX2,MEIS1,RUNX1,FLI1,ETV6,CEBPA,PU1,IRF8,FOXP1,ZMYND8,ZEB2,GATA2,LDB1,MYBL2,activation,repression,IRF2BP2,mediator,cohesin,CTCF,POLII,H3K27ac,H3K79me2,H3K4me3,open regions,promoters,super_enhancer,regular_enhancer,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8
ZEB2,0.27611376793355147,0.2101250081811637,0.23496806844198095,0.2655227200508421,0.20145939086294415,0.1274446976170132,0.18888162787029317,0.24211323294355178,0.18608570052961002,0.2714764937527347,0.13753903810118676,0.1422115751075298,0.19545050824040264,0.16053891880811733,0.3492328725505089,0.11031459817632744,0.11288019582067903,0.1479891351967055,0.18054192252379755,0.27135540515822204,1.0,0.13250973091893722,0.4745762711864407,0.47706422018348627,0.13979699105588778,0.07698444355803749,0.28458473797119216,0.22632888949503904,0.1846988156902799,0.1407103825136612,0.2769174041297935,0.1884603224786595,0.13817233809001098,0.12296341838303104,0.1168835372564252,0.23461267250931803,0.16638328880252612,0.109241433365175,0.07041540020263425,0.17005198887679845,0.07913228204918703,0.046322389154758135,0.125,0.18804966373512674,0.1183546759798215,0.06557377049180328
GATA2,0.22266968705428308,0.10354080764447936,0.12929268586576695,0.11553860819828408,0.1359454314720812,0.08498291085160922,0.0900691799806206,0.09468326743501304,0.08877654737067352,0.12372988477806408,0.09542646956763134,0.10190377670096731,0.11398401263199448,0.0978327711831243,0.14902020355461035,0.11258685900255079,0.08473097321064321,0.09208796985893279,0.11826876983130549,0.12072434607645875,0.12440419447092468,1.0,0.5677966101694916,0.22935779816513763,0.09374946145759733,0.05464698843238931,0.13343548881397488,0.10457226635753009,0.07300406118528247,0.05708006652411499,0.09033923303834808,0.09399304457793234,0.08058909623124771,0.10700891484783277,0.08588506937700956,0.05530371713508613,0.09861549672091328,0.09726406544688564,0.034827760891590676,0.0937613347841857,0.08199199280987009,0.08820930116222842,0.046875,0.07320227625452665,0.1050316905963006,0.06721311475409836
LDB1,0.0032720865844450037,0.0009490149878918778,0.0006828131903442181,0.0012074992055926279,0.0011104060913705585,0.0009256622045001425,0.0011492439777362148,0.0007571296374190292,0.0008559353768790456,0.0014585055180125431,0.0006107294052328406,0.0004537122738244315,0.0005181091483272476,0.00039133108473249725,0.005012912046179554,0.0007916263523616853,0.0005552785458501427,0.0004906685358801367,0.0009130960805350743,0.0008231205414304006,0.0044486812837623135,0.005669317989507531,1.0,0.06422018348623854,0.0005687007772243955,0.002792181890706023,0.0007968127490039841,0.0007160148658324526,0.0005350064443958075,0.0021382751247327157,0.004240412979351032,0.0006323110970597534,0.0005488474204171241,0.00046111281893636643,0.0006365853132215532,0.0007051475773143951,0.00024289531212047608,0.0006368334680481054,0.0006332320162107396,0.0008463305525329464,0.0006536481738704142,0.0010671824715279051,0.015625,0.0002586652871184687,0.0002586987453110852,0.001639344262295082
MYBL2,0.007802668009061163,0.004745074939459389,0.008073261838775755,0.013028280902446775,0.0038071065989847717,0.0032160827874299818,0.005340604367127116,0.009337932194834694,0.006045043599208259,0.012154212650104527,0.0039003400652370046,0.003502658753924611,0.00542781012533307,0.003913310847324973,0.013975391159046028,0.002023045122702085,0.0024704229182720638,0.0031192499780951545,0.006460154769785651,0.009648801902323029,0.012392755004766444,0.006346251480792012,0.17796610169491525,1.0,0.0038775052992572425,0.001994415636218588,0.011645724793135151,0.0077397797401888915,0.005106879696505435,0.003860774530767403,0.02525811209439528,0.0069238065128043,0.008507135016465422,0.00046111281893636643,0.0029995036792473187,0.01813236627379873,0.002671848433325237,0.000930756607147231,0.0006332320162107396,0.005017531132873896,0.0012664433368739275,0.0015507495289389871,0.015625,0.006983962752198655,0.00038804811796662784,0.001639344262295082
activation,0.6657437704505411,0.6499116434321618,0.7199662609953006,0.9335875436924055,0.48921319796954316,0.5140036077091047,0.6259098181490411,0.7261293850424834,0.6420317766008666,0.7835577811269386,0.532986327989451,0.5284840565506979,0.637027533800454,0.5914689823528315,0.7751784900501291,0.4482804116457032,0.47416254929513624,0.5011653377727153,0.621658639030292,0.7886409365282605,0.6444232602478551,0.4603147740734473,0.2796610169491525,0.6880733944954128,1.0,0.12764260071798963,0.8069874348758811,0.8144839578574108,0.5634833783225116,0.3396887621762889,0.948377581120944,0.9792918115712931,0.9109952433223564,0.9965877651398709,0.470889708897089,0.8268359020852222,0.7848757185652984,1.0,0.07738095238095238,0.8034095030830612,0.49681346515238173,0.10790215270714179,0.453125,0.9974133471288154,0.997154313801578,1.0
repression,0.009648460441312191,0.018718502519798418,0.012893119652970237,0.009342230695900858,0.0353743654822335,0.023450109180670274,0.031435202920431754,0.03651047362665096,0.0195527737655807,0.017015897710146336,0.016864459712679577,0.01159688571895247,0.019934866278496003,0.015541434507947748,0.009266291964150084,0.00782830504002111,0.0132813562395177,0.011145185314991677,0.00988426507179218,0.014953356502652277,0.015332062281537972,0.011592486038246742,0.059322033898305086,0.01529051987767584,0.005514674203388078,1.0,0.012197364388599448,0.016434245968154387,0.0388852411176771,0.02851033499643621,0.0075589970501474925,0.007935504268099905,0.0016008049762166118,0.00233630494927759,0.021374161110032153,0.06567946005842651,0.0043721156181685695,0.004163911137237612,0.055091185410334344,0.014357393301898199,0.0012664433368739275,0.02449517266678895,1.0,0.005431971029487843,0.001422843099210969,0.001639344262295082
IRF2BP2,0.4093464216796711,0.3158910923489757,0.44475237980479576,0.6062281537972672,0.315989847715736,0.1827114782113358,0.3127746355093855,0.4840161520989316,0.31447600706146683,0.5884583596674607,0.2137691720452495,0.23994119888931234,0.3443452087239712,0.2632912807707359,0.6527419109828346,0.14231682645791185,0.16029418430714837,0.22024007710505564,0.3284634875704796,0.579476861167002,0.3688433428662218,0.18421052631578946,0.11016949152542373,0.581039755351682,0.22689437675564822,0.0793777423214998,1.0,0.45528316683146375,0.2986551883465869,0.18377286766452838,0.7638274336283186,0.3669617451786279,0.2806897182583242,0.13366123578235475,0.17207224703825985,0.561096000805883,0.2338272204679783,0.13968697185685944,0.0367274569402229,0.28814532704630635,0.06458861018057031,0.039602474529355856,0.109375,0.3986032074495603,0.12314060276807658,0.05901639344262295
mediator,0.5189193724305731,0.4992146082858826,0.6118407840302045,0.9290753098188751,0.3873730964467005,0.3163509921200038,0.5197737566757554,0.7262135105577522,0.5071149628203071,0.7572560649521124,0.3453535984454161,0.35845084481225387,0.489613145169249,0.4159476734435272,0.7625702567218593,0.23055384525170786,0.2657631113730112,0.3216332252694296,0.4760198141849476,0.7873147978781782,0.5273276136002543,0.259519377221188,0.17796610169491525,0.6941896024464832,0.41167042928292,0.19226166733147187,0.8184492798038615,1.0,0.4948566425913767,0.30767403183654074,0.9599926253687315,0.6598482453367056,0.49327661909989023,0.26080541039040883,0.2863554951338987,0.8421476780497633,0.5043316330661485,0.2743527567541088,0.09992401215805471,0.5614194172409624,0.10323555846065854,0.04770639142252089,0.578125,0.6541645111226073,0.2461518561634976,0.17868852459016393
cohesin,0.5477808540984982,0.5591007264873356,0.589548941639555,0.7977756593581189,0.42258883248730966,0.43368461027247696,0.6374022579264034,0.8018844115420207,0.5877066281495748,0.730127862317079,0.4051217988757027,0.40491098165187567,0.5337264383696833,0.45621750554385704,0.7341637551268418,0.2395989093148034,0.3187525497484248,0.35701393148164373,0.46919442098294795,0.7542985183830254,0.6033523991102637,0.2540192926045016,0.1864406779661017,0.6422018348623854,0.3993141123959536,0.6378141204627045,0.7527428746552253,0.6938184049916465,1.0,0.9120931337609883,0.8982300884955752,0.6042997154600063,0.44900292718624224,0.2490624039348294,0.3957402731922056,0.917799939558779,0.4531616873127682,0.27893305900507015,0.9241388044579534,0.5552230685527747,0.14772448729471363,0.12451017992029481,0.9375,0.6360579410243146,0.22920708834562153,0.13278688524590163
CTCF,0.0818860642671365,0.16359054911970677,0.14431457605333975,0.19065776930409914,0.11976522842639593,0.16572913699800626,0.19994591793045946,0.2299991587448473,0.1760552078318087,0.21162915066362,0.13579013116802,0.127692782345148,0.13860653310964177,0.13499058941915287,0.17742670514962783,0.07760870202597707,0.10135533294048321,0.11912731096118462,0.1314630081950373,0.173998536674593,0.18819510645058787,0.08131663564054832,0.3050847457627119,0.19877675840978593,0.09855756802867631,0.19146390107698444,0.18964143426294822,0.17661700023867163,0.3734344981882736,1.0,0.24244100294985252,0.14438823901359468,0.11713318697402123,0.04884721795265908,0.15230573358365163,0.2301803163090561,0.12225730710063963,0.07125186763661302,0.7836879432624113,0.12915608753476002,0.06393496200669989,0.06493138350202599,0.15625,0.14847387480600102,0.04009830552321821,0.036065573770491806
POLII,0.05789076264787314,0.11119837685712415,0.14764831104149095,0.2886558627264061,0.0656725888324873,0.05696382796923953,0.10940351984135926,0.1949608816354,0.12400363772535174,0.21600466721765765,0.06748559927822889,0.07290248815810965,0.11055462350735222,0.08696867487840784,0.23272064408324472,0.03623889524144604,0.0529441095145279,0.06468062735477087,0.10128518273335312,0.20203036400219498,0.11931998728948205,0.04146217634117448,0.19491525423728814,0.41896024464831805,0.08864838781946335,0.016354208216992423,0.2539380937787312,0.1775375907804562,0.11847960895892609,0.07810643858398669,1.0,0.16196648751185583,0.17970179290157337,0.012204119274515831,0.05503765563971429,0.3306134783922635,0.11076026232693709,0.02637960173414652,0.00303951367781155,0.1185165034457744,0.019977122313914537,0.003401644127995198,0.015625,0.1751163993792033,0.011382744793687751,0.03278688524590164
H3K27ac,0.4595184159744945,0.4713332024347143,0.5617544282443668,0.8968541468064823,0.253489847715736,0.32598737301813346,0.4856795186695811,0.6431395642298309,0.5020328465200877,0.6854003597646945,0.32739260184606844,0.32529355184116443,0.45016283430376,0.39811415686786056,0.6758316876803889,0.21866479021901664,0.2750895245002493,0.2992201875054762,0.4205035724884151,0.6777940369489666,0.47354623450905625,0.25156540869859534,0.1694915254237288,0.6697247706422018,0.5338032295310804,0.10011966493817312,0.711431198283788,0.7116164887994817,0.46482332628097567,0.271263958184842,0.9445058997050148,1.0,0.5358580314672521,0.3097448509068552,0.28636628471547876,0.8116248614888687,0.6550076916848838,0.3877091140666716,0.03736068895643364,0.5733587232499093,0.1922134161287687,0.023478014373613913,0.421875,0.9963786859803414,0.28987194412107103,0.2180327868852459
