,CEBPA,HOXA9,PLAGL2,MEIS1,ETV6,GFI1,RUNX1,FOSL2,FLI1,GATA2,SP1,E2F3,ZNF281,SREBF1,LMO2,STAT5B,ZMYND8,LYL1,MYC,TFAP4,RUNX2,MAX,IRF8,MYB,ZEB2,RXRA,SPI1,MEF2C,FLAG_MEF2D,activation,repression,ELF2,JUND,FLAG_SPI1,FLAG_IRF2BP2,SMC1,LDB1,H3K79me2,WDR5,H3K27ac,H3K27me3,FLAG_GFI1,MYBL2,CDK9,H3K4me3,FOXP1,MLL_KTM2A,RARA,IKZF1,AFF4,CTCF,BRD4,CEBPB,H3K36me2,PSER2,FLAG_MEF2C,H3K36me3,H3K9ac,CDK13,H3K4me1,POLII,MED1,super_enhancer
CEBPA,0.0,9.706914226683763e-69,1.0990526718477827e-69,4.306843866848167e-220,5.819579661554611e-69,1.8337518447749564e-169,0.0003592558669637269,1.0,2.027691907016076e-36,5.163706335608057e-187,1.8909193494787417e-20,3.1261375290638862e-139,1.526327221848452e-244,0.00020804864625414678,1.0,1.0,1.2002428999667006e-54,1.232676055226903e-294,8.86520920270036e-18,1.4305353298427323e-11,2.6179675170677588e-61,1.9102831129854557e-11,4.2207738279767543e-08,2.495581903067765e-269,4.4833500546948504e-63,1.0,5.995606351705271e-59,0.0,3.8890788765927285e-10,1.0,1.3857986583534144e-216,7.510886770122036e-23,1.0953454262912225e-278,2.2909467480331824e-58,1.601776717893505e-68,4.8258895e-317,1.0,1.462549433097018e-18,1.2329338256779848e-10,1.0,3.2973857878016643e-131,2.6503452108838086e-30,1.0,2.1337722779728037e-34,0.0,0.0,9.546173091609126e-205,0.0006931014632667592,9.582255275604304e-47,2.4798700123324336e-52,0.0,1.0,0.0,2.8816972191238556e-176,1.7201872994503674e-72,5.011655351944912e-72,2.4357487260194904e-07,5.977581301904602e-245,1.0,1.2726014771117463e-242,5.666786282635807e-45,1.782409871552993e-39,1.0
HOXA9,2.4669039887608297e-18,0.0,1.77950024051424e-05,1.0418571138196928e-92,4.414444098807383e-62,3.15496029522769e-55,5.752719763265179e-45,1.4602008357206242e-40,2.2102883574473485e-29,3.621043314260392e-60,3.5580215729554065e-24,8.259355331021597e-10,1.0,2.5507183519146577e-25,1.4464745588588326e-31,3.3618126952998855e-24,4.423088601450254e-80,2.347442870030645e-151,5.7477981698912906e-24,9.41465784387609e-24,4.0179765537637156e-33,2.89459105185247e-25,1.0344904563773568e-24,7.254886669374074e-172,1.0332256683839984e-41,1.3100323357747812e-23,0.00014071502237999523,1.0,2.3937387560922856e-84,8.625544709464104e-09,0.0006212575494409206,1.6966613511842632e-11,1.5864035884116423e-233,0.0017207073506024702,4.740316891076808e-124,0.0004547451382991365,1.8743396572920239e-56,1.0,1.0,3.59523724358861e-18,1.0,1.2081932762384588e-30,2.776644531396556e-54,1.8533088099154063e-29,1.0,8.967181404713618e-111,5.180056242441969e-40,2.5457417291877312e-21,1.6948720414705966e-36,1.1966385925777724e-08,1.0,1.4486344878171917e-50,7.607833551698208e-06,4.477354421800618e-05,1.0,0.21419956502895668,1.0,1.0,9.948062027098952e-19,1.1496690331140379e-23,0.0033862872395220003,3.469016155274232e-44,0.17123601094674934
PLAGL2,8.91601224411591e-31,2.895981621731951e-07,0.0,0.0,0.0,9.668857765771006e-98,0.0,1.6619854830801882e-239,0.0,0.002022726503623465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1527409419629468e-220,2.738477969126975e-23,0.0,1.56876e-319,0.0,0.0,2.6114202501081203e-213,5.253594518963993e-160,0.0,0.0,1.0,0.0,5.122545524033406e-193,0.0,4.2467251278761825e-32,0.0,3.598931526709888e-83,0.0,0.0,0.0,2.911747433257507e-05,0.0,0.0,0.0,4.145007647687204e-166,0.0,0.0,0.0,0.0,0.0,1.6816411629805557e-14,0.0,1.6055976710321392e-12,5.598127370983684e-14,0.0,0.0,8.649835074052872e-129
MEIS1,5.380618191219364e-169,0.0,0.0,0.0,0.0,0.0,0.0,3.697695916268803e-276,0.0,3.9759365335780436e-103,0.0,0.0,2.555107233813122e-251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.642436876907926e-253,0.0,0.0,0.0,0.0991892583192711,0.0,0.0,1.8131333794818047e-256,0.0,0.0,1.0,2.5279035291995892e-202,9.621826100948132e-39,0.0,5.6567259553657626e-67,0.0,1.503471654153645e-07,0.0,0.0,0.0,0.0,0.0,0.0,7.36431344584265e-175,2.9830330412142886e-22,0.0,0.0,4.204577580310706e-14,4.895512881902283e-80,1.0,7.705403535291047e-08,0.0,1.0,0.0,0.0,0.0,1.5553716247324874e-91
ETV6,3.149937076062327e-23,2.0269332646951956e-71,0.0,0.0,0.0,2.537742040290513e-208,0.0,9.830207224272516e-102,0.0,4.5724694228574184e-63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.694992777419613e-234,4.790251307557634e-277,1.4374927478811965e-302,0.0,0.0,0.0,3.380651531281438e-184,1.0204425324083414e-21,0.0,3.9536182023081124e-123,5.658657462714189e-48,0.0,0.0,1.0399207826116602e-124,0.0,0.0,4.25845999178244e-19,3.3658052896269914e-240,1.4333789285668915e-64,0.0,0.001970109739736221,2.718273110991318e-284,5.952386472621414e-30,0.0,0.0,0.0,2.184473905604014e-62,0.0,0.0,2.501603739157119e-307,1.4513880899068322e-31,0.0,0.0,2.4022299258705966e-59,4.883914329666177e-183,1.7734999903644223e-52,0.00012363682153903365,0.0,6.313342932036266e-39,4.311144551074205e-21,0.0,0.0,1.0148089508265868e-72
GFI1,9.838624271961381e-55,1.6490810372188653e-62,1.9749722452602817e-84,2.3680067173096486e-162,2.2808552078829597e-205,0.0,7.216541484965214e-205,5.660391758300255e-42,1.854147198957214e-189,1.8020514706963855e-46,2.0404519125013673e-173,2.0905479575912848e-101,4.016733513680093e-15,2.0518401345547398e-54,1.0292766328735703e-86,1.070123470975767e-237,0.0,2.669306861723568e-281,1.752102687567441e-74,5.031986804788627e-109,7.036200621386756e-103,3.175356718959922e-81,1.3615043055253077e-80,7.838579669153848e-286,5.8634472459123575e-174,4.222539041176573e-122,4.79290215139391e-40,7.941294940802034e-28,6.509895293590577e-170,8.16944450683321e-07,1.0,2.3556747332251887e-104,6.975917325800915e-151,5.268698085261711e-30,1.6524119873169352e-256,6.924798135274619e-58,0.6580776553267154,1.0,1.0,3.5488105379952834e-05,2.417809827716368e-31,0.0,0.024171714328701282,1.2946292663656781e-157,1.6205155627150534e-14,1.2422853242568247e-264,5.301261429984643e-55,1.354067829932069e-78,3.9126873090809563e-165,6.170447499157845e-08,1.0,4.353719954818672e-166,1.3311845550591882e-115,0.9565214907883189,1.0,1.0,1.0,1.816055184018274e-07,2.378816303697045e-05,5.871332054978249e-22,5.237673409085658e-21,1.0486108280080647e-154,0.0007262830415845315
RUNX1,0.011633501318912885,6.152314352314758e-128,0.0,0.0,0.0,0.0,0.0,2.2290526479547324e-220,0.0,5.5899331716227945e-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.6059788688356634e-124,0.0,1.0,0.0,2.0676171954767296e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81318382422676e-135,0.0,0.0,0.0,0.0,8.940153087120094e-32,0.15382372789522136,0.0,7.816226791790312e-11,1.558426287227266e-308,0.0,0.0,1.655142462704717e-309
FOSL2,1.0,8.765489594564679e-44,1.6585566283734575e-193,8.409175470658336e-106,2.8305510544194e-96,1.713170811133264e-40,8.266642154852633e-89,0.0,5.118263620247612e-52,9.909543522617517e-11,2.8047650810669024e-79,1.5889485371565362e-158,1.3536717286290606e-98,4.122056370903434e-253,1.6953531609303737e-61,9.492367496739188e-215,6.829945528804003e-162,7.763466659028072e-182,1.6734419675300092e-51,0.0,6.530461834832999e-43,1.3963986450098051e-83,1.3093971096662682e-38,3.198570729444667e-140,1.5765881887581982e-59,7.401221534901177e-275,1.0,1.0,2.4122326478563204e-88,6.929616105554901e-06,1.0,3.416752540048295e-36,0.0,1.0,2.196812511344405e-251,2.927015462155021e-29,0.013640178658329357,1.0,1.0,1.2201255725514329e-39,3.833257666508925e-12,6.793967841911315e-107,0.008563778446597703,3.8512235989295175e-35,1.0,2.700224277417094e-177,4.6706292272895505e-68,4.425103912315116e-297,1.0885639991753171e-95,4.830172623639713e-54,0.0009877178019813187,6.497631189779528e-140,1.9160230662897774e-76,0.49955745882934915,1.0,3.661877402956315e-163,1.0,5.324387414888661e-10,1.0,5.156112580081877e-11,5.537423219356443e-37,2.5371559165185394e-185,6.984606214615372e-08
FLI1,5.104031820984545e-28,1.2323336965099626e-82,0.0,0.0,0.0,0.0,0.0,2.541721882144328e-128,0.0,1.4859914566780356e-56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.61807870640128e-262,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2722794015635708e-113,0.0,9.354479646653122e-06,0.0,3.0758514731045716e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6155347362058866e-65,0.0,0.0,0.0,5.889088242624868e-282,2.96593688181531e-22,0.00011842465410274399,0.0,1.0,0.0,0.0,0.0,1.3123063836638931e-157
GATA2,1.893534347793095e-68,1.897486762466058e-76,0.003009474038117571,5.371775544888108e-50,5.742523153742385e-69,2.3225957493853307e-51,6.080631304602143e-45,2.262087722715091e-12,1.746641874064662e-27,0.0,0.00020915017859736266,1.0,1.0,1.4073792235385374e-09,5.864883021474437e-48,6.985386187424907e-41,3.528180837606017e-77,0.0,0.00018121033775152394,2.697268259441737e-19,1.230654756755013e-24,0.0004457050827239701,3.103993624515432e-14,1.6394403981701103e-129,1.0188411441471823e-25,2.4322679010651758e-30,3.40835169962812e-06,4.651004853085986e-53,6.363447997741742e-68,2.077179394427387e-10,2.5723060184795813e-18,2.322551200835783e-12,7.898706082687934e-104,9.04974197120881e-08,5.622968716359228e-99,0.02997455157244597,7.112628675613974e-47,1.0,1.0,6.564311255854293e-17,0.0006383279662866854,3.704789612929516e-42,1.518557270315306e-12,3.680108525703096e-13,0.0011056950817463541,2.724747998632658e-134,1.2918976660846483e-84,2.0323927820628675e-29,1.8138132758580595e-47,0.00036206364377931776,1.5556983146414979e-24,1.0317805990742256e-44,1.5727057487607953e-07,7.985410398433232e-16,1.0,1.0,1.0,1.0,1.1188163594897198e-10,1.2713667657204648e-55,0.04356691982504048,5.674053589844109e-66,1.0408277997132072e-14
