,mr349-MV411-YLK-r3_tcount,mr343-MV411-DMSO-r1_tcount,mr345-MV411-DMSO-r3_tcount,mr347-MV411-YLK-r1_tcount,mr348-MV411-YLK-r2_tcount,mr344-MV411-DMSO-r2_tcount,mr346-MV411-DMSO-r4_tcount,mr350-MV411-YLK-r4_tcount
NAT1,66,114,96,55,99,125,89,107
AAMP,704,1281,1424,764,864,1499,1422,1472
AARS1,472,631,892,486,548,876,754,837
ABAT,116,154,191,93,144,208,162,151
ABCA1,24,19,36,10,26,37,21,31
ABCA2,183,367,445,206,211,421,348,387
ABCA3,4,3,4,4,8,6,3,4
ABCB7,29,37,31,40,50,48,43,30
ABCF1,1,0,2,1,5,5,4,6
ABL1,887,1432,1728,825,964,1863,1619,1654
ABL2,465,697,706,303,486,771,676,638
ABO,4,5,8,4,6,13,9,5
ABR,38,70,75,28,74,95,61,71
ACAA1,1215,2037,2355,1158,1366,2416,1884,2037
ACACA,4,5,7,0,5,13,1,2
ACACB,39,57,61,41,37,82,75,77
ACADM,588,593,512,327,653,952,523,520
ACADS,85,190,196,105,106,217,162,201
ACADSB,1038,1189,1444,734,1174,1747,1296,1203
ACADVL,399,653,788,406,482,705,676,878
ACAT1,412,485,684,365,446,711,545,620
ACAT2,2658,2306,2875,2096,3091,3384,2383,2941
ASIC1,138,248,281,148,156,292,262,287
ACLY,2898,3847,4298,2663,3432,4976,4095,4323
ACO1,235,351,385,213,329,456,366,408
ACO2,826,1206,1495,779,944,1588,1254,1388
ACOX1,675,881,952,526,782,1108,912,980
ACP1,1763,2149,2522,1446,2048,2847,2190,2395
ACP2,118,165,212,121,153,205,167,190
ACPP,539,662,783,395,600,792,649,644
ACTA2,2,9,12,5,3,12,18,10
ACTB,88876,114732,133791,81732,96437,150584,130206,138956
ACTG1,78161,123395,145514,74449,94765,156065,128988,135724
ACTN4,6006,9095,10284,5822,6451,12381,10346,10800
ACTL6A,513,611,702,383,539,932,597,765
ACTN1,1756,2481,2615,1463,1892,3150,2794,2745
ACVR1,49,67,56,33,52,88,57,59
ACVR1B,225,482,538,201,340,669,582,459
ACVR2A,52,45,45,19,32,55,40,51
ACVR2B,221,287,309,106,180,362,306,257
ACVRL1,95,207,234,125,121,272,177,225
ACY1,138,182,233,134,177,264,192,236
ACYP1,268,374,455,223,345,474,367,417
ACYP2,68,57,70,46,62,76,57,62
ADA,1240,2175,2647,1253,1556,2725,2035,2316
ADAM8,22,34,30,14,22,29,43,36
ADAM10,3314,3636,3995,2108,3890,5339,3848,3881
ADAR,4242,6182,7301,3881,4933,7765,6740,6657
ADARB1,445,738,834,396,536,753,731,817
ADCY1,26,34,33,17,21,65,40,33
ADCY3,669,1111,1328,699,913,1346,1104,1202
ADCY5,0,5,5,4,3,1,2,3
ADCY6,7,19,20,11,14,15,18,18
ADCY7,1924,2731,3162,1543,2415,3243,2679,2662
ADCY9,2230,3778,4481,1848,2526,4883,4230,3805
ADD1,2321,4340,4968,2325,2779,5222,4528,4696
ADD2,2079,3228,3792,1623,2411,3917,3380,2995
ADD3,513,569,630,334,653,761,513,529
PLIN2,427,622,711,342,546,796,611,577
ADH5,724,946,1088,565,849,1239,994,997
ADK,622,630,708,375,573,999,629,713
ADORA1,4,2,3,2,0,5,7,8
ADORA2A,51,28,40,53,49,39,43,111
ADORA2B,137,166,208,125,169,210,150,195
ADORA3,2,3,6,1,2,5,3,1
ADPRH,140,211,222,134,190,251,199,202
PARP1,1625,2234,2614,1650,1909,2673,2406,2592
PARP4,15,12,15,5,4,29,14,16
ADRA2C,2,13,21,4,9,23,9,20
ADRB1,3,11,12,2,5,9,4,11
ADRB2,20,82,123,15,18,103,89,36
GRK2,2437,5027,5590,2559,2679,6147,4733,5174
GRK3,458,655,777,354,586,864,627,641
ADSL,147,189,172,105,129,247,235,198
ADSS2,891,991,1109,694,1054,1406,1011,1046
AP2A1,811,1078,1319,811,931,1390,1168,1351
AP2A2,65,101,132,76,63,146,102,130
AP1B1,744,1499,1870,864,956,1873,1624,1788
AP2B1,3770,5180,6146,3173,4225,6542,5553,5660
AP1G1,2775,3801,4416,2043,3399,4963,3961,3939
TLE5,959,1710,1954,994,1164,2256,1793,1921
AFG3L1P,281,495,544,271,411,549,492,556
AGA,435,582,718,334,562,792,570,585
AGL,276,271,263,157,327,411,266,283
JAG1,7,20,13,8,1,14,14,16
AGT,99,163,183,114,135,202,150,174
AHCY,3636,5152,6365,3606,4558,6581,5162,5633
AHR,979,796,904,503,1047,1117,905,958
CRYBG1,304,391,448,230,376,511,391,425
AK1,8,23,14,7,11,18,16,23
AK2,18609,23663,28843,15030,21614,31144,25031,26021
AK4,38,58,69,37,51,68,46,64
AKT1,2067,3571,4135,2151,2444,4563,3791,3962
AKT2,1789,3703,4200,1997,2215,4608,3451,3986
ALAD,1329,1707,2182,1038,1593,2393,1959,1977
ALAS1,36,55,44,32,53,64,53,78
ALCAM,998,949,1091,657,1144,1436,973,1024
ABCD1,487,913,1023,550,580,1169,996,1048
ALDH2,10,6,12,5,7,24,7,9
ALDH1B1,1630,1922,2279,1304,1752,2550,2124,2209
ALDH1A3,144,206,215,105,181,230,208,167
ALDH3B1,499,855,999,503,626,1152,881,964
ALDH9A1,1024,1188,1450,835,1188,1574,1307,1370
ALDH3A2,339,453,565,280,386,617,482,486
ABCD2,142,145,131,64,148,195,124,130
ALDOA,4580,7377,8448,4707,5144,8390,7345,8832
ALDOB,3,4,8,2,6,3,7,4
ALDOC,204,324,383,231,229,357,351,425
AKR1B1,461,753,964,494,573,975,776,856
ALOX12,165,184,201,116,164,207,198,211
ALOX5AP,255,387,486,254,284,514,462,472
ALX3,11,28,30,11,17,18,20,23
AMD1,2757,3430,3644,1662,2939,5039,3546,3373
AMFR,463,624,765,429,558,855,703,716
AMPD2,249,474,450,257,283,478,403,544
AMPD3,71,96,133,63,85,120,90,92
BIN1,0,4,4,2,1,3,3,6
AMT,35,77,94,31,71,65,58,87
ANG,1,4,0,1,1,8,3,0
ANGPT1,17,12,16,8,14,20,14,7
ANGPT2,20,19,22,8,13,19,14,17
ANK1,1,0,3,3,2,6,2,1
ANK2,10,18,15,6,20,15,7,13
SLC25A4,22,16,32,22,18,25,28,30
SLC25A5,2800,3598,4210,2372,3029,4840,3867,4035
SLC25A6,6419,10854,12875,6866,7532,13974,11442,12339
ANXA1,250,261,280,169,251,386,257,296
ANXA2,445,560,813,384,472,779,640,712
ANXA2P1,2,10,4,4,1,3,4,5
ANXA4,376,359,369,198,351,540,404,393
ANXA5,492,623,660,353,566,798,618,728
ANXA6,347,613,708,319,447,706,589,642
ANXA7,362,358,415,254,393,481,331,380
ANXA11,924,1330,1650,924,1004,1677,1327,1419
AOAH,3,5,5,4,6,8,5,4
AOX1,1,3,2,2,1,6,5,4
APAF1,1096,1277,1481,822,1164,1849,1348,1417
NUDT2,80,98,108,64,106,128,107,145
APBA2,2,4,4,6,3,11,6,3
APBB1,407,848,988,455,538,1091,864,809
APBB2,15,31,36,21,19,35,33,21
APC,97,103,114,57,105,196,111,142
APEH,250,367,418,238,315,410,367,419
APEX1,2125,3169,3680,2032,2390,3675,3170,3547
BIRC2,137,116,141,80,134,173,135,154
BIRC3,3,2,1,1,7,0,2,6
XIAP,1030,1381,1507,747,1130,1993,1400,1397
BIRC5,2755,4182,4681,2540,3275,5425,4427,4535
APLP1,18,34,37,21,24,41,29,35
APLP2,5645,7616,8688,4755,6544,10276,8080,8478
APOA1,2,7,3,4,4,4,8,10
APOC1,19,23,25,16,22,37,26,44
APOC2,2093,2953,3432,1992,2269,3521,3181,3641
APP,637,871,929,454,799,1180,858,919
APRT,1438,2080,2541,1262,1713,2608,2070,2490
FAS,45,78,96,29,85,85,74,60
AQP1,13,15,9,6,13,9,6,21
AQP3,94,175,234,101,106,233,166,189
AR,1,8,18,7,10,19,16,15
ARAF,311,564,705,360,412,659,632,663
ARCN1,4617,5984,7274,3568,5237,7804,6522,6502
TRIM23,49,50,56,31,66,90,57,43
ARF1,7290,11122,13021,6692,8637,14396,11366,12599
ARF3,11801,20827,23285,10033,13783,26558,20937,21398
ARF4,2027,2231,2451,1361,2358,3437,2399,2607
ARL4D,0,6,5,2,8,11,2,14
ARF5,494,915,1070,547,574,1182,946,1084
ARF6,4414,4988,5789,3134,4746,6967,5445,5131
ARG2,673,789,957,563,905,1144,842,888
RHOA,18963,22854,27393,15530,21872,31500,24357,25702
RHOB,93,47,55,71,92,89,57,146
RHOC,91,152,189,98,109,179,145,196
RHOG,1279,2545,2866,1438,1476,3045,2634,2639
ARHGAP1,1757,3444,4008,1608,1964,4352,3483,3485
ARHGAP4,281,611,746,364,419,722,595,772
ARHGAP6,13,30,31,9,18,21,29,26
ARHGDIA,12820,21318,25743,12703,14606,27816,22792,24642
ARHGDIB,23892,34085,40767,22022,26827,45347,39115,39949
RHOH,17,16,30,12,12,38,22,30
ARL1,1025,1211,1330,739,1138,1662,1222,1281
PHOX2A,2,6,5,0,4,13,3,3
ARL2,315,528,680,325,398,714,568,683
ARL3,73,116,136,60,82,146,119,131
ARNT,1194,1361,1622,915,1291,1898,1520,1590
ARNTL,11,32,28,12,15,44,20,27
ARRB1,3948,7389,8637,3473,4616,9140,7335,6786
ARRB2,947,1594,1797,914,1161,1902,1636,1766
ARSA,71,203,223,90,112,182,158,189
ARSB,1161,1637,1892,809,1297,2028,1710,1606
STS,559,737,777,344,604,922,746,725
ARSD,886,1278,1601,846,1027,1617,1350,1457
ARVCF,16,29,23,26,13,39,27,37
ASAH1,1329,1395,1558,820,1591,1915,1384,1509
ASCL2,14,26,41,32,31,67,40,55
ASGR1,2,8,12,4,1,11,2,6
ASGR2,31,25,32,22,22,44,44,39
ASL,39,39,48,32,28,39,33,44
GET3,217,414,450,228,266,473,397,497
ASNS,42,59,53,36,65,80,52,87
ASPH,855,936,1066,582,1082,1444,932,973
ASS1,312,480,583,330,388,608,517,627
ZFHX3,14,18,25,16,26,33,30,37
ATF1,419,444,470,210,436,715,400,390
ATF3,140,92,92,109,144,148,79,180
ATF4,410,532,614,380,504,670,602,641
ATIC,218,242,267,147,191,289,245,284
ATM,1308,1437,1872,941,1674,2028,1609,1763
RERE,349,638,755,300,438,839,712,578
ATOX1,213,251,351,191,229,334,297,333
ATP1A1,850,1098,1444,872,1004,1602,1288,1400
ATP1A3,89,144,186,89,80,175,183,189
ATP1B1,73,59,90,47,82,89,67,75
ATP1B3,2174,2438,2939,1897,2476,3329,2669,3004
ATP2A1,12,35,37,23,19,38,47,36
ATP2A2,3277,3927,4316,2174,3574,5292,4197,4137
ATP2A3,1696,2925,3632,1908,2107,3699,3156,3464
ATP2B1,956,806,983,588,1070,1197,966,1147
ATP2B2,0,4,4,1,2,1,0,5
ATP2B3,28,27,46,18,30,45,44,43
ATP2B4,2825,3697,4340,1956,3107,4790,4152,3769
ATP5F1A,925,1165,1226,688,942,1691,1422,1388
ATP5F1B,1704,2225,2841,1618,2031,2905,2440,2909
ATP5F1C,316,395,460,235,318,635,485,478
ATP5F1D,999,1521,1750,1068,1197,1895,1487,1976
ATP5F1E,1042,1332,1617,842,1295,1852,1515,1624
ATP5PB,1281,1393,1692,1019,1538,1922,1384,1569
ATP5MC1,190,294,299,180,229,336,282,371
ATP5MC2,1231,2039,2177,1188,1430,2421,2173,2535
ATP5MC3,2774,3314,3810,2103,3189,4676,3576,3854
ATP5ME,901,1631,1868,866,1205,2094,1582,1922
ATP5PF,387,473,443,249,395,752,531,544
ATP6V1A,1866,2302,2420,1475,2215,3025,2322,2216
ATP6V1B2,4643,5617,6956,4121,5415,7652,6393,7180
ATP6V0C,2223,3543,4364,2143,2191,4631,3995,4366
ATP6V1C1,2245,2722,3115,1422,2440,3768,2749,2745
ATP6V1E1,1047,1600,1934,1037,1362,2058,1627,1872
ATP6V0B,705,1095,1204,680,908,1292,1095,1306
ATP6V0A1,251,427,461,246,271,482,433,483
ATP6AP1,953,1498,1682,927,1107,1913,1653,1748
ATP7A,37,68,62,39,46,87,52,75
ATP5PO,433,559,630,385,522,860,604,684
ATP7B,5,13,6,5,9,9,10,11
ATR,19,16,23,10,13,32,15,18
ATRX,909,794,959,592,965,1265,920,1108
KIF1A,3,6,7,1,8,0,10,3
AUH,49,45,70,42,55,73,64,61
AUP1,4134,6831,8226,4069,5095,8194,6651,7757
AVPR2,9,24,33,11,8,36,17,26
AXL,54,50,83,49,58,78,66,79
AZU1,0,3,6,2,3,2,2,4
B2M,2310,3056,3909,2165,3273,3874,2974,3417
BACH1,544,823,748,327,584,1167,746,642
BAD,127,228,264,128,138,263,180,287
BAG1,865,1200,1473,787,1019,1499,1190,1378
ADGRB1,10,8,7,6,1,4,5,8
BAK1,307,637,720,387,390,774,624,598
NKX3-2,1,4,7,4,3,8,12,7
BARD1,936,1414,1496,443,1098,1889,1344,1210
BAX,590,1009,1201,638,705,1273,1062,1188
BBS1,111,195,197,97,122,170,151,181
BBS2,85,95,128,72,84,119,99,113
BBS4,93,157,178,99,126,211,145,146
BCAT1,3288,3457,4085,1987,3717,5086,3655,3668
BCAT2,208,389,417,250,248,480,408,405
BCKDHA,472,829,910,535,544,989,780,943
BCKDHB,251,301,376,177,333,421,312,321
CCND1,96,144,143,72,99,156,145,151
BCL2,4113,6021,6830,2859,4666,7913,6267,5215
BCL2A1,3,2,1,6,8,5,1,6
BCL2L1,608,1237,1412,587,716,1496,1198,1103
BCL2L2,381,637,770,310,488,807,640,610
BCL3,40,49,81,42,47,62,53,90
BCL6,8,5,9,5,11,11,3,10
BCL7A,539,901,1088,435,585,1288,987,1053
BCL9,28,55,60,47,42,65,70,55
HCN2,1,1,4,1,2,5,5,4
OPN1SW,17,18,28,13,25,23,18,23
BCR,86,152,167,74,87,174,138,153
BCS1L,18,37,47,27,22,40,38,42
BDH1,2,6,8,1,2,7,3,6
BDNF,18,17,14,9,30,17,14,42
BFSP1,3,6,10,7,7,10,8,4
BGLAP,8,15,23,13,15,33,23,25
BICD1,6,7,6,5,9,7,5,5
BID,1586,1756,2039,1263,1873,2407,1780,1999
BIK,105,149,169,102,118,200,151,173
PRDM1,29,12,20,9,34,29,30,62
BLK,2,8,2,2,2,7,8,10
BLM,48,82,55,32,56,103,81,89
BLMH,498,737,891,516,635,966,802,859
CXCR5,5,6,8,5,2,12,12,12
BLVRA,0,1,5,0,4,5,3,4
BLVRB,85,141,155,76,113,177,144,133
BMI1,777,818,896,462,879,1277,740,770
BMP1,168,353,368,164,187,390,363,372
BMP2,23,23,17,11,26,25,18,18
BMP6,1177,1306,1593,1032,1370,1806,1425,1573
BMP8B,265,434,583,199,332,518,425,439
BMPR1A,75,106,95,40,84,155,88,85
BMPR2,241,256,266,114,252,357,239,258
POLR3D,269,477,538,216,307,581,426,431
BNIP1,62,126,166,60,78,158,138,152
BNIP2,2780,3361,3714,1901,3306,5028,3388,3294
BNIP3,254,246,264,155,274,382,248,249
BNIP3L,2125,2203,2563,1458,2482,3157,2286,2199
BOK,3,6,9,2,5,5,10,8
DST,6,5,12,5,5,5,12,4
BPGM,102,132,179,81,135,208,139,167
BPHL,65,82,95,55,64,106,103,86
BPI,5,6,3,0,2,3,1,2
BRCA1,4411,5968,7078,2959,5387,7895,5601,5387
BRAF,7,7,12,5,11,13,9,7
BRCA2,229,183,232,126,208,341,269,243
ZFP36L1,63,69,68,37,65,117,97,65
ZFP36L2,4115,8028,8322,2564,4375,11772,8571,6231
BSG,8982,16059,18229,9566,10401,19854,15976,17348
BST1,36,47,46,36,62,83,45,53
BST2,1641,2966,3641,1726,2046,3919,3285,3404
BTD,62,74,95,50,65,105,75,92
KLF9,699,828,894,423,685,1184,865,810
KLF5,27,41,43,14,45,73,71,37
BTF3,3593,4374,5084,2621,3745,6191,4633,4876
BTG1,697,747,790,580,791,1092,779,923
BTK,676,903,1184,661,787,1221,1139,1072
BUB1,181,198,194,111,194,274,186,246
BUB1B,349,389,444,261,422,559,390,436
BYSL,194,351,490,188,285,413,360,372
TSPO,633,1008,1322,708,815,1205,961,1227
C1QBP,1832,2253,2676,1392,1986,2907,2306,2540
C1S,1,0,3,3,2,4,2,5
C3AR1,169,53,27,139,222,56,46,287
CAPN5,10,34,38,14,14,17,17,22
C5,85,112,156,88,121,164,137,174
C5AR1,7,5,2,5,1,4,5,2
OSGIN2,466,463,497,316,569,713,500,496
VPS51,66,100,106,71,83,112,97,119
MRPL49,927,1632,1807,899,1176,2020,1670,1755
ZNHIT2,12,9,15,7,13,15,17,14
MYRF,28,58,51,28,27,70,48,56
TMEM258,356,472,550,350,518,610,517,576
DAGLA,45,76,101,46,42,106,88,109
GAS8-AS1,1,5,2,1,2,1,0,4
FMNL1,249,481,516,290,335,542,508,572
LDLRAD4,273,418,419,169,303,537,384,335
PTTG1IP,4853,6989,7833,3921,5753,8951,6703,7243
CFAP410,206,366,462,191,295,460,349,435
TMEM50B,32,23,42,13,35,46,30,34
MPPED1,10,13,14,6,7,29,13,14
CA7,14,24,16,11,7,24,22,22
CA11,51,114,103,54,74,113,95,120
CACNA1A,12,28,24,14,20,41,19,19
CACNA1D,5,7,7,2,8,6,3,5
CACNA1E,4,10,8,6,8,3,12,11
CACNB1,9,21,18,10,7,22,20,20
CACNB2,20,24,21,12,22,25,26,37
CACNB3,68,104,127,64,64,139,111,129
CACNB4,16,20,15,8,14,17,10,13
SLC25A20,189,275,313,157,219,331,264,280
CAD,142,235,281,163,173,247,239,332
CALM1,5173,5356,6295,3752,5731,7081,5682,6230
CALM2,6517,7567,9050,4836,8239,10627,7358,8260
CALM3,10541,20038,22059,10509,12275,25833,21050,21429
CALR,13076,18860,21891,13201,15547,23609,20073,21116
CALU,3400,4277,5071,2507,4076,5758,4583,4428
CAMK2B,17,22,32,11,16,30,28,27
CAMK2D,619,720,726,439,660,1000,773,726
CAMK2G,409,672,806,403,507,809,721,808
CAMLG,139,228,225,114,198,311,232,263
CANX,21161,23415,26970,14353,23966,33398,24589,25019
CAPG,190,284,322,194,220,374,311,380
CAPN1,1087,1833,2159,1134,1225,2401,1987,2183
CAPN2,1501,1446,1993,1156,1689,1990,1616,1728
CAPN3,35,56,74,31,39,42,70,74
CAPNS1,3785,6950,8081,4053,4469,8432,7225,7903
CAPN6,6,4,10,2,6,2,0,5
CAPS,33,61,72,33,40,64,51,72
CAPZA1,11998,13415,15600,8285,14008,18670,13328,14808
CAPZA2,1350,1470,1733,863,1695,2154,1465,1509
CAST,802,804,964,523,904,1159,831,866
CAPZB,3934,5929,6633,3729,4455,7598,6278,6732
CARS1,66,102,118,61,83,149,130,109
CASP1,175,203,232,141,216,307,234,233
CASP2,2232,3430,3848,1649,2550,4313,3585,3662
CASP3,1661,2053,2445,1259,2080,3026,2053,2071
CASP4,65,93,108,51,97,125,106,119
CASP6,394,528,668,314,548,737,540,585
CASP7,242,263,310,181,265,377,268,282
CASP8,150,278,301,117,208,320,276,245
CASP9,354,603,671,320,440,669,480,598
CASP10,280,366,447,237,298,530,387,460
CASQ1,2,1,2,1,3,4,9,6
CAT,3678,4637,5039,2590,4413,6729,4582,4704
CAV1,37,37,46,23,38,49,39,56
RUNX2,1893,2944,3064,1258,2121,3870,3005,2632
RUNX1,4906,7632,8474,3361,5505,10472,8416,6753
CBFA2T3,1453,2318,2657,1247,1700,3180,2721,2394
RUNX3,2916,4265,4964,2950,3361,5614,4564,5226
CBFB,4177,4618,4881,2698,4744,6408,4667,4303
CBL,2264,3788,4232,1510,2777,4711,4015,3478
CBLB,138,212,234,94,205,244,204,214
CBLN1,1,1,4,5,6,6,3,3
SERPINH1,511,849,971,504,604,1082,874,889
CBR1,386,661,796,355,509,820,706,780
CBR3,2,7,2,2,3,6,5,3
KYAT1,110,147,190,87,132,191,170,147
KRIT1,227,245,320,184,249,291,233,306
CCNA2,2303,2669,2748,1471,2639,4239,2662,2704
CCNB1,448,529,599,354,513,755,597,616
CCNC,1665,1586,1764,1069,1970,2302,1548,1702
CCND2,2177,3048,3569,1913,2483,4156,3329,3558
CCND3,2851,4683,5350,2742,3471,5842,4671,5094
CCNE1,159,259,344,117,187,354,298,272
CCNF,753,1460,1731,727,923,1973,1569,1393
CCNG1,7058,6356,7615,4558,8241,9375,6412,6862
CCNG2,103,166,194,70,112,249,165,127
CCNH,67,55,69,54,73,83,48,66
CCNT1,2047,2354,2580,1069,2282,3089,2277,2777
CCNT2,437,497,490,228,447,707,505,484
CCT6A,3511,3794,4518,2569,4069,5731,4135,4649
CD1D,214,256,295,168,223,305,263,262
CD4,4383,6739,8491,4006,4805,9074,7441,7739
CD5,5,6,3,3,4,7,4,8
CD7,0,3,7,4,3,3,4,5
CD8A,3,1,8,3,3,6,2,3
CD9,1,3,6,2,4,4,6,5
CD19,4,3,5,2,4,2,7,12
MS4A3,10669,12072,14958,8039,13100,17048,12983,13834
CD22,1,0,6,1,2,2,2,0
CD27,3,6,8,3,2,6,4,9
CD28,4,7,1,3,3,6,3,5
CD80,0,3,5,1,2,2,1,3
CD86,60,32,32,39,64,39,35,97
TNFRSF8,1,6,8,6,3,3,1,4
CD33,706,1019,1188,592,830,1185,1034,1115
SIGLEC6,32,64,66,23,53,61,56,54
CD36,346,414,435,229,371,604,417,436
SCARB1,825,1376,1663,878,958,1694,1385,1598
SCARB2,330,415,499,272,420,680,506,464
CD37,564,907,1045,640,621,1127,950,1071
CD38,782,949,1209,537,916,1276,1046,983
ENTPD1,898,1212,1464,617,1077,1571,1173,1201
ENTPD6,307,553,656,339,363,631,547,598
ENTPD5,269,401,422,209,296,399,356,375
CD40,2,1,4,1,5,6,2,6
CD44,6396,7967,9077,4968,7281,10267,8681,8312
CD47,1243,1482,1632,786,1412,2083,1500,1397
CD48,5,13,13,6,15,13,7,9
CD53,2669,3427,4190,2248,3262,4302,3615,3892
CD58,389,438,543,262,563,575,396,451
CD59,25,25,36,16,25,43,37,37
CD63,502,725,815,449,600,951,809,837
CD68,892,1208,1445,854,1018,1444,1185,1343
CD70,150,194,254,135,194,275,215,272
CD72,40,67,84,31,31,76,48,76
CD74,2781,4388,5265,2733,3044,5496,4700,5029
CD79A,6,6,7,1,6,13,9,14
CD79B,1,10,13,2,5,11,6,12
CD81,1887,3349,3866,1925,2266,4184,3469,3893
ADGRE5,950,1510,1884,995,1123,1847,1660,1909
CD151,552,975,1085,557,659,1175,892,1079
CDA,12,13,24,5,9,11,17,16
CDK1,1298,1349,1379,766,1395,2167,1233,1365
LRBA,290,233,317,191,312,369,317,333
CDC5L,779,839,933,450,867,1267,842,886
SEPTIN7,2042,2192,2424,1309,2254,3422,2260,2233
CDC6,308,483,551,298,381,668,547,552
CDC20,112,147,125,69,106,193,152,179
CDC25A,672,1156,1276,662,838,1518,1190,1242
CDC25B,685,1302,1439,809,862,1699,1411,1399
CDC25C,56,92,106,53,70,117,86,114
CDC27,1612,1714,2006,1028,1662,2509,1868,1756
CDC34,306,580,663,294,399,691,528,643
CDC42,6667,8263,9676,5363,7658,11262,8788,8987
CDK2,1259,1768,2065,1165,1526,2079,1748,1923
CDK3,22,56,70,31,33,44,36,54
CDK4,1452,2228,2677,1446,1688,2821,2361,2726
CDK5,33,59,78,38,53,70,47,93
CDK6,16270,20953,23008,9772,18433,27528,22629,21049
CDK7,2,1,3,4,4,4,5,6
CDK8,223,253,281,165,312,376,242,263
CDK9,570,974,1123,574,687,1229,1014,1170
CDKN1A,2012,3350,3637,2011,2558,4117,3385,4184
CDKN1B,584,837,863,292,596,1440,850,745
CDKN2A,1588,2556,2937,1362,1841,3162,2350,2869
CDKN2B,48,78,76,30,73,97,98,62
CDKN2C,194,281,267,138,227,369,258,267
CDKN2D,239,460,547,249,291,636,494,411
CDKN3,74,138,115,56,104,191,129,144
CDR2,149,199,217,126,170,288,204,206
CD52,24,24,48,15,10,48,34,27
CDX2,0,2,5,4,1,3,5,10
CEBPA,3208,8219,9530,3359,4085,10921,8005,7112
CEBPB,223,375,433,217,265,481,390,426
CEBPD,243,499,510,196,284,653,493,434
CEBPE,6,4,5,2,7,5,1,2
CEBPG,2648,3268,3760,1865,2849,4809,3536,3400
CENPA,641,1005,1236,498,715,1425,1027,956
CENPB,1569,3222,3675,1777,1861,4182,3132,3540
CENPC,5,6,13,7,12,19,7,8
CENPE,84,137,137,83,110,175,133,130
CENPF,480,529,624,392,521,760,531,681
CETN2,408,465,540,330,488,616,476,503
CETN3,63,69,99,41,64,141,92,94
CFL1,11200,18865,21463,11318,12474,24206,20481,24022
CFL2,140,180,193,67,130,253,187,155
CTSC,1472,1783,1992,1051,1646,2640,1807,1971
RCBTB2,170,214,255,145,208,279,218,226
RCC1,2680,4014,4939,2369,3125,5179,4112,4352
CHD1,397,407,399,198,371,675,444,440
CHD2,605,923,1176,518,722,1251,988,1145
CHD3,993,1792,2246,1224,1257,2150,1875,2050
CHD4,1119,1595,1955,1110,1206,2143,1883,2036
CHEK1,840,851,1051,625,923,1306,975,993
FOXN3,5209,6908,7789,3442,5716,9408,7540,6740
CHGB,4,9,10,4,4,6,6,3
CHI3L1,538,823,1016,508,639,977,854,878
CHKA,594,979,1081,577,764,1157,933,1058
CHKB,53,97,133,66,77,125,96,140
CHM,384,495,532,237,454,658,480,448
CHML,3822,3168,3461,1892,4079,4455,3332,3816
CHN1,1,3,9,4,13,2,5,5
LYST,3322,3608,4102,2017,3754,5004,3536,4051
CHRM4,0,3,4,0,0,1,6,1
CHRM5,3,1,7,3,3,4,6,6
CHRNA2,2,2,3,0,1,2,1,5
CHRNA3,10,13,16,10,8,16,9,17
CHRNA5,21,23,23,16,16,33,20,23
CHRNB1,143,225,262,122,177,307,228,223
CHRND,1,3,3,2,0,6,3,3
CHRNE,110,170,245,106,122,205,201,193
CHRNG,5,5,3,4,1,6,6,11
CHUK,508,514,576,330,586,790,519,599
CKB,8,8,19,7,8,10,12,15
CIRBP,3337,5082,5677,2999,3835,6650,5260,5914
CISH,289,1047,1240,322,351,1282,1036,672
TBCB,359,524,621,325,416,672,481,621
CKM,4,4,12,2,3,6,2,4
ERCC8,102,121,146,55,116,131,96,107
CKS1B,55,41,68,28,38,97,66,78
CKS2,245,412,421,190,312,556,322,399
AP2M1,1157,2111,2428,1284,1328,2394,2061,2326
AP1S1,1094,1839,2115,1089,1173,2341,1779,1932
AP2S1,1315,2236,2644,1468,1617,2655,2350,2739
AP3S1,931,1059,1195,618,968,1515,1091,1183
CLCN2,11,19,21,3,6,13,19,15
CLCN3,433,498,627,307,558,798,585,496
CLCN4,271,442,465,217,359,591,459,470
CLCN5,293,429,482,221,364,526,388,382
CLCN6,255,423,487,205,284,494,413,512
CLCN7,774,1633,2062,931,907,1948,1565,1872
CLU,134,196,252,132,146,266,211,233
CLIC2,13,13,14,5,17,19,11,16
CLK1,1433,1595,1957,833,1645,2240,1756,2007
CLK2P1,189,284,385,171,270,339,302,352
CLK3,70,174,190,108,97,222,148,185
TPP1,8952,10759,12755,6795,9757,14192,12635,12276
CLN3,44,85,93,67,59,127,88,105
CLN5,342,404,451,262,409,557,414,385
CLNS1A,3237,3865,4903,2671,3799,5143,4132,4590
CLPTM1,425,778,932,487,546,942,831,941
CLTA,1685,2567,2958,1815,2126,3023,2618,2698
CLTB,1416,2440,2939,1424,1657,3167,2386,2670
CLTC,4617,4358,5468,3537,5386,6845,5244,5667
CCR1,494,883,987,333,521,1275,930,723
CCR3,5,6,11,5,6,5,10,6
CCR5,53,87,124,35,59,112,97,66
CCR6,53,77,101,55,61,103,80,72
ACKR2,13,28,33,17,36,48,43,31
LTB4R,284,399,522,237,376,569,450,515
ABCC2,23,10,5,10,10,25,16,14
PLK3,11,26,25,17,17,33,28,49
CNN2,4822,8117,9408,5063,5602,10299,8707,9323
CNP,2534,4073,4771,2460,2914,5038,4202,4326
CNR2,1,4,10,6,1,13,12,2
