,mr349-MV411-YLK-r3_tcount,mr343-MV411-DMSO-r1_tcount,mr345-MV411-DMSO-r3_tcount,mr347-MV411-YLK-r1_tcount,mr348-MV411-YLK-r2_tcount,mr344-MV411-DMSO-r2_tcount,mr346-MV411-DMSO-r4_tcount,mr350-MV411-YLK-r4_tcount
STX1B,31,83,82,49,44,96,89,67
GLMP,127,213,245,127,165,295,241,258
FDX2,65,103,124,75,80,122,104,126
WDR89,305,441,492,237,333,640,482,422
L3HYPDH,16,31,21,14,21,28,17,18
TP53RK,912,1402,1578,649,1080,2022,1417,1295
SGF29,22,36,37,29,45,58,49,45
VPS26B,1988,3170,3710,1875,2476,3938,3161,3373
NACC1,2644,5434,6097,2603,3082,7178,5964,5840
CFAP36,0,7,11,4,10,15,8,6
MED8,378,557,647,366,489,660,625,613
KTI12,177,316,370,190,231,456,325,335
RPUSD1,477,989,1124,552,609,1192,941,1056
PLCD3,27,43,66,29,29,45,36,34
MTFR2,57,69,78,36,58,101,74,66
CDCA5,1378,2288,2539,1267,1589,2769,2211,2472
AHNAK2,48,106,112,61,83,105,112,99
RPLP0P2,31,47,40,15,24,93,73,59
SAAL1,19,15,17,5,14,28,18,13
IZUMO4,3,5,4,4,2,8,5,6
SCAMP4,1045,1832,2130,1010,1208,2353,1829,2029
ADAT3,37,65,61,31,45,68,87,80
CHST14,243,401,440,230,291,501,400,435
CASC4,2039,2172,2259,1369,2391,3007,2053,2127
MISP3,2,2,8,4,4,8,12,5
SLC46A1,49,90,158,59,88,140,115,110
C12orf57,35,51,68,39,49,82,60,77
LARP4,1897,2038,2333,1239,2153,3051,2025,1995
GLCCI1,55,93,94,51,105,141,113,96
TMEM106A,91,179,202,95,125,205,149,167
SFT2D1,1533,1967,2246,1277,1936,2499,1887,2260
TEX261,2296,3756,4453,1913,2565,4716,3981,3973
SMIM12,790,1221,1486,719,934,1600,1329,1292
AZIN2,6,9,4,2,7,10,8,9
TMEM54,1,9,4,4,3,5,4,6
HELQ,462,589,736,342,557,900,563,563
CMTM1,3,3,7,3,1,12,6,9
ADPRHL1,10,8,6,2,5,10,12,12
MFSD3,40,58,80,32,56,59,60,69
SDSL,11,16,15,11,8,19,16,14
TUBA3FP,5,10,17,4,8,8,10,16
ZBED6CL,11,14,10,11,5,13,12,10
PIK3IP1,30,62,96,30,49,82,74,86
HENMT1,199,281,379,205,253,391,342,360
SLC35A4,954,1447,1739,918,1093,1898,1528,1800
ZNF257,0,7,5,2,3,5,2,0
TOE1,126,153,203,151,158,225,192,184
MCM3AP-AS1,524,804,940,456,632,977,894,952
BUD23,298,416,483,274,346,527,439,499
TRIM9,161,176,266,109,205,241,226,213
SIGLEC11,8,12,27,11,13,22,20,16
SLC2A13,140,167,188,65,198,259,155,150
LACTB,138,198,205,119,197,234,175,188
EFHC1,13,14,33,17,12,16,30,29
NLRP3,173,309,362,176,268,409,327,420
SNORD15B,8,7,6,2,5,8,10,6
TIRAP,23,26,33,17,23,26,17,29
MIR155HG,331,513,620,215,485,567,477,448
ERMAP,365,506,646,333,439,662,507,498
CYGB,11,17,18,4,14,21,25,20
CARD16,51,72,90,48,54,75,65,89
BTBD9,227,454,475,176,259,532,387,370
LMTK3,18,33,38,32,22,30,30,50
MBD6,543,838,994,537,605,950,941,989
GPRIN1,53,126,162,57,84,151,131,129
CSMD3,126,108,123,64,107,164,128,129
SLC25A25,250,411,392,204,274,471,391,418
STK11IP,62,97,112,66,79,102,82,134
TUBGCP5,28,29,30,17,38,40,34,36
FMNL2,10,9,7,5,9,14,10,13
ELFN2,1,5,1,0,1,0,5,3
PSMG3-AS1,141,276,278,129,154,291,243,288
ESCO1,150,214,222,105,192,317,179,196
TMEM200A,0,2,2,0,3,2,1,6
MYSM1,863,1140,1228,454,972,1215,1037,1141
RNF157,25,27,37,14,24,49,39,31
GNRHR2,159,239,279,131,170,322,229,233
KLHL29,4,6,8,9,9,10,10,13
CROCCP3,20,36,23,14,18,18,33,24
RHPN1,22,45,55,16,23,50,49,61
PNMA5,2,4,2,2,1,6,4,3
PWWP2A,504,586,683,315,477,769,673,671
SMYD4,162,218,232,159,182,284,268,239
SLAMF6,11,10,15,9,3,8,10,5
OSBPL1A,297,337,354,201,376,486,311,342
OSBPL5,467,917,1061,466,510,1112,858,1017
OSBPL7,64,150,179,71,61,153,133,157
OSBPL8,2843,2601,2725,1432,3151,4202,2492,2585
OSBPL9,206,268,298,198,228,333,252,309
OSBPL11,181,212,236,112,189,269,219,183
C1QTNF3,18,11,19,10,26,15,23,21
C1QTNF6,16,43,49,28,27,34,24,43
FBXO32,56,89,110,47,55,121,98,76
TMEM123,11914,12487,13903,7559,14064,18123,12429,12600
SMIM19,530,558,734,360,722,817,612,694
GPRASP2,7,5,5,5,7,14,7,13
MRFAP1L1,203,324,387,205,250,432,329,308
TSGA13,49,141,141,38,88,160,102,108
PTPMT1,1164,1642,2055,1029,1526,2221,1648,1679
FLYWCH2,84,154,169,86,106,178,148,161
WDR31,178,218,239,103,161,306,240,216
ZNF618,2030,3312,3905,1519,2395,3975,3371,2911
CGAS,30,52,70,20,34,82,56,45
NT5C3B,163,254,362,188,221,395,261,327
CCDC124,454,819,968,516,565,1057,774,1038
HAUS1,100,142,172,74,89,219,119,172
MARCHF3,30,56,83,38,50,74,64,64
ZNF554,36,51,70,25,36,57,53,62
ATG4A,153,163,230,104,153,268,173,166
KCTD12,245,301,231,150,228,400,263,229
OMA1,24,34,36,21,25,45,22,33
SLC25A26,175,236,276,133,192,300,211,249
PCMTD1,370,411,519,240,477,623,417,526
GPR146,12,9,14,5,6,15,14,20
LRRC42,48,70,69,32,50,77,57,76
GBP4,358,428,502,262,378,682,465,461
GBP5,6,2,11,6,2,6,4,8
LRRC56,9,10,15,5,5,9,6,8
MALSU1,22,13,16,4,16,24,11,14
UHRF2,401,548,645,280,493,783,520,590
ZNF689,478,827,1070,349,489,1100,890,742
FCHO2,39,50,30,11,37,55,32,29
ZNF501,1,2,3,1,2,4,5,5
TENT5B,8,18,21,4,7,36,26,20
TNFRSF13C,5,10,8,1,2,4,3,10
ARHGAP33,47,109,135,52,86,104,113,134
EVI5L,164,341,391,152,180,412,302,383
TRMT61A,544,922,1105,576,655,1004,907,1107
