,mr343-MV411-DMSO-r1_tcount,mr344-MV411-DMSO-r2_tcount,mr345-MV411-DMSO-r3_tcount,mr346-MV411-DMSO-r4_tcount,mr347-MV411-YLK-r1_tcount,mr348-MV411-YLK-r2_tcount,mr349-MV411-YLK-r3_tcount,mr350-MV411-YLK-r4_tcount
NAT1,0.17543859649122806,0.104,0.0625,0.16853932584269662,0.09090909090909091,0.0707070707070707,0.10606060606060606,0.08411214953271028
AAMP,0.02107728337236534,0.016010673782521682,0.014044943820224719,0.020393811533052038,0.017015706806282723,0.017361111111111112,0.02130681818181818,0.016304347826086956
AARS1,0.02377179080824089,0.028538812785388126,0.03587443946188341,0.03183023872679045,0.037037037037037035,0.020072992700729927,0.03389830508474576,0.04659498207885305
ABAT,0.025974025974025976,0.02403846153846154,0.03664921465968586,0.024691358024691357,0.0,0.020833333333333332,0.02586206896551724,0.006622516556291391
ABCA1,0.47368421052631576,0.21621621621621623,0.19444444444444445,0.23809523809523808,0.3,0.23076923076923078,0.20833333333333334,0.1935483870967742
ABCA2,0.008174386920980926,0.0023752969121140144,0.017977528089887642,0.0028735632183908046,0.0,0.014218009478672985,0.01092896174863388,0.0
ABCA3,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.25,0.0
ABCB7,0.02702702702702703,0.0,0.0,0.046511627906976744,0.025,0.02,0.0,0.03333333333333333
ABCF1,0.0,0.4,0.5,0.0,0.0,0.2,0.0,0.0
ABL1,0.06494413407821228,0.062265163714439076,0.06655092592592593,0.06176652254478073,0.08727272727272728,0.08195020746887967,0.06426155580608793,0.08101571946795647
ABL2,0.10329985652797705,0.08560311284046693,0.09631728045325778,0.10355029585798817,0.07590759075907591,0.059670781893004114,0.10967741935483871,0.10815047021943573
ABO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABR,0.1,0.08421052631578947,0.05333333333333334,0.14754098360655737,0.07142857142857142,0.12162162162162163,0.13157894736842105,0.23943661971830985
ACAA1,0.013254786450662739,0.00869205298013245,0.013588110403397028,0.012738853503184714,0.0069084628670120895,0.01683748169838946,0.007407407407407408,0.014727540500736377
ACACA,0.2,0.46153846153846156,0.42857142857142855,0.0,0.0,0.6,0.5,0.0
ACACB,0.08771929824561403,0.04878048780487805,0.08196721311475409,0.08,0.024390243902439025,0.05405405405405406,0.07692307692307693,0.025974025974025976
ACADM,0.021922428330522766,0.008403361344537815,0.013671875,0.0076481835564053535,0.0,0.006125574272588055,0.00510204081632653,0.013461538461538462
ACADS,0.031578947368421054,0.02304147465437788,0.00510204081632653,0.012345679012345678,0.0,0.018867924528301886,0.0,0.01990049751243781
ACADSB,0.01345668629100084,0.011448196908986834,0.0110803324099723,0.014660493827160493,0.013623978201634877,0.002555366269165247,0.009633911368015413,0.012468827930174564
ACADVL,0.009188361408882083,0.005673758865248227,0.005076142131979695,0.010355029585798817,0.009852216748768473,0.008298755186721992,0.005012531328320802,0.012528473804100227
ACAT1,0.006185567010309278,0.0028129395218002813,0.01023391812865497,0.014678899082568808,0.0027397260273972603,0.004484304932735426,0.0024271844660194173,0.004838709677419355
ACAT2,0.003035559410234172,0.002955082742316785,0.0038260869565217392,0.00629458665547629,0.00047709923664122136,0.002588159171789065,0.0015048908954100827,0.006460387623257395
ASIC1,0.008064516129032258,0.003424657534246575,0.0035587188612099642,0.011450381679389313,0.006756756756756757,0.00641025641025641,0.0,0.006968641114982578
ACLY,0.020275539381336107,0.01547427652733119,0.016286644951140065,0.01684981684981685,0.012392039053698836,0.015151515151515152,0.014147688060731538,0.014341892204487625
ACO1,0.005698005698005698,0.010964912280701754,0.0,0.00546448087431694,0.004694835680751174,0.00911854103343465,0.00851063829787234,0.004901960784313725
ACO2,0.00912106135986733,0.004408060453400504,0.005351170568561873,0.017543859649122806,0.0025673940949935813,0.00847457627118644,0.012106537530266344,0.005763688760806916
ACOX1,0.03518728717366629,0.0315884476534296,0.03676470588235294,0.03728070175438596,0.013307984790874524,0.020460358056265986,0.045925925925925926,0.03163265306122449
