,mr343-MV411-DMSO-r1_tcount,mr344-MV411-DMSO-r2_tcount,mr345-MV411-DMSO-r3_tcount,mr346-MV411-DMSO-r4_tcount,mr347-MV411-YLK-r1_tcount,mr348-MV411-YLK-r2_tcount,mr349-MV411-YLK-r3_tcount,mr350-MV411-YLK-r4_tcount
ACP1,0.050255932992089344,0.0368809272918862,0.0380650277557494,0.029223744292237442,0.02627939142461964,0.044921875,0.04254112308564946,0.048434237995824636
ACP2,0.03636363636363636,0.02926829268292683,0.06132075471698113,0.05389221556886228,0.04132231404958678,0.026143790849673203,0.05084745762711865,0.05263157894736842
ACPP,0.015105740181268883,0.023989898989898988,0.019157088122605363,0.01078582434514638,0.005063291139240506,0.015,0.0055658627087198514,0.013975155279503106
ACTA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTB,0.013405152878011365,0.014337512617542368,0.012594270167649543,0.013647604565073806,0.010913718005187686,0.011852297354749733,0.014008281200774112,0.014414634848441233
ACTG1,0.017237327282304794,0.017242815493544356,0.016067182539137127,0.016668217198499084,0.01777055433921208,0.018287342373239066,0.019562185744808794,0.020040670773039403
ACTN4,0.011984606926882902,0.009369194733866408,0.010307273434461299,0.012951865455248405,0.010649261422191686,0.01255619283831964,0.012987012987012988,0.014166666666666666
ACTL6A,0.019639934533551555,0.012875536480686695,0.009971509971509971,0.01675041876046901,0.005221932114882507,0.012987012987012988,0.017543859649122806,0.02483660130718954
ACTN1,0.0068520757758968156,0.006349206349206349,0.012237093690248566,0.009663564781675018,0.01161995898838004,0.0047568710359408035,0.007403189066059226,0.011657559198542805
ACVR1,0.08955223880597014,0.022727272727272728,0.05357142857142857,0.07017543859649122,0.09090909090909091,0.057692307692307696,0.04081632653061224,0.0847457627118644
ACVR1B,0.14107883817427386,0.12705530642750373,0.1449814126394052,0.1254295532646048,0.07462686567164178,0.1676470588235294,0.09333333333333334,0.1503267973856209
ACVR2A,0.022222222222222223,0.12727272727272726,0.044444444444444446,0.1,0.0,0.0,0.07692307692307693,0.0784313725490196
ACVR2B,0.22996515679442509,0.17679558011049723,0.15210355987055016,0.21568627450980393,0.1509433962264151,0.17222222222222222,0.15384615384615385,0.17120622568093385
ACVRL1,0.014492753623188406,0.014705882352941176,0.0,0.01694915254237288,0.016,0.008264462809917356,0.021052631578947368,0.0044444444444444444
ACY1,0.01098901098901099,0.0,0.0,0.015625,0.007462686567164179,0.005649717514124294,0.014492753623188406,0.00847457627118644
ACYP1,0.0106951871657754,0.010548523206751054,0.017582417582417582,0.051771117166212535,0.03587443946188341,0.020289855072463767,0.03731343283582089,0.026378896882494004
ACYP2,0.03508771929824561,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.0
ADA,0.004137931034482759,0.005504587155963303,0.00680015111446921,0.0063882063882063885,0.0023942537909018356,0.0019280205655526992,0.0024193548387096775,0.0025906735751295338
ADAM8,0.11764705882352941,0.06896551724137931,0.0,0.09302325581395349,0.07142857142857142,0.09090909090909091,0.18181818181818182,0.16666666666666666
ADAM10,0.018976897689768978,0.02060310919647874,0.018272841051314142,0.02053014553014553,0.012808349146110056,0.018508997429305913,0.021424260712130355,0.021128575109507858
ADAR,0.023940472339048852,0.02343850611719253,0.025202027119572663,0.020326409495548963,0.01906725070858026,0.02594769916886276,0.0297029702970297,0.031095087877422264
ADARB1,0.037940379403794036,0.021248339973439574,0.02158273381294964,0.038303693570451436,0.025252525252525252,0.024253731343283583,0.029213483146067417,0.03427172582619339
ADCY1,0.029411764705882353,0.03076923076923077,0.030303030303030304,0.0,0.0,0.047619047619047616,0.0,0.0
ADCY3,0.010801080108010801,0.01188707280832095,0.012048192771084338,0.010869565217391304,0.017167381974248927,0.008762322015334063,0.008968609865470852,0.02329450915141431
ADCY5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY6,0.15789473684210525,0.0,0.05,0.1111111111111111,0.09090909090909091,0.0,0.0,0.05555555555555555
ADCY7,0.03808128890516294,0.027135368485969782,0.027830487033523088,0.02724897349757372,0.019442644199611146,0.01987577639751553,0.02390852390852391,0.03456048084147258
ADCY9,0.09978824775013234,0.10362482080688101,0.09774603883061816,0.11205673758865248,0.09307359307359307,0.09659540775930324,0.10807174887892376,0.09724047306176084
ADD1,0.011981566820276499,0.012255840674071237,0.013687600644122383,0.013471731448763251,0.014623655913978495,0.008996041741633681,0.012063765618267988,0.011073253833049404
ADD2,0.01858736059479554,0.012509573653306101,0.012921940928270042,0.013609467455621301,0.013555144793592114,0.016175860638739114,0.01875901875901876,0.021702838063439065
ADD3,0.014059753954305799,0.005256241787122208,0.011111111111111112,0.005847953216374269,0.008982035928143712,0.007656967840735069,0.007797270955165692,0.015122873345935728
PLIN2,0.04180064308681672,0.04396984924623116,0.0450070323488045,0.05073649754500818,0.05263157894736842,0.03663003663003663,0.04215456674473068,0.03986135181975736
ADH5,0.010570824524312896,0.021791767554479417,0.012867647058823529,0.009054325955734407,0.007079646017699115,0.014134275618374558,0.0055248618784530384,0.012036108324974924
ADK,0.012698412698412698,0.008008008008008008,0.009887005649717515,0.011128775834658187,0.034666666666666665,0.010471204188481676,0.012861736334405145,0.004207573632538569
ADORA1,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.125
ADORA2A,0.03571428571428571,0.05128205128205128,0.05,0.06976744186046512,0.11320754716981132,0.1836734693877551,0.11764705882352941,0.1891891891891892
ADORA2B,0.06626506024096386,0.12380952380952381,0.09615384615384616,0.08666666666666667,0.08,0.05917159763313609,0.10948905109489052,0.14358974358974358
ADORA3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
ADPRH,0.014218009478672985,0.03187250996015936,0.02702702702702703,0.02512562814070352,0.022388059701492536,0.03684210526315789,0.05,0.034653465346534656
PARP1,0.01656222023276634,0.011971567527123082,0.014154552410099464,0.01371571072319202,0.010303030303030303,0.00995285489785228,0.009230769230769232,0.011188271604938271
PARP4,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRA2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRB1,0.2727272727272727,0.1111111111111111,0.25,0.5,0.5,0.2,0.0,0.09090909090909091
ADRB2,0.24390243902439024,0.3592233009708738,0.2926829268292683,0.29213483146067415,0.0,0.3333333333333333,0.35,0.1388888888888889
GRK2,0.019295802665605728,0.016593460224499756,0.022003577817531306,0.021762095922248044,0.01797577178585385,0.020156774916013438,0.016413623307345096,0.019134132199458833
GRK3,0.059541984732824425,0.06712962962962964,0.028314028314028315,0.049441786283891544,0.0480225988700565,0.052901023890784986,0.05458515283842795,0.060842433697347896
ADSL,0.015873015873015872,0.016194331983805668,0.040697674418604654,0.03829787234042553,0.009523809523809525,0.031007751937984496,0.0,0.015151515151515152
ADSS2,0.025227043390514632,0.016358463726884778,0.015329125338142471,0.009891196834817012,0.005763688760806916,0.016129032258064516,0.019079685746352413,0.02390057361376673
AP2A1,0.00463821892393321,0.005035971223021582,0.009097801364670205,0.007705479452054794,0.007398273736128237,0.010741138560687433,0.011097410604192354,0.0044411547002220575
AP2A2,0.019801980198019802,0.00684931506849315,0.007575757575757576,0.0196078431372549,0.013157894736842105,0.015873015873015872,0.015384615384615385,0.015384615384615385
AP1B1,0.015343562374916611,0.009076348104644954,0.0106951871657754,0.011699507389162561,0.018518518518518517,0.016736401673640166,0.01747311827956989,0.016778523489932886
AP2B1,0.010231660231660231,0.009477224090492203,0.010087862024080702,0.009544390419593013,0.007248660573589662,0.011124260355029586,0.010344827586206896,0.012190812720848057
AP1G1,0.055511707445409106,0.05057424944589966,0.044384057971014496,0.05276445342085332,0.042094958394517865,0.04589585172109444,0.05153153153153153,0.0594059405940594
TLE5,0.006432748538011696,0.004875886524822695,0.005629477993858751,0.010596765197992191,0.004024144869215292,0.006013745704467354,0.005213764337851929,0.0052056220718375845
AFG3L1P,0.06060606060606061,0.06557377049180328,0.07720588235294118,0.056910569105691054,0.08856088560885608,0.0705596107055961,0.0498220640569395,0.09892086330935251
AGA,0.010309278350515464,0.015151515151515152,0.012534818941504178,0.012280701754385965,0.014970059880239521,0.0071174377224199285,0.020689655172413793,0.018803418803418803
AGL,0.014760147601476014,0.014598540145985401,0.0038022813688212928,0.007518796992481203,0.0,0.009174311926605505,0.007246376811594203,0.007067137809187279
JAG1,0.1,0.35714285714285715,0.23076923076923078,0.35714285714285715,0.0,1.0,0.14285714285714285,0.125
AGT,0.006134969325153374,0.0049504950495049506,0.02185792349726776,0.006666666666666667,0.0,0.007407407407407408,0.0,0.011494252873563218
AHCY,0.01203416149068323,0.007901534721166996,0.01021209740769835,0.010267338240991864,0.010537992235163616,0.01075032909170689,0.013751375137513752,0.008876264867743653
AHR,0.13944723618090452,0.1477170993733214,0.13827433628318583,0.11602209944751381,0.11530815109343936,0.12607449856733524,0.1317671092951992,0.14613778705636743
CRYBG1,0.020460358056265986,0.021526418786692758,0.022321428571428572,0.04092071611253197,0.008695652173913044,0.02127659574468085,0.03618421052631579,0.03529411764705882
AK1,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216
AK2,0.014241643071461776,0.012522476239404058,0.013278785147176092,0.014062562422595981,0.010246174318030606,0.013602294808920144,0.014670320812510075,0.01644825333384574
AK4,0.017241379310344827,0.014705882352941176,0.028985507246376812,0.021739130434782608,0.0,0.0,0.0,0.03125
AKT1,0.011761411369364323,0.007889546351084813,0.011124546553808947,0.013189132155104194,0.009298000929800094,0.011865793780687398,0.011611030478955007,0.01691065118626956
AKT2,0.011612206319200648,0.009548611111111112,0.010952380952380953,0.011880614314691394,0.013019529293940912,0.01399548532731377,0.008384572386808273,0.014801806322127445
ALAD,0.008787346221441126,0.008775595486836606,0.01237396883593034,0.010719754977029096,0.01348747591522158,0.013810420590081607,0.011286681715575621,0.013151239251390997
ALAS1,0.07272727272727272,0.15625,0.13636363636363635,0.20754716981132076,0.125,0.16981132075471697,0.25,0.15384615384615385
ALCAM,0.01053740779768177,0.011838440111420613,0.012832263978001834,0.012332990750256937,0.0076103500761035,0.012237762237762238,0.017034068136272545,0.01171875
ABCD1,0.017524644030668127,0.01283147989734816,0.011730205278592375,0.012048192771084338,0.01090909090909091,0.022413793103448276,0.022587268993839837,0.019083969465648856
ALDH2,0.0,0.0,0.08333333333333333,0.0,0.2,0.0,0.0,0.0
ALDH1B1,0.061394380853277836,0.0603921568627451,0.058797718297498906,0.062146892655367235,0.054447852760736194,0.05194063926940639,0.05337423312883435,0.057492077863286556
ALDH1A3,0.05339805825242718,0.043478260869565216,0.05581395348837209,0.07692307692307693,0.05714285714285714,0.016574585635359115,0.034722222222222224,0.029940119760479042
ALDH3B1,0.0152046783625731,0.015625,0.01701701701701702,0.011350737797956867,0.017892644135188866,0.012779552715654952,0.018036072144288578,0.006224066390041493
ALDH9A1,0.034511784511784514,0.03875476493011436,0.03517241379310345,0.041315990818668706,0.027544910179640718,0.030303030303030304,0.0400390625,0.034306569343065696
ALDH3A2,0.03090507726269316,0.019448946515397084,0.012389380530973451,0.035269709543568464,0.007142857142857143,0.023316062176165803,0.032448377581120944,0.018518518518518517
ABCD2,0.05517241379310345,0.046153846153846156,0.022900763358778626,0.04838709677419355,0.015625,0.02027027027027027,0.056338028169014086,0.05384615384615385
ALDOA,0.008675613392978175,0.010965435041716329,0.010416666666666666,0.011027910142954392,0.01041002761844062,0.011080870917573872,0.00851528384279476,0.013926630434782608
ALDOB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDOC,0.0,0.0028011204481792717,0.0026109660574412533,0.0,0.012987012987012988,0.004366812227074236,0.004901960784313725,0.002352941176470588
AKR1B1,0.0026560424966799467,0.0041025641025641026,0.005186721991701245,0.002577319587628866,0.006072874493927126,0.0034904013961605585,0.004338394793926247,0.002336448598130841
ALOX12,0.043478260869565216,0.057971014492753624,0.024875621890547265,0.03535353535353535,0.04310344827586207,0.06097560975609756,0.05454545454545454,0.05687203791469194
ALOX5AP,0.0103359173126615,0.013618677042801557,0.012345679012345678,0.012987012987012988,0.007874015748031496,0.0,0.0,0.006355932203389831
ALX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMD1,0.119533527696793,0.12958920420718398,0.10290889132821075,0.12210941906373378,0.061371841155234655,0.0905069751616196,0.1254987305041712,0.11562407352505188
AMFR,0.02564102564102564,0.026900584795321637,0.030065359477124184,0.044096728307254626,0.03496503496503497,0.014336917562724014,0.023758099352051837,0.02653631284916201
AMPD2,0.035864978902953586,0.03765690376569038,0.05333333333333334,0.04714640198511166,0.06614785992217899,0.06713780918727916,0.06827309236947791,0.04963235294117647
AMPD3,0.03125,0.041666666666666664,0.045112781954887216,0.06666666666666667,0.031746031746031744,0.047058823529411764,0.014084507042253521,0.021739130434782608
BIN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMT,0.025974025974025976,0.046153846153846156,0.010638297872340425,0.06896551724137931,0.0,0.0,0.02857142857142857,0.04597701149425287
ANG,0.25,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
ANGPT1,0.08333333333333333,0.05,0.0625,0.0,0.0,0.0,0.0,0.0
ANGPT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANK1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
ANK2,0.05555555555555555,0.0,0.06666666666666667,0.0,0.16666666666666666,0.1,0.0,0.0
SLC25A4,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0
SLC25A5,0.018621456364647026,0.018801652892561985,0.010213776722090262,0.019394879751745538,0.012225969645868466,0.015516672169032684,0.013571428571428571,0.017100371747211896
SLC25A6,0.018334254652662613,0.020824388149420354,0.01646601941747573,0.01721726970809299,0.019079522283716864,0.016064790228359,0.0193176507244119,0.021557662695518277
ANXA1,0.022988505747126436,0.018134715025906734,0.017857142857142856,0.0311284046692607,0.04142011834319527,0.0398406374501992,0.052,0.05405405405405406
ANXA2,0.01607142857142857,0.01797175866495507,0.020910209102091022,0.015625,0.015625,0.014830508474576272,0.015730337078651686,0.014044943820224719
ANXA2P1,0.1,0.0,0.0,0.0,0.5,0.0,0.5,0.0
ANXA4,0.002785515320334262,0.003703703703703704,0.005420054200542005,0.007425742574257425,0.0,0.005698005698005698,0.0026595744680851063,0.0
ANXA5,0.008025682182985553,0.011278195488721804,0.012121212121212121,0.009708737864077669,0.0113314447592068,0.0088339222614841,0.012195121951219513,0.013736263736263736
ANXA6,0.0065252854812398045,0.0084985835694051,0.005649717514124294,0.003395585738539898,0.012539184952978056,0.006711409395973154,0.005763688760806916,0.00778816199376947
ANXA7,0.013966480446927373,0.018711018711018712,0.012048192771084338,0.02416918429003021,0.003937007874015748,0.020356234096692113,0.008287292817679558,0.015789473684210527
ANXA11,0.009022556390977444,0.011329755515802028,0.014545454545454545,0.01281085154483798,0.008658008658008658,0.012948207171314742,0.004329004329004329,0.015503875968992248
AOAH,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
AOX1,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
APAF1,0.04072043852779953,0.024878312601406164,0.022957461174881837,0.03412462908011869,0.023114355231143552,0.019759450171821305,0.035583941605839414,0.03387438249823571
NUDT2,0.08163265306122448,0.0390625,0.10185185185185185,0.04672897196261682,0.015625,0.03773584905660377,0.0125,0.034482758620689655
APBA2,0.0,0.09090909090909091,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
APBB1,0.012971698113207548,0.01466544454628781,0.011133603238866396,0.018518518518518517,0.01098901098901099,0.007434944237918215,0.0,0.00865265760197775
APBB2,0.06451612903225806,0.22857142857142856,0.05555555555555555,0.12121212121212122,0.0,0.05263157894736842,0.2,0.14285714285714285
APC,0.1262135922330097,0.09693877551020408,0.07017543859649122,0.0990990990990991,0.05263157894736842,0.09523809523809523,0.09278350515463918,0.1267605633802817
APEH,0.010899182561307902,0.004878048780487805,0.02631578947368421,0.010899182561307902,0.004201680672268907,0.01904761904761905,0.012,0.01909307875894988
APEX1,0.020195645313979174,0.02122448979591837,0.01847826086956522,0.01892744479495268,0.018700787401574805,0.013807531380753139,0.02258823529411765,0.027347053848322526
BIRC2,0.09482758620689655,0.07514450867052024,0.02127659574468085,0.1111111111111111,0.1,0.014925373134328358,0.021897810218978103,0.006493506493506494
BIRC3,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.5
XIAP,0.06879073135409124,0.06271951831409935,0.062375580623755804,0.07,0.058902275769745646,0.05575221238938053,0.06699029126213592,0.07802433786685756
BIRC5,0.03443328550932568,0.03207373271889401,0.029053621021149327,0.0323017845041789,0.025196850393700787,0.026564885496183206,0.027586206896551724,0.03241455347298787
APLP1,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0
APLP2,0.006039915966386555,0.008369015181004281,0.00679097605893186,0.00952970297029703,0.006098843322818086,0.005654034229828851,0.006908768821966342,0.005661712668082095
APOA1,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
APOC1,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0
APOC2,0.0060954961056552655,0.004544163589889236,0.006993006993006993,0.005029864822382898,0.007028112449799197,0.007051564565888057,0.00716674629718108,0.012359241966492723
APP,0.010332950631458095,0.00847457627118644,0.007534983853606028,0.005827505827505828,0.0,0.008760951188986232,0.01098901098901099,0.008705114254624592
APRT,0.007692307692307693,0.005751533742331288,0.009445100354191263,0.007729468599033816,0.005546751188589541,0.0070052539404553416,0.004867872044506259,0.007630522088353414
FAS,0.08974358974358974,0.058823529411764705,0.020833333333333332,0.05405405405405406,0.0,0.047058823529411764,0.1111111111111111,0.03333333333333333
AQP1,0.26666666666666666,0.0,0.1111111111111111,0.16666666666666666,0.0,0.15384615384615385,0.07692307692307693,0.14285714285714285
AQP3,0.022857142857142857,0.02575107296137339,0.017094017094017096,0.04216867469879518,0.0,0.0,0.031914893617021274,0.015873015873015872
AR,0.25,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0
ARAF,0.01950354609929078,0.025796661608497723,0.02127659574468085,0.028481012658227847,0.027777777777777776,0.03640776699029126,0.02572347266881029,0.027149321266968326
ARCN1,0.05080213903743316,0.05779087647360328,0.04426725323068463,0.05749770009199632,0.04176008968609866,0.041054038571701354,0.04851635260991986,0.04936942479237158
TRIM23,0.22,0.17777777777777778,0.19642857142857142,0.21052631578947367,0.16129032258064516,0.21212121212121213,0.24489795918367346,0.13953488372093023
ARF1,0.030570041359467722,0.03320366768546819,0.02872283234774595,0.03220130212915714,0.032426778242677826,0.03183975917563969,0.03635116598079561,0.03786014763076435
ARF3,0.00864262735871705,0.008396716620227427,0.008932789349366544,0.008406170893633281,0.0071763181501046545,0.006819995646811289,0.006694347936615541,0.008879334517244602
ARF4,0.02823845809054236,0.033750363689263894,0.023663810689514484,0.03042934556065027,0.025716385011021307,0.024173027989821884,0.03256043413912185,0.031837360951285004
ARL4D,0.16666666666666666,0.36363636363636365,0.2,0.0,1.0,0.375,0.0,0.42857142857142855
ARF5,0.008743169398907104,0.005922165820642978,0.004672897196261682,0.007399577167019027,0.014625228519195612,0.010452961672473868,0.008097165991902834,0.01014760147601476
ARF6,0.09623095429029671,0.10119133055834649,0.09345310070823977,0.09917355371900827,0.06094447989789407,0.06826801517067003,0.08812868146805619,0.09530305983239135
ARG2,0.0,0.0,0.0,0.0,0.0,0.0,0.005943536404160475,0.0
RHOA,0.012776756804060558,0.012825396825396825,0.012813492498083452,0.012152563944656566,0.00952994204764971,0.011430138990490125,0.012603491008806623,0.012606022877597075
RHOB,0.19148936170212766,0.30337078651685395,0.21818181818181817,0.24561403508771928,0.323943661971831,0.2391304347826087,0.22580645161290322,0.2945205479452055
RHOC,0.006578947368421052,0.0111731843575419,0.005291005291005291,0.013793103448275862,0.01020408163265306,0.0,0.01098901098901099,0.01020408163265306
RHOG,0.06758349705304519,0.06896551724137931,0.06315422191207258,0.05808656036446469,0.0521557719054242,0.04878048780487805,0.06254886630179828,0.059113300492610835
ARHGAP1,0.02497096399535424,0.028952205882352942,0.01971057884231537,0.030433534309503303,0.025497512437810944,0.023930753564154784,0.02105862265224815,0.026111908177905308
ARHGAP4,0.0032733224222585926,0.0013850415512465374,0.0013404825737265416,0.0,0.0027472527472527475,0.002386634844868735,0.0,0.0051813471502590676
ARHGAP6,0.0,0.0,0.12903225806451613,0.034482758620689655,0.0,0.0,0.07692307692307693,0.0
ARHGDIA,0.017262407355286613,0.015027322404371584,0.014411684729829469,0.015093015093015093,0.017003857356529952,0.016431603450636725,0.015600624024960999,0.018748478207937666
ARHGDIB,0.011119260671849786,0.011180452951683684,0.010621335884416317,0.009612680557330947,0.008400690218872037,0.00823796921012413,0.009459233216139293,0.010187989686850734
RHOH,0.25,0.34210526315789475,0.36666666666666664,0.45454545454545453,0.3333333333333333,0.25,0.17647058823529413,0.5
ARL1,0.022295623451692816,0.02527075812274368,0.021052631578947368,0.031096563011456628,0.02435723951285521,0.021968365553602813,0.026341463414634145,0.02185792349726776
PHOX2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARL2,0.00946969696969697,0.0056022408963585435,0.008823529411764706,0.008802816901408451,0.006153846153846154,0.005025125628140704,0.009523809523809525,0.007320644216691069
ARL3,0.0,0.00684931506849315,0.014705882352941176,0.008403361344537815,0.03333333333333333,0.0,0.0136986301369863,0.030534351145038167
ARNT,0.03306392358559882,0.037407797681770286,0.03020961775585697,0.02763157894736842,0.030601092896174863,0.040278853601859024,0.04187604690117253,0.050314465408805034
ARNTL,0.09375,0.045454545454545456,0.03571428571428571,0.15,0.16666666666666666,0.2,0.09090909090909091,0.07407407407407407
ARRB1,0.014886994180538638,0.01652078774617068,0.016325112886418896,0.011997273346966599,0.01295709761013533,0.014298093587521665,0.01165146909827761,0.010020630710285883
ARRB2,0.013801756587202008,0.008937960042060988,0.011129660545353366,0.008557457212713936,0.010940919037199124,0.018949181739879414,0.021119324181626188,0.021517553793884484
ARSA,0.0049261083743842365,0.01098901098901099,0.03139013452914798,0.0379746835443038,0.011111111111111112,0.026785714285714284,0.0,0.021164021164021163
ARSB,0.02687843616371411,0.016765285996055226,0.01744186046511628,0.02456140350877193,0.011124845488257108,0.013878180416345412,0.015503875968992248,0.019302615193026153
STS,0.027137042062415198,0.019522776572668113,0.02445302445302445,0.029490616621983913,0.0029069767441860465,0.016556291390728478,0.016100178890876567,0.016551724137931035
ARSD,0.014084507042253521,0.012368583797155226,0.01311680199875078,0.01925925925925926,0.01182033096926714,0.012658227848101266,0.011286681715575621,0.016472203157172273
ARVCF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASAH1,0.015053763440860216,0.011488250652741514,0.007702182284980745,0.006502890173410405,0.007317073170731708,0.009428032683846637,0.008276899924755455,0.008614976805831677
ASCL2,0.038461538461538464,0.029850746268656716,0.04878048780487805,0.025,0.0625,0.16129032258064516,0.14285714285714285,0.03636363636363636
ASGR1,0.0,0.09090909090909091,0.0,0.0,0.0,1.0,0.0,0.0
ASGR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASL,0.02564102564102564,0.05128205128205128,0.020833333333333332,0.030303030303030304,0.03125,0.0,0.05128205128205128,0.022727272727272728
GET3,0.00966183574879227,0.010570824524312896,0.02,0.010075566750629723,0.008771929824561403,0.007518796992481203,0.0,0.012072434607645875
ASNS,0.0,0.0,0.05660377358490566,0.0,0.0,0.015384615384615385,0.0,0.022988505747126436
ASPH,0.027777777777777776,0.04847645429362881,0.03470919324577861,0.04721030042918455,0.01718213058419244,0.024953789279112754,0.03742690058479532,0.0328879753340185
