RegionsCount::Count!!I,ParentID::ID of the parent!!I,ID::ID!!I
"#",,
0, , 
0, , 
0, , 
0, , 
0, , 
0, , 
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
3,2,4
1, , 
0,2,3
2,2,4
1, , 
0,2,3
4,2,4
1, , 
0,2,3
4,2,4
1, , 
0,2,3
5,2,4
1, , 
0,2,3
4,2,4
1, , 
0,2,3
3,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
2,2,4
1, , 
0,2,3
3,2,4
1, , 
0,2,3
4,2,4
1, , 
0,2,3
2,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
2,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
2,2,4
1, , 
0,2,3
2,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
