,x,y
FLAG_GFI1,-67.0161,18.539469
CEBPA,-228.86107,11.994887
HOXA9,-200.65929,-103.40833
PLAGL2,105.609955,-10.898465
MEIS1,-183.92084,-85.34905
ETV6,-71.72081,99.55433
RUNX1,-95.07163,9.568888
FOSL2,-145.67783,-184.07233
FLI1,-75.839386,78.950066
GATA2,-149.38731,43.326717
SP1,144.29584,39.455963
E2F3,46.05134,-181.09344
ZNF281,23.481398,-99.29827
SREBF1,35.457813,-197.3343
LMO2,92.12502,50.39369
STAT5B,19.127907,120.350464
ZMYND8,9.485015,-26.006804
LYL1,-125.35769,30.554445
MYC,52.81135,-39.804695
TFAP4,-68.900986,-225.60464
RUNX2,-97.77127,-9.294779
MAX,41.073902,-24.364443
IRF8,201.28073,-19.925024
MYB,-75.698616,-57.708984
ZEB2,258.97394,-64.01865
RXRA,-85.48287,-218.21777
SPI1,210.72078,-4.828276
MEF2C,-22.185072,-96.70006
FLAG_MEF2D,2.133252,-81.2216
ELF2,78.25803,-6.23513
JUND,-166.79115,-168.5491
SMC1,289.048,-21.381178
LDB1,-222.06744,-134.67464
H3K79me2,132.49492,127.989174
WDR5,81.45299,-62.33127
H3K27ac,58.570923,97.48213
H3K27me3,184.5378,84.17883
MYBL2,-194.37079,-163.66385
CDK9,12.429434,48.146603
H3K4me3,127.240295,79.912415
FOXP1,-95.37956,-41.007687
MLL_KTM2A,-154.12553,-42.116997
RARA,-108.86598,-206.1724
IKZF1,-11.393107,-6.6684804
AFF4,31.980358,30.59679
CTCF,300.28992,-7.3776793
BRD4,14.195986,72.54574
CEBPB,-240.09543,26.278692
H3K36me2,48.88156,155.128
PSER2,129.6777,221.64316
H3K36me3,130.76166,239.96185
H3K9ac,116.0543,96.32358
CDK13,-237.94063,-153.54016
H3K4me1,-144.7893,-57.374485
POLII,87.11106,119.79293
MED1,39.65099,107.44778
promoters,154.46916,76.91101
enhancer,59.244194,72.63047
super_enhancer,95.00191,178.78323
