,x,y
FLAG_GFI1,-45.37101,149.39081
CEBPA,72.32436,-4.389496
HOXA9,314.0817,71.209625
PLAGL2,38.967808,285.566
MEIS1,290.66544,44.07904
ETV6,76.93671,317.5549
RUNX1,182.98277,-90.895134
FOSL2,-5.973438,236.48317
FLI1,108.63774,333.93323
GATA2,53.115685,-127.22334
SP1,-375.19785,-56.9281
E2F3,-439.98398,-17.397291
ZNF281,-142.33376,85.16391
SREBF1,-465.36942,14.817707
LMO2,-247.84518,-19.350668
STAT5B,-42.602158,114.421646
ZMYND8,-270.18164,16.508133
LYL1,91.27662,-89.26298
MYC,-310.86862,-62.483223
TFAP4,-16.790443,-398.9922
RUNX2,178.02126,-55.07801
MAX,-312.75302,-25.785744
IRF8,369.3109,-251.16663
MYB,130.16408,-44.17182
ZEB2,21.982294,58.83252
RXRA,-26.841099,-431.69412
SPI1,390.1564,-223.9322
MEF2C,-119.26436,-19.199207
FLAG_MEF2D,-174.21764,6.2379975
