MV411	chrUn_GL000219v1
E1	E2	E3	E4	E5	E6	E7	E8
0	0	0.0049	0	0.0003	0.0026	0.9885	0.0037
0	0	0.0047	0	0.0001	0.0006	0.9912	0.0035
0	0	0.0044	0	0	0.0004	0.9918	0.0033
0	0	0.0042	0	0	0.0004	0.9922	0.0032
0	0	0.0041	0	0	0.0004	0.9924	0.0031
0	0	0.004	0	0	0.0004	0.9926	0.0029
0	0	0.004	0	0	0.0004	0.9928	0.0028
0	0	0.004	0	0	0.0004	0.9929	0.0027
0	0	0.0039	0	0	0.0004	0.993	0.0026
0	0	0.0039	0	0	0.0004	0.9931	0.0025
0	0	0.0039	0	0	0.0003	0.9932	0.0024
0	0	0.0039	0	0	0.0003	0.9933	0.0024
0	0	0.0039	0	0	0.0003	0.9934	0.0023
0	0	0.0039	0	0	0.0003	0.9934	0.0023
0	0	0.0039	0	0	0.0003	0.9935	0.0022
0	0	0.0039	0	0	0.0003	0.9935	0.0022
0	0	0.0039	0	0	0.0003	0.9936	0.0021
0	0	0.0039	0.0001	0	0.0003	0.9936	0.0021
0	0	0.0039	0.0001	0	0.0003	0.9936	0.0021
0	0	0.0039	0.0001	0	0.0003	0.9936	0.002
0	0	0.0039	0.0001	0	0.0003	0.9937	0.002
0	0	0.0039	0.0001	0	0.0003	0.9937	0.002
0	0	0.0039	0.0001	0	0.0003	0.9937	0.002
0	0	0.0039	0.0001	0	0.0003	0.9937	0.002
0	0	0.0039	0.0001	0	0.0003	0.9936	0.002
0	0	0.0039	0.0001	0	0.0003	0.9936	0.002
0	0	0.0039	0.0001	0	0.0003	0.9936	0.002
0	0	0.004	0.0001	0	0.0004	0.9935	0.002
0	0	0.004	0.0002	0	0.0004	0.9935	0.002
0	0	0.004	0.0002	0	0.0004	0.9934	0.002
0	0	0.0041	0.0002	0	0.0004	0.9933	0.002
0	0	0.0042	0.0002	0	0.0004	0.9931	0.002
0	0.0001	0.0044	0.0003	0	0.0004	0.9929	0.0021
0	0.0001	0.0046	0.0003	0	0.0004	0.9926	0.0021
0	0.0001	0.005	0.0003	0	0.0004	0.9921	0.0021
0	0.0001	0.0056	0.0004	0	0.0004	0.9913	0.0022
0	0.0001	0.0066	0.0004	0	0.0004	0.9903	0.0022
0	0.0001	0.0081	0.0005	0	0.0004	0.9886	0.0023
