task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
86	8c/a8c513	2465757318521997841	MACS2 (mp917-MV411-SREBP1_R1 vs mp845-MV411-INPUT_R1)	COMPLETED	0	2020-11-13 22:54:30.644	28m 33s	23m 26s	99.2%	3.8 GB	4.2 GB	20.7 GB	12.1 GB
84	e8/b9903b	3881669712769708770	MACS2 (mp916-MV411-E2F3_R1 vs mp845-MV411-INPUT_R1)	COMPLETED	0	2020-11-13 22:54:29.244	29m 24s	23m 56s	100.0%	3.9 GB	4.2 GB	21.3 GB	12.4 GB
93	33/6bd870	8899256659566644113	PLOTFINGERPRINT (mp918-MV411_GFI_SC-FLAG_GFI_R1 vs mp845-MV411-INPUT_R1)	COMPLETED	0	2020-11-13 23:12:15.404	12m 8s	5m 40s	748.9%	1.2 GB	3 GB	128.6 GB	12.8 MB
89	15/47ef7b	7156090729607652676	PLOTPROFILE (mp919-MV411_MEF2D_NT_SC_63-FLAF_MEF2D_R1)	COMPLETED	0	2020-11-13 23:08:25.463	19m 48s	16m 21s	814.7%	3.6 GB	4.5 GB	3.9 GB	1.4 GB
97	d1/7bf712	10450416576956290980	MACS2_ANNOTATE (mp916-MV411-E2F3_R1 vs mp845-MV411-INPUT_R1)	COMPLETED	0	2020-11-13 23:23:56.532	6m 28s	3m	99.9%	2.5 GB	2.5 GB	1.6 GB	355.3 MB
92	e6/cb5d63	13962876132433182816	BIGWIG (mp918-MV411_GFI_SC-FLAG_GFI_R1)	COMPLETED	0	2020-11-13 23:12:14.850	18m 18s	13m 53s	127.4%	1.9 GB	1.9 GB	25.9 GB	14.9 GB
75	1a/755cc5	4114590298730744249	PHANTOMPEAKQUALTOOLS (mp919-MV411_MEF2D_NT_SC_63-FLAF_MEF2D_R1)	COMPLETED	0	2020-11-13 22:48:16.193	42m 57s	38m 17s	73.3%	3.9 GB	4.4 GB	47.2 GB	42 GB
96	27/e49140	7475169363099566244	MACS2_ANNOTATE (mp917-MV411-SREBP1_R1 vs mp845-MV411-INPUT_R1)	COMPLETED	0	2020-11-13 23:23:22.583	8m 31s	4m 14s	99.8%	2.4 GB	2.4 GB	1.6 GB	349.8 MB
90	ca/7a3603	6420767352720596833	PICARD_METRICS (mp918-MV411_GFI_SC-FLAG_GFI_R1)	COMPLETED	0	2020-11-13 23:12:17.045	19m 56s	14m 11s	101.8%	1 GB	39.3 GB	8.5 GB	778.4 KB
95	4c/796182	6302749438475473386	PLOTPROFILE (mp845-MV411-INPUT_R1)	COMPLETED	0	2020-11-13 23:17:45.201	19m 28s	16m 2s	778.8%	3.6 GB	4.5 GB	4.1 GB	1.4 GB
98	76/84822e	5693402055764748509	PLOTPROFILE (mp918-MV411_GFI_SC-FLAG_GFI_R1)	FAILED	14	2020-11-13 23:30:35.525	11m 58s	11m 50s	-	-	-	-	-
85	1c/1db71d	18109599694419391925	MACS2 (mp920-MV411-STAT5B_R1 vs mp845-MV411-INPUT_R1)	COMPLETED	0	2020-11-13 22:54:30.013	54m 3s	47m 6s	107.0%	4 GB	4.4 GB	28 GB	15.5 GB
94	61/efa2c9	13960875502479859349	MACS2 (mp918-MV411_GFI_SC-FLAG_GFI_R1 vs mp845-MV411-INPUT_R1)	COMPLETED	0	2020-11-13 23:12:16.450	42m 7s	35m 43s	109.8%	4.5 GB	4.9 GB	37.8 GB	21.1 GB
100	f2/8f68f5	13014218760923660246	MACS2_ANNOTATE (mp920-MV411-STAT5B_R1 vs mp845-MV411-INPUT_R1)	COMPLETED	0	2020-11-13 23:48:36.469	6m 27s	2m 57s	99.9%	2.5 GB	2.5 GB	1.6 GB	363.7 MB
99	3d/58d2e1	14466512230463032505	PLOTPROFILE (mp918-MV411_GFI_SC-FLAG_GFI_R1)	COMPLETED	0	2020-11-13 23:42:34.123	12m 49s	9m 48s	1023.7%	4.3 GB	5.4 GB	4 GB	1.4 GB
77	95/3caba8	16865751536514023606	PHANTOMPEAKQUALTOOLS (mp845-MV411-INPUT_R1)	COMPLETED	0	2020-11-13 22:54:25.501	1h 2m 8s	56m 56s	61.0%	5.9 GB	6.4 GB	49.9 GB	44.2 GB
87	fe/246de5	9187986666869579510	MACS2 (mp919-MV411_MEF2D_NT_SC_63-FLAF_MEF2D_R1 vs mp845-MV411-INPUT_R1)	COMPLETED	0	2020-11-13 22:54:28.817	1h 2m 34s	55m 31s	110.0%	4.4 GB	4.7 GB	36 GB	19.9 GB
91	33/065213	11173245792690232838	PHANTOMPEAKQUALTOOLS (mp918-MV411_GFI_SC-FLAG_GFI_R1)	COMPLETED	0	2020-11-13 23:12:15.922	46m 7s	40m 46s	73.3%	4.4 GB	4.8 GB	50.2 GB	44.7 GB
108	49/020907	15913595183667276675	IGV	COMPLETED	0	2020-11-13 23:57:06.823	4m 47s	383ms	10.0%	9.9 MB	16.1 MB	577.9 KB	7.2 KB
101	b1/79b4e3	3029331014660973690	MACS2_ANNOTATE (mp918-MV411_GFI_SC-FLAG_GFI_R1 vs mp845-MV411-INPUT_R1)	COMPLETED	0	2020-11-13 23:54:27.071	9m 6s	4m 44s	100.0%	2.5 GB	2.5 GB	1.6 GB	365.3 MB
102	11/c20cca	46620295406605341	MACS2_ANNOTATE (mp919-MV411_MEF2D_NT_SC_63-FLAF_MEF2D_R1 vs mp845-MV411-INPUT_R1)	COMPLETED	0	2020-11-13 23:57:05.990	6m 28s	3m	99.9%	2.4 GB	2.5 GB	1.6 GB	355 MB
109	e7/c58f54	2423205108056824220	MACS2_QC	COMPLETED	0	2020-11-14 00:03:35.631	3m 8s	13.1s	129.9%	191.6 MB	490.6 MB	51 MB	2.2 MB
110	0d/d9d7c1	180068661873249051	MULTIQC (1)	COMPLETED	0	2020-11-14 00:06:52.296	7m 41s	19.7s	92.4%	640.4 MB	758.8 MB	358.1 MB	18.3 MB
