,x,y
FLAG_GFI1,-63.49753,-0.13219303
CEBPA,193.02605,58.320297
HOXA9,-81.98321,-84.74374
PLAGL2,114.187386,28.21713
MEIS1,-80.73324,-69.13349
ETV6,117.24341,78.65977
RUNX1,-82.1122,-8.546517
FOSL2,-145.49927,-92.0211
FLI1,113.15393,65.55107
GATA2,-120.33676,9.514264
SP1,45.640003,-23.200794
E2F3,63.061184,-58.934322
ZNF281,107.72409,-35.006386
SREBF1,69.54493,-70.11775
LMO2,33.600677,23.400373
STAT5B,35.907207,64.10922
ZMYND8,66.3247,48.910706
LYL1,-104.12469,1.6617948
MYC,66.20221,18.134089
TFAP4,-186.31339,-53.619904
RUNX2,-84.28203,-21.178623
MAX,70.09403,30.249659
IRF8,-5.9203978,-171.80779
MYB,-105.87856,-42.204994
ZEB2,66.3409,91.61202
RXRA,-180.79698,-64.450424
SPI1,4.444654,-165.84196
MEF2C,133.15858,-17.984728
FLAG_MEF2D,114.15274,-18.14808
ELF2,97.38365,35.540134
JUND,-129.27856,-97.25343
SMC1,16.588102,-84.26222
LDB1,-88.71945,-111.17518
H3K79me2,18.97122,105.350006
WDR5,68.732864,-1.3066449
H3K27ac,10.4760065,29.92148
H3K27me3,11.716822,-39.902092
MYBL2,-115.52182,-109.93805
CDK9,-25.888763,77.087036
H3K4me3,22.765305,-3.5547354
FOXP1,-88.21931,-43.531433
MLL_KTM2A,-135.17299,67.00758
RARA,-170.54985,-79.041435
IKZF1,74.784706,64.746704
AFF4,-45.17392,79.862816
CTCF,16.551046,-96.156654
BRD4,-13.640319,73.76182
CEBPB,189.62967,69.886246
H3K36me2,-17.493387,23.360971
PSER2,-0.3486421,142.968
H3K36me3,5.0190454,153.9762
H3K9ac,15.050429,7.224666
CDK13,-91.465225,-127.585106
H3K4me1,-133.5969,78.8494
POLII,-6.656595,-2.3149061
MED1,24.749352,46.3647
promoters,21.619123,-21.671947
enhancer,-3.0486207,43.629177
super_enhancer,-11.026831,103.8201
