task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	d5/1a79d5	6042393424395823050	get_software_versions	COMPLETED	0	2021-01-08 18:54:25.727	2m 56s	4.8s	91.4%	70.9 MB	3.9 GB	47.6 MB	38.6 KB
1	d0/9c9b83	9476904153245789054	CHECK_DESIGN (chipseq_MF2C_degraded_v2_design.csv)	COMPLETED	0	2021-01-08 18:54:26.198	2m 55s	76ms	55.6%	3.2 MB	5.4 MB	578.1 KB	3.5 KB
4	1f/393fec	8625506165119866960	output_documentation	COMPLETED	0	2021-01-08 18:54:28.962	3m 2s	355ms	80.6%	14.9 MB	20.8 MB	3.2 MB	1.2 MB
2	6c/118f20	2178335564977906541	MAKE_GENOME_FILTER (genome.fa)	COMPLETED	0	2021-01-08 18:59:51.313	4m 52s	17.6s	80.4%	4.5 MB	11.6 MB	2.9 GB	18.7 KB
11	c1/0d0d03	6463755122770421561	FASTQC (MV411_MEF2D_NT_SC_63_DMSO-MEF2C_R1_T1)	COMPLETED	0	2021-01-08 18:57:25.623	10m 46s	7m 13s	102.0%	1.1 GB	4.2 GB	3.5 GB	4.8 MB
7	4c/ddc164	14150761438397808861	FASTQC (MV411_MEF2D_NT_SC_63_DMSO-FLAG_MEF2D_R1_T1)	COMPLETED	0	2021-01-08 18:57:23.999	11m 17s	7m 30s	102.3%	1.2 GB	4.3 GB	3.4 GB	4.7 MB
23	9e/a33ad4	4615813899155426086	FASTQC (MV411_MEF2D_NT_SC_63_VHL-MYC_R1_T1)	COMPLETED	0	2021-01-08 18:57:31.853	11m 30s	7m 56s	102.0%	1.1 GB	4.3 GB	3.8 GB	4.7 MB
10	d6/2c1b09	14159713702637988834	FASTQC (MV411_MEF2D_NT_SC_63_DMSO-MED1_R1_T1)	COMPLETED	0	2021-01-08 18:57:25.142	12m 16s	8m 28s	102.4%	1.1 GB	4.3 GB	3.7 GB	4.8 MB
18	e7/0472ef	9520546332968982577	FASTQC (MV411_MEF2D_NT_SC_63_VHL-FLAG_MEF2D_R1_T1)	COMPLETED	0	2021-01-08 18:57:28.892	13m 33s	9m 37s	102.0%	1.2 GB	4.3 GB	4.3 GB	4.7 MB
14	10/ede659	6617170121038282167	FASTQC (MV411_MEF2D_NT_SC_63_DMSO-MYC_R1_T1)	COMPLETED	0	2021-01-08 18:57:27.119	13m 45s	9m 40s	102.0%	1.1 GB	4.2 GB	4.2 GB	4.7 MB
22	70/254d38	11089255754390254891	FASTQC (MV411_MEF2D_NT_SC_63_VHL-MEF2C_R1_T1)	COMPLETED	0	2021-01-08 18:57:30.942	14m 1s	9m 58s	101.9%	1.1 GB	4.2 GB	4.7 GB	4.7 MB
26	71/277f1f	4288589300714086795	FASTQC (MV411_MEF2D_NT_SC_63_VHL-POLII_total_R1_T1)	COMPLETED	0	2021-01-08 18:57:32.711	14m	9m 32s	102.1%	1.1 GB	4.2 GB	4.3 GB	4.7 MB
15	cb/6729e3	893491227541054803	FASTQC (MV411_MEF2D_NT_SC_63_DMSO-POLII_total_R1_T1)	COMPLETED	0	2021-01-08 18:57:27.497	14m 24s	9m 36s	102.1%	1.1 GB	4.2 GB	4.2 GB	4.7 MB
6	33/ae65a3	9238957768702885048	FASTQC (INPUT_R1_T1)	COMPLETED	0	2021-01-08 18:57:22.542	14m 39s	10m 36s	101.5%	1 GB	4.2 GB	4.8 GB	4.2 MB
20	cd/b7ea15	8727428378216043566	FASTQC (MV411_MEF2D_NT_SC_63_VHL-MED1_R1_T1)	COMPLETED	0	2021-01-08 18:57:29.857	15m 32s	11m 19s	102.1%	1.1 GB	4.2 GB	4.7 GB	4.7 MB
8	e9/0cddc5	11323961600489282395	TRIMGALORE (MV411_MEF2D_NT_SC_63_DMSO-FLAG_MEF2D_R1_T1)	COMPLETED	0	2021-01-08 18:57:23.462	28m 8s	23m 36s	569.4%	3.6 GB	4.6 GB	115.3 GB	111.8 GB
9	1c/897492	10567530981246047669	TRIMGALORE (MV411_MEF2D_NT_SC_63_DMSO-MED1_R1_T1)	COMPLETED	0	2021-01-08 18:57:24.551	28m 8s	23m 42s	531.5%	3.6 GB	4.6 GB	127.4 GB	123.6 GB
12	df/53db9a	11797675099570401123	TRIMGALORE (MV411_MEF2D_NT_SC_63_DMSO-MEF2C_R1_T1)	COMPLETED	0	2021-01-08 18:57:26.042	29m 55s	25m 11s	559.3%	3.6 GB	4.6 GB	120.4 GB	116.8 GB
24	1f/a9d8df	16357305035003053984	TRIMGALORE (MV411_MEF2D_NT_SC_63_VHL-MYC_R1_T1)	COMPLETED	0	2021-01-08 18:57:31.465	30m 50s	25m 51s	536.4%	3.6 GB	4.6 GB	131.6 GB	127.7 GB
25	d9/523a67	14952058224104403732	TRIMGALORE (MV411_MEF2D_NT_SC_63_VHL-POLII_total_R1_T1)	COMPLETED	0	2021-01-08 18:57:32.237	32m 20s	27m 43s	530.6%	3.7 GB	4.6 GB	146.1 GB	141.8 GB
16	f7/75c938	18392828738521776199	TRIMGALORE (MV411_MEF2D_NT_SC_63_DMSO-POLII_total_R1_T1)	COMPLETED	0	2021-01-08 18:57:28.035	33m 34s	28m 57s	564.2%	3.7 GB	4.7 GB	145 GB	140.7 GB
5	6c/70f3d4	9026919467658982177	TRIMGALORE (INPUT_R1_T1)	COMPLETED	0	2021-01-08 18:57:23.022	34m 18s	29m 24s	593.4%	4 GB	4.9 GB	186.9 GB	182.1 GB
17	cf/d22507	14927610314942316328	TRIMGALORE (MV411_MEF2D_NT_SC_63_VHL-FLAG_MEF2D_R1_T1)	COMPLETED	0	2021-01-08 18:57:28.499	35m 13s	29m 27s	565.6%	3.9 GB	4.9 GB	145.6 GB	141.3 GB
13	18/f83ea4	17211662114470824793	TRIMGALORE (MV411_MEF2D_NT_SC_63_DMSO-MYC_R1_T1)	COMPLETED	0	2021-01-08 18:57:26.666	35m 35s	30m 23s	567.9%	3.9 GB	4.8 GB	144 GB	139.8 GB
19	c6/feb305	3977357874088650838	TRIMGALORE (MV411_MEF2D_NT_SC_63_VHL-MED1_R1_T1)	COMPLETED	0	2021-01-08 18:57:29.390	36m 32s	31m 24s	560.0%	4 GB	4.9 GB	160.6 GB	155.9 GB
21	78/82214d	13016677598664476890	TRIMGALORE (MV411_MEF2D_NT_SC_63_VHL-MEF2C_R1_T1)	COMPLETED	0	2021-01-08 18:57:30.341	37m 31s	32m 19s	561.0%	3.9 GB	4.8 GB	159.9 GB	155.2 GB
27	0c/bd8960	5562325313649600754	BWA_MEM (MV411_MEF2D_NT_SC_63_DMSO-FLAG_MEF2D_R1_T1)	COMPLETED	0	2021-01-08 20:00:14.615	56m 37s	44m 57s	1192.5%	7.8 GB	9.5 GB	29.2 GB	25.8 GB
30	6f/10a476	2224743105631450871	BWA_MEM (MV411_MEF2D_NT_SC_63_VHL-MYC_R1_T1)	COMPLETED	0	2021-01-08 20:00:15.613	1h 1m 26s	46m 24s	1190.9%	7.4 GB	8.8 GB	32.1 GB	28.9 GB
38	43/edbc6d	13791254881832948575	SORT_BAM (MV411_MEF2D_NT_SC_63_DMSO-FLAG_MEF2D_R1_T1)	COMPLETED	0	2021-01-08 20:56:52.695	12m 40s	7m 54s	241.7%	5.1 GB	6.1 GB	20.1 GB	8 GB
40	ca/348531	3288935529076123585	COUNTS (MV411_MEF2D_NT_SC_63_DMSO-FLAG_MEF2D_R1_T1)	FAILED	14	2021-01-08 21:09:33.956	3m 29s	3m 21s	-	-	-	-	-
