,LMO2,MAX,HOXA9,LYL1,RUNX2,ELF2,IKZF1,FLI1,MEF2C,MYBL2,CEBPA,IRF8,MEF2D,MEIS1,IRF2BP2,ZEB2,GFI1,SP1,ZMYND8,SPI1,MYC,RUNX1,MYB
LMO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3471727513111193,0.0,0.0,0.0,-0.42167932554287185,0.0,0.0,0.0,0.0,0.0,0.4365542186867279,0.0,-0.883618966187007
MAX,0.0,-1.5914311587537822,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOXA9,0.0,0.0,-0.6837470915312139,0.0,0.0,0.0,-0.2466035917266216,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495588876144188,0.0,0.0,0.0,0.0,0.28463064448404535,0.0,0.0
LYL1,0.0,0.0,0.0,-0.837498683774953,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.463032006843447,0.0,0.818892324325363,-0.5821868579286075
RUNX2,0.0,0.0,0.0,0.0,-1.7757895908884644,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4691642086506662,0.0,0.0,0.0,0.9062016751643442,0.0,0.0,0.0
ELF2,0.0,0.0,0.0,0.0,0.0,-0.7731955888258607,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.28108802194805793,0.0,0.0,0.0,0.0,0.0,0.32746392889545833,0.0,0.0
IKZF1,0.0,0.0,0.0,0.0,0.0,0.0,-0.375969207734871,0,0.0,0.0,0.0,-0.4185992191403851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7960385059487055,0.39165919724000137,0.0,0.0
FLI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.36008265123768574,0.0,0.0,0.0,-0.5620261144643558,0.0,0.0,0.0,-0.8147758018368234,0.5739121267109203,0.0,0.0
MEF2C,-0.5486403239987321,0.0,0.0,-0.630461270070954,0.0,0.0,0.0,0,-1.9327564661322654,0.0,0.8669231500735338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.029399230023574
MYBL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.802080194730636,0.0,0.0,0.0,0.0,-0.43203034572423954,0.0,0.0,0.0,0.0,-0.34287505347903513,-0.6717627492225156,0.0,-0.40172808311654484
CEBPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.6658694592745786,0.417750108297412,0.0,0.0,0.0,0.0,-0.5146175665845499,0.0,0.0,0.32185736140523374,0.0,-0.30126689852927085,0.0
IRF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-1.8384951782089005,-0.7182606400491127,-1.0960957397004039,0.0,-0.6563132366535078,0.0,0.6537499243738826,0.0,0.0,-0.6276982049895422,0.0,0.0,-0.6385364834411311
MEF2D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-1.102758327730643,-1.2875972704198793,0.0,0.0,0.0,0.0,0.0,0.0,-0.7998595560830963,0.0,0.0,-1.6518357609298464
MEIS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.4064371835985055,0.0,0.0,-1.6489400591119685,0.0,0.0,0.0,0.0,0.0,0.0,0.44814916127388094,0.0,0.5360586576711526
IRF2BP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9856929806796368,0.0,0.0,0.0,0.0,0.0,0.8096063897163075,0.0,0.0
ZEB2,0.0,0.0,0.0,0.0,0.0,0.0,0.20493804471025467,0,0.0,0.0,-0.269948123549467,0.0,0.0,0.0,0.0,-0.38456292723653607,0.0,0.0,0.0,0.0,0.36705354829380904,0.0,0.0
GFI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.45920988046295574,0.0,0.0,0.0,0.0,-0.8215094553717814,0.0,0.0,0.0,0.633897746054842,0.0,-0.4738896275842209
SP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1915420947621573,0.0,0.0,-0.5323954688140661,0.0,0.0,0.0,0.0,0.0
ZMYND8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16901878206626186,0.20199280251295543,0.0,0.0,0.3383813522166612
SPI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4213485392206247,0.4948989648080216,0.0,0.0
MYC,0.0,0.8348066171665507,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.8663608490154561,0.0,0.0,0.0,0.0,-0.738477706840865,0.0,0.0,0.0,0.0,0.6743047942814292,0.0,-0.4987672275796525
RUNX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35907599837176524,0.28252661349561176,0.0,0.0,0.0,0.0,0.5743796264506631,-0.4813397725136726,0.0
MYB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.30539389077644946,0.0,0.0,0.0,-0.4674641413746654,-0.3742099874197013,0.0,0.0,0.0,-0.5503608644367519,0.0,0.0,0.5391015492322845
