,MEF2D,RUNX2,RUNX1,ZMYND8,CEBPA,ELF2,FLI1,GFI1,HOXA9,IKZF1,IRF2BP2,IRF8,LMO2,LYL1,MAX,MEF2C,MEIS1,MYB,MYBL2,MYC,SP1,SPI1,ZEB2
IRF2BP2,0.14094502290248767,0.85431784665804,0.0,0.0,0.0,0,0,0.0,0.0,0,-2.59611304039764,0.0,0,0,0.0,0.0,0.0,-1.010570148767943,0,-1.265401480160236,0.0,-1.327825762193117,0.0
IRF8,0.0,1.229587424317349,0.3546369226508819,-0.4784558008972755,-1.846195497014926,0,0,0.6470130736838199,0.0,0,-2.3728682000056,-0.7258231718284316,0,0,0.0,0.0,0.0,-1.4889338364592946,0,-1.9834705290517407,0.0,-1.9734721225739416,0.0
LMO2,0.0,0.892343455097398,0.0,0.3304591576280111,0.3502146569676813,0,0,0.0,0.0,0,-2.0900928221358024,0.0,0,0,-0.8553675256777336,0.0,0.0,-1.6672073919219796,0,-1.6316917360455188,0.0,-1.176071861970866,0.0
LYL1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,-1.830110727814652,0.0,0,0,-1.0255251428751562,0.0,0.0,-1.4298504052746723,0,-2.165737590831732,0.0,-2.7787902085534366,0.0
MAX,0.0,0.8230633028260974,-0.2605307502554187,0.0,0.0,0,0,0.0,0.0,0,-1.5233066196043257,0.0,0,0,-2.6090296826420283,0.0,0.0,-0.9524267090940484,0,-1.9095768327968448,0.0,-1.258706585565853,0.0
MEF2C,0.0,1.4923505951598712,0.0,0.0,0.8632132574417896,0,0,0.0,0.0,0,-1.5478341963764508,0.0,0,0,-1.0024392581119297,-1.4385856335641842,0.0,0.0,0,-1.9373517913859413,0.0,-1.6667456179315872,0.0
MEIS1,0.0,0.9515632262214391,0.0,0.24946030776463915,0.4075864406886592,0,0,0.0,0.0,0,-1.7555649083354634,0.0,0,0,-0.9218859329783688,0.0,-1.1952171551739441,0.0,0,-1.5866439273029391,0.0,-1.2352839215131302,0.0
MYB,0.0,1.069512173234854,0.0,0.0,-0.3119538476707069,0,0,0.0,0.0,0,-2.131825354115765,0.0,0,0,-0.8915256130892474,0.0,0.0,0.0,0,-1.848646695971272,0.0,-1.887113476455576,0.0
MYBL2,0.2857091776287188,0.8132928397620391,0.0,0.0,0.0,0,0,0.0,0.0,0,-2.100727959654342,0.0,0,0,-1.0100830466026216,0.0,0.0,-1.2439183634207769,0,-2.7596161431312978,0.0,-1.6928260065361704,0.0
MYC,0.0,0.9608768059619031,0.0,0.0,-0.8699835540119725,0,0,0.0,0.8884803736561824,0,-1.7294003720171336,0.0,0,0,0.0,0.0,0.0,-1.2718581405392924,0,-1.3901664584206368,0.0,-1.5757283947172818,-0.9536261996975006
SP1,0.0,1.3034157774046249,0.0,0.0,0.0,0,0,0.0,0.0,0,-1.8534927897146531,0.0,0,0,-1.0397336357109437,0.0,0.0,-0.9378688353186616,0,-1.9367626745889843,-1.1467457759850639,-1.3972366119594393,0.0
SPI1,0.0,0.0,-0.36032633552283455,0.0,0.0,0,0,0.0,0.839014060840268,0,-1.4988553632785253,0.0,0,0,-0.8937634055674183,0.0,0.0,0.0,0,-1.5885483517629355,0.0,-2.647489888393784,0.0
ZEB2,-0.3932314874656216,1.459338714930712,0.0,0.0,-0.2681417786711863,0,0,0.0,0.8122624068925527,0,-1.7295221157909462,0.0,0,0,-0.9098661414030564,0.0,0.0,-0.933692736055476,0,-1.6999504252761026,0.0,-1.21644916833021,0.0
