,MEF2D,RUNX2,RUNX1,ZMYND8,CEBPA,ELF2,FLI1,GFI1,HOXA9,IKZF1,IRF2BP2,IRF8,LMO2,LYL1,MAX,MEF2C,MEIS1,MYB,MYBL2,MYC,SP1,SPI1,ZEB2
MEF2D,-0.8752058227278421,1.3339901272570283,0.0,0.0,0.0,0,0,0.0,0.0,0,-2.1224431563651103,-1.1122387699745082,0,0,0.0,0.0,0.0,-2.508602387918644,0,-2.0306427182990654,0.0,-2.159580299435921,0.0
RUNX2,0.0,0.0,0.9245743371461892,0.0,0.0,0,0,0.0,0.0,0,-1.3722957472030128,0.0,0,0,-0.9840220196536376,0.0,0.0,0.0,0,-2.0417609133079777,0.0,0.0,0.0
RUNX1,0.0,1.2341002223464885,0.0,0.0,0.0,0,0,0.0,0.0,0,-1.9585758952505867,0.0,0,0,-0.8489623990959794,0.0,0.0,0.0,0,-1.4761324021149833,0.0,-1.1734965020494248,0.0
ZMYND8,-0.23661212085963476,0.9634593948374053,0.0,0.0,0.0,0,0,0.0,0.0,0,-1.643412895705315,0.0,0,0,-1.0152804011283918,0.0,0.0,0.0,0,-1.971935510944561,0.0,-1.1064951747751337,0.0
CEBPA,0.0,0.6512683449478265,-0.3157097078001081,0.0,0.6738693832923056,0,0,-0.5075765373941462,0.0,0,-1.4763319028620259,0.4253197488840567,0,0,-1.0564600043775842,0.0,0.0,-1.0421071993675382,0,-1.8748660318970949,0.0,-1.0097263145642117,0.0
ELF2,-0.23551446993816613,1.1828251450334266,0.2575525889540833,0.0,0.0,0,0,0.0,0.0,0,-1.3639096086373237,0.0,0,0,-1.0602852502895757,0.0,0.0,-0.7671202143766448,0,-1.7200955098021042,0.0,-1.2502322885873258,0.0
FLI1,0.0,1.1404531201630477,0.0,0.0,-0.3146135833853346,0,0,0.0,0.0,0,-1.5381737677842442,0.3514926240092648,0,0,-0.9492239859030144,0.0,0.0,0.0,0,-1.5070627814423312,0.0,-2.133404665164924,0.0
GFI1,0.0,1.0018361173849069,0.0,0.0,0.0,0,0,-0.8188140452984741,0.0,0,-1.8890751886552413,0.46255526023665705,0,0,-0.8597181155032202,0.0,0.0,-1.2484220167502913,0,-1.4281507802600533,0.0,-1.1511214737095612,0.0
HOXA9,0.0,0.969297191905358,0.0,0.21988396161931378,0.0,0,0,0.0,0.0,0,-1.7911556117060834,0.0,0,0,-1.0048364534478549,0.0,0.0,0.0,0,-1.7382174851016048,0.0,-1.1058490839873132,0.0
IKZF1,0.0,1.5400513284027781,0.0,0.0,0.0,0,0,0.0,0.0,0,-1.8312373636630948,-0.4275877428411649,0,0,-0.8452087001340506,0.0,0.0,0.0,0,-1.6876704255216664,0.0,-2.1570391790660683,0.0
