ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R,ClassColorName::Region Class Color Name
,,,"nm²","pixel","pixel",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²",
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,30376.115039778,263.04838709677,216.72580645161,48,13748,2056,5668,11603.548387097,964.93548387097,2126.3548387097,9258,635,15,31,31,31,4490,1421,5653,1243.0908746269,309.01714466826,1828.3391652606,359710,29913,65917,4220270638,31728863,240447655,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,37235.237790695,263.21052631579,216.65789473684,49,15173,2010,7192,12178.105263158,1110.0263157895,2370.2894736842,8622,669,36,38,38,38,6551,1341,7156,1674.9189539001,331.69291291487,1992.2780917887,462768,42181,90071,5739435496,50892767,360353707,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,5,32335.864397183,367.89393939394,236.40909090909,49,14983,259,1415,12344.939393939,49,666.9696969697,9387,0,0,33,33,33,5596,259,1415,1521.0509717666,75.998766437357,502.28779629116,407383,1617,22010,5103153519,264059,22753380,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,40174.861826803,262.98780487805,216.42682926829,50,16432,2561,7087,12642.268292683,1265.1707317073,2720.0731707317,7991,632,81,41,41,41,8441,1929,7006,2169.9700576781,424.61058055818,2153.3782806354,518333,51872,111523,6741255653,72838702,488832241,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,5,52913.232649935,367.35185185185,236.7037037037,50,17485,295,1259,13371.555555556,54.444444444444,636.87037037037,9147,0,7,54,54,54,8338,295,1252,2242.3564733242,89.123756794455,398.04062778776,722064,2940,34391,9921611506,581048,30299735,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,43114.48586291,263.13636363636,216.36363636364,51,17682,2878,7369,12924.386363636,1394.8863636364,2689.4090909091,8004,699,11,44,44,44,9678,2179,7358,2571.4988319267,498.28576912922,2189.1481333347,568673,61375,118334,7634091635,96287565,524320426,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,5,69571.102187878,367.27464788732,236.88028169014,51,19825,318,1079,14058.563380282,56.605633802817,589.12676056338,8783,0,0,71,71,71,11042,318,1079,3053.8343894305,92.226658506288,294.00893716142,998158,4019,41828,14685480820,822901,30692882,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,27436.49100367,250.32142857143,194.25,52,16740,4603,746,13014.892857143,2186.6071428571,68.5,8788,56,0,28,28,28,7952,4547,746,2156.8644995866,1317.1565991232,184.70667436656,364417,61225,1918,4868453951,180717363,1052530,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,5,38215.112469398,263.03846153846,216.47435897436,52,18494,3103,6954,13507.794871795,1545.3076923077,2444.5897435897,7974,846,22,39,39,39,10520,2257,6932,2721.2710476375,545.76562127009,2046.3192979996,526804,60267,95339,7397362382,104449743,392186803,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,6,79369.848974903,366.93209876543,236.94444444444,52,22131,329,1203,14690.432098765,61.913580246914,614.07407407407,8117,0,0,81,81,81,14014,329,1203,3838.619432616,96.860363091781,259.66886498856,1189925,5015,49740,18659312347,1061051,35938278,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,25476.741646265,250.03846153846,194.38461538462,53,15961,3893,369,12724.615384615,1741.1923076923,21.384615384615,8817,13,0,26,26,26,7144,3880,369,1975.896598042,1185.1249392104,77.413216919633,330840,45271,556,4307415938,113938545,161710,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,5,37235.237790695,263.21052631579,216.5,53,18736,3207,5939,13669,1618.8947368421,2187.3157894737,9607,892,10,38,38,38,9129,2315,5929,2634.0944082078,559.66774841883,1814.5190428985,519422,61518,83118,7356702092,111180602,303627050,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,6,89168.595761928,366.87362637363,236.53296703297,53,24097,325,1333,14974.604395604,61.593406593407,656.10989010989,7857,0,0,91,91,91,16240,325,1333,4513.1466575849,96.828138474766,307.42502068886,1362689,5605,59706,22238893037,1189043,47679610,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,30376.115039778,262.95161290323,216.79032258065,54,18332,2836,4392,13947.806451613,1551.2258064516,1723.5806451613,9931,895,0,31,31,31,8401,1941,4392,2373.8514193796,493.09280463062,1412.4588908282,432382,48088,53431,6199835566,81889562,151943841,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,5,100927.09190636,366.59708737864,236.95631067961,54,25438,308,1444,14705.796116505,57.436893203884,643.08737864078,6876,0,0,103,103,103,18562,308,1444,5073.8725597064,89.922697728236,357.13830206227,1514697,5916,66238,24900731901,1164578,55606694,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,25476.741646265,263,216.5,55,17281,2701,3931,13717.769230769,1568.4230769231,1731.5,10516,955,62,26,26,26,6765,1746,3869,1931.151020665,461.13990701972,1263.7945481763,356662,40779,45019,4985840616,69274975,117879815,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,5,97987.46787025,366.38,236.87,55,26041,278,1429,14971.68,54.99,660.51,6257,0,3,100,100,100,19784,278,1426,5205.6854949491,82.8745547088,369.49243086246,1497168,5499,66051,25097937188,982341,57143287,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,94067.96915544,366.27083333333,236.92708333333,56,25857,246,1405,14862.59375,53.71875,651.95833333333,6655,0,70,96,96,96,19202,246,1335,5181.8365949132,76.753152258256,368.86445711033,1426809,5157,62588,23756968423,836677,53730562,"Aqua"
"Image 8_Out_Channel Alignment_P2-6.czi",3,4,82309.47301101,365.96428571429,237.08333333333,57,24906,205,1259,14861.976190476,46.202380952381,622.84523809524,6503,0,2,84,84,84,18403,205,1257,4914.7704526087,67.135500414829,358.19290400994,1248406,3881,52319,20558642642,553407,43235719,"Aqua"
