ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel","pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,48945720.075869,216.65979660067,345.90477668115,18,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,88929506.340324,639.03323196263,348.76431310327,18,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,46678290.069351,219.89773705313,340.03401767534,19,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,89447860.045358,637.18775812017,351.53698307499,19,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,45675878.273038,220.93491225812,338.69022182177,20,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,88678658.422576,638.12519337017,351.43814364641,20,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,45841477.093739,220.55153581429,340.28019793515,21,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,88465045.742619,638.09214461354,351.37052790146,21,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,45498520.956193,220.65868024896,338.50391962613,22,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,88396454.51511,638.23382698532,350.22165565557,22,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,47824743.443433,218.21795029402,345.1386379003,23,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,89191132.879538,639.09223492963,350.47569844984,23,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,44985066.624553,220.49512078242,339.45687120173,24,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,89123521.526707,638.35081469754,350.98670756646,24,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,44368725.451649,220.88328180212,339.87453621908,25,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,89252864.984296,637.92242496103,350.586039567,25,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,44030668.687497,222.38992989874,339.80964726828,26,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,89137239.772209,637.63886201741,350.14402866942,26,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,43356514.90855,221.71065834972,339.08752005786,27,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,89455699.042787,637.36891656535,349.54752828804,27,0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",7,8,43114.48586291,481.75,263.15909090909, , , ,454,3018,704,47.727272727273,1811.8181818182,152.06818181818,0,841,0,44,44,44,454,2177,704,112.80119652103,615.83821768335,198.81011131079,2100,79720,6691,647364,160746184,2717083
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,43782760.393785,222.36341255987,340.10062217448,28,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,89773178.438687,637.53207919928,349.98327275506,28,0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",7,8,44094.360541613,481.41111111111,262.85555555556, , , ,435,3407,1090,84.244444444444,2013.5333333333,282.95555555556,0,887,0,45,45,45,435,2520,1090,139.19070559938,697.45115827692,334.16455905026,3791,90609,12733,1171829,203847519,8516175
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,43071371.377047,221.87953862954,339.82691782692,29,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,89597780.871199,636.66426431024,349.14036833702,29,0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",7,8,40174.861826803,481.28048780488,262.86585365854, , , ,651,3554,1852,75.951219512195,2114.8048780488,661.43902439024,0,816,0,41,41,41,651,2738,1852,153.94105222771,762.60619652322,627.59609020374,3114,86707,27119,1184426,206631115,33692639
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,42944967.543495,221.73832340795,340.46899171743,30,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,90413036.60388,636.53002059174,349.53379213179,30,1,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",5,6,56832.731364745,507.27586206897,335.43103448276,30, , ,12755,320,4137,11024.275862069,37.913793103448,1787.5,8443,0,0,58,58,58,4312,320,4137,1150.0878195775,65.171106632816,1427.9135834337,639408,2199,103675,7124404194,325467,301538483
"Image 26_Out_Channel Alignment_P2-2.czi",8,9,44094.360541613,482.27777777778,262.96666666667, , , ,711,3369,2683,153.77777777778,1920.5111111111,1359.8,0,811,0,45,45,45,711,2558,2683,235.92004509318,738.89584769261,854.10715210255,6920,86423,61191,3513106,189998883,115305479
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,42501084.314042,221.81288329414,340.89576704938,31,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,90448312.092313,636.5164128009,348.8840270405,31,1,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",5,6,108766.08933598,506.08558558559,335.83333333333,31, , ,19118,404,4364,12775.756756757,102.08108108108,2136.9009009009,4948,0,0,111,111,111,14170,404,4364,3556.4235641396,103.70632795062,1194.5584041809,1418109,11331,237196,19508711981,2339731,663831022
"Image 26_Out_Channel Alignment_P2-2.czi",8,9,26456.616324968,482.90740740741,263.16666666667, , , ,777,2845,3355,113.22222222222,2038,2695.1111111111,0,1194,1540,27,27,27,777,1651,1815,222.10554201747,493.18478359458,435.67280712915,3057,55026,72768,1628723,118467000,201052926
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,42048382.212482,221.72515846383,340.58289056674,32,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,90717777.628956,636.42901351249,348.94720839049,32,1,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",5,6,122484.33483781,505.052,335.372,32, , ,27381,442,4390,16392.064,164.304,2648.328,7327,0,84,125,125,125,20054,442,4306,5581.0500193469,110.31079437135,1079.505754411,2049008,20538,331041,37449837068,4883366,1021206401
"Image 26_Out_Channel Alignment_P2-2.czi",8,9,19597.49357405,710.1,228.7, , , ,1413,2915,1983,239.8,2257.2,1331.1,0,1624,422,20,20,20,1413,1291,1561,418.07800833413,409.17472782998,516.4313680391,4796,45144,26622,4471076,105080092,40503870
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,41612337.980459,221.73076741941,340.08318223562,33,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,90847121.086545,636.60058999277,349.1832914478,33,1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",5,6,116605.0867656,504.60924369748,335.23109243698,33, , ,36574,443,5303,21673.487394958,214.80672268908,3125.1596638656,10173,3,384,119,119,119,26401,440,4919,7612.9349224405,104.91289989602,1026.405460433,2579145,25562,371894,62737966467,6789682,1286542092
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,41713265.072365,221.92687338501,341.08217054264,34,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,90933350.058271,637.01797933212,349.84007176647,34,1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",5,6,123464.20951652,504.26984126984,334.98412698413,34, , ,45971,756,6497,25637.531746032,263.2380952381,3684.7777777778,11093,28,883,126,126,126,34878,728,5614,10268.355486395,130.71039307241,1108.4856905807,3230329,33168,464282,95997552837,10866732,1864368562
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,41239005.727873,222.01428028323,340.9393860191,35,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,90875537.452227,637.26512259818,350.71714002286,35,1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",5,6,122484.33483781,504.004,334.964,35, , ,54026,899,7001,29376.56,297.552,4122.672,11420,0,1470,125,125,125,42606,899,5531,12378.450705861,169.15074666337,1220.7806252955,3672070,37194,515334,126872813872,14615034,2309350914
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,40725551.396233,222.11828112218,341.52827101679,36,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,90250377.407215,637.22591852688,351.02232259185,36,1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",5,6,97007.593191548,503.76262626263,334.71212121212,36, , ,58965,924,7652,34487.292929293,316.17171717172,4498.7777777778,11449,0,2074,99,99,99,47516,924,5578,13350.440820707,195.47456854287,1114.9224879762,3414242,31301,445379,135214922456,13641101,2125480259
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,40571711.071677,221.63452481584,341.72552831784,37,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,90063221.343583,637.10849934177,351.50090302786,37,1,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",5,6,97007.593191548,503.71212121212,334.71212121212,37, , ,58864,1084,7886,34014.424242424,334.19191919192,4689.7676767677,10727,0,2075,99,99,99,48137,1084,5811,13329.508764385,236.24289976449,1081.9752046301,3367428,33085,464287,131953353380,16526189,2292123859
"Image 26_Out_Channel Alignment_P2-2.czi",8,9,19597.49357405,601.75,330.9, , , ,547,2437,7099,76.25,2011.8,5307,0,1425,2034,20,20,20,547,1012,5065,167.54853970684,273.14476593538,1388.9424981467,1525,40236,106140,649659,82364338,599939044
"Image 26_Out_Channel Alignment_P2-2.czi",1,2,40135666.839654,221.94072265625,341.60676269531,38,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",1,3,89526250.019654,637.08335248728,351.57238001423,38,1,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 26_Out_Channel Alignment_P2-2.czi",5,6,122484.33483781,503.78,334.716,38, , ,53566,1401,7731,27772.264,378.68,4698.6,9261,0,1331,125,125,125,44305,1401,6400,12406.356255347,303.41482835306,1238.4906396562,3471533,47335,587325,115498122727,29340327,2949803769
