mr74.MV411_IRF2BP2.DMSO_2h.r1,mr75.MV411_IRF2BP2.DMSO_2h.r2,mr76.MV411_IRF2BP2.DMSO_2h.r3,mr77.MV411_IRF2BP2.DMSO_2h.r4,mr78.MV411_IRF2BP2.DMSO_6h.r1,mr79.MV411_IRF2BP2.DMSO_6h.r2,mr80.MV411_IRF2BP2.DMSO_6h.r3,mr81.MV411_IRF2BP2.DMSO_6h.r4,mr82.MV411_IRF2BP2.VHL_2h.r1,mr83.MV411_IRF2BP2.VHL_2h.r2,mr84.MV411_IRF2BP2.VHL_2h.r3,mr85.MV411_IRF2BP2.VHL_2h.r4,mr86.MV411_IRF2BP2.VHL_6h.r1,mr87.MV411_IRF2BP2.VHL_6h.r2,mr88.MV411_IRF2BP2.VHL_6h.r3,mr89.MV411_IRF2BP2.VHL_6h.r4,genes
0,0,0,1,0,0,4,0,0,0,1,0,0,2,0,6,WDR54
4,0,0,0,0,6,3,1,10,2,2,1,1,0,0,0,CROT
299,212,104,254,127,192,94,259,331,340,229,465,181,122,96,249,KMT2E
11,24,0,35,0,33,7,15,29,29,20,56,7,21,15,23,RHBDD2
155,88,35,102,73,92,172,114,171,149,155,156,60,40,87,81,IBTK
280,173,260,153,141,188,235,180,465,331,278,372,228,43,121,179,ZNF195
37,8,6,90,32,36,99,52,56,18,56,27,8,4,7,23,MYCBP2
62,24,50,21,47,29,45,42,55,27,47,65,20,5,18,23,FBXL3
164,166,31,239,81,282,148,326,220,358,92,280,88,135,67,99,ITGAL
3,3,0,9,0,6,3,2,0,3,0,3,0,0,0,9,PDK2
294,223,148,84,160,227,182,263,301,257,217,319,167,79,122,149,ZFX
120,73,75,46,57,106,85,114,194,123,106,138,70,28,46,51,LAMP2
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,ITGA2B
59,79,73,74,39,87,73,141,74,153,71,155,43,78,68,77,GDE1
11,44,0,58,30,25,42,37,34,33,12,60,44,29,40,54,REX1BD
21,14,0,6,3,21,10,20,16,12,3,13,12,14,4,6,OSBPL7
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,YBX2
16,22,6,18,4,16,11,29,10,52,3,42,14,20,6,28,MAP3K14
69,67,10,138,48,132,60,138,125,220,88,134,78,86,51,28,AP2B1
74,111,19,121,63,161,108,176,240,211,75,182,112,89,67,76,ZNF263
21,6,0,0,0,13,0,15,20,21,0,30,6,10,0,12,SPATA20
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,CACNA1G
10,22,0,26,2,14,0,32,31,69,5,47,5,9,0,15,TNFRSF12A
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,DLX6
0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,MAP3K9
52,50,25,18,45,73,36,76,77,62,52,68,52,37,35,28,RALA
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BAIAP2L1
6,8,0,0,10,6,6,13,4,2,0,8,4,0,0,16,KDM7A
0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,ETV1
7,2,1,0,0,17,0,17,9,5,2,11,0,20,10,0,ALDH3B1
126,26,15,81,6,85,137,124,187,120,79,128,28,19,42,42,PHTF2
20,24,0,23,6,11,8,25,29,38,17,21,7,9,14,8,FARP2
223,124,131,227,112,128,76,191,249,215,197,230,70,65,90,172,GGCT
307,122,128,228,130,174,246,217,416,263,323,379,193,63,118,217,DBF4
65,26,66,8,40,35,98,36,86,54,54,49,32,12,19,18,IFRD1
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,LGALS14
77,54,92,40,29,65,29,66,77,72,51,94,12,38,28,43,COX10
16,32,16,1,4,40,1,10,49,26,20,18,0,5,0,12,GTF2IRD1
17,11,16,14,3,17,2,36,15,11,15,28,21,2,6,21,PAF1
11,12,10,17,4,15,2,24,1,24,16,19,7,12,7,8,VPS41
36,33,0,10,6,41,34,33,24,28,52,5,13,7,0,5,ARHGAP44
13,48,0,17,6,70,48,89,51,74,26,43,16,30,19,22,ELAC2
0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,SCIN
6,3,2,7,5,13,13,5,6,8,3,9,4,13,6,1,ARSD
4,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,PNPLA4
119,84,13,113,31,124,68,134,140,162,116,194,44,59,45,60,ADIPOR2
0,0,0,12,0,0,0,0,0,0,0,13,0,4,0,3,CDKL3
0,14,24,51,0,17,0,72,6,46,15,41,6,25,4,38,MARK4
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROM1
8,14,0,10,10,13,0,10,21,4,6,18,2,0,9,9,CCDC124
2,0,0,0,0,0,0,0,8,8,0,3,0,2,0,0,CEACAM21
201,152,41,101,80,183,131,144,198,237,147,178,74,73,76,40,PAFAH1B1
38,34,1,14,18,42,6,78,41,96,25,47,26,49,16,25,KIAA0100
162,145,3,261,63,110,63,158,246,331,86,210,90,66,35,63,ENSG00000007237
