mr74.MV411_IRF2BP2.DMSO_2h.r1,mr75.MV411_IRF2BP2.DMSO_2h.r2,mr76.MV411_IRF2BP2.DMSO_2h.r3,mr77.MV411_IRF2BP2.DMSO_2h.r4,mr78.MV411_IRF2BP2.DMSO_6h.r1,mr79.MV411_IRF2BP2.DMSO_6h.r2,mr80.MV411_IRF2BP2.DMSO_6h.r3,mr81.MV411_IRF2BP2.DMSO_6h.r4,mr82.MV411_IRF2BP2.VHL_2h.r1,mr83.MV411_IRF2BP2.VHL_2h.r2,mr84.MV411_IRF2BP2.VHL_2h.r3,mr85.MV411_IRF2BP2.VHL_2h.r4,mr86.MV411_IRF2BP2.VHL_6h.r1,mr87.MV411_IRF2BP2.VHL_6h.r2,mr88.MV411_IRF2BP2.VHL_6h.r3,mr89.MV411_IRF2BP2.VHL_6h.r4,genes
0,2,0,1,0,0,0,5,0,1,0,0,0,5,0,0,KPTN
22,27,30,145,62,44,33,27,72,41,32,56,25,40,40,27,RPS25
46,22,18,18,22,42,38,24,42,20,34,40,10,10,8,22,KIF14
0,0,0,0,0,0,2,0,0,4,10,0,0,0,0,0,DDX59
50,22,46,9,32,17,11,13,23,13,9,37,0,0,4,7,CAMSAP2
30,23,0,16,18,48,20,39,57,51,37,45,27,11,16,26,ATF6
2,7,0,0,8,5,0,2,14,3,1,0,0,0,0,1,MREG
11,5,26,0,2,7,14,19,29,15,49,26,2,1,5,7,FASTKD2
0,2,0,0,0,7,4,0,0,2,1,2,4,0,0,0,NRP2
183,126,32,89,102,127,92,137,196,152,186,280,108,38,61,107,CREB1
57,62,6,53,58,94,32,128,67,89,43,105,41,33,59,77,KLF7
0,0,0,0,0,2,1,0,0,0,1,0,2,0,2,0,B4GALT6
9,2,0,21,8,49,29,36,47,16,14,27,22,21,20,18,LRMP
0,0,0,1,0,0,0,1,0,0,4,3,0,0,0,0,ATP10B
18,3,18,1,0,1,12,5,7,2,0,1,2,1,1,1,SPCS2
2,2,0,5,0,16,23,4,23,9,12,14,4,8,5,2,USP35
2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,FILIP1
9,9,0,9,6,6,30,0,9,0,9,3,21,0,6,0,HMGN3
8,11,0,21,2,13,2,7,7,15,5,12,16,3,3,11,UBE3D
84,43,41,40,44,34,61,29,67,25,60,75,28,12,35,40,ANKRD13C
291,168,177,238,133,188,166,259,331,378,247,430,143,104,115,211,PHF3
7,5,0,0,0,17,8,16,0,8,0,5,0,10,8,0,PLAGL1
50,21,6,6,30,23,22,28,96,35,76,80,21,3,28,16,FBXO30
241,250,23,241,152,344,194,293,379,347,196,384,203,198,154,132,TNFAIP3
0,0,0,0,0,3,0,0,3,0,0,0,4,5,0,0,AKAP7
3,5,3,6,8,11,6,3,15,2,4,2,4,1,1,6,RAB32
3266,2214,1599,2789,1508,3151,2763,2954,3526,3805,2591,3794,1384,1053,1185,1677,MYB
0,1,0,0,0,2,0,1,4,4,2,0,0,0,0,0,ALDH8A1
12,0,0,14,12,9,24,20,15,0,16,12,8,0,0,17,SGK1
114,84,21,61,48,99,91,57,178,131,79,149,63,21,67,55,RNF146
0,0,0,0,3,1,1,2,0,0,0,0,0,1,1,3,CCN2
0,0,0,1,0,1,5,1,2,11,4,7,5,3,2,4,PMFBP1
150,70,77,86,114,123,88,81,177,137,60,216,52,41,63,65,FBXL5
83,84,34,88,35,92,63,118,142,114,66,119,54,44,45,45,MED28
7,17,10,14,2,13,5,8,22,17,19,25,12,7,12,7,RXYLT1
189,73,95,62,90,101,113,97,183,141,141,194,60,13,54,79,ZNF430
185,227,19,716,224,339,126,427,346,482,229,499,232,262,243,145,VAMP8
41,34,26,51,12,44,33,40,90,60,37,73,17,21,15,15,DCLRE1B
41,23,53,96,22,30,20,52,44,46,33,60,19,15,24,45,MYL12B
101,100,0,52,86,145,108,192,107,202,136,158,104,102,81,79,FOXO3
0,0,0,0,0,1,0,0,0,1,3,1,0,0,0,0,ARMC2
65,53,113,19,45,54,78,95,134,75,74,118,51,54,49,79,RPN2
293,266,96,216,70,242,137,336,263,482,234,488,153,172,100,261,TGIF2
15,12,0,5,12,18,13,17,14,16,9,30,5,1,3,0,PKD2
10,14,1,10,2,15,18,20,12,28,12,25,10,0,3,12,STBD1
176,84,25,112,111,172,150,130,184,161,149,196,101,54,60,66,CCNI
464,270,283,215,237,399,460,499,613,516,379,470,438,209,350,319,MFSD1
89,57,29,51,52,73,66,74,108,97,72,125,53,27,40,55,RAB3GAP2
30,27,0,0,7,21,1,20,25,71,14,51,10,10,13,17,EEF2KMT
48,65,15,39,36,80,49,53,87,95,47,67,44,35,24,27,UBN1
10,13,8,8,7,5,1,5,16,26,7,16,0,3,7,2,KLF12
16,0,0,3,0,0,6,0,9,9,3,18,6,3,3,3,UCHL3
0,5,0,7,4,6,1,6,3,5,1,4,7,2,2,7,HS1BP3
113,116,46,125,43,142,45,118,166,178,145,222,81,77,60,98,LDAH
34,12,38,10,26,40,29,39,56,38,21,35,26,9,18,27,WDR35
105,79,30,62,44,129,79,152,118,158,86,155,101,84,78,78,CCND2
25,14,0,8,7,18,36,17,15,10,5,13,0,2,2,11,ELL2
44,14,0,29,17,30,24,16,52,43,12,40,13,3,5,10,CYP20A1
14,6,56,36,6,6,12,14,16,6,8,16,12,0,6,10,NDUFB3
36,11,14,26,30,29,10,24,33,56,16,49,18,15,16,7,GTF3C3
847,519,274,464,356,735,501,614,1064,879,645,982,347,202,371,442,SATB2
73,50,34,70,44,60,108,65,80,69,63,58,37,16,25,30,UBE2B
71,47,4,25,53,81,52,74,98,84,83,79,63,42,55,60,KLF9
0,0,0,18,0,0,9,3,0,9,3,0,0,0,0,0,TJP2
9,21,0,38,19,10,20,41,35,34,12,51,33,28,7,11,ITGB1BP1
6,0,0,2,0,2,0,4,10,0,0,18,0,0,8,14,CPSF3
0,3,0,12,0,5,6,6,11,4,0,11,1,4,0,0,PIGZ
139,82,35,90,40,90,51,122,179,204,102,153,36,54,58,38,SENP5
6,9,0,18,0,0,12,3,0,12,0,21,0,0,0,6,CCDC92
62,49,10,44,8,50,34,19,32,80,30,32,61,2,22,29,C1orf198
59,20,21,17,34,52,25,29,37,48,27,63,28,31,19,26,HEATR1
492,237,221,217,205,378,295,321,415,408,372,408,231,80,191,185,PTBP3
192,114,22,117,94,173,124,152,216,134,163,207,82,45,67,96,RAD23B
4,9,48,7,25,58,28,41,35,37,38,17,37,18,15,8,FKBP15
0,1,0,0,0,1,0,0,0,5,3,0,0,0,0,2,CTNNAL1
33,15,11,15,22,29,27,40,64,69,35,54,22,19,36,31,ABITRAM
0,0,0,0,1,1,0,3,0,0,2,1,0,0,0,1,WDR34
307,227,85,212,83,240,121,239,313,300,263,243,129,128,135,96,SET
33,40,0,177,12,159,6,123,49,120,72,59,15,159,39,6,PTPA
40,26,18,46,18,42,23,40,42,54,19,34,25,18,15,12,GLE1
181,148,58,135,132,161,129,167,258,240,219,244,106,77,90,99,RAB14
33,35,9,24,6,18,42,60,76,61,44,34,28,17,17,22,CNTRL
54,67,8,30,18,52,40,58,52,67,36,51,15,27,14,11,FBXW2
44,63,29,55,18,70,100,85,59,109,48,107,27,63,46,56,PHF19
185,141,91,174,41,112,57,123,329,406,176,337,71,101,55,60,NEK6
0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,BSPRY
160,90,32,70,46,96,96,80,176,146,112,122,40,42,52,50,PPP6C
19,8,6,14,6,4,3,14,4,5,5,16,1,3,2,2,NDUFA8
162,57,70,64,100,97,87,116,224,119,138,189,107,30,77,96,RBM18
18,6,24,6,6,16,10,22,24,14,16,14,4,6,14,10,HSDL2
71,75,7,119,43,97,71,142,52,128,20,124,36,82,70,40,MAPKAP1
23,12,2,2,9,12,13,20,17,29,37,33,33,11,33,44,NR4A3
0,3,0,6,0,2,1,7,0,5,0,4,0,0,0,4,INVS
6,7,1,6,4,2,12,15,7,34,20,23,6,9,12,2,DENND1A
174,112,60,110,130,124,90,163,240,228,177,328,152,53,65,119,ALG2
3,0,0,3,0,4,0,6,9,6,0,3,0,15,6,0,CSF3R
22,34,3,43,28,24,29,23,70,42,43,53,30,9,26,15,KDSR
115,79,17,42,50,73,45,94,139,102,98,133,62,33,27,43,VPS4B
54,27,19,33,28,67,31,78,64,48,43,38,43,30,23,27,ONECUT2
47,98,28,183,8,113,81,291,176,217,164,192,4,83,86,43,C19orf25
4,26,0,2,0,22,4,22,14,12,11,38,8,12,0,11,ZBTB45
19,31,1,49,6,24,15,29,43,30,12,20,11,14,14,28,YLPM1
42,28,0,86,18,47,26,56,98,38,46,51,42,32,25,31,DCAF4
0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,PROX2
84,82,22,76,26,45,39,87,107,111,47,78,39,34,27,35,FCF1
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,PGF
0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,IFI27L2
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,BBOF1
16,19,2,13,8,16,14,25,24,31,17,29,12,11,8,14,NEK9
12,11,0,43,15,23,29,34,19,19,13,32,11,10,16,20,ACYP1
0,1,0,0,0,1,0,1,3,2,0,6,0,0,0,0,IFT43
0,15,0,0,15,5,10,13,0,0,6,0,4,11,16,0,NPC2
36,17,1,7,9,32,36,32,23,42,10,33,24,3,20,6,DNAL1
14,6,0,1,2,6,1,10,17,37,16,57,20,10,15,27,IRF2BPL
4,3,0,2,3,3,3,2,0,4,3,4,4,5,2,7,ACOT2
0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,LTBP2
87,95,0,145,37,90,45,83,87,159,44,154,61,44,35,39,AREL1
16,26,8,25,18,50,28,46,31,54,20,12,6,10,16,17,MLH3
4,6,0,17,0,17,15,12,9,8,17,3,0,2,10,1,TTLL5
24,29,0,33,20,33,23,40,40,32,14,67,14,48,15,17,FLVCR2
6,6,0,74,25,33,15,52,23,77,3,37,11,16,13,5,ABCD4
33,61,16,62,37,88,28,61,73,92,24,67,29,38,50,28,DLST
78,19,132,369,71,49,53,48,107,58,49,148,33,35,33,74,SLIRP
376,247,189,271,165,334,236,382,562,493,428,659,178,111,159,295,RBM25
6,11,0,4,2,14,9,6,13,2,6,12,2,5,5,3,ALDH6A1
4,12,0,2,6,18,14,20,22,32,34,14,6,16,8,0,GPR68
0,0,0,4,2,0,0,0,0,0,0,4,0,0,0,0,ESRRB
7,17,5,18,8,20,32,28,16,28,7,33,20,16,10,13,EIF2B2
62,47,8,50,24,46,34,84,69,102,50,55,51,29,27,36,NRDE2
16,10,0,11,40,15,8,13,24,28,14,15,5,8,13,16,COQ6
281,249,24,398,136,271,299,388,697,605,155,430,168,134,141,142,ZNF410
25,13,2,20,3,29,24,27,26,61,38,58,19,20,19,10,RHOQ
30,28,26,93,43,68,31,82,121,112,86,67,50,12,52,56,SUPT7L
148,109,60,122,69,149,44,148,144,238,208,187,70,64,69,107,DNMT3A
37,51,0,45,33,60,31,83,64,100,17,138,29,28,3,15,TMEM214
78,34,24,48,28,56,70,72,108,94,68,112,30,16,34,40,ATAD2B
306,158,22,156,127,257,130,228,477,358,269,266,191,112,123,111,ATL2
176,75,88,112,90,104,158,121,187,170,175,204,86,43,61,54,YPEL5
162,143,44,226,139,220,228,225,280,293,239,361,170,99,159,210,FAM98A
98,55,2,27,68,72,84,113,90,131,65,89,55,22,48,32,YIPF4
133,72,65,57,113,131,168,89,253,155,115,131,124,30,90,143,AFTPH
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,LGALSL
246,148,98,162,170,353,204,301,277,286,190,401,202,102,118,195,BCL11A
41,3,1,14,32,14,14,15,35,12,16,25,7,2,8,7,CRIPT
22,18,0,13,8,13,19,9,24,19,5,13,0,6,5,4,SLC17A5
15,20,2,3,13,20,22,15,8,6,20,7,14,3,5,6,OGFRL1
12,17,0,28,12,22,23,23,23,29,9,22,13,4,5,4,SLF2
19,3,1,16,22,10,19,17,18,15,20,25,8,6,6,4,IDE
10,5,11,2,0,1,0,2,6,12,17,20,9,0,4,17,IFIT3
54,32,0,61,39,24,27,36,161,147,83,226,102,66,89,123,IFIT2
17,5,0,14,8,25,16,13,13,14,9,14,9,3,9,15,GPAM
6,3,0,21,4,4,13,10,21,8,7,3,8,7,5,3,CUTC
0,1,10,1,0,1,0,2,0,0,0,2,0,0,0,0,PYROXD2
71,44,9,50,54,95,50,83,116,74,80,111,70,40,63,112,MXI1
41,19,26,19,31,28,40,33,92,33,44,43,36,3,22,20,SMNDC1
7,7,0,7,4,12,5,6,11,6,9,7,3,0,2,4,C10orf88
13,15,0,25,14,35,7,27,13,42,15,26,5,17,10,5,HELLS
3,11,0,27,18,14,6,23,21,14,0,7,7,3,4,5,TCTN3
7,1,2,3,2,9,3,7,4,4,0,8,2,2,7,0,DENND10
2,1,0,0,0,0,1,1,5,4,0,0,1,5,0,0,AVPI1
0,0,0,0,4,1,0,5,0,0,0,0,0,3,0,0,WDR11
2,10,0,5,1,11,3,7,8,8,3,4,5,11,6,2,ARMH3
0,0,0,0,0,20,0,0,0,0,0,6,0,0,0,0,KCNIP2
0,1,0,1,0,2,0,3,0,1,3,0,0,0,2,6,GOT1
0,0,0,0,0,2,0,2,0,0,0,0,0,1,1,0,C10orf95
339,194,111,112,161,258,200,228,568,432,370,636,243,126,239,245,GNA13
305,205,75,190,70,425,277,230,305,365,175,475,195,225,150,160,KANSL1
4,6,0,24,0,13,0,19,3,10,8,60,7,25,4,0,HOXB3
9,11,15,4,17,22,4,23,21,6,10,26,19,20,29,20,DUSP1
212,130,41,125,106,146,112,159,283,266,186,237,97,64,76,85,PANK3
9,5,0,7,1,7,9,4,13,7,20,10,2,3,3,11,MSX2
34,33,30,48,27,65,49,49,79,100,34,56,30,35,16,28,RCL1
127,39,7,57,84,86,105,90,157,90,95,135,75,42,67,81,CAAP1
10,3,11,12,1,20,2,9,19,12,9,5,7,2,6,8,MOB3B
0,2,0,0,4,2,0,0,0,0,0,0,8,0,0,0,CD274
59,44,5,37,21,69,39,47,54,90,46,88,32,12,42,35,NUP43
51,22,0,26,12,27,2,33,38,30,24,68,38,5,5,7,MTHFD1L
10,3,1,3,0,6,2,11,8,9,5,8,3,1,4,7,LRP11
1,1,0,0,0,9,4,7,0,2,0,4,1,3,2,1,CCDC170
79,41,18,55,80,42,62,56,95,53,62,84,28,19,14,28,PCMT1
198,100,131,139,83,138,179,152,404,278,259,498,117,70,126,264,CXorf21
0,0,0,5,1,4,1,0,0,0,0,1,0,0,0,0,CYSTM1
38,53,3,74,46,104,29,92,79,149,76,105,78,58,40,43,WDR55
4,5,0,0,4,0,2,6,7,6,0,12,6,4,0,6,ARAP3
57,22,4,45,23,34,26,59,60,35,12,48,27,30,18,25,MRPS14
68,30,0,44,11,26,12,25,25,32,26,54,25,2,7,17,CENPL
0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,SEC16B
49,27,26,33,24,48,34,54,58,44,38,87,30,18,17,24,GORAB
7,3,0,6,7,5,6,8,24,6,10,9,3,0,1,8,ACAT2
180,102,120,121,77,182,99,180,274,226,205,226,162,78,91,56,TCP1
33,41,1,20,39,64,18,66,47,70,34,37,14,61,31,26,SNX19
9,13,0,43,6,1,18,0,11,10,5,12,0,3,2,4,MSANTD2
13,5,13,20,3,12,26,8,25,14,14,9,2,1,1,4,PDZD11
23,46,27,19,51,30,38,44,27,49,43,49,35,24,31,67,SLC10A7
42,49,28,53,28,68,43,53,85,98,73,86,47,43,46,24,NUDCD1
87,137,32,256,99,152,150,177,257,157,153,190,103,62,125,67,ENY2
55,63,81,81,45,67,63,60,63,71,30,48,58,18,52,23,MASTL
94,62,7,47,26,70,73,64,98,104,91,172,27,23,19,44,PLXDC2
46,27,19,35,23,38,53,31,45,65,49,52,51,10,26,43,EPC1
4,4,0,8,3,12,6,11,4,6,0,6,3,4,0,2,IQSEC3
16,31,20,77,41,18,24,86,3,106,15,63,15,33,15,23,CCDC77
4,14,16,46,10,21,22,27,10,24,32,18,22,12,18,32,TAF12
7,0,0,10,1,0,0,6,0,6,0,5,4,2,6,3,MTRF1
1,0,0,6,0,4,2,2,5,3,3,0,0,2,0,1,SOHLH2
0,3,0,7,5,2,0,5,4,8,6,7,0,1,4,3,DNAJC15
21,10,0,18,10,16,21,9,17,7,2,14,9,1,4,13,PROSER1
252,166,81,233,165,257,257,276,373,365,207,314,241,97,153,162,UFM1
6,5,12,8,1,7,4,3,12,8,3,5,10,3,2,2,WBP4
796,414,326,484,324,697,443,634,838,884,673,898,346,260,330,454,ELF1
0,0,0,0,0,1,5,0,2,0,0,0,0,0,0,0,SMAD9
1295,838,629,1100,1132,1774,1347,1584,1970,1573,1544,2021,1258,885,1120,691,HSPH1
30,16,0,7,7,13,14,21,28,34,21,14,26,5,17,4,KBTBD7
4,4,0,16,2,4,6,4,18,6,4,4,2,2,2,2,ALG5
78,54,52,136,58,83,58,99,92,92,94,104,54,50,50,61,EXOSC8
394,276,81,278,162,308,241,272,380,408,232,516,124,180,153,142,ETF1
1,1,1,5,0,8,3,9,0,8,0,1,1,0,3,0,TGFBI
70,104,6,138,58,113,42,119,110,150,84,107,76,56,45,60,FAM53C
0,2,3,0,6,0,0,0,4,0,0,0,0,2,3,0,SIL1
251,132,163,184,108,190,286,190,290,225,196,308,101,99,120,105,PAIP2
218,287,96,278,175,290,222,353,348,412,115,393,152,197,75,193,KDM3B
19,28,11,19,152,387,182,88,15,24,22,29,230,158,122,82,EGR1
659,404,225,448,383,553,529,596,923,723,624,1029,455,195,420,322,SERP1
0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,PLS1
0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,ZFP30
33,19,0,2,13,12,30,7,31,24,10,20,18,5,3,19,NR2C1
4,4,0,3,7,5,2,5,0,4,8,22,1,6,1,1,UTP20
468,230,98,190,260,300,263,290,551,351,348,363,192,72,156,116,TMPO
60,34,7,57,48,75,13,48,84,59,64,71,24,12,34,24,ARL1
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,GLT8D2
261,139,116,157,63,263,234,242,315,268,139,301,96,74,92,78,SOCS2
69,23,46,53,25,36,36,48,73,33,60,76,32,9,17,46,NFYB
70,8,0,7,0,12,53,19,31,6,3,19,9,0,2,1,WASHC3
99,65,12,12,72,133,128,137,125,139,57,77,31,11,48,78,APAF1
16,17,2,16,15,22,25,32,24,17,30,33,12,23,12,24,DUSP4
16,4,0,0,16,4,11,3,0,30,0,0,4,0,4,19,CLU
43,38,15,46,7,40,22,46,61,52,28,44,35,41,23,14,TNFRSF10B
0,10,0,5,0,0,4,7,17,19,0,0,7,5,2,4,SORBS3
45,48,0,108,9,141,72,150,66,189,51,162,12,66,24,39,PTK2B
33,6,26,0,3,43,15,5,29,18,24,44,12,12,11,5,PPP3CC
0,14,0,18,0,1,3,36,14,16,0,12,1,4,2,12,PDLIM2
44,25,44,28,14,25,48,49,47,64,36,64,22,31,35,34,RNF170
38,23,2,23,9,31,30,28,26,44,36,44,9,19,19,11,UBIAD1
328,309,198,348,155,366,267,327,593,639,528,493,258,173,195,279,TARDBP
0,2,0,0,0,10,0,5,0,4,0,8,1,3,0,0,TNFRSF8
108,163,6,172,116,244,88,190,207,268,195,293,187,173,92,85,ZNF706
130,49,38,32,60,63,26,62,86,49,51,60,44,12,47,38,LYPLA1
90,77,107,150,31,105,125,102,163,99,110,158,109,50,59,66,COPS5
45,25,15,23,34,40,27,27,53,39,34,29,25,15,25,17,RDH10
153,92,20,89,103,234,127,224,229,213,195,171,85,72,39,50,AKAP1
36,23,1,14,6,21,14,37,43,37,38,46,34,7,12,13,COIL
164,204,100,260,126,371,148,384,433,591,243,417,313,325,201,311,TRIM25
18,14,0,5,5,60,2,26,28,22,5,6,0,15,9,18,SCPEP1
157,79,28,133,63,124,123,123,138,152,139,176,73,87,73,55,SPOP
32,34,28,27,4,34,11,51,41,17,23,81,21,24,38,19,SLC35B1
20,15,0,39,30,55,34,46,48,72,9,60,28,41,28,41,FAM117A
38,19,0,64,3,65,36,40,16,53,29,96,41,23,13,32,NCAPH
8,4,7,7,1,2,0,1,7,3,4,2,1,0,0,2,TMEM131L
38,7,4,64,13,14,10,9,13,21,22,23,7,9,11,12,MND1
222,63,68,92,147,137,162,139,191,170,142,189,79,50,75,103,TENT4B
121,109,22,67,48,149,66,175,121,174,114,133,47,53,30,46,ADCY7
38,46,27,53,9,58,60,52,57,74,45,61,43,44,31,51,CEP89
29,37,1,10,19,41,30,40,26,23,21,44,15,4,17,21,TSHZ3
47,50,31,26,85,60,105,77,75,63,36,64,60,40,29,46,PYROXD1
31,22,16,18,18,23,22,11,38,37,30,50,21,6,4,16,PSPC1
36,31,1,21,32,79,37,63,84,89,34,46,14,42,23,26,ZNF549
90,97,85,57,76,78,31,147,105,179,167,197,98,59,114,68,ZNF211
0,2,0,0,0,2,0,1,5,4,0,2,0,0,0,0,LHX4
38,20,3,31,15,33,21,35,54,30,23,55,11,8,28,14,RNF2
20,9,0,7,0,9,3,14,32,5,16,22,0,1,4,6,TRMT1L
18,24,13,68,8,22,14,39,54,39,55,24,7,10,12,15,SEC22A
11,3,5,24,5,11,4,14,2,4,9,8,12,6,16,5,CSTA
0,3,0,8,1,0,0,0,8,0,0,0,5,0,0,0,POPDC2
53,46,77,90,39,88,34,85,33,43,49,58,71,26,15,21,B4GALT4
505,371,77,289,270,452,310,369,639,737,613,769,280,124,168,210,NAA50
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,CD80
8,6,0,0,7,6,16,3,9,9,5,9,4,1,2,2,KIF18A
152,126,48,88,39,121,49,126,226,202,146,206,55,49,78,64,DESI2
28,62,0,40,12,60,24,74,26,81,10,63,18,32,18,14,CRY2
0,3,0,1,2,11,0,5,0,9,3,10,2,8,0,1,PEX16
24,17,0,6,36,28,21,33,41,39,28,39,48,10,35,23,CAT
36,25,26,42,20,22,19,38,26,44,12,42,18,22,19,52,PILRB
51,48,6,42,22,54,26,59,103,39,77,46,35,11,29,25,ZMYM2
124,93,48,77,88,101,94,104,135,121,123,195,48,32,81,46,TBC1D15
83,132,57,104,117,248,85,131,180,152,47,222,100,122,76,48,ZCCHC17
74,73,24,54,58,76,67,90,80,93,93,99,56,30,41,58,KHDRBS1
0,7,0,15,0,2,5,12,9,10,4,3,7,1,3,0,TMEM39B
0,0,0,0,0,0,0,0,0,0,6,4,0,2,0,0,CCRL2
35,25,42,24,27,63,43,69,152,128,86,161,90,82,96,144,CCR2
7,10,1,10,6,3,2,12,10,12,0,5,2,9,2,5,POLR3GL
92,84,32,86,68,97,104,68,171,141,113,211,61,41,62,86,TNFSF10
47,10,13,23,35,21,27,27,49,24,27,36,17,2,18,14,ZNF639
23,14,12,13,12,14,32,22,23,13,35,23,10,7,14,19,PIK3CA
133,78,51,39,59,92,77,101,155,121,123,172,89,36,55,39,PDS5A
10,19,18,3,19,12,8,17,5,19,10,18,2,7,20,13,LIAS
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,TMEM54
10,2,0,1,2,3,0,7,14,5,10,7,0,1,3,1,ZSCAN20
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CSMD2
157,63,75,24,48,45,69,60,111,114,141,88,84,3,54,18,LRIF1
0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,TMIGD3
6,7,20,4,6,9,2,6,23,6,8,5,11,3,12,12,CLCC1
18,13,6,7,1,24,27,30,6,8,5,4,30,9,9,18,GPSM2
22,55,21,21,79,43,11,55,16,120,43,115,14,1,1,7,GTDC1
416,328,138,320,400,590,830,640,666,528,358,588,508,398,484,462,CXCR4
30,12,8,21,3,11,17,11,23,37,9,16,11,8,1,5,ZRANB3
11,5,28,6,20,19,9,17,15,4,14,6,10,11,26,3,ACVR2A
105,71,86,65,52,89,78,91,102,98,91,77,59,25,34,43,POLK
191,182,17,303,109,287,226,321,306,308,228,244,102,90,125,76,FLT3
0,5,16,26,7,20,20,2,16,10,0,12,0,6,5,10,RPL21
0,0,6,0,2,0,2,0,0,0,6,2,6,2,0,2,MTIF3
110,78,11,93,55,105,94,104,168,126,77,119,59,73,61,79,GTF3A
0,0,0,0,3,2,0,0,4,0,0,0,0,0,1,0,RASL11A
79,36,29,35,35,51,46,59,60,42,46,42,45,23,22,19,UBL3
291,146,97,90,100,196,180,156,358,250,215,308,180,84,151,105,FYTTD1
66,82,6,113,45,76,49,110,127,102,82,154,77,54,85,53,MTERF4
35,68,0,101,26,94,59,81,93,134,71,112,15,60,34,34,SASH3
12,17,5,12,5,13,2,8,4,10,10,13,1,2,8,3,OCRL
30,32,4,26,2,48,38,36,54,92,18,60,18,30,66,52,MRPS2
83,50,24,45,0,87,43,91,136,136,80,104,36,18,18,12,KIAA1191
13,15,9,13,6,29,15,25,27,26,24,25,17,20,7,5,COPA
5,17,6,16,7,26,3,25,38,16,10,26,1,16,11,3,CD244
0,8,0,8,0,4,0,9,0,0,0,0,0,10,6,0,LY9
21,21,12,15,17,21,33,22,27,15,19,25,15,0,22,16,RBBP6
162,65,5,111,65,108,98,138,202,134,78,137,84,82,81,62,ZC3H7A
8,2,16,8,14,2,2,13,6,8,11,8,0,15,2,2,SERAC1
15,33,10,33,10,29,3,41,74,59,5,35,24,35,6,18,ANXA11
0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,LDB3
10,2,0,4,0,14,6,6,12,14,0,4,4,0,2,0,SHLD2
0,0,0,0,0,0,27,0,24,6,0,0,0,1,0,1,PRXL2A
43,151,22,128,48,141,71,165,144,154,54,160,32,114,88,55,NAA60
29,31,6,26,13,41,46,41,35,55,27,51,16,27,15,23,RPL5
4,13,19,17,9,20,8,2,12,21,9,40,18,8,10,9,ODF2L
55,19,0,24,22,34,24,39,33,30,20,19,19,6,8,4,TRMT13
2,14,12,14,20,12,6,10,12,8,4,14,4,14,2,6,LRRC39
4,10,0,6,9,6,13,9,16,10,11,12,4,2,12,5,RWDD3
559,231,389,296,400,256,395,270,759,340,531,627,208,52,216,226,ZNF644
0,1,0,2,9,2,1,2,9,2,2,2,0,0,0,1,CCDC18
50,36,5,42,25,39,31,61,57,60,19,69,36,14,16,23,RPAP2
54,46,0,54,6,89,40,78,30,97,19,91,24,101,36,42,SLC66A2
4,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,BBS9
2,2,0,0,0,0,2,0,4,0,4,0,8,0,0,0,PMS2
28,13,0,8,2,33,4,48,9,50,30,4,3,4,11,21,ZMIZ2
110,62,71,70,30,97,96,133,235,119,106,130,119,44,101,48,SEPTIN7
24,29,0,11,17,41,6,52,56,61,22,38,9,22,6,30,EEPD1
42,18,21,22,29,27,18,39,59,39,21,49,7,11,25,16,KLHL7
9,18,6,14,15,11,19,19,17,20,20,35,14,1,5,12,HERPUD2
580,346,126,528,299,498,550,543,866,777,635,692,326,192,322,296,CBX3
912,472,245,428,482,922,1027,1059,1114,1003,769,676,587,296,391,397,HNRNPA2B1
48,75,16,72,64,128,88,109,109,108,37,130,77,44,59,33,FAM126A
0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,HOXA7
547,305,270,254,227,291,279,418,1665,1598,1328,2098,729,348,546,857,INHBA
0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,FKBP9
146,83,84,73,112,122,190,107,258,214,157,149,127,38,99,118,NT5C3A
25,10,49,14,32,39,86,49,64,55,85,107,83,39,57,62,ARL4A
42,20,2,34,34,35,39,46,40,56,55,30,51,32,43,11,CCZ1
98,90,0,182,57,77,15,178,103,133,79,92,53,78,24,41,POLM
261,169,52,197,168,208,178,260,219,257,264,412,103,111,114,165,MRM2
26,10,5,18,12,23,53,23,32,13,25,27,17,7,13,7,SMU1
