,x,y
open regions,-63.98059,45.210884
super_enhancer,-20.290377,-115.312256
FLAG_MEF2D,-127.21336,-113.02831
TFAP4,125.13724,116.481766
FLI1,-69.29228,-47.38716
RUNX1,-83.01489,90.12963
MAX,43.096184,-21.138752
LMO2,100.18636,-59.428246
PLAGL2,61.855366,-106.45174
FOSL2,4.3628106,140.10605
SP1,229.25592,-46.43608
RXRA,136.21417,100.49379
LYL1,-96.87177,123.658134
FLAG_GFI1,-202.23651,-172.7166
HOXA9,-178.5934,64.86165
STAT5B,-19.621237,-28.86556
MEIS1,-147.99832,69.08342
ETV6,-91.550224,-39.32613
ZNF281,-149.16068,-109.947235
MYC,62.573242,-28.813095
RUNX2,-89.84282,71.01678
SPI1,-346.91122,-28.22425
ZMYND8,-11.968761,24.13822
IRF8,-599.76874,333.73187
ZEB2,15.95342,41.645138
GATA2,-105.48838,151.73146
E2F3,114.47708,-178.7132
MYB,-116.69052,23.076101
SREBF1,109.71613,-201.6175
CEBPA,-179.75392,173.83618
MEF2C,-107.68392,-137.09111
MLL_KTM2A,-269.18802,136.38864
MYBL2,-206.40639,14.373808
POLII,8.051187,-71.95477
PSER2,-2.5375512,263.24094
RARA,29.111572,-162.1431
cohesin,154.8327,202.41045
WDR5,104.01788,-23.780466
JUND,-17.683558,118.66449
LDB1,-243.21861,-11.583744
mediator,12.709237,-40.145905
IKZF1,15.8061905,5.545594
FOXP1,-111.705154,51.824036
GSE1,-226.86519,-23.18768
AFF4,109.94658,37.801388
BRD4,57.061806,10.960289
CDK13,-264.01657,6.6529984
IRF2BP2,-13.102859,79.18496
CDK9,79.956764,28.31804
CEBPB,-170.68713,191.89684
CTCF,148.31087,220.62459
ELF2,56.500248,-76.78815
H3K18,167.33263,-104.35271
H3K27ac,145.10728,-91.048904
H3K27me3,197.09479,2.7365603
H3K36me2,168.81459,-136.9344
H3K36me3,-2.1045525,283.19177
H3K4me1,-258.77448,153.09634
H3K4me3,183.34773,-60.566196
H3K79me2,217.43192,-99.43602
H3K9ac,186.19562,-82.01456
promoter,186.24289,-29.095396
