,x,y
open regions,196.92278,-167.10828
super_enhancer,-13.707089,-136.68616
FLAG_MEF2D,-11.986195,182.74219
TFAP4,-33.616,-410.64398
FLI1,-331.5873,155.76703
RUNX1,-179.2858,-123.703804
MAX,16.715164,231.80856
LMO2,30.55406,285.30023
PLAGL2,-262.71738,140.15532
FOSL2,69.41294,-110.280685
SP1,-21.743265,317.3905
RXRA,-50.097122,-434.12787
LYL1,-131.13,-155.59897
FLAG_GFI1,5.4707537,-61.95934
HOXA9,-251.88339,-245.04993
STAT5B,32.664604,-75.27548
MEIS1,-231.22377,-213.5856
ETV6,-307.05978,150.81882
ZNF281,-27.793566,140.28229
MYC,-3.3179135,257.1221
RUNX2,-210.21817,-125.35629
SPI1,233.25192,-175.91946
ZMYND8,59.771168,253.73279
IRF8,263.46228,-180.88716
ZEB2,67.76756,-32.035095
GATA2,-84.79273,-157.21591
E2F3,-46.266777,360.95514
MYB,-197.91505,-167.50237
SREBF1,-67.21126,392.94232
