,IRF8,RUNX1,HOXA9,FLI1,TFAP4,MAX,FLAG_MEF2D,ZEB2,PLAGL2,RUNX2,SP1,FOSL2,CEBPA,RXRA,E2F3,ZMYND8,ETV6,GATA2,ZNF281,FLAG_GFI1,SPI1,LYL1,MEIS1,MYB,MEF2C,MYC,SREBF1,LMO2,STAT5B,AFF4,BRD4,CDK13,CDK9,CEBPB,ELF2,FOXP1,GSE1,IKZF1,JUND,LDB1,MLL_KTM2A,MYBL2,PSER2,RARA,WDR5,IRF2BP2,POLII,cohesin,mediator,promoter,super_enhancer,open regions,H3K18,H3K27ac,H3K27me3,H3K36me2,H3K36me3,H3K4me1,H3K4me3,H3K79me2,H3K9ac
SP1,0.0,0.0,1.1732136383628802e-58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7615315272611583e-164,1.4444587607253158e-162,0.0,0.0,0.0,0.0,1.4156815669739315e-64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9379165423034562e-20,0.0,0.0,0.0,0.0,6.180524107441607e-13,0.0,0.0,1.0,2.0854758929069145e-29,2.7902262194510382e-104,0.0,0.0,4.225902989438259e-272,0.0,0.0,0.0,0.0,0.0,3.952624088609297e-80,3.053772030876864e-30,0.0,0.0,4.233188977013604e-79,2.1572230228240275e-259,1.0,1.930076105520646e-17,0.0,0.0,0.0
FOSL2,1.9226244743512325e-89,1.0203754508234619e-137,2.3144091287675557e-57,2.4822290274798974e-100,0.0,6.883303829778496e-131,4.474730088642665e-110,9.351065003126026e-82,6.476080724896755e-220,3.80766457544976e-88,1.9120858426244022e-115,0.0,1.067198921872199e-49,1.88772886345925e-310,1.2251169361203967e-189,1.6245284482582683e-206,2.9438700291484205e-121,5.857613749279143e-37,6.241091303779513e-128,3.4953590660888346e-130,1.5980546160435071e-15,2.3678066257739557e-227,1.5448554635765597e-169,3.1107799232037744e-187,1.7831770812963508e-256,7.248058448995507e-102,2.3840291326280085e-271,1.681988412846379e-87,3.7998825906465683e-267,3.927370026836731e-66,3.15603689297012e-182,8.120697975763753e-12,6.610177313229012e-61,1.5917681090397384e-126,9.626998569907229e-56,3.777486922659441e-229,5.215905544095109e-18,1.0399137557052367e-120,0.0,0.10579122632950862,3.3340087070244085e-108,1.1438504391754178e-12,1.0,2.0075527e-317,0.09031541929315455,0.0,6.05090733344231e-41,2.3557494964931986e-26,5.541348243655499e-243,1.0,5.718067790801041e-05,1.0,1.3099179628449168e-41,8.804616432500458e-40,5.056983873369431e-13,1.0,0.00016480210461758884,2.562143496562084e-35,8.034859465800819e-05,1.0,1.3024576592492454e-20
CEBPA,0.0,0.0,7.486086494155011e-180,0.0,0.0,0.0,0.0,0.0,1.411561467361689e-54,0.0,1.412213861902864e-248,1.2726890414543133e-106,0.0,2.132577216148011e-289,3.4994859861472385e-18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000778572823909e-34,1.105804074162562e-286,0.0,1.0,0.0,0.5775383367466834,0.0,0.0,4.22836e-319,0.0,4.822468805385444e-42,0.0,0.0,0.10669233315986383,0.0,1.0,5.296678299407467e-14,1.6967434166769883e-158,1.0,0.0,7.139765305321739e-45,1.0,0.0,2.225330378065785e-52,1.0205185203283023e-53,0.000601501806992788,4.090630915584452e-221,0.0,1.959241081458185e-118,1.0,2.2883170102822945e-32,0.0,1.0,4.545045552558289e-25,4.6682809871083616e-27
RXRA,0.0,0.0,5.2785493334003754e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.160742968090377e-160,0.0,0.0,0.0,0.0,2.376405517243756e-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.401388756572802e-21,0.0,0.0,0.0,0.0,3.466666836476311e-27,0.0,0.0,0.03949385819337609,9.965891230056955e-111,8.678711703477805e-73,0.0,0.0,2.8985002202629534e-154,0.0,0.0,0.0,0.0,0.0,2.639155615550343e-62,4.7464550657025395e-12,0.0,0.0,0.0008588757219468271,2.8249646083800847e-120,1.0,1.4176851925397605e-70,0.0,0.0,0.0
E2F3,0.0,0.0,7.952048194013528e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9771502467877444e-235,4.302419461234167e-10,0.0,0.0,0.0,0.0,6.776780457309917e-25,0.0,0.0,0.0,2.49869518034265e-310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.483822204865027e-28,0.0,0.0,0.0,0.0,3.648104725163334e-19,0.0,4.576423480313998e-284,1.0,6.403998601010676e-07,1.9922485821098145e-164,0.0,0.0,6.960988809354789e-295,0.0,0.0,0.0,0.0,0.0,2.2010611862378095e-42,1.3441490811339648e-25,0.0,0.0,1.1590865118041206e-47,1.6289777265067812e-118,0.008326294621378096,1.680456365501304e-20,0.0,0.0,0.0
ZMYND8,0.0,0.0,2.4572512254578567e-156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.440477341438684e-290,0.0,0.0,0.0,0.0,0.0,1.186663900712233e-224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9275884719078973e-19,0.0,0.0,0.0,0.0,1.509376885662836e-43,0.0,0.0,1.0,0.0,6.031417365439422e-100,0.0,0.0,2.5114016210460814e-260,0.0,0.0,0.0,0.0,0.0,2.6247240412968192e-77,7.182686168869249e-49,0.0,0.0,1.0,3.0607120115036952e-133,2.652026662047574e-07,4.994876855110322e-267,0.0,0.0,0.0
ETV6,0.0,0.0,2.099135919579829e-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.040957604448598e-127,5.421619190652378e-190,0.0,0.0,0.0,0.0,1.998517197651126e-122,0.0,0.0,9.543212264183652e-303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.490641077622533e-48,0.0,0.0,0.0,0.0,1.1420817560181e-63,0.0,0.0,1.166980264789833e-12,3.602627894989514e-99,2.355056147405777e-48,2.2137273584073627e-162,0.0,4.0700095261084605e-92,0.0,0.0,0.0,0.0,0.0,2.837542069694792e-23,5.4580816134206116e-06,0.0,0.0,0.05436119325956007,1.0733516979554805e-21,1.0,4.455710519796223e-91,0.0,3.112027779788195e-291,0.0
GATA2,1.4876086032771616e-152,2.5171430953269097e-186,1.2325551155053212e-100,2.477198268734481e-162,4.189728359109955e-90,4.002074916014197e-96,3.327700510401391e-190,1.572022839849897e-65,7.675700583841009e-32,4.427437246331536e-166,6.5796306959255175e-52,9.066326369295936e-41,1.0059834052002359e-297,1.954589458341374e-84,5.177692927215369e-23,2.65840503099528e-184,2.3189204431601387e-130,0.0,1.4655185894106228e-07,1.438439802255787e-107,1.7585725213822135e-113,0.0,8.103103970237941e-219,3.250296995507918e-274,1.4020176816747422e-235,1.4174892224903555e-100,3.5324102928014274e-27,8.879447443451738e-110,8.064197634252268e-141,5.097390143379239e-13,9.690198291604023e-155,1.6376985248610747e-13,6.444087124315945e-92,4.938928534244024e-80,7.269094484396927e-80,1.131672943637425e-309,8.313200539867659e-124,2.995231737680901e-143,9.76798886590741e-148,3.533394622787544e-45,1.0689541431585682e-210,1.1227582687712402e-18,0.09200996157236789,1.0945224888150223e-61,1.0,2.5728599924511853e-212,4.05749505874917e-19,1.0,1.0692878066328027e-203,0.0028075674510874347,5.557121613837293e-25,1.0,1.182892127922949e-32,6.137986909486518e-58,0.5903006087015354,0.8220474975415613,0.04061771455015106,6.997587641253291e-187,0.09071694416690433,0.25223318206189255,1.0822552508508166e-08
ZNF281,8.080352356925787e-305,0.0,0.04051410571077536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4880017208656227e-161,1.0,0.0,0.0,0.0,0.0,1.637977078657465e-08,0.0,0.0,2.9900229248183753e-197,1.799542648845954e-255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166789795937709e-20,0.0,0.0,0.0,0.0,2.5631641742661265e-05,0.0,4.6722893193057874e-123,1.0,1.0,1.2590986477914948e-72,0.0,0.0,1.357263930223629e-152,0.0,0.0,0.0,0.0,0.0,5.407711390597328e-57,0.0004654019852905079,0.0,0.0,5.233967382958863e-66,2.92711455841473e-181,0.4919216320149432,1.0,0.0,0.0,0.0
FLAG_GFI1,0.0,0.0,1.1548097275798554e-61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.645104133118265e-179,4.2689477583858245e-291,0.0,0.0,0.0,0.0,7.030999613474778e-130,0.0,0.0,1.1446288321626211e-204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.306369269383702e-09,0.0,0.0,0.0,0.0,3.5449562653658375e-238,0.0,2.2315678614603687e-160,1.0,1.1713092733597163e-89,1.9984319645176796e-26,5.018985741961493e-49,0.0,5.5726699299564226e-45,0.0,0.0,0.0,0.0,0.0,2.8890813782926985e-28,1.0,0.0,8.023877632851689e-159,8.267003672900816e-156,5.359856510377472e-23,1.7628217039988733e-13,1.094497968977627e-46,0.0,1.9359679266333682e-103,0.0
SPI1,0.0,0.0,1.2123784112269907e-69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.885861414318517e-52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8265356891798863e-174,0.0,1.0,0.0,0.0,0.0,0.0,0.009517047511060252,0.0,3.41946e-318,1.0,0.0,5.588157409558828e-07,1.304265505348115e-07,0.0,1.0830697111859863e-54,0.0,0.0,1.226584917401114e-215,0.0,0.0,3.3401430938020257e-40,0.05959173673782577,0.0,0.0,2.9230272504154964e-70,1.9405240494779152e-32,2.1086577022211385e-98,0.0,0.0,1.416720455136347e-226,0.0
