,IRF8,RUNX1,HOXA9,FLI1,TFAP4,MAX,FLAG_MEF2D,ZEB2,PLAGL2,RUNX2,SP1,FOSL2,CEBPA,RXRA,E2F3,ZMYND8,ETV6,GATA2,ZNF281,FLAG_GFI1,SPI1,LYL1,MEIS1,MYB,MEF2C,MYC,SREBF1,LMO2,STAT5B,AFF4,BRD4,CDK13,CDK9,CEBPB,ELF2,FOXP1,GSE1,IKZF1,JUND,LDB1,MLL_KTM2A,MYBL2,PSER2,RARA,WDR5,IRF2BP2,POLII,cohesin,mediator,promoter,super_enhancer,open regions,H3K18,H3K27ac,H3K27me3,H3K36me2,H3K36me3,H3K4me1,H3K4me3,H3K79me2,H3K9ac
IRF8,1.0,0.03967932846130459,0.03018018712980306,-0.0021547088368324705,0.02499433625317152,-0.06287702935605055,0.025123559875730138,0.008498425512014882,-0.01671912719552856,0.05215377939983172,-0.12046089284842333,0.01250113917790677,0.007997882449428496,0.018807753811098227,-0.06456331265717154,0.025236075646224317,0.015607017781005674,0.04085946619390559,-0.010816176592894904,0.0765628610212156,0.4070518732556896,0.036263134065976754,0.06884136535299136,0.006651230777162717,0.04560539157842362,-0.05457621918144124,-0.006679360260306291,-0.04601400958410185,0.04645634734930249,0.019381248464444233,0.05246254355039001,-0.0338193616509185,0.03292132068359175,-0.001331574885868791,-0.07175857688816642,0.04054304823913776,-0.08802860176009568,0.0580060549404466,0.035253502527567315,-0.24746862379794596,0.09516690924997226,0.003865961932350646,-0.0017684645682268633,0.026477608130583332,-0.1301216511166934,0.05550145362246075,-0.06357013996105514,-0.09968706788486878,-0.04640096144100347,-0.09115594947572525,-0.015896906066277236,0.0855767063460382,-0.10211051124626744,-0.09556844554908199,-8.743153511129882e-05,-0.009923342735755169,-0.03952894611456689,0.0554748493078516,-0.22501861638676496,-0.04015767517904795,-0.16180632436574408
RUNX1,0.03967932846130456,1.0,0.04815734266178942,0.3132632550910251,0.09656404385233097,0.2969133513288246,0.12809342495969023,-0.004308483267527936,0.06529640350738244,0.7350302501340611,0.13970651074476512,-0.010443268826749763,0.17832019666133936,0.06559618451499498,0.04840261021585179,0.3526180186154038,0.07923060808160107,0.07537804262696296,-0.023999394863255835,0.13767781653183134,0.18050657511961618,0.23858405668272445,0.16183073677800422,0.21130205523767906,0.03549381267578075,0.26160027887639753,0.01975065748463011,0.1455697608396265,0.08237852433906781,0.172411909860709,0.3109149831402309,0.2170049914337816,0.320120819579321,0.22212885518656325,0.12524729509951982,0.2808745685860993,-0.017965832866857774,0.2158204321002526,0.05108030077568481,-0.11715537611885987,0.16265372552232443,-0.045056781430333495,0.056490005991679325,0.011107219348481313,-0.07798936516650999,0.24117540821875819,0.12580781787842657,0.048239723067253173,0.1635480832418427,0.12002003279198713,0.2419052306304809,0.10326246650105492,0.1557586453877159,0.1596847357078885,0.04791943425768064,0.011659073747307777,0.06112849029261566,0.04954096855844142,-0.00014326641510265138,0.006307541943007708,0.08345598676893357
HOXA9,0.03018018712980309,0.04815734266178932,1.0,0.0018713539764574018,0.033608103311243046,0.0017403846583957324,0.05697804638274219,0.23656602944088934,-0.05737266258585072,0.034199724956775784,-0.008991967757991689,-0.04450838701000639,-0.04672604236929434,-0.012231219228790328,-0.05694097125577383,-0.03688982665441953,-0.045052834562018536,0.10402843285665331,-0.04235641727199548,-0.027835215391732306,-0.00618007887394441,0.09755137913949766,0.3464141089679173,-0.008683599272454528,0.10125293002094794,0.047584148117082246,-0.0038110321267134663,0.03182042149017127,-0.03221295720861855,0.303206983840403,0.10763720373486765,0.19104402010496224,0.001948136562198008,-7.634318225242319e-05,-0.022781759532244785,-0.04786723594345719,0.7820327622891978,-0.023148342652578088,0.5611713161629672,0.5143082652647681,0.0891485810371736,0.544320991646506,-0.1176559754435804,-0.09023901989912103,-0.1932820262375695,0.317045260525709,-0.0736671179508471,-0.0042053293167487946,-0.0484783169781814,-0.03694257046574833,-0.27121727329024453,-0.043067896283252485,-0.0019488183711936897,-0.07656438279248036,-0.3110427842892612,0.09238404582386518,-0.1229117109925217,0.024274311305968906,-0.1493215787847122,0.06391548358282917,-0.08488182005275247
FLI1,-0.0021547088368324687,0.31326325509102515,0.0018713539764573326,1.0,0.06099627450575189,0.24934817650631982,0.06559244288696742,-0.0018528105219575745,0.11370090940186292,0.28346551508957124,0.020095483203894392,-0.01029013915381832,0.10644584292876007,0.021158287815967236,0.03629135571426889,0.24524698186570212,0.4321269287960206,0.032811191445456266,-0.019506255603657142,0.07040432333944305,0.12930874434078976,0.2944506088847034,0.07574014753803547,0.09921236399544216,-0.018332468967872523,0.19486772736586216,0.01085284994183508,0.1369906479776529,0.031358680796777914,-0.013258931701475588,0.16613271725302742,-0.049053868246658035,0.24254610561641737,0.12815310663573407,0.31956083410450503,0.1528263190470908,0.055229424799554235,0.15316901240279754,-0.008158409123561146,-0.16681616234506091,0.06733884405725628,-0.1962793539791441,0.06076887831644717,0.008624269696169523,0.12716222337280564,0.10040930609300505,0.11830135622908183,0.007584626876412848,0.157087763438048,0.17207022765363594,0.22268470628143527,0.10822454744230796,0.1512248152962296,0.208580982840402,0.021676108681393188,0.007135234129444897,0.12488022658029825,0.03959924835995757,0.07637693212745478,0.03869497133892854,0.13195872542231674
TFAP4,0.024994336253171497,0.09656404385233097,0.033608103311243094,0.060996274505751846,1.0,0.07115548803678172,0.07670623631064687,-0.002356111837050423,0.04154417301378424,0.0832618057105032,0.00291014366172923,0.2561048737941569,0.04841574358666492,0.8067440179842406,0.1092501778575912,0.04718890122116989,0.022202589311209463,-0.013637641966008024,0.00868470071416071,0.07703410440727579,0.045111824890815076,0.10350520434798152,0.03305967198418617,0.031247547673005006,0.059931606579297476,0.05400559194822279,0.1582323613193601,0.01450658678267761,0.04203864913848618,0.10992539734424596,0.06190038701514561,-0.18921474290811566,0.08269035298547857,0.06350060781274025,0.01899619847688157,0.06053066546376432,0.02936486289563378,0.06104409697627511,0.17643586580561973,-0.07631490417768431,0.04461574825122232,0.09826346981376545,0.04937085596946486,0.20811379993149437,-0.09147564453749846,0.20041904578310646,0.03336031042151649,0.010092278209812991,0.06570568111788462,0.005119068121135928,0.07531657769463336,0.019463692830270066,0.011005612418600503,0.00596018208872841,0.10139097058532946,-0.009873268944154025,0.025502109597661488,0.005416323734353082,-0.021445824709268996,-0.016178871139724743,-0.011258610390836307
MAX,-0.06287702935605051,0.29691335132882457,0.001740384658395702,0.24934817650632002,0.07115548803678166,1.0,0.09826383945923874,0.012346143445245013,0.07404871006463783,0.3270438304457491,0.32605785033269014,-0.013001396688089275,0.09740026204111832,0.027643288938132733,0.24542337296871813,0.3448898074051574,0.13426204656555796,-0.0006496198692335017,-0.012079812207201484,-0.05035603919323111,0.07623936128770725,0.1317859586932761,0.033804227259386095,0.16989692542220128,-0.11408399150073166,0.7123689475876664,0.014367138777724404,0.2693209187808999,0.016214143984948783,-0.060242303276447313,0.33365999740825975,-0.056853054066832685,0.32801541834508974,0.15082977661227656,0.4149122008428226,0.2919077703625906,0.021294629950660577,0.22874956545777744,0.00734348123157077,0.08305482979757253,0.08644434091036889,-0.04607943153716409,0.07488746818202964,-0.052712032687849526,0.11668551882869818,0.15765428887772198,0.2606912221881472,0.09302235006954176,0.3404369893565473,0.5125881666417453,0.2693625061560018,0.17899077843273145,0.47132187789655633,0.5074498311999233,-0.004632508067011649,0.031724611062343006,0.15140602478579337,0.003847938873180492,0.3911384472428739,0.04383840621101133,0.4435967817929659
FLAG_MEF2D,0.02512355987573014,0.1280934249596902,0.056978046382742155,0.06559244288696744,0.07670623631064691,0.09826383945923875,1.0,0.0592961479318372,0.08438570979796287,0.12380440235620042,0.03181766586102605,0.1850096001400375,0.07158191538457137,0.07860931660018769,0.08284385237085709,0.1605585183468934,0.027417771383948464,0.031117306205829923,0.5022430493436328,0.274275861657227,0.053871068025207275,0.045998220733764396,0.0514087290636742,0.09627226285736772,0.4913186952684629,0.1316197135353693,0.11790627335564782,0.17230378064232277,0.1145211610620739,0.2356352715129114,0.1902758399413302,0.007566048371561573,0.1455728619028491,0.046561594388449985,0.0785274542173395,0.16548632241857972,0.1361454180492989,0.10296536028261241,0.08016286176821584,0.1618663304880629,0.06393235068806537,0.07313946242268875,0.04539948236468074,0.2166631165378699,-0.06946334427949917,0.18003449415319456,0.10440239613678537,0.10751653083348348,0.25957123897119705,0.0060878743873645285,0.1572312441530182,-0.05930049205425169,0.10236406697571604,0.11326949062577289,-0.00021162001396505186,-0.00821917794298102,0.003805565420479742,0.04706192944719989,0.07420577568225804,0.06134948011600169,0.08461729406631328
ZEB2,0.008498425512014874,-0.00430848326752796,0.23656602944088873,-0.001852810521957568,-0.002356111837050435,0.012346143445245003,0.059296147931837184,1.0,-0.004439761494250242,-0.005074719715087209,0.0038824551767843818,-0.009214978183711179,-0.00044957772912778457,-0.006907242320013314,0.017324869572667708,0.05942298941615966,0.025663089461843463,0.013274657625109487,0.015458836092931244,-0.020221004810999164,0.006522301586597121,0.040270054200236854,-0.02349332459007108,0.023687191060612435,-0.011355773047344591,-0.02177806419746793,-0.005874394179092323,0.05560231784536409,-0.003461448529244479,0.02600845349033482,0.037719204938779366,0.0018652226403868548,0.07000020527073197,-0.0017512333683951796,0.02472315103337673,0.028619539667910948,0.28830367772231225,0.024912999938928215,0.14144181482709614,0.5373089981180952,0.005808407674919765,0.19606210552986716,-0.022979702214235998,-0.02871026696249193,-0.14615917076262044,0.08822592437044392,0.040658567752133314,0.1559866496231662,0.0114519844117041,-0.027597629503410447,-0.052470773391232586,-0.08917632717409697,-0.02527504343465683,-0.015924432285474528,0.006829972974992185,-0.009404518809199671,-0.0012529866693383564,-0.010625493230043864,0.019681702805490017,-0.03238007545006902,0.004411049930348803
PLAGL2,-0.016719127195528545,0.06529640350738239,-0.05737266258585072,0.11370090940186289,0.04154417301378428,0.07404871006463784,0.08438570979796281,-0.0044397614942502436,1.0,0.049647830544332625,0.0341232239277275,0.4564604537349316,-0.014452713721139071,0.029277175224114185,0.03777974505772189,0.04513706303102386,0.21282872138521697,-0.015459189370873509,0.0789551350037484,0.06672152321588727,0.008827813770894864,0.02866539446284482,-0.018389911254045647,-0.00125330818184015,0.021523371059229187,0.06587686168833574,0.018158585547124153,0.057385512855841585,0.0749914724582033,-0.005815359361572853,0.04210710174158734,-0.0053772186544704705,0.0658873186196175,-0.004302747858949513,0.18408459511829534,0.03262231438703979,0.0208960779068416,0.035378723761118565,0.4171624308343606,-0.15380400460304156,-0.05082187814440211,0.1011402596938094,0.01892829578250202,0.43046397173613143,0.013324805693463658,0.031084319579897726,0.03567779596681363,0.0133344407181162,0.07982412870165849,0.07935132223121413,0.1227365861063931,0.025084714144945713,0.06890328198749009,0.09841668184308593,-0.02016464179285071,-0.0031715751265456358,0.019976806935309798,-0.026431264002781348,0.04780666997528875,0.0247248224448707,0.08298754831712107
RUNX2,0.052153779399831714,0.7350302501340618,0.03419972495677579,0.28346551508957085,0.08326180571050319,0.32704383044574914,0.12380440235620033,-0.005074719715087198,0.04964783054433266,1.0,0.06478255980925762,-0.015809366691209744,0.19340703828560007,0.057616848292796764,0.060788939869218565,0.4036859611388399,0.08023040120415569,0.07098122170843185,-0.034271663916077194,0.1277790674215413,0.18467035036903476,0.20473345509217322,0.20224086015660395,0.2076446922064428,0.03452631287038472,0.2468985029571137,0.0072089121784168686,0.15213791423023923,0.0655654427498871,-0.009590443962683054,0.2280022170206984,-0.062042080102724176,0.22653124635386435,0.18465366140827075,0.14712284663887243,0.3735797616120514,-0.16184122876420243,0.18211078681631643,0.02512284285669401,-0.10460888185294258,0.14630701367684287,-0.061109108170812984,0.04780630276459534,-0.0012466284513468718,0.016493496754864233,0.1628585833053958,0.13390567580553658,-0.007079026103345984,0.17235361373335914,0.1383161740027208,0.1369489966976068,0.23444631892051315,0.14866831524938764,0.19728703130171665,0.006677805934343166,0.009480782811074284,0.08522361763695303,0.08877128455758627,0.05168452880785474,0.012194518380733748,0.10858841903529877
