,mr371-MV411-IRF2BP2-dTAG-DMSO_3h-r1_tcount,mr372-MV411-IRF2BP2-dTAG-DMSO_3h-r2_tcount,mr373-MV411-IRF2BP2-dTAG-DMSO_3h-r3_tcount,mr374-MV411-IRF2BP2-dTAG-DMSO_3h-r4_tcount,mr375-MV411-IRF2BP2-dTAG-VHL_3h-r1_tcount,mr376-MV411-IRF2BP2-dTAG-VHL_3h-r2_tcount,mr377-MV411-IRF2BP2-dTAG-VHL_3h-r3_tcount,mr378-MV411-IRF2BP2-dTAG-VHL_3h-r4_tcount,mr379-MV411-IRF2BP2-dTAG-DMSO_6h-r1_tcount,mr380-MV411-IRF2BP2-dTAG-DMSO_6h-r2_tcount,mr381-MV411-IRF2BP2-dTAG-DMSO_6h-r3_tcount,mr382-MV411-IRF2BP2-dTAG-DMSO_6h-r4_tcount,mr383-MV411-IRF2BP2-dTAG-VHL_6h-r1_tcount,mr384-MV411-IRF2BP2-dTAG-VHL_6h-r2_tcount,mr385-MV411-IRF2BP2-dTAG-VHL_6h-r3_tcount,mr386-MV411-IRF2BP2-dTAG-VHL_6h-r4_tcount
NAT1,0.13100436681222707,0.11888111888111888,0.059322033898305086,0.023529411764705882,0.07,0.013157894736842105,0.01282051282051282,0.023809523809523808,0.0,0.0,0.0,0.0070921985815602835,0.022988505747126436,0.0,0.03225806451612903,0.011111111111111112
AAMP,0.027968036529680364,0.031426269137792104,0.017543859649122806,0.013812154696132596,0.015408320493066256,0.01365546218487395,0.019853709508881923,0.004750593824228029,0.007213706041478809,0.00812536273940801,0.007416563658838072,0.002205071664829107,0.0027100271002710027,0.01079136690647482,0.013949433304272014,0.006124234470691163
AARS1,0.023731587561374796,0.01805728518057285,0.013472137170851195,0.015127388535031847,0.004306632213608958,0.009410288582183186,0.00964630225080386,0.006702412868632708,0.006802721088435374,0.01119157340355497,0.00922266139657444,0.016375545851528384,0.02073365231259968,0.011661807580174927,0.02841530054644809,0.0031645569620253164
ABAT,0.036036036036036036,0.04819277108433735,0.015384615384615385,0.08620689655172414,0.0,0.015873015873015872,0.047619047619047616,0.0,0.0,0.0,0.02564102564102564,0.047619047619047616,0.0,0.0,0.04081632653061224,0.0
ABCA1,0.07894736842105263,0.06397306397306397,0.05202312138728324,0.037037037037037035,0.014084507042253521,0.01818181818181818,0.02976190476190476,0.016260162601626018,0.00980392156862745,0.006802721088435374,0.012658227848101266,0.041666666666666664,0.05128205128205128,0.0,0.058823529411764705,0.0
ABCA2,0.04355108877721943,0.01991150442477876,0.024242424242424242,0.012096774193548387,0.0044444444444444444,0.0297029702970297,0.02040816326530612,0.011695906432748537,0.009324009324009324,0.0176678445229682,0.004761904761904762,0.01020408163265306,0.008583690987124463,0.0196078431372549,0.005050505050505051,0.002967359050445104
ABCA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB7,0.009174311926605505,0.06666666666666667,0.0,0.0,0.038461538461538464,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0
ABCF1,0.25,0.2,1.0,0.0,0.0,0.0,0.25,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABL1,0.09908110267678785,0.10054054054054054,0.07228915662650602,0.06877113866967305,0.05611672278338945,0.04968454258675079,0.04288164665523156,0.061872909698996656,0.031491002570694086,0.02232346241457859,0.02872340425531915,0.016963528413910092,0.027777777777777776,0.0186799501867995,0.034262948207171316,0.012106537530266344
