,mr371-MV411-IRF2BP2-dTAG-DMSO_3h-r1_tcount,mr372-MV411-IRF2BP2-dTAG-DMSO_3h-r2_tcount,mr373-MV411-IRF2BP2-dTAG-DMSO_3h-r3_tcount,mr374-MV411-IRF2BP2-dTAG-DMSO_3h-r4_tcount,mr375-MV411-IRF2BP2-dTAG-VHL_3h-r1_tcount,mr376-MV411-IRF2BP2-dTAG-VHL_3h-r2_tcount,mr377-MV411-IRF2BP2-dTAG-VHL_3h-r3_tcount,mr378-MV411-IRF2BP2-dTAG-VHL_3h-r4_tcount,mr379-MV411-IRF2BP2-dTAG-DMSO_6h-r1_tcount,mr380-MV411-IRF2BP2-dTAG-DMSO_6h-r2_tcount,mr381-MV411-IRF2BP2-dTAG-DMSO_6h-r3_tcount,mr382-MV411-IRF2BP2-dTAG-DMSO_6h-r4_tcount,mr383-MV411-IRF2BP2-dTAG-VHL_6h-r1_tcount,mr384-MV411-IRF2BP2-dTAG-VHL_6h-r2_tcount,mr385-MV411-IRF2BP2-dTAG-VHL_6h-r3_tcount,mr386-MV411-IRF2BP2-dTAG-VHL_6h-r4_tcount
AOC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABL2,0.20660621761658032,0.16956521739130434,0.1141826923076923,0.0791599353796446,0.04985337243401759,0.05374823196605375,0.057057057057057055,0.04906542056074766,0.04550625711035267,0.01828681424446583,0.019801980198019802,0.03038309114927345,0.026501766784452298,0.03962264150943396,0.045454545454545456,0.029411764705882353
ABR,0.3146853146853147,0.28,0.1839080459770115,0.17543859649122806,0.1794871794871795,0.1411764705882353,0.20481927710843373,0.1935483870967742,0.09375,0.0761904761904762,0.08163265306122448,0.09259259259259259,0.08333333333333333,0.12903225806451613,0.20930232558139536,0.07142857142857142
ACAA1,0.026281208935611037,0.039159503342884434,0.02088167053364269,0.027739251040221916,0.0112,0.011061946902654867,0.011185682326621925,0.02729528535980149,0.00228310502283105,0.011527377521613832,0.007936507936507936,0.010282776349614395,0.0036968576709796672,0.01107011070110701,0.011160714285714286,0.004484304932735426
ACACB,0.07547169811320754,0.16981132075471697,0.06896551724137931,0.0,0.05263157894736842,0.08,0.034482758620689655,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.03571428571428571,0.0
ACADM,0.008301051466519093,0.008865248226950355,0.002699055330634278,0.0014858841010401188,0.0012706480304955528,0.0015128593040847202,0.001838235294117647,0.00663716814159292,0.005376344086021506,0.011627906976744186,0.0021008403361344537,0.004301075268817204,0.006622516556291391,0.0023094688221709007,0.0,0.0
ACADS,0.0297029702970297,0.056338028169014086,0.025,0.06896551724137931,0.0,0.029850746268656716,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.037037037037037035,0.02127659574468085,0.03076923076923077,0.024390243902439025
ACADSB,0.022465088038858532,0.021434460016488046,0.010166358595194085,0.00782122905027933,0.0036798528058877645,0.004699248120300752,0.007100591715976331,0.010033444816053512,0.007308160779537149,0.001936108422071636,0.004629629629629629,0.003937007874015748,0.0,0.005649717514124294,0.011703511053315995,0.00847457627118644
ACADVL,0.011264080100125156,0.007233273056057866,0.0136986301369863,0.008849557522123894,0.01256281407035176,0.001953125,0.004123711340206186,0.015748031496062992,0.004477611940298508,0.003468208092485549,0.002288329519450801,0.0,0.007228915662650603,0.004784688995215311,0.003367003367003367,0.00546448087431694
ACAT1,0.023728813559322035,0.02127659574468085,0.01735357917570499,0.0,0.005988023952095809,0.0022624434389140274,0.002257336343115124,0.0043859649122807015,0.004761904761904762,0.009554140127388535,0.006191950464396285,0.0025,0.003355704697986577,0.006600660066006601,0.01272264631043257,0.0
ACAT2,0.0014666340747983377,0.002797761790567546,0.0006357279084551812,0.0009797517962116264,0.0013635124079629125,0.0006825938566552901,0.0007830853563038371,0.0005524861878453039,0.0007748934521503294,0.0002559508574353724,0.0008342602892102336,0.00023110700254217703,0.001671309192200557,0.001322314049586777,0.0008267879288962381,0.0
ASIC1,0.003289473684210526,0.00966183574879227,0.022857142857142857,0.01639344262295082,0.01904761904761905,0.021739130434782608,0.02654867256637168,0.02531645569620253,0.014084507042253521,0.0,0.0,0.0,0.08196721311475409,0.014285714285714285,0.05319148936170213,0.0
ACLY,0.03145966900253466,0.03866513233601841,0.012095713910070997,0.011668243456322927,0.007288629737609329,0.008933405522468869,0.0115521327014218,0.012613521695257316,0.004838709677419355,0.0061627696211709266,0.002528800224782242,0.0037638202775817455,0.005931784478497282,0.0036900369003690036,0.007862407862407862,0.0008389261744966443
ACO1,0.016563146997929608,0.012539184952978056,0.008097165991902834,0.008368200836820083,0.00411522633744856,0.007782101167315175,0.007168458781362007,0.016666666666666666,0.0031746031746031746,0.004672897196261682,0.004694835680751174,0.009615384615384616,0.0,0.0,0.017921146953405017,0.0
ACO2,0.01779603011635866,0.011099899091826439,0.0044943820224719105,0.008733624454148471,0.004909983633387889,0.003484320557491289,0.002484472049689441,0.007142857142857143,0.002254791431792559,0.0015785319652722968,0.0029154518950437317,0.0025806451612903226,0.003527336860670194,0.0036900369003690036,0.005720823798627002,0.0033594624860022394
ACOX1,0.05059920106524634,0.05476864966949953,0.018867924528301886,0.01866977829638273,0.011695906432748537,0.00904977375565611,0.011004126547455296,0.00823045267489712,0.008372093023255815,0.006765899864682003,0.011811023622047244,0.008695652173913044,0.006211180124223602,0.009512485136741973,0.01662971175166297,0.004052684903748734
ACP1,0.06797583081570997,0.06962025316455696,0.028005170185264973,0.01783783783783784,0.015384615384615385,0.018775145283862316,0.017748715553479684,0.011673151750972763,0.009202453987730062,0.014705882352941176,0.0048543689320388345,0.007782101167315175,0.012161415146489774,0.011673151750972763,0.011910926980838944,0.0057684384013185
ACP2,0.10191082802547771,0.12878787878787878,0.06666666666666667,0.07407407407407407,0.05,0.05555555555555555,0.07894736842105263,0.03125,0.04597701149425287,0.03937007874015748,0.0273972602739726,0.057971014492753624,0.0,0.0,0.0,0.0
ACP3,0.019764216366158115,0.029815428300993846,0.00963855421686747,0.009376723662437948,0.006663249615581753,0.008712487899322363,0.008747949699289229,0.006855184233076264,0.011089367253750815,0.006385696040868455,0.002863278453829635,0.003482298316889147,0.003997335109926716,0.002952029520295203,0.00665335994677312,0.002430133657351154
ACRV1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTA1,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTB,0.02273369186163805,0.022444889779559118,0.010933574719541095,0.007733640148504869,0.005695393006250452,0.007112952368426821,0.007973266107756347,0.006566324137636976,0.005911487458060393,0.005875053016855433,0.003606553623155219,0.003543991961188966,0.0037400977117778575,0.0039581293356686755,0.006021073758153537,0.0021555382056417396
ACTG1,0.02805091278271823,0.028319207604181485,0.018009785759974747,0.014978139447315022,0.01104414468998799,0.013758479894507729,0.014996409545598771,0.013477813810013447,0.011032749846913997,0.010380416557993963,0.007499925743309472,0.007845354631232994,0.010181355392936684,0.008747577392488607,0.012370433677382596,0.00398211177016335
ACTN4,0.03232779797582785,0.03327495621716287,0.017121891561353443,0.015477629987908102,0.013695554557700943,0.01763322884012539,0.015108386249178892,0.016862745098039214,0.005974905397331209,0.006910167818361303,0.004581901489117984,0.002783300198807157,0.006700554528650647,0.006703652334720296,0.009155455904334827,0.004253509145044662
ACTL6A,0.02932904781036561,0.032407407407407406,0.014705882352941176,0.01045016077170418,0.0038284839203675345,0.0048814504881450485,0.0049435028248587575,0.013365735115431349,0.004382761139517896,0.0024271844660194173,0.0008417508417508417,0.0006756756756756757,0.003561887800534283,0.0037735849056603774,0.01506276150627615,0.001973684210526316
ACTN1,0.021519689406544647,0.021631148854350263,0.011679153812252093,0.009865716634694436,0.0052865887590428495,0.0056715063520871144,0.007185332011892963,0.008454673555659934,0.004491017964071856,0.006385696040868455,0.00407000407000407,0.006419939577039275,0.006432748538011696,0.001195457262402869,0.005479452054794521,0.001682935038707506
ACTN2,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACVR1,0.06951871657754011,0.0880503144654088,0.02702702702702703,0.07777777777777778,0.017241379310344827,0.022900763358778626,0.019801980198019802,0.03508771929824561,0.02040816326530612,0.004629629629629629,0.022058823529411766,0.006172839506172839,0.02027027027027027,0.017094017094017096,0.045454545454545456,0.006024096385542169
ACVR1B,0.13052631578947368,0.1262002743484225,0.0823045267489712,0.08991825613079019,0.03430079155672823,0.04585152838427948,0.048426150121065374,0.0603448275862069,0.022613065326633167,0.028680688336520075,0.03361344537815126,0.03666666666666667,0.021739130434782608,0.00546448087431694,0.05654761904761905,0.005434782608695652
ACVR2A,0.0761904761904762,0.08888888888888889,0.039473684210526314,0.06,0.018867924528301886,0.017543859649122806,0.05555555555555555,0.0,0.0,0.057692307692307696,0.017543859649122806,0.03636363636363636,0.045454545454545456,0.0,0.0,0.02631578947368421
ACVR2B,0.27621483375959077,0.23127035830618892,0.1702127659574468,0.12413793103448276,0.1223021582733813,0.11351351351351352,0.08633093525179857,0.09,0.07407407407407407,0.04391891891891892,0.036585365853658534,0.03333333333333333,0.03571428571428571,0.08148148148148149,0.11971830985915492,0.11363636363636363
ACVRL1,0.022935779816513763,0.024691358024691357,0.010101010101010102,0.0,0.0,0.007633587786259542,0.0,0.0,0.0,0.023529411764705882,0.025,0.0,0.0,0.030303030303030304,0.01818181818181818,0.0
ACY1,0.004629629629629629,0.024193548387096774,0.006896551724137931,0.0,0.007575757575757576,0.0,0.0,0.0,0.0,0.004484304932735426,0.008,0.0,0.008928571428571428,0.0,0.013071895424836602,0.0
ACYP1,0.07705479452054795,0.07235142118863049,0.06303724928366762,0.04452054794520548,0.021897810218978103,0.032640949554896145,0.014367816091954023,0.005494505494505495,0.01951219512195122,0.0051813471502590676,0.01892744479495268,0.0025974025974025974,0.0199203187250996,0.012987012987012988,0.017361111111111112,0.005128205128205128
ACYP2,0.021739130434782608,0.03488372093023256,0.0,0.009708737864077669,0.0,0.02127659574468085,0.011363636363636364,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.023255813953488372,0.02,0.0
ADA,0.01939989653388515,0.01904761904761905,0.008890770533446233,0.009900990099009901,0.010521042084168337,0.008391098139365194,0.011419249592169658,0.00984102952308857,0.0036036036036036037,0.004973062577704103,0.005972696245733789,0.005598320503848845,0.004036326942482341,0.0074866310160427805,0.01095360824742268,0.0036036036036036037
ADAM8,0.15853658536585366,0.046875,0.09090909090909091,0.1111111111111111,0.08695652173913043,0.11363636363636363,0.038461538461538464,0.15789473684210525,0.039473684210526314,0.03409090909090909,0.046511627906976744,0.0,0.0,0.09090909090909091,0.0625,0.04225352112676056
ADAM10,0.027199723685346688,0.02524764435854071,0.012354546760522913,0.005864091065884788,0.0037844383893430216,0.008055421298533913,0.007537214999057848,0.006455083378160301,0.005519779208831647,0.0048756704046806435,0.003952569169960474,0.003992812936713915,0.006486712701401967,0.0053475935828877,0.00885851683118198,0.0010626992561105207
ADAR,0.04582493647594848,0.04756717501815541,0.024573798187682384,0.01669545192861255,0.01060859854829704,0.014664073021098309,0.015856950067476384,0.018104667609618104,0.008674101610904586,0.0074725274725274725,0.004748142031379026,0.006843455945252352,0.007778581765557163,0.01131928181108509,0.014340344168260038,0.00409325502758498
ADARB1,0.05258467023172905,0.0507399577167019,0.03912363067292645,0.03282275711159737,0.008968609865470852,0.017391304347826087,0.01303538175046555,0.02142857142857143,0.013157894736842105,0.010479041916167664,0.0,0.00784313725490196,0.0026246719160104987,0.010526315789473684,0.01016260162601626,0.003976143141153081
ADCY1,0.046511627906976744,0.14285714285714285,0.0,0.0,0.0,0.03571428571428571,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0
ADCY3,0.05250403877221325,0.043859649122807015,0.029389017788089715,0.024977698483496878,0.014763779527559055,0.015455950540958269,0.02127659574468085,0.01862464183381089,0.008629989212513484,0.009555310547592797,0.004447739065974796,0.005784061696658098,0.0047169811320754715,0.008492569002123142,0.0071567989590110605,0.0053285968028419185
ADCY5,0.03571428571428571,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY6,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY7,0.08089385474860335,0.07501459427904261,0.03648366921473245,0.03133274492497794,0.01825127334465195,0.016975917883932098,0.022506619593998235,0.023305084745762712,0.00762133975130365,0.00548780487804878,0.005405405405405406,0.005143591941705958,0.008051529790660225,0.0071823204419889505,0.00892018779342723,0.0026666666666666666
ADCY9,0.15469904963041184,0.16062884483937115,0.11171960569550932,0.09852941176470588,0.07167630057803469,0.10988142292490119,0.09633911368015415,0.08460236886632826,0.05529411764705883,0.06755629691409508,0.048986486486486486,0.048465266558966075,0.07414104882459313,0.057291666666666664,0.07938257993384785,0.043824701195219126
ADD1,0.03132448076268301,0.03504171632896305,0.018958979662185453,0.015815634884771803,0.01335387776065742,0.01168384879725086,0.013918629550321198,0.01888111888111888,0.008924949290060852,0.007468879668049793,0.009557945041816009,0.004975124378109453,0.008660892738174551,0.008289374529012811,0.008731808731808732,0.007987220447284345
ADD2,0.03113433485739168,0.02990497484628284,0.022319795096963045,0.01660682226211849,0.0117096018735363,0.010888654724271163,0.01157684630738523,0.016722408026755852,0.008822003113648157,0.005789909015715467,0.005097706032285472,0.005087209302325582,0.0127750177430802,0.011235955056179775,0.011059371362048894,0.00463821892393321
ADD3,0.016308671439936355,0.03496115427302997,0.011349306431273645,0.007529089664613279,0.002910360884749709,0.01303538175046555,0.008276899924755455,0.003416856492027335,0.008417508417508417,0.0038809831824062097,0.0014792899408284023,0.0037174721189591076,0.012145748987854251,0.008438818565400843,0.013059701492537313,0.006825938566552901
PLIN2,0.043478260869565216,0.04929577464788732,0.0440251572327044,0.03389830508474576,0.02054794520547945,0.021739130434782608,0.024242424242424242,0.08139534883720931,0.02097902097902098,0.0125,0.0,0.0,0.006535947712418301,0.01652892561983471,0.029850746268656716,0.0
ADH5,0.02684903748733536,0.040419161676646706,0.014190317195325543,0.012287334593572778,0.00699912510936133,0.008382229673093043,0.003929273084479371,0.009933774834437087,0.005859375,0.004851004851004851,0.006802721088435374,0.0017873100983020554,0.0057405281285878304,0.008838383838383838,0.007329842931937173,0.007714561234329798
ADH6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADK,0.010248901903367497,0.008830022075055188,0.015060240963855422,0.0035971223021582736,0.004878048780487805,0.005221932114882507,0.0,0.005649717514124294,0.0056179775280898875,0.00437636761487965,0.0,0.006329113924050633,0.0,0.0,0.0037174721189591076,0.005263157894736842
ADM,0.25,0.0,0.5,0.0,0.2,0.5,0.0,0.75,0.0,0.5,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0
ADORA2A,0.15,0.3333333333333333,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.0,0.2,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
ADORA2B,0.1569767441860465,0.17252396166134185,0.07418397626112759,0.044715447154471545,0.05351170568561873,0.07570977917981073,0.07894736842105263,0.07428571428571429,0.04668304668304668,0.029411764705882353,0.011764705882352941,0.015086206896551725,0.05021834061135371,0.040214477211796246,0.05411764705882353,0.023809523809523808
ADORA3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
ADPRH,0.036101083032490974,0.05583756345177665,0.0,0.0,0.0,0.0055248618784530384,0.014814814814814815,0.0,0.0,0.005050505050505051,0.0,0.015037593984962405,0.03333333333333333,0.0,0.015384615384615385,0.0
PARP1,0.02644415917843389,0.02270977675134719,0.013580246913580247,0.012554321583775953,0.0037576326914044154,0.005701754385964913,0.00804289544235925,0.00657354149548069,0.0027447392497712718,0.00529925187032419,0.006335282651072124,0.0027418723070896985,0.004515805318615153,0.006462984723854289,0.0040577096483318306,0.0007876082961407193
PARP4,0.055900621118012424,0.02702702702702703,0.0,0.0,0.023529411764705882,0.0,0.04477611940298507,0.0,0.022988505747126436,0.007518796992481203,0.0,0.0,0.02040816326530612,0.0,0.0,0.009900990099009901
ADRA1D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRA2C,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRB1,0.38461538461538464,0.4,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ADRB2,0.4838709677419355,0.35714285714285715,0.16666666666666666,0.2857142857142857,0.25,0.32608695652173914,0.26666666666666666,0.22857142857142856,0.2,0.13333333333333333,0.03225806451612903,0.2,0.18032786885245902,0.12121212121212122,0.2653061224489796,0.1568627450980392
GRK2,0.045093795093795096,0.051070038910505836,0.030659536541889482,0.03159478435305918,0.033795013850415515,0.021958243340532757,0.024755927475592746,0.02074074074074074,0.012308839985080195,0.006702758442897654,0.009933774834437087,0.0048674959437533805,0.007352941176470588,0.013231197771587743,0.019223520542781758,0.010885700148441365
GRK3,0.08661575562700964,0.09056219791401679,0.048730267673301304,0.034997865983781476,0.01770956316410862,0.02239075478512098,0.025684931506849314,0.02461322081575246,0.017977528089887642,0.020833333333333332,0.0167727009832273,0.013812154696132596,0.01429422275163788,0.018906144496961513,0.03257328990228013,0.008835341365461847
ADSL,0.031413612565445025,0.038834951456310676,0.032467532467532464,0.005698005698005698,0.0,0.00303951367781155,0.0,0.006369426751592357,0.0030581039755351682,0.002173913043478261,0.0,0.0,0.015151515151515152,0.004784688995215311,0.0163265306122449,0.0037174721189591076
ADSS2,0.023223570190641248,0.022739018087855296,0.00974770642201835,0.004962779156327543,0.0035190615835777126,0.006543723973825104,0.0035014005602240898,0.005005005005005005,0.002320185614849188,0.0026646364674533687,0.0016675931072818232,0.0004878048780487805,0.0029904306220095694,0.0012158054711246201,0.0026195153896529143,0.002474022761009401
AP2A1,0.01611170784103115,0.017094017094017096,0.01217391304347826,0.001941747572815534,0.002183406113537118,0.012110726643598616,0.007207207207207207,0.011834319526627219,0.0016,0.0,0.01282051282051282,0.0,0.007736943907156673,0.0055147058823529415,0.0018018018018018018,0.0027624309392265192
AP2A2,0.020618556701030927,0.040268456375838924,0.04285714285714286,0.031914893617021274,0.0,0.0390625,0.06293706293706294,0.015625,0.018018018018018018,0.01,0.0,0.0,0.0,0.016129032258064516,0.0380952380952381,0.015748031496062992
AP1B1,0.039589442815249266,0.046908315565031986,0.017857142857142856,0.02185792349726776,0.01680672268907563,0.013440860215053764,0.021929824561403508,0.014450867052023121,0.007100591715976331,0.0066945606694560665,0.0018281535648994515,0.008333333333333333,0.004048582995951417,0.006880733944954129,0.01160092807424594,0.0070921985815602835
AP2B1,0.03000504286434695,0.03181019332161687,0.013563501849568433,0.012294074256208508,0.011827178373159546,0.011377741001241209,0.009662921348314606,0.008695652173913044,0.009656652360515022,0.007414571244358479,0.002985965959988056,0.005380288579114698,0.0072931276297335205,0.008320950965824666,0.007884972170686457,0.0025324469768914213
AP1G1,0.07279076013967231,0.07142857142857142,0.032471835652750164,0.026220145379023882,0.015407554671968192,0.01907032181168057,0.02299154334038055,0.02358490566037736,0.007875738350470356,0.00955775149846104,0.006271951831409934,0.008875083203905036,0.007338056680161943,0.008101851851851851,0.01469842878864673,0.008360128617363344
AEBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLE5,0.015384615384615385,0.038461538461538464,0.009523809523809525,0.0,0.013888888888888888,0.0,0.018518518518518517,0.017543859649122806,0.0,0.03296703296703297,0.0,0.0,0.023809523809523808,0.0,0.017543859649122806,0.0
AFG3L1P,0.11830535571542766,0.09912536443148688,0.08344923504867872,0.08823529411764706,0.04251386321626617,0.057863501483679525,0.050073637702503684,0.05142857142857143,0.019157088122605363,0.02064631956912029,0.01916376306620209,0.010670731707317074,0.024390243902439025,0.038306451612903226,0.0311284046692607,0.025411061285500747
AGA,0.010443864229765013,0.02346805736636245,0.011968085106382979,0.014975041597337771,0.00303951367781155,0.005471956224350205,0.005856515373352855,0.0,0.004524886877828055,0.01059001512859304,0.002857142857142857,0.0,0.004618937644341801,0.01,0.026525198938992044,0.004395604395604396
AGL,0.025341130604288498,0.03591160220994475,0.01020408163265306,0.010526315789473684,0.007042253521126761,0.02262443438914027,0.0051813471502590676,0.0,0.0,0.010309278350515464,0.0036496350364963502,0.011811023622047244,0.008620689655172414,0.0,0.0,0.0
JAG1,0.11363636363636363,0.10526315789473684,0.15384615384615385,0.0,0.06666666666666667,0.0,0.0,0.1,0.0,0.03225806451612903,0.037037037037037035,0.047619047619047616,0.15789473684210525,0.08,0.125,0.0
AGT,0.018475750577367205,0.0,0.013605442176870748,0.0038461538461538464,0.0,0.0031746031746031746,0.003289473684210526,0.006535947712418301,0.015873015873015872,0.0078125,0.0,0.0,0.007692307692307693,0.0,0.023391812865497075,0.011904761904761904
AHCY,0.01674364896073903,0.022375690607734807,0.011089548100914887,0.011287477954144622,0.0055574852379298365,0.005613247263541959,0.008054892601431982,0.0038461538461538464,0.004400117336462305,0.00402930402930403,0.003536067892503536,0.002310803004043905,0.00532724505327245,0.0059096665259603205,0.0045871559633027525,0.002497398543184183
AHR,0.1287988422575977,0.11493670886075949,0.058736059479553904,0.04316546762589928,0.031843575418994415,0.04019196160767846,0.029940119760479042,0.025727069351230425,0.02706766917293233,0.02127659574468085,0.025036818851251842,0.014435695538057743,0.0294314381270903,0.023521505376344086,0.04364694471387003,0.025233644859813085
AIF1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRYBG1,0.07541567695961995,0.05841325196163906,0.038,0.02456140350877193,0.017543859649122806,0.019102196752626553,0.018907563025210083,0.03290676416819013,0.010466222645099905,0.008819538670284939,0.007276507276507277,0.010462074978204011,0.014563106796116505,0.004524886877828055,0.01839080459770115,0.018050541516245487
AK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK2,0.025996591706485783,0.025390070921985815,0.013193043667884206,0.011415374463873309,0.005434782608695652,0.006496051968415747,0.007186616399622997,0.006645898234683281,0.004649909023519105,0.0032479758990773865,0.0026167307220541338,0.002169491525423729,0.003825310806503028,0.0035172933590151578,0.006334182744812523,0.0018435218641693091
AK4,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKT1,0.03176149649259548,0.025133689839572194,0.019753086419753086,0.012115093387178193,0.0057682223387519665,0.012190749372534958,0.011673151750972763,0.011428571428571429,0.00380754586362063,0.0023946360153256703,0.00267379679144385,0.006153846153846154,0.003599280143971206,0.005934718100890208,0.00764748725418791,0.005349794238683128
AKT2,0.029850746268656716,0.026585522101217167,0.027848101265822784,0.021483021483021482,0.011467889908256881,0.012279765082754938,0.011793611793611793,0.02014098690835851,0.0034263338228095936,0.006234845860755109,0.006156552330694811,0.006279434850863423,0.012400354295837024,0.007352941176470588,0.011052631578947368,0.0021156558533145277
ALAD,0.04011887072808321,0.03608736942070275,0.019987886129618413,0.017501988862370723,0.011164274322169059,0.010474430067775724,0.006369426751592357,0.013630731102850062,0.007348029392117568,0.005303760848601736,0.009009009009009009,0.007154213036565978,0.007954545454545454,0.01005586592178771,0.016597510373443983,0.00796812749003984
ALAS1,0.17054263565891473,0.12698412698412698,0.057971014492753624,0.06557377049180328,0.022727272727272728,0.04225352112676056,0.03508771929824561,0.1111111111111111,0.02,0.017391304347826087,0.05263157894736842,0.02702702702702703,0.024390243902439025,0.0,0.015384615384615385,0.0125
