ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel","pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 8_Out_Channel Alignment_P2-1.czi",1,2,50570352.293157,184.18875583716,300.85761204441,9,1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-1.czi",1,3,55355080.349262,549.50828435885,398.32896693337,9,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-1.czi",4,5,35275.48843329,226.02777777778,450.41666666667,9, , ,4236,216,1452,3018.7222222222,36.027777777778,1030.1111111111,1791,0,85,36,36,36,2445,216,1367,664.76460328283,58.268583111122,386.43334503991,108674,1297,37084,343523538,165561,43427216
"Image 8_Out_Channel Alignment_P2-1.czi",1,2,50276389.889547,184.58374749069,300.81037439825,10,1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-1.czi",1,3,55099333.05812,549.3972986431,398.66121000871,10,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-1.czi",4,5,39194.9871481,225.675,449.725,10, , ,5068,233,1579,3614.475,33.7,925.7,2220,0,17,40,40,40,2848,233,1562,747.91844432329,56.675052169906,447.42787414745,144579,1348,37028,544393079,170698,42084296
"Image 8_Out_Channel Alignment_P2-1.czi",1,2,50370457.858702,184.23415037448,300.72974418831,11,1,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-1.czi",1,3,54698564.314531,549.00417398158,398.21547060299,11,0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_Out_Channel Alignment_P2-1.czi",4,5,55852.856686043,225.37719298246,449.83333333333,11, , ,5841,266,1724,3900.052631579,39.666666666667,888.01754385965,1637,0,0,57,57,57,4204,266,1724,1088.7102202189,68.77793804633,502.97829018856,222303,2261,50617,933369637,354589,59116065
"Image 8_Out_Channel Alignment_P2-1.czi",7,8,22537.117610158,221.10869565217,204.15217391304, , , ,3191,3059,3552,2122.4347826087,2447.7391304348,2662.7391304348,1277,1779,1697,23,23,23,1914,1280,1855,554.94814058178,370.21974032523,581.50714975604,48816,56298,61243,110384060,140818196,170513445
