,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
FLAG_GFI1,-0.6445445685645705,1.6935312982161201,-1.499580607876973,1.300775743620188,2.4786188420004978,1.1314713896561028,1.6027755978342784,0.0,-0.7544819285304019,-1.3680626094330666,1.2795192109618694,1.8677057726597903,3.201860717547501,0.0,-1.0376453890923372,0.0,0.0,9.219567153206093,-1.852471705322007,0.0,0.0,2.7029916274651864,-0.4952483291789852,0.7567742296034529,0.0,-1.8592507967558862,1.4228837082724508,-1.616301816798881,-1.7358430865649974,1.670570149772809,2.091939897875369,1.4977335529105933,-2.6323795573669835,1.5468285272673585,0.0,0.0,2.8499237313628143,1.9137526205109407,-0.7444422676635134,0.0,0.0,1.6305007769285007,1.8536394412982253,1.0526347087730246,0.0,1.9351650695942197,-3.0369648742523987,12.008800056989271,2.412772392305162,0.7471914313757214,0.6614693604090213,1.7177041253639038,1.611069138024147,1.794331939003612,-0.5937355594281282,0.0,0.0,1.5855340459170095,0.0,-1.9536318583834165,13.273690670512288,1.7383855340003804,0.0,2.7961010318566677,0.0,1.327340903152715,2.75207640796467,-0.8489926490709104,1.430968438404138,1.9516707403219102,1.161732604842191,1.5400193866646408,-0.7639599653785237,1.1010702995841943,0.0,-1.4071266741161035,2.3327679755370427,2.2310380885732166,0.0,0.0,-1.0419608966405625,2.2211226197081335,1.1942647125711154,0.7791953210141124,2.101578605963436,1.455064114021601,1.5535307285825897,1.4214749348968887,1.7393435695530362,1.9770554989978468,0.0,2.313753597618398,1.868104803236498,0.0,1.2885285638064696,1.310080380829148,-1.0530190316572197,0.5536691601211811,10.247312143688996,0.0
CEBPA,-1.4026382744743568,0.9653475329629008,0.528571374656554,0.0,2.2659898632044073,0.0,-1.3314910210997069,0.7693812628688452,11.830148176338467,-3.1097897159043697,-0.742492066865789,-0.7410995615819121,4.3888466109899404,1.2199946442128544,-0.4228661782402331,1.6470491082669159,0.0,1.7673582342436704,-3.9670804318934967,0.0,0.9833193309935696,2.859166545769974,-2.1045475699263734,11.246050082498106,0.6950206345627509,12.243455306545238,1.7792544437600697,-3.497645395577926,-1.5134490254452044,0.0,8.461202559850072,1.2690068409839375,-5.38868745892044,0.0,1.710774705877303,1.5646964463893585,1.8971878301081844,-1.0527850983006164,-4.148193017310681,2.259667951890937,0.0,9.583193084228682,1.7219152634825035,0.7364005135527976,0.0,0.0,13.742705600552638,1.183956247510131,0.0,0.7465908852212748,-0.8611447573682542,1.1513472972632843,7.907171918680806,-1.1845279154560038,-1.6499080250531637,0.0,10.026679013136896,1.6642321199402728,0.0,12.015316168567622,-1.0697776796795126,0.0,10.791148122341323,2.788777217878576,-1.6038696625496836,9.487755978891387,2.223423001782569,-0.711322005065821,1.3423872998972806,0.0,-1.622985752097495,0.0,0.0,1.3008171239628123,0.0,-1.8518584490670877,2.8848041056523517,2.022912297571856,0.0,0.0,-1.597381555950262,2.125812205156147,0.9738091117110969,-1.38972889460753,0.0,7.933167127213751,1.4741684253211542,1.4814234262997978,0.0,0.0,0.0,1.9172255833447294,1.0928975826834118,1.9660317611193776,-1.1056824232875535,0.9532900922277954,12.568755701004875,0.0,0.0,0.0
HOXA9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.210394617682064,-4.924085745169307,-4.152210614662305,0.0,0.0,7.389059468688536,0.0,-4.514370522878615,0.0,0.0,0.0,-2.455422135523931,0.0,0.0,5.905781108096871,-2.976973084521517,-4.3393393947281105,0.0,-5.33739287537608,0.0,-1.6875950341379773,0.0,0.0,3.1412110525360633,0.0,-6.289031698352412,0.0,14.303812182070025,0.0,3.507231731606596,0.0,0.0,6.114251153200949,0.0,0.0,0.0,0.0,0.0,0.0,-3.8357241821458503,0.0,0.0,0.0,0.0,0.0,3.202377150078175,0.0,-5.3131673383749485,0.0,0.0,0.0,0.0,-2.785423103608334,0.0,0.0,0.0,0.0,-2.768571682445739,0.0,0.0,-3.3226003358307628,3.7664444264879813,0.0,0.0,0.0,0.0,0.0,0.0,-4.718100381916588,3.5943836807016782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.442809131754325,3.3133434868135683,0.0,0.0,0.0,0.0,4.218371338404897,0.0,0.0,0.0,0.0,-4.076953245495154,0.0,0.0,15.009068916508893
PLAGL2,0.0,1.5474657380592716,-4.741649321244617,5.729708673518376,3.828994589211725,0.0,4.064682087075126,-1.5886596108817739,-3.972278501926239,-1.985884168865351,2.805250552630575,4.222072157217097,2.089992972460031,1.539554347073267,-2.337418135794683,0.0,0.0,2.601873123469409,-3.4752871623994253,0.0,-3.5343437665952693,3.2928448117863534,-0.5917975895209397,-1.1377659586262323,-2.33100608505753,-4.102652105482365,0.0,-3.32287161110924,-3.8253293127161676,3.6573908373671253,2.124170087778119,1.6703409546086212,-3.413143392873744,5.841485533394922,0.0,0.0,3.8875883333000947,4.345003517715684,-1.0241385221091894,0.0,3.651029633935707,1.7236557700312969,2.7444857983434927,1.7884002101419878,0.0,5.307639151618313,-5.830654745691156,0.0,4.83741873707016,0.0,1.7261941893421386,1.8020956081267032,0.0,4.413021941144335,-2.5103561667792724,0.0,-2.020263738545869,2.2116928179859334,2.4033372211266983,-5.365250849213833,1.111575322532727,7.379847193952762,-1.83857188949702,2.9354830234044065,0.0,0.0,3.5499897997395777,-3.045431452798266,0.0,5.104052745234708,2.4059229662182915,3.637939087144003,-3.1234106656491623,0.0,0.0,-2.1785654798453997,3.6302336696636743,1.8297951228718965,-1.3421614484322109,0.0,-1.4715201913498157,2.4259279253412727,1.0886702483911304,1.549274177184781,5.506962294761941,0.0,2.047065087867366,0.0,3.872289196917212,5.048491985233593,-1.0194698129782467,0.0,3.7865397297084145,0.0,3.9866218723962072,1.116055269046227,-5.240274423340061,0.5879836273659981,0.0,0.0
MEIS1,0.0,3.383558749401591,-1.9067823970429683,4.73218398263809,6.726666977670525,1.2922475541283347,1.5831603245327452,9.707189603171221,-1.6677225452760411,-2.792623523002275,1.186158703442005,1.7578961051879722,7.3569724638524345,2.676040904600556,-0.7194368590715319,1.5510548231951025,1.2118834800616731,4.713711322566612,12.744179378131433,10.390504500271915,0.0,7.956148823793292,-1.5616994810693277,0.0,10.651502228287129,-3.716163236796112,3.370138233639269,-3.196949815377811,-1.9593973998957743,3.277699694194026,5.162869086947411,3.1814249059756543,-4.338558975106138,2.9026333144662897,8.222322937157653,1.2765279804175922,7.687445667872805,2.076323774960821,-5.3686614809928805,8.298673823287768,5.125025735802738,4.257251270460605,5.3776996300308095,3.0170087295000534,0.9132805586657985,4.432949490596273,-6.059375312941177,1.3840809697161458,4.158192599737937,1.835180179327235,0.0,4.005815799506472,4.691808220458873,2.4057140062004065,-1.9392649713516315,1.3570244051330973,1.7237335093321022,3.8109704846866648,1.9137738720714903,12.588264944512115,-1.6857912443103893,4.494620264320415,11.364096898285815,6.721128794129094,-0.46682508461733496,2.560241117019212,7.73218398263809,12.387885386013897,8.581404030462481,3.8782244968985493,0.7610452593549826,3.587339698432217,11.682467173759989,10.379999392878444,1.130477221526114,-1.3319691774755342,7.342617170875364,4.487256875906929,0.0,0.0,-1.9528262515079837,7.721128794129094,2.3392185944135,0.49771346216254697,4.9231337665653285,8.506115903158245,9.419860169807825,2.233097408751828,2.702900711461564,3.1107386806304254,0.4348492903259251,8.878670071115573,4.997727927544691,2.0492582281847733,2.0225986659966337,2.830151381123963,-2.332101554536356,0.8173098430467803,1.1700667000262288,3.484256469194505
ETV6,-1.931018993750215,2.4997083165308926,-5.9421649307221,6.58514916019602,8.191355079109337,0.0,1.314052368262614,0.0,-2.154175333531427,-4.8691501334238785,0.9804243512444062,1.9766983065524943,5.1151682443438515,0.0,-1.7391378342525834,0.0,0.0,3.843995769066381,-4.257605923027116,0.0,-2.5469756556410514,4.305762582721486,-4.167231486356873,-1.1189850415028135,-2.291559621359075,-3.393870494147092,2.333666749575808,-3.473400094397594,-3.6112800722947855,1.9839974213755338,4.028797269021338,2.255200209015322,-3.5289829880217383,13.204204859585584,0.0,0.0,6.9360563220551485,2.6420483126252226,-0.740984702333096,1.8162803908545577,4.260491272553086,2.817953635228389,3.125977791408962,2.1556343368968727,0.0,4.66750932349581,-4.288592318911148,0.0,7.225843455494628,0.0,0.0,2.624181891831709,3.164156937779555,2.303803138465247,-4.3060591910541905,0.0,0.0,2.280227490614348,0.0,-5.978778630476687,-3.8259719132175776,11.390710800430574,-1.266702390999793,4.237158768722462,-2.5701961533351425,0.0,5.084951197204518,-3.5510180516512775,0.0,3.945731276901727,0.0,2.2895746628736005,-3.846733927075952,0.0,0.0,-2.3528463622317406,4.756337850398276,3.2509645682474924,-1.6037487130461687,0.0,-2.5942416273017934,4.2358123430149455,0.0,-1.733847694597375,4.687191689357509,0.0,2.316059596469377,0.0,2.2681201671824502,2.795841944644769,-2.374007572426518,0.0,4.686259414662135,0.0,2.70674448677891,1.9771051388269079,-3.865462964234745,0.0,0.0,0.0
RUNX1,-0.9691792030945471,8.068876379921877,-2.884456663419373,6.039889751041041,8.814944181195335,8.900804917849173,4.579155577680268,0.9165073355357587,-2.7700183195258212,-4.567965205477212,3.214926190991851,5.006853377948152,7.423307114496568,3.8363025822371934,-1.6831666791744122,1.469020964146972,1.8328402383806077,7.451596158927992,-3.2265849303983507,0.8034767234726296,-3.8927983914302335,8.01302314518836,-2.4391986656604123,4.035731868276852,0.0,-4.310383517743244,5.542703210408326,-7.4675651250455015,-2.929824065840655,6.15476833326797,6.756050492141767,5.325810586219252,-5.389254477319453,6.2917904772867495,2.6596025028974597,1.4151531606878145,7.7650956317447735,5.335844273246229,-7.007996465796285,3.3327801410340943,6.256948728074448,4.53548422744843,9.195548183410304,3.255593448462437,0.48222604432571586,8.296477092261085,-5.34727834713538,3.038929438431091,7.935020633187086,3.9433239369182953,1.6660553041355113,6.468999205189437,4.758142871103007,4.800719541475495,12.858843294530443,1.1374887936151237,0.7952786372411514,4.709954077552313,3.9874880530812216,-3.4331739953915004,-1.5517792354163036,6.809489751103227,0.0,6.787463444773228,5.002930798743545,4.8340917243363055,7.809489751103227,-1.5422016020936145,2.734721982701255,8.570302087223801,2.2614587006142943,5.676787213617113,-1.4836944796562819,3.898299018061083,2.981073213517793,-2.5939616749259087,7.423307114496568,8.104945634629399,0.0,-1.0004391146182035,12.865757970749971,6.168817817795783,2.680703444454401,1.5626027678460304,8.765095631744774,3.0563269294092197,4.63591697264577,4.6856611642503685,7.714297032211256,6.966729492914424,12.001109823644859,6.9249669685231625,6.353810267327037,2.9226369087312536,3.7047230137652916,5.855127832607246,-3.8383284048239195,5.084281828358181,1.9226369087312534,0.0
FOSL2,0.0,1.952086670640076,-2.642482035461018,2.1902005011681838,2.1692888528264507,0.0,0.0,0.0,-2.4931329151552566,0.0,0.0,0.0,2.8283605675761185,0.0,-1.490667636805449,0.0,0.0,0.0,0.0,0.0,0.0,2.745230028849657,0.0,0.0,0.0,-2.9911758193667954,0.0,0.0,-2.1983000363465623,1.451311130112248,2.169130096838297,0.0,-2.900637066862812,0.0,2.1530566132334035,0.0,2.4220402853983836,0.0,0.0,0.0,0.0,1.4749847081207659,2.014615970229415,0.0,0.0,0.0,-2.4881254422429957,1.3675925013760073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9695406917266322,0.0,0.0,0.0,-1.1078127985068962,2.219362709247818,0.0,0.0,0.0,0.7130610133227482,0.0,2.4612235485091287,0.0,0.0,0.0,0.0,1.7519046402095093,0.0,1.6100889169114254,0.0,-2.5509864804741853,0.0,1.7309122274602997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.799984867260952,0.0,0.0,0.0,0.0,0.0,1.633097804908019,0.0,0.0,1.8951381079383602,-1.7820063285957568,0.0,2.272662661360157,2.2909712197730947
FLI1,0.853533023905898,3.668387332057121,-1.878027588174816,7.2170862887915055,8.743155100459093,1.191639082831079,4.352765126251447,0.8389386391489003,-0.8821692289994473,-1.1655035389463466,3.277028829247788,4.3886930414233385,7.342617170875364,3.930613731686154,0.0,1.2722278429839666,1.1137984803794838,7.371186323072135,-1.3516835181171105,1.459033948758915,0.0,6.937165720425719,-0.8333980030350786,0.8466596762129533,0.0,-1.3150759744434584,3.309258573928934,-1.2585946814908664,-1.8982168957773577,4.317670813745134,6.689715841497633,3.69876098110064,-1.3834204813136435,7.566039720810302,1.8180599094729843,0.0,7.69876098110064,5.269509622602095,-1.3003012905329765,2.6436194269081787,6.158192599737937,4.674950019829572,4.8863879842764115,4.010588486019032,1.3968466758091553,7.222322937157653,-2.3022728383924624,1.1647572783219802,7.868685982542952,2.0403178827369346,1.586957082128293,4.964655041073675,5.249935168365512,4.453648483264108,-1.0506769388259092,1.6880912385574263,1.3051344515750307,7.038610983985265,2.566657445093295,-1.5171764180985086,-1.255302734732501,7.764850171558413,0.9588640719248488,6.721128794129094,0.4906527857704395,1.9148944119654057,7.743155100459093,-0.5730737740195433,2.864953263666622,6.257728273288851,2.645826820652162,5.001323751121071,-0.628657397337083,1.4347894560127927,1.6916247998190113,-0.5598975546137891,6.328117601180249,4.352203219704562,0.0,0.0,-1.2959070908597015,4.833920564382276,1.4284032344609874,1.231634970673342,7.687445667872805,3.231795689777935,4.1212930169264075,1.9455547459272229,5.194940002833105,5.275686162756378,0.5142852967839583,2.79391821414098,6.976745728400405,1.4901743592892225,4.47427981603624,3.3071348684318482,-1.5354086080121616,2.07727260435437,1.2551543296250254,0.0
GATA2,-1.1515581659894525,0.0,13.748810764262053,0.0,0.0,0.0,0.0,0.0,0.0,-1.9713010895065224,0.0,0.0,2.3057669733011235,2.17931737380303,-0.6460025996912119,12.188212811940097,0.0,0.0,-0.9363290912511861,0.0,0.0,2.523081915248512,-2.045432913534334,0.0,0.0,-1.6417656068047413,11.117478300402864,-0.9024749596922912,-1.136530298554319,0.0,1.6533208758639801,0.0,-1.30835389548813,0.0,1.8110022815515454,10.864557972333266,0.0,0.0,0.0,0.0,3.54498401727893,1.065816180580371,1.9727067761888892,0.0,0.0,0.0,-0.4362352879359768,0.0,0.0,0.0,-0.9064034254169284,1.2816979670931479,1.6008143039001275,0.0,-1.2750610171079817,0.0,0.0,3.0555478451265436,0.0,-1.246672218420686,-0.9265520475915673,0.0,0.0,9.525247799217668,-1.2621106549284347,0.0,2.3813180063083004,-0.7958451610351501,0.0,0.0,-1.0866376846355357,0.0,0.0,0.0,1.3080170829969988,-0.6429052906141148,2.168909673544474,1.7381288164043234,0.0,12.027748139746851,-0.9162888144435264,0.0,0.0,-1.0400923279907868,0.0,0.0,1.1507050781668837,0.0,0.0,0.0,0.0,1.602159976081348,0.0,0.0,0.0,0.0,-0.900103880754998,0.0,0.0,0.0
