,x,y
CEBPA,-163.8127,76.62635
HOXA9,364.25455,-231.91959
PLAGL2,-6.4169226,-278.3532
MEIS1,327.06226,-197.69962
ETV6,9.894606,-346.21213
GFI1,78.91183,-14.95132
RUNX1,-311.90405,183.21872
FOSL2,-17.358364,-200.81015
FLI1,29.048927,-392.0751
GATA2,-76.22072,-529.55
SP1,328.0625,301.74945
E2F3,412.9396,339.25397
ZNF281,-13.000897,-109.94105
SREBF1,467.7374,359.4891
LMO2,163.67108,214.06197
STAT5B,16.523973,32.438484
ZMYND8,146.46939,272.39127
LYL1,-296.05704,65.245476
MYC,247.26826,272.02435
TFAP4,-493.46893,-163.23065
RUNX2,-262.39078,194.91422
MAX,247.88145,220.49344
IRF8,-329.0749,-530.8907
MYB,-238.23645,127.21775
ZEB2,-101.6914,14.91613
RXRA,-537.24347,-143.85472
SPI1,-368.257,-558.54694
MEF2C,-10.112721,140.64603
FLAG_MEF2D,75.02108,119.39959
