,MOLM-13_DMSO,MOLM-13_JQ1+6nM_NVP-2,MOLM-13_6nM_NVP-2,MOLM-13_60nM_NVP-2,MOLM-13_JQ1
A1BG,326.0,380.0,324.0,428.0,364.5
NAT1,137.0,64.0,88.0,89.0,103.0
AAMP,2103.0,4322.0,2028.0,4053.0,3832.5
AARS1,715.0,1190.0,992.0,717.5,915.0
ABAT,1.0,0.0,0.0,6.0,1.0
ABCA1,39.0,21.0,11.0,13.0,21.5
ABCA2,130.0,138.0,81.0,172.5,135.5
ABCA3,1.0,4.0,3.0,7.5,1.5
ABCB7,356.0,520.0,340.0,529.0,470.5
ABCF1,1745.0,1991.0,1890.0,1825.0,2048.5
ABL1,417.0,802.0,427.0,741.0,734.0
ABL2,108.0,97.0,79.0,93.0,117.5
ABR,271.0,485.0,314.0,501.0,498.5
ACAA1,562.0,697.0,534.0,667.5,768.0
ACACA,329.0,362.0,282.0,332.0,364.5
ACACB,13.0,41.0,19.0,23.5,35.0
ACADM,417.0,564.0,370.0,561.5,583.5
ACADS,661.0,806.0,792.0,751.0,816.5
ACADSB,129.0,236.0,116.0,223.5,224.5
ACADVL,422.0,879.0,676.0,797.0,726.0
ACAT1,241.0,399.0,95.0,584.0,411.0
ACAT2,3764.0,4875.0,3287.0,4748.5,4704.0
ACLY,1100.0,2092.0,1159.0,2124.5,1961.0
ACO1,291.0,397.0,315.0,430.0,416.0
ACO2,1811.0,4088.0,2317.0,3151.5,3075.0
ACOX1,342.0,338.0,232.0,346.0,363.5
ACP1,781.0,1066.0,553.0,1196.0,1093.5
ACP2,263.0,322.0,329.0,262.5,320.5
ACPP,46.0,63.0,37.0,74.5,56.0
ACTB,43407.0,50045.0,36990.0,48909.5,49008.0
ACTG1,26621.0,55844.0,27964.0,52105.5,47967.5
ACTN4,11119.0,24485.0,9665.0,19691.5,17362.0
ACTL6A,107.0,175.0,79.0,229.5,188.5
ACTN1,5493.0,8393.0,5537.0,7123.5,7579.0
ACVR1,16.0,20.0,9.0,23.0,22.5
ACVR1B,141.0,133.0,66.0,141.0,142.5
ACVR2A,8.0,4.0,5.0,4.0,4.0
ACVR2B,40.0,26.0,19.0,38.0,28.0
ACY1,201.0,261.0,226.0,275.0,248.5
ACYP1,119.0,135.0,112.0,131.5,125.5
ACYP2,43.0,30.0,22.0,42.5,32.5
ADA,87.0,120.0,89.0,159.0,128.5
ADAM8,105.0,222.0,87.0,138.0,145.0
ADAM10,161.0,242.0,155.0,287.5,240.5
ADAR,1042.0,1579.0,954.0,1736.5,1594.5
ADARB1,113.0,157.0,129.0,196.0,163.5
ADCY3,123.0,224.0,91.0,372.0,251.0
ADCY6,0.0,5.0,1.0,8.5,4.0
ADCY7,221.0,448.0,228.0,559.0,429.0
ADCY9,53.0,95.0,39.0,106.0,94.0
ADD1,242.0,475.0,272.0,461.0,416.5
ADD3,186.0,216.0,127.0,262.0,187.5
PLIN2,627.0,618.0,631.0,675.5,614.0
ADH5,280.0,447.0,294.0,515.0,422.5
ADK,384.0,532.0,317.0,469.0,498.5
ADORA2A,271.0,370.0,262.0,277.5,273.5
ADORA2B,32.0,33.0,15.0,48.0,36.5
ADORA3,9.0,8.0,3.0,9.5,0.5
ADPRH,252.0,230.0,190.0,202.5,205.0
PARP1,487.0,1058.0,552.0,1388.0,997.5
PARP4,32.0,44.0,18.0,89.5,53.5
ADRA2C,42.0,31.0,28.0,57.0,37.0
ADRB1,111.0,21.0,33.0,17.5,38.0
ADRB2,128.0,41.0,55.0,68.5,46.0
GRK2,1629.0,3284.0,2097.0,2678.5,2922.5
GRK3,171.0,237.0,116.0,196.5,230.0
ADSL,990.0,833.0,622.0,871.0,873.0
ADSS2,376.0,605.0,296.0,745.0,641.0
AP2A1,63.0,66.0,41.0,81.0,66.5
AP2A2,487.0,803.0,385.0,685.5,726.5
AP1B1,1710.0,2835.0,2150.0,2697.5,2595.0
AP2B1,358.0,324.0,230.0,453.5,381.0
AP1G1,1130.0,1304.0,924.0,1187.5,1306.5
TLE5,2080.0,2438.0,1822.0,2347.0,2321.5
AFG3L1P,283.0,358.0,250.0,327.0,346.5
AGA,278.0,444.0,333.0,367.0,406.0
AGER,12.0,33.0,22.0,32.0,25.0
AGL,150.0,217.0,127.0,213.0,205.5
JAG1,168.0,46.0,72.0,99.0,62.5
AGT,107.0,161.0,103.0,184.0,187.0
AHCY,1371.0,2151.0,1027.0,2532.5,2241.5
AHR,37.0,27.0,30.0,32.5,32.5
AIF1,887.0,1374.0,905.0,1466.5,1362.5
CRYBG1,689.0,677.0,714.0,784.0,700.0
AK1,83.0,124.0,74.0,125.5,110.0
AK2,4397.0,5889.0,3794.0,5602.5,5451.5
AK4,220.0,220.0,199.0,225.5,223.5
AKT1,81.0,238.0,51.0,356.0,212.5
AKT2,5867.0,7940.0,6328.0,6371.0,7053.5
ALAD,132.0,164.0,85.0,163.5,152.0
ALAS1,74.0,108.0,73.0,81.5,113.0
ALCAM,365.0,327.0,221.0,352.5,343.5
ALDH2,53.0,82.0,21.0,98.5,87.0
ALDH1B1,235.0,224.0,171.0,219.0,230.5
ALDH1A3,21.0,15.0,13.0,21.0,14.5
ALDH3B1,211.0,247.0,241.0,190.0,230.0
ALDH9A1,599.0,836.0,556.0,798.5,843.0
ALDH3A2,108.0,138.0,75.0,149.5,145.0
ALDOA,8880.0,13334.0,8815.0,11852.0,12384.5
ALDOC,40.0,66.0,45.0,44.0,60.5
AKR1B1,296.0,367.0,281.0,433.5,376.5
ALOX12,4.0,8.0,5.0,6.5,6.5
ALOX5,3.0,8.0,4.0,11.0,8.0
ALOX5AP,1502.0,2207.0,1717.0,2126.0,1924.0
AMD1,874.0,633.0,662.0,743.5,793.5
AMFR,119.0,231.0,108.0,246.5,203.0
AMPD2,203.0,232.0,176.0,249.5,205.5
AMPD3,109.0,164.0,75.0,123.5,110.5
AMT,47.0,112.0,70.0,86.0,90.0
ANGPT1,32.0,46.0,36.0,36.0,26.0
ANK2,1.0,3.0,0.0,0.5,3.5
SLC25A4,19.0,24.0,24.0,33.0,27.5
SLC25A5,2802.0,5064.0,2092.0,6291.5,5235.0
SLC25A6,17831.0,23042.0,17755.0,19461.5,21030.0
ANXA1,24.0,15.0,13.0,28.0,20.0
ANXA2,322.0,372.0,344.0,439.0,399.5
ANXA4,47.0,97.0,49.0,129.0,98.5
ANXA5,129.0,122.0,83.0,192.5,126.5
ANXA6,68.0,146.0,129.0,95.5,139.5
ANXA7,157.0,289.0,144.0,339.0,276.0
ANXA11,421.0,473.0,405.0,491.5,483.0
AOAH,14.0,29.0,35.0,18.5,15.5
APAF1,40.0,33.0,17.0,77.0,35.5
NUDT2,532.0,705.0,499.0,686.0,654.5
APBA2,47.0,50.0,42.0,42.5,53.0
APBB2,52.0,41.0,41.0,62.5,50.0
APC,173.0,147.0,125.0,192.5,153.0
APEH,2048.0,2375.0,1881.0,2164.5,2249.0
APEX1,98.0,132.0,51.0,289.0,163.5
BIRC2,425.0,518.0,479.0,465.5,520.5
XIAP,235.0,202.0,171.0,220.0,220.0
BIRC5,1090.0,1910.0,1133.0,1769.5,1652.5
APLP2,1805.0,3428.0,1839.0,3517.5,3356.5
APOC1,207.0,244.0,231.0,228.0,260.5
APOC2,1987.0,3256.0,2556.0,2543.5,2819.5
APP,67.0,91.0,62.0,106.0,98.0
APRT,1887.0,2074.0,1838.0,2069.5,2098.0
FAS,10.0,13.0,24.0,8.0,12.5
AQP3,30.0,20.0,10.0,134.5,65.5
