,mr371-MV411-IRF2BP2-dTAG-DMSO_3h-r1_tcount,mr372-MV411-IRF2BP2-dTAG-DMSO_3h-r2_tcount,mr373-MV411-IRF2BP2-dTAG-DMSO_3h-r3_tcount,mr374-MV411-IRF2BP2-dTAG-DMSO_3h-r4_tcount,mr375-MV411-IRF2BP2-dTAG-VHL_3h-r1_tcount,mr376-MV411-IRF2BP2-dTAG-VHL_3h-r2_tcount,mr377-MV411-IRF2BP2-dTAG-VHL_3h-r3_tcount,mr378-MV411-IRF2BP2-dTAG-VHL_3h-r4_tcount,mr379-MV411-IRF2BP2-dTAG-DMSO_6h-r1_tcount,mr380-MV411-IRF2BP2-dTAG-DMSO_6h-r2_tcount,mr381-MV411-IRF2BP2-dTAG-DMSO_6h-r3_tcount,mr382-MV411-IRF2BP2-dTAG-DMSO_6h-r4_tcount,mr383-MV411-IRF2BP2-dTAG-VHL_6h-r1_tcount,mr384-MV411-IRF2BP2-dTAG-VHL_6h-r2_tcount,mr385-MV411-IRF2BP2-dTAG-VHL_6h-r3_tcount,mr386-MV411-IRF2BP2-dTAG-VHL_6h-r4_tcount
NAT1,0.13100436681222707,0.11805555555555555,0.059322033898305086,0.023529411764705882,0.07,0.013157894736842105,0.012658227848101266,0.023809523809523808,0.0,0.0,0.0,0.0070921985815602835,0.022988505747126436,0.0,0.03225806451612903,0.011111111111111112
AAMP,0.02792022792022792,0.03140096618357488,0.017543859649122806,0.013812154696132596,0.015384615384615385,0.013641133263378805,0.01975051975051975,0.004739336492890996,0.007207207207207207,0.008106543138390272,0.007416563658838072,0.0021953896816684962,0.0027063599458728013,0.01076555023923445,0.013937282229965157,0.006102877070619006
AARS1,0.023702492848385777,0.01805728518057285,0.013472137170851195,0.015910898965791568,0.004306632213608958,0.009410288582183186,0.009640102827763496,0.006693440428380187,0.006796116504854369,0.01119157340355497,0.009234828496042216,0.016375545851528384,0.02073365231259968,0.011644832605531296,0.02947598253275109,0.0031645569620253164
ABAT,0.03571428571428571,0.04819277108433735,0.015384615384615385,0.08620689655172414,0.0,0.015625,0.047619047619047616,0.0,0.0,0.0,0.02564102564102564,0.047619047619047616,0.0,0.0,0.04081632653061224,0.0
ABCA1,0.07874015748031496,0.06397306397306397,0.05202312138728324,0.03676470588235294,0.014084507042253521,0.01818181818181818,0.029585798816568046,0.016260162601626018,0.00980392156862745,0.006802721088435374,0.012658227848101266,0.041666666666666664,0.05128205128205128,0.0,0.058823529411764705,0.0
ABCA2,0.04355108877721943,0.01991150442477876,0.024242424242424242,0.012048192771084338,0.0044444444444444444,0.029605263157894735,0.02040816326530612,0.011695906432748537,0.009302325581395349,0.01763668430335097,0.004761904761904762,0.010135135135135136,0.008583690987124463,0.0196078431372549,0.007518796992481203,0.002967359050445104
ABCA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB7,0.00909090909090909,0.06666666666666667,0.0,0.0,0.038461538461538464,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0
ABCF1,0.08669354838709678,0.09910414333706608,0.0643231114435303,0.05454545454545454,0.03553299492385787,0.031758326878388844,0.045588235294117645,0.0406015037593985,0.015296367112810707,0.018272425249169437,0.007481296758104738,0.011740331491712707,0.030798845043310877,0.013282732447817837,0.024829298572315334,0.009112709832134292
ABL1,0.09900199600798404,0.10048622366288493,0.07228915662650602,0.0686936936936937,0.05605381165919283,0.04964539007092199,0.04284490145672665,0.06176961602671119,0.031491002570694086,0.02232346241457859,0.028692879914984058,0.01694915254237288,0.027777777777777776,0.018656716417910446,0.034262948207171316,0.012048192771084338
AOC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABL2,0.20448717948717948,0.16839378238341968,0.11255924170616113,0.07827476038338659,0.04934687953555878,0.05329593267882188,0.057777777777777775,0.04861111111111111,0.04524886877828054,0.018026565464895637,0.01929260450160772,0.029715762273901807,0.02626970227670753,0.03925233644859813,0.04492753623188406,0.028368794326241134
ABR,0.09975157653353717,0.09585682765383673,0.06628033321260413,0.04697651174412794,0.04972972972972973,0.037608123354644606,0.04854740061162079,0.04061738424045491,0.012929567880231372,0.015972894482090997,0.012162876784769964,0.011489173663278833,0.018575851393188854,0.021032504780114723,0.030649926144756277,0.011874032008260196
ACAA1,0.02612671456564337,0.03908484270734033,0.02066590126291619,0.027739251040221916,0.011128775834658187,0.011013215859030838,0.012276785714285714,0.02729528535980149,0.0022753128555176336,0.011494252873563218,0.007911392405063292,0.010217113665389528,0.0036429872495446266,0.011049723756906077,0.01107419712070875,0.004464285714285714
ACACA,0.09337134711332858,0.08687068114511352,0.05506883604505632,0.028938906752411574,0.02936630602782071,0.0319693094629156,0.024193548387096774,0.03631961259079903,0.031413612565445025,0.03251318101933216,0.024469820554649267,0.0237741456166419,0.03650793650793651,0.02,0.04950495049504951,0.013333333333333334
ACACB,0.07142857142857142,0.16981132075471697,0.06896551724137931,0.0,0.05263157894736842,0.08,0.034482758620689655,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.03571428571428571,0.0
ACADM,0.008296460176991151,0.008849557522123894,0.0026954177897574125,0.0014792899408284023,0.0012706480304955528,0.0015105740181268882,0.001838235294117647,0.006622516556291391,0.005376344086021506,0.011583011583011582,0.0021008403361344537,0.004301075268817204,0.006622516556291391,0.0023094688221709007,0.0,0.0
ACADS,0.0297029702970297,0.056338028169014086,0.025,0.06896551724137931,0.0,0.029850746268656716,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.037037037037037035,0.02127659574468085,0.03076923076923077,0.024390243902439025
ACADSB,0.022397094430992737,0.02139917695473251,0.010156971375807941,0.007803790412486065,0.0036730945821854912,0.004686035613870665,0.0070838252656434475,0.01001669449081803,0.0072992700729927005,0.0019286403085824494,0.004615384615384616,0.003937007874015748,0.0,0.005641748942172073,0.011658031088082901,0.008445945945945946
ACADVL,0.011264080100125156,0.007220216606498195,0.0136986301369863,0.008849557522123894,0.01256281407035176,0.001953125,0.004123711340206186,0.015748031496062992,0.004470938897168405,0.003468208092485549,0.002288329519450801,0.0,0.007228915662650603,0.004784688995215311,0.003367003367003367,0.00546448087431694
ACAT1,0.023728813559322035,0.021220159151193633,0.017278617710583154,0.0,0.005988023952095809,0.002257336343115124,0.0022522522522522522,0.004366812227074236,0.004750593824228029,0.009554140127388535,0.006191950464396285,0.0025,0.0033444816053511705,0.006578947368421052,0.01272264631043257,0.0
ACAT2,0.00146484375,0.0027944111776447107,0.0006355258976803305,0.0009791122715404699,0.001362026695723236,0.0006821282401091405,0.0007830853563038371,0.0005524861878453039,0.0007733952049497294,0.0002559508574353724,0.0008340283569641367,0.00023110700254217703,0.0016689847009735744,0.001322314049586777,0.0008264462809917355,0.0
ASIC1,0.003289473684210526,0.00966183574879227,0.02247191011235955,0.01639344262295082,0.01904761904761905,0.021739130434782608,0.02654867256637168,0.02531645569620253,0.014084507042253521,0.0,0.0,0.0,0.08196721311475409,0.014285714285714285,0.05319148936170213,0.0
ACLY,0.03156023114535487,0.0385668644454587,0.012051349227141734,0.011606022584692597,0.007246376811594203,0.008890086206896552,0.011484098939929329,0.012543903662819869,0.0048205677557579,0.006132756132756133,0.0025210084033613447,0.0037479503396579995,0.006145526057030482,0.0036706869428421605,0.007845060063741112,0.0008341675008341675
