GENE,DMSO_3h,VHL_3h,DMSO_6h,VHL_6h
COL15A1,67.0,47.5,33.5,30.75
COMT,1364.5,1159.25,1099.0,971.5
COPA,2563.5,1737.75,1809.25,1437.75
COPB1,416.75,243.5,285.75,250.0
KLF6,316.25,309.5,527.25,387.75
SLC31A1,3111.75,2351.25,1354.0,1099.5
SLC31A2,214.75,130.5,252.75,138.75
CORT,22.5,11.25,13.0,15.25
MAP3K8,4.25,4.75,7.0,5.75
COX4I1,2712.5,2136.0,2798.0,2493.75
COX5B,494.0,360.0,503.75,433.75
COX6A1,1685.0,1365.75,2014.25,1710.0
COX6B1,1523.25,1137.5,1810.5,1549.0
COX6C,1335.0,863.0,1293.75,1020.5
COX7A1,2.0,0.0,0.0,0.25
COX7A2,2671.75,2087.75,3105.0,2463.75
COX7B,876.5,660.5,1108.0,958.0
COX7C,1435.25,961.75,1278.75,929.0
COX8A,2074.25,1620.5,1852.0,1489.5
COX10,409.0,272.25,539.5,429.25
COX11,1943.0,1447.75,1527.5,1287.0
COX15,3049.0,2199.0,2019.0,1591.0
CP,1254.0,897.25,885.5,720.75
CPD,7974.75,5782.5,8695.75,6884.0
CLDN7,33.25,21.75,21.75,21.0
CPM,1198.5,777.5,1051.0,572.0
CPOX,317.75,176.0,365.0,313.75
CPS1,116.0,75.25,47.75,44.25
CPT1A,4644.25,2960.75,4876.25,3985.25
CPT1B,44.0,42.75,60.75,79.5
CPT2,440.0,330.75,375.75,295.5
CR1,2.25,2.75,6.0,7.0
CRABP2,4.5,2.5,0.25,1.0
CRAT,83.5,59.25,76.75,61.0
CREB1,2381.5,1621.5,2221.75,1500.25
ATF2,2280.0,1546.25,1821.75,1318.75
CREBBP,631.75,387.5,552.5,458.25
ATF6B,1698.0,999.25,1059.75,832.75
CREBL2,1382.25,958.5,925.0,698.75
CREM,84.5,60.0,104.0,96.5
CRIP1,400.25,306.0,649.75,586.25
CRIP2,17.0,11.0,17.5,14.25
CRK,1935.25,1358.5,1569.75,1117.0
CRKL,4232.0,3103.25,4099.0,2863.5
CRMP1,10.75,10.75,6.0,3.0
CRY1,100.75,58.25,86.0,78.5
CRY2,270.25,133.75,249.5,155.75
CRYGS,11.75,4.25,6.75,6.75
CRYZ,143.0,94.5,108.5,102.5
CS,11496.5,8339.0,9526.0,7492.75
MAPK14,2949.0,1817.5,2778.25,1724.0
CSE1L,912.25,680.5,1074.5,895.5
CSF1,24.25,23.25,5.5,7.5
CSF1R,2845.0,2019.5,2211.25,2421.25
CSF2RA,470.0,367.0,393.25,274.75
CSF2RB,963.5,481.5,843.0,780.0
CSF3R,60.75,45.75,51.75,37.25
CSK,1972.0,1317.25,1430.25,1388.25
CSNK1A1,4212.0,3146.75,3517.0,2954.75
