GENE,DMSO_3h,VHL_3h,DMSO_6h,VHL_6h
DNAJC27-AS1,0.5,0.75,0.5,0.25
AC068587.4,0.5,0.75,0.5,0.25
729737,0.25,0.25,0.0,0.25
GOLGA8CP,0.25,0.25,0.0,0.0
729799,12.0,7.0,4.25,6.5
UMAD1,12.0,3.25,2.5,1.5
AL121987.2,1.0,0.0,0.0,0.0
TBC1D3,0.0,0.0,0.0,0.0
TBC1D3H,1.5,0.75,0.0,1.0
CRPPA,0.5,0.0,0.25,0.0
729930,0.0,0.0,0.0,0.0
SHISA7,68.5,19.5,8.25,5.5
MORN2,0.25,0.25,0.0,0.0
729975,0.5,0.25,0.75,0.0
BORCS8,23.0,8.5,5.25,7.0
ZNF814,30.25,9.0,18.0,22.0
ZNF726,4.0,0.5,0.0,0.25
LINC00886,1.5,0.75,0.25,0.5
730092,27.75,8.0,6.0,4.5
MOSMO,48.5,6.5,6.0,5.5
AL162231.1,0.75,0.25,0.5,0.75
CRYZL2P,1.75,0.0,0.5,1.25
FAM166B,0.25,0.0,0.0,0.0
TMEM229A,0.0,0.0,0.0,0.0
AC093249.6,0.75,0.25,0.25,0.0
730202,4.5,1.25,2.25,1.75
LINC01136,2.5,0.0,0.25,0.0
PPIAL4E,0.5,0.25,0.0,0.0
GTF2H2C_2,1.0,0.25,0.75,0.5
730971,0.0,0.0,0.0,0.0
RFX8,4.25,0.75,0.75,0.25
LINC01347,12.0,4.25,3.75,1.75
731424,6.25,3.0,0.5,0.75
731656,3.5,1.25,0.0,0.25
TDRG1,3.0,1.75,0.0,0.0
CSKMT,6.75,1.75,2.0,0.5
LINC00106,1.25,0.25,1.0,0.5
CEMP1,0.0,0.0,0.0,0.0
PFN1P2,0.25,0.0,0.0,0.0
RELL1,22.25,6.75,3.5,2.75
MIR671,9.5,4.5,0.75,0.5
TVP23A,0.0,0.0,0.0,0.0
780852,0.0,0.0,0.0,0.0
780853,0.25,0.0,0.0,0.0
SNORD3D,0.25,0.0,0.0,0.0
UQCC3,48.5,24.0,8.5,8.25
100009667,1.25,1.0,0.5,0.0
ZBTB11-AS1,23.0,6.5,4.5,5.25
100033413,0.25,0.0,0.0,0.0
100033414,0.0,0.0,0.0,0.0
100033416,0.5,0.0,0.0,0.0
100033417,0.0,0.0,0.0,0.0
100033418,0.0,0.0,0.0,0.0
100033425,0.0,0.0,0.0,0.0
100033426,0.25,0.0,0.0,0.0
100033427,0.0,0.0,0.0,0.0
100033428,0.25,0.0,0.0,0.0
100033430,0.0,0.0,0.0,0.25
100033431,0.5,0.0,0.0,0.0
100033432,0.75,0.25,0.0,0.0
100033433,0.0,0.25,0.0,0.0
100033435,1.25,0.25,0.0,0.0
100033438,0.0,0.0,0.0,0.0
100034743,0.0,0.0,0.0,0.0
CDKN2B-AS1,9.75,2.0,1.5,1.0
100049076,7.75,1.5,2.5,1.75
SIGLEC14,2.0,0.25,1.25,0.5
NINJ2-AS1,14.0,3.75,3.5,4.5
SNHG8,230.75,83.0,121.75,74.5
GTF2IP4,53.25,15.0,10.5,11.0
100101148,2.75,0.75,0.5,0.5
100101266,0.0,0.0,0.0,0.0
POM121C,164.25,45.5,23.0,30.75
100101440,1.75,0.0,0.25,0.0
ZSCAN30,17.5,3.25,1.25,2.75
100113378,3.0,0.0,2.0,0.25
SNORD125,1.5,1.25,0.0,0.0
100113381,37.5,10.5,9.0,5.0
100113392,1.75,0.25,0.25,0.0
100113393,9.75,3.0,3.75,1.75
TMEM170B,38.0,9.25,8.0,6.0
100124516,22.75,5.25,6.25,4.0
100124533,1.5,0.5,0.5,0.0
SNORA84,2.0,1.25,1.0,0.0
HOTAIR,1.75,0.25,0.25,0.0
ZGLP1,0.5,0.0,0.0,0.0
FAM86JP,0.75,0.75,1.0,0.5
MIR374B,0.5,0.25,0.0,0.25
MIR922,5.75,0.75,0.5,1.25
MIR940,0.25,1.0,0.0,0.0
MIR943,1.75,0.5,0.0,0.0
MIR937,0.0,0.75,0.0,0.0
MIR939,5.25,2.75,0.5,1.0
100126784,0.0,0.0,0.0,0.0
EGOT,1.25,0.25,0.25,0.5
GHRLOS,4.25,1.25,1.0,0.75
SLCO4A1-AS1,1.0,0.0,0.25,0.0
100127889,0.0,0.0,0.0,0.25
AC005358.1,0.25,0.0,0.0,0.25
100128055,0.25,0.0,0.0,0.0
FAM229A,0.5,0.0,0.0,0.0
STAU2-AS1,0.0,0.0,0.0,0.0
AC008040.1,1.0,0.0,0.0,0.0
100128176,0.0,0.0,0.0,0.0
TMPO-AS1,76.75,25.25,44.25,25.0
100128285,5.75,2.75,0.0,0.25
100128288,3.5,1.25,1.5,1.25
100128338,1.25,1.5,0.0,1.0
100128378,1.25,0.75,0.0,0.0
FAM225B,1.5,0.25,1.0,0.75
ARHGAP42-AS1,0.0,0.0,0.0,0.25
AP002490.1,6.75,4.0,0.5,0.25
100128537,4.25,1.5,4.75,2.75
AC011444.1,2.75,1.5,0.25,1.0
C19orf71,0.0,0.0,0.0,0.0
100128573,0.25,0.0,0.0,0.5
SLC8A1-AS1,0.0,0.0,0.0,0.0
ACVR2B-AS1,2.0,0.75,0.5,0.75
OST4,36.0,12.0,7.5,10.0
AC108134.1,0.0,0.0,0.0,0.25
LINC00476,16.75,6.0,2.0,3.0
SRRM2-AS1,2.25,2.0,0.75,0.0
100128822,15.25,5.75,4.25,5.5
VPS9D1-AS1,8.75,4.75,0.75,2.0
ZBTB42,10.25,1.5,1.0,2.5
100129027,0.0,0.0,0.0,0.0
PKP4-AS1,0.0,0.0,0.0,0.0
SEMA3F-AS1,0.25,0.0,0.0,0.25
KTN1-AS1,6.75,0.75,3.0,1.0
100129083,0.0,0.0,0.0,0.0
KHDC1L,0.0,0.0,0.0,0.0
AC092506.1,4.5,0.5,1.5,2.0
100129148,0.0,0.25,0.0,0.25
ZSCAN16-AS1,23.25,5.5,6.25,3.5
MATN1-AS1,6.25,1.75,0.5,1.75
DEFB131B,0.0,0.0,0.0,0.0
SMIM27,2.0,0.75,0.75,0.0
100129269,0.0,0.0,0.0,0.0
100129316,0.0,0.25,0.0,0.0
SMIM10L1,168.25,45.25,29.0,27.0
100129424,17.75,9.0,7.0,6.25
100129460,3.75,0.75,0.75,0.0
100129461,1.75,0.0,0.0,0.25
MKRN2OS,0.25,0.0,0.0,0.0
ZNF37BP,77.0,18.25,7.75,16.0
SOD2-OT1,1.0,0.5,0.5,0.0
