,MV4.11_DMSO,K562_DMSO,K562_JQ1,MV4.11_JQ1
0,0.0,2.0,0.0,0.0
1,134.0,52.0,48.0,139.0
2,93.0,65.0,69.0,93.0
3,47.0,56.0,46.0,30.0
4,3.0,0.0,0.0,3.0
5,9.0,0.0,0.0,7.0
6,3.0,0.0,0.0,3.0
7,0.0,6.0,7.0,0.0
8,7.0,7.0,5.0,5.0
9,89.0,140.0,134.0,78.0
10,167.0,272.0,273.0,149.0
11,55.0,147.0,110.0,56.0
12,0.0,1.0,0.0,0.0
13,168.0,0.0,0.0,214.0
14,19.0,26.0,33.0,24.0
15,49.0,75.0,61.0,53.0
16,12.0,0.0,0.0,9.0
17,74.0,74.0,87.0,63.0
18,8.0,6.0,13.0,8.0
19,22.0,20.0,16.0,32.0
20,34.0,22.0,18.0,14.0
21,41.0,43.0,34.0,44.0
22,56.0,99.0,67.0,52.0
23,0.0,1.0,0.0,0.0
24,0.0,1.0,0.0,0.0
25,210.0,107.0,101.0,200.0
26,9.0,14.0,10.0,11.0
27,118.0,83.0,91.0,123.0
28,44.0,27.0,35.0,70.0
29,208.0,228.0,190.0,167.0
30,13.0,6.0,7.0,6.0
31,37.0,0.0,0.0,12.0
32,0.0,0.0,0.0,0.0
33,2510.0,820.0,860.0,2732.0
34,0.0,1.0,1.0,0.0
35,3624.0,814.0,1335.0,4877.0
36,216.0,164.0,142.0,281.0
37,118.0,118.0,122.0,144.0
38,228.0,52.0,29.0,162.0
39,0.0,5.0,4.0,0.0
40,11.0,32.0,35.0,18.0
41,75.0,61.0,49.0,68.0
42,5.0,10.0,14.0,4.0
43,49.0,32.0,29.0,30.0
44,1.0,0.0,0.0,0.0
45,11.0,5.0,6.0,2.0
46,58.0,32.0,37.0,59.0
47,2.0,1.0,3.0,4.0
48,30.0,3.0,4.0,14.0
49,40.0,14.0,13.0,18.0
50,133.0,57.0,57.0,104.0
51,152.0,96.0,91.0,126.0
52,16.0,4.0,1.0,7.0
53,2.0,0.0,0.0,0.0
54,38.0,18.0,25.0,23.0
55,0.0,1.0,0.0,0.0
56,181.0,31.0,22.0,115.0
57,176.0,6.0,4.0,173.0
58,57.0,57.0,38.0,47.0
59,27.0,42.0,19.0,9.0
60,26.0,61.0,47.0,18.0
61,31.0,95.0,55.0,35.0
62,100.0,100.0,80.0,92.0
63,78.0,41.0,40.0,110.0
64,2.0,0.0,0.0,1.0
65,5.0,4.0,2.0,1.0
66,56.0,20.0,8.0,22.0
67,2.0,0.0,0.0,0.0
68,5.0,0.0,0.0,4.0
69,132.0,228.0,206.0,133.0
70,65.0,10.0,9.0,39.0
71,0.0,3.0,1.0,0.0
72,2.0,1.0,1.0,2.0
73,167.0,1.0,1.0,74.0
