state (Emission order)	H3K27me3	SMC1	ATAC	CTCF	MED1	POLII	H3K27ac	H3K4me3	H3K79me2
1	0.004763717499325645	0.374779161862924	0.2526337117088455	0.3093901379408792	0.03231870408974218	1.2744200654834134E-4	0.0077810555153549335	0.012426294879803571	1.0568560014272738E-11
2	3.2416348133575644E-4	0.1049106729391519	0.10221764289262834	0.01650429975066566	0.07207181166292163	0.01736648878846946	0.05189188805954887	0.00426338673886428	0.01809523054391627
3	2.632224757259525E-6	1.9515620409362233E-4	0.008487130535718269	2.9561550579397517E-4	1.1177222712736484E-46	5.383145162900804E-6	0.002093743266209824	0.001696600843383876	5.836974455612527E-4
4	0.0030287492958877755	1.5981192026690638E-51	0.003629916593809789	3.340315145772914E-5	3.356327000719748E-42	1.7320203924780114E-6	1.9992342716120963E-4	2.530333224698307E-4	2.861992855935071E-5
5	0.9791922507867805	0.1369079614271982	0.033562634372724366	1.185046425704997E-59	1.3870532034560885E-55	7.09933682348379E-280	0.021540444633580996	0.008983496759975302	1.475042614976143E-68
6	3.2181913228834395E-4	0.004929467429849317	0.012908818119543407	7.32723522028613E-26	0.0011631625394885189	1.374884749843185E-35	0.9069610996444971	4.404309675959536E-11	0.01737706557448829
7	2.729404072879871E-5	0.017593727752001808	0.05500951877116509	0.0010828254614853978	0.021868074769237168	2.672029138057921E-4	0.06680369245014149	0.9908950890392983	0.020058560542747482
8	4.111907362999985E-5	8.961007131572456E-4	0.004840247453290623	5.259555457947019E-4	1.1776742482020061E-4	7.744496057634232E-5	6.305822964906507E-28	0.005252932537944018	0.9874484035369523
