,LYL1,IKZF1,MYB,LMO2,GFI1,MAX,MYC,SP1,ELF2,MEF2D_FLAG,RUNX2,MEIS1,RUNX1,FLI1,ETV6,CEBPA,PU1,IRF8,FOXP1,ZMYND8,ZEB2,GATA2,LDB1,MYBL2,IRF2BP2,mediator,cohesin,CTCF,POLII,H3K27ac,H3K79me2,H3K4me3,open regions,promoters,super_enhancer,regular_enhancer,activation,repression,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8
LYL1,1.0,0.10792105718879239,0.14439759531733973,0.1501170182764984,0.07174320359923325,0.16541786185080545,0.05774564541769694,-0.14100742178106954,-0.0039000691338290996,0.005333796330487264,0.3499728925048027,0.14840824657660026,0.31057979585923745,0.32140837594294586,0.04036238932154243,0.131528293122084,0.14542052816234152,0.06056728245521643,0.15077836125236563,0.12399451078077692,-0.0167562704579061,0.13179838400226598,0.3676645798249229,0.08700506818871306,0.1447264953035333,-0.05797968353894507,-0.11649744479103678,-0.12508766416549358,-0.027468432760316918,-0.05364805761026806,-0.03684408853187064,0.042936846104699875,0.141601944099424,0.006088021003580224,-0.028401198477984595,0.0026178263030470312,-0.03912065235612342,-0.030644998627608507,0.008655714126392768,0.0029232555273137743,-0.023368047915064017,0.0025853778208292768,0.09865620030926008,0.00890484239299298,0.006385072612680339,0.055123835669038
IKZF1,0.09451695321406628,1.0,0.07974957608404255,0.05841768248731072,0.017750693946261543,0.28065994434475355,0.1519843678647767,0.02841372028977116,0.11395526653609622,0.05221176152788178,0.24348633793357885,0.04868080315915589,0.1664335074865868,0.21773823237276052,0.14564269373164027,0.15786639401561353,0.17085235588175746,0.044606454860544424,0.1602847908383734,0.14523054629994633,0.04748444540144419,0.052849072129814996,0.01921500029039905,-0.0767821445772766,0.09338421715441034,0.05984756507189476,-0.08632021430842972,-0.0974045085687042,0.09832481861824487,0.12801935608286447,-0.011948912381936266,0.045388772852053255,0.11342641204047241,0.007652846127997512,0.02923867124480493,0.0026727190351876246,0.11608606186786005,-0.06030590684362958,0.004667861447806754,0.003675546018402224,0.0026422637730899065,0.0013363172487701152,0.06501990030837133,0.011576781594218533,0.006256064550441446,0.015304117668032937
MYB,0.2215908283126562,0.11744756366967687,1.0,0.12513155067011175,0.04442257358187449,0.3300627601544347,0.1821438132225065,0.09446571624623323,0.1267638381241481,0.07133627548872418,0.3623048934646912,0.18073282777895436,0.2540032980588449,0.24715244633439223,0.055412206371955534,0.1886214819353218,0.09775651471576262,0.025187496783866635,0.3520235095686633,0.16770896410560907,-0.005691366702396268,0.07628108106433552,-0.07545682155536196,0.07867835547453685,0.13351280477712615,0.07959025433838073,-0.12145433009514581,-0.1523085461291425,0.02913870269680556,0.18228271794157747,0.02266577931449388,0.0564508578805298,0.201222271928857,0.006575288141023159,0.07170322095164659,0.0020578582998578626,0.17033824227275549,-0.03200220134704185,0.002883812777409354,0.002879349750190363,0.0018586401860537104,0.0010242067227105905,0.060834793130812796,0.009214871246416846,0.004485275580392573,0.011975867319581043
LMO2,0.5395623455205714,0.10847845397382588,0.16494988510325012,1.0,-0.015379763777074007,0.48215952273181717,0.3827401006810771,0.2211994771205236,0.3015013316857177,0.10612185000963847,0.2570616568925304,-0.014649193422387997,0.14943443030141393,0.3090022834966002,0.12521176302257753,0.08397551602717179,0.005982085347020205,-0.05579154568174415,0.21863149542313243,0.2043357986469232,0.015987637938848675,0.03913752956013976,0.10269866189621132,-0.04235169842405245,0.04359792533300952,0.39999926628422205,-0.11031065876426725,-0.17351371804603347,0.03667413471355407,0.6088904784447967,0.09215599939130853,0.05326547328470163,0.18858240252247097,0.011172890532264366,0.2627771705796288,0.001657688296663967,0.5086263868579657,-0.04896261474826567,0.00139846100421848,0.0030872751890157965,0.0014375750510531814,0.0004892129215687961,0.06861485479684858,-0.01277349095237482,0.003441274068986697,0.011756999184512248
GFI1,0.04151469366996441,0.03885662117259902,0.04924060286521567,0.017921810337561357,1.0,0.05198790370187189,0.013259146377738413,-0.04648992964495898,0.0020616940706964164,0.02435993256005073,0.193716817459515,0.10404903881586881,0.1557685843566004,0.11086452412755554,0.003086703297137886,0.10492699130660364,0.08167020970474155,0.045256160277234656,0.08102423717397786,0.07662040298142558,0.001377990159808558,0.03899024942203492,-0.06461392054302657,0.012935304155072349,0.07462359488061628,-0.014171749175523574,-0.049525522870399144,-0.02553536603500118,0.12011635633956645,0.03889831296698879,-0.0012910837308212388,0.01447798512389512,0.0845119294508247,0.00198867073521241,0.019212555541610103,0.0009604282569596888,0.005838850705637135,-0.042429064144409674,0.0016038022153417684,0.0011212219037771008,0.001059247928334518,0.0006647045393422299,0.031446197724432384,0.002803360907012836,0.002332260002929579,0.007269505324229689
MAX,0.1178779590761636,0.13498727483974987,0.12576309553886797,0.19128263028109527,0.04085612891683444,1.0,0.6056394128036621,0.3469440848803763,0.3165990577113065,0.08695390829174168,0.35436086181061127,0.029768580002755514,0.2413682701285732,0.2963617781310916,0.14007993440875044,0.18960268123221197,0.11818957266558434,-0.0241344429547483,0.26522569792642503,0.275590122221048,-0.014371209512973276,0.09689376116845502,0.3888406554544477,0.030830815141010676,0.07907053137589451,0.1651900255249004,-0.04155477836531819,-0.09025097989206518,-0.0683716700169092,0.3414933969016948,-0.003885974258429226,0.04421375788249786,0.31212429300925243,0.013271190734383006,0.024624758531948326,0.005614070076453233,0.2971383928894852,0.0021702870655536683,0.017200450978421104,0.0045977172204404925,-0.0025130727404581647,0.003220856160191805,0.21205113368613954,0.011813589589795821,0.013812526209747045,0.02636826477088419
MYC,0.11288128611995382,0.12870101145048135,0.09807355038180264,0.22969475985388066,0.03367899257325138,0.6897777772263183,1.0,0.2946676471941556,0.3022602994867415,0.060332555332030274,0.31505339893418605,0.012797081088879524,0.22006745043794348,0.2734252728749558,0.11668110933676061,0.16523182699831043,0.0941504774403252,-0.03339802941374817,0.2209291351951272,0.2418372479852372,0.003054263154786803,0.06141333230771827,0.24118069319296603,-0.10407283139473637,0.04492002695447415,0.1980398648589592,-0.03245089353794424,-0.11541127098759461,-0.025231696778295162,0.3943202134949519,-0.0008891078203479126,0.0358869894140103,0.25104931217645327,0.019541986029950522,0.08091914731733181,0.0034806372820674805,0.33802896191506715,0.021715912804728274,-0.00435852677726999,0.000650855413412382,0.003334135663664764,0.0017340067203595944,0.011969259626398051,-0.0036769671997596023,0.007676158947140493,0.016182692174095202
SP1,0.035937670889710005,0.1016729624197091,0.09482722736520598,0.16646097014855268,0.02053137526515833,0.555849898832329,0.3563629364308954,1.0,0.29955540906035377,0.06322925755713844,0.22874052198899505,-0.05042438221256078,0.19928212429987238,0.19909936427657118,0.10689241885519586,0.08680299586270945,-0.049252998116156195,-0.10980190992959997,0.2619730665123736,0.2632756080982351,0.03921827607775751,0.01877813330479725,-0.03616299627678119,-0.03311768623544404,0.006613784671545432,0.1925020794421134,-0.04622542765873951,-0.14181315799106822,-0.029063230143866442,0.37569939635170013,-0.014478064863577396,0.014575438879674782,0.2040068302030681,0.01199584203603703,0.11462399700252064,0.0015716843624593777,0.3495359115729893,-0.04207344629680109,0.0036025262131862573,0.002857243205482125,-0.012843488066049612,0.000769098343145272,0.0869421055941582,0.0055383148186528295,0.0034326464253064135,0.010253575957524385
ELF2,0.08002918296217856,0.12489206774301885,0.05104433343878453,0.14968531122648118,0.02446369238658526,0.4588186316520684,0.3236426539189474,0.2506992742112791,1.0,0.04904888498397328,0.18942706929388534,-0.028820528146684985,0.11208280466381793,0.4039625550760202,0.3047040382939793,0.04917329185714967,0.0940052703823768,-0.06625622922564653,0.15119129570596593,0.19955484902743878,0.016276861031567863,0.03888869092042347,0.032810678003403614,-0.034026236033154196,-0.0026984297696051075,0.174834646765384,-0.07740413861902998,-0.10807194159734772,-0.06029804156982961,0.3330177183207343,-0.0076560906767903555,0.020148308175757117,0.2002124135608836,0.009638388731379297,0.08486083122982539,0.002527903287480527,0.3091039354082561,-0.04769571927903819,-0.00018155817028349877,0.002232148560123837,-0.018101920526817552,0.0013523781753420033,0.08015229002223896,0.012459551663162762,0.005603299217038213,0.013908073733302415
MEF2D_FLAG,0.10591736262451944,0.1372342950968642,0.15774716281630655,0.27468258282474395,0.00379067581179591,0.46804875919202926,0.3617539506171853,0.18262746494534218,0.2828093081478532,1.0,0.3611192316849417,0.038879192789721045,0.22290156635789057,0.2827262947047176,0.13191311850257467,0.23373240586477198,0.06506215675275562,-0.011810406065509234,0.2763373616533665,0.29367223675618215,0.013186290250597848,0.0850605438311098,0.280351199097302,0.04840996603540965,0.41602129612495076,0.23560527793189953,-0.045523054143980585,-0.12770945785264667,0.03307463260010219,0.4400773775952445,0.03830799091058537,0.051890635499215465,0.2226667372077396,0.012550318746305066,0.1821123025835265,0.0018421348541316864,0.3568544385267834,-0.012783631332420465,0.0027134021259590476,0.0032237033018948334,0.0018047210060870068,0.0007444518840084693,0.06610749557569874,-0.008771537940607864,0.0039749952660939735,0.011748198116973375
