;;;;
REGION_ID;OVERLAP_GENES;PROXIMAL_GENES;CLOSEST_GENE;
1_merged_PDX_cell_lines_AML_13703_lociStitched;ABCA10;;ABCA10;
1_merged_PDX_cell_lines_AML_13704_lociStitched;SHISA5;PLXNB1 CCDC72 ATRIP CCDC51 TREX1;TREX1;
1_merged_PDX_cell_lines_AML_13705_lociStitched;DUSP22;;DUSP22;
1_merged_PDX_cell_lines_AML_13706_lociStitched;;;CD180;
1_merged_PDX_cell_lines_AML_13707_lociStitched;CPNE8;;CPNE8;
1_merged_PDX_cell_lines_AML_13708_lociStitched;;;ARRDC3;
1_merged_PDX_cell_lines_AML_13709_lociStitched;MTMR3;;HORMAD2;
1_merged_PDX_cell_lines_AML_1371_lociStitched;;;LOC100129316;
1_merged_PDX_cell_lines_AML_13710_lociStitched;;AOAH;AOAH;
1_merged_PDX_cell_lines_AML_13711_lociStitched;;;ITGB1;
1_merged_PDX_cell_lines_AML_13712_lociStitched;ZNF429;LOC400680;ZNF429;
1_merged_PDX_cell_lines_AML_13713_lociStitched;;;LOC727677;
1_merged_PDX_cell_lines_AML_13714_lociStitched;;RNF212 TMED11P SPON2;SPON2;
1_merged_PDX_cell_lines_AML_13715_lociStitched;;;FAM43A;
1_merged_PDX_cell_lines_AML_13716_lociStitched;;MIR935 CACNG6 VSTM1;CACNG6;
1_merged_PDX_cell_lines_AML_13717_lociStitched;;;SERP2;
1_merged_PDX_cell_lines_AML_13718_lociStitched;;LRRC37B SH3GL1P1;LRRC37B;
1_merged_PDX_cell_lines_AML_13719_lociStitched;DIAPH2;;DIAPH2;
1_merged_PDX_cell_lines_AML_1372_lociStitched;ARHGAP15;;ARHGAP15;
1_merged_PDX_cell_lines_AML_13720_lociStitched;TPST1;;TPST1;
1_merged_PDX_cell_lines_AML_13721_lociStitched;ZMYM4;;ZMYM4;
1_merged_PDX_cell_lines_AML_13722_lociStitched;C15orf38-AP3S2 AP3S2;ANPEP;ANPEP;
1_merged_PDX_cell_lines_AML_13723_lociStitched;VPS13D;VPS13D;VPS13D;
1_merged_PDX_cell_lines_AML_13724_lociStitched;;KCNJ15 DSCR10;DSCR10;
1_merged_PDX_cell_lines_AML_13725_lociStitched;COL16A1;HCRTR1 PEF1;PEF1;
1_merged_PDX_cell_lines_AML_13726_lociStitched;;ARL8B;ARL8B;
1_merged_PDX_cell_lines_AML_13727_lociStitched;TNKS2;;TNKS2;
1_merged_PDX_cell_lines_AML_13728_lociStitched;;;;
1_merged_PDX_cell_lines_AML_13729_lociStitched;HS3ST4;;HS3ST4;
1_merged_PDX_cell_lines_AML_1373_lociStitched;;;LRFN2;
1_merged_PDX_cell_lines_AML_13730_lociStitched;;ECH1 HNRNPL SIRT2 NFKBIB RINL;RINL;
1_merged_PDX_cell_lines_AML_13731_lociStitched;TSPAN14;SH2D4B;SH2D4B;
1_merged_PDX_cell_lines_AML_13732_lociStitched;;;DAOA;
1_merged_PDX_cell_lines_AML_13733_lociStitched;;C9orf71;C9orf71;
1_merged_PDX_cell_lines_AML_13734_lociStitched;CRMP1;;CRMP1;
1_merged_PDX_cell_lines_AML_13735_lociStitched;KCNIP2;NPM3 KCNIP2 MGEA5;KCNIP2;
1_merged_PDX_cell_lines_AML_13736_lociStitched;FNIP1;RAPGEF6;RAPGEF6;
1_merged_PDX_cell_lines_AML_13737_lociStitched;;LOC100289473;LOC100289473;
1_merged_PDX_cell_lines_AML_13738_lociStitched;;NCRNA00167 PRDM10 APLP2;APLP2;
1_merged_PDX_cell_lines_AML_13739_lociStitched;ACOT7;HES3 GPR153;GPR153;
1_merged_PDX_cell_lines_AML_1374_lociStitched;;;LOC728724;
1_merged_PDX_cell_lines_AML_13740_lociStitched;WIZ;MIR1470 RASAL3 AKAP8L PGLYRP2;AKAP8L;
1_merged_PDX_cell_lines_AML_13741_lociStitched;SETD1A;ORAI3 NCRNA00095 HSD3B7 FBXL19;SETD1A;
1_merged_PDX_cell_lines_AML_13742_lociStitched;PARP12;;PARP12;
1_merged_PDX_cell_lines_AML_13743_lociStitched;DGAT2;UVRAG;DGAT2;
1_merged_PDX_cell_lines_AML_13744_lociStitched;;;MSR1;
1_merged_PDX_cell_lines_AML_13745_lociStitched;VAV2;;SARDH;
1_merged_PDX_cell_lines_AML_13746_lociStitched;;;C15orf43;
1_merged_PDX_cell_lines_AML_13747_lociStitched;RBPMS;;RBPMS;
1_merged_PDX_cell_lines_AML_13748_lociStitched;PGCP;;PGCP;
1_merged_PDX_cell_lines_AML_13749_lociStitched;ZNF326 GEMIN8P4;;ZNF326;
1_merged_PDX_cell_lines_AML_1375_lociStitched;ZDHHC2;;ZDHHC2;
1_merged_PDX_cell_lines_AML_13750_lociStitched;;TSPYL5;TSPYL5;
1_merged_PDX_cell_lines_AML_13751_lociStitched;;CHPT1 SYCP3;SYCP3;
1_merged_PDX_cell_lines_AML_13752_lociStitched;;;MAFB;
1_merged_PDX_cell_lines_AML_13753_lociStitched;KIAA0146;;KIAA0146;
1_merged_PDX_cell_lines_AML_13754_lociStitched;RFFL;;RFFL;
1_merged_PDX_cell_lines_AML_13755_lociStitched;;ARHGAP23;ARHGAP23;
1_merged_PDX_cell_lines_AML_13756_lociStitched;;;DPH5;
1_merged_PDX_cell_lines_AML_13757_lociStitched;MST1P2;CROCCP2 NBPF1;MST1P2;
1_merged_PDX_cell_lines_AML_13758_lociStitched;C2CD2;PRDM15;PRDM15;
1_merged_PDX_cell_lines_AML_13759_lociStitched;;;JARID2;
1_merged_PDX_cell_lines_AML_1376_lociStitched;;XPC LSM3;LSM3;
1_merged_PDX_cell_lines_AML_13760_lociStitched;;;C9orf106;
1_merged_PDX_cell_lines_AML_13761_lociStitched;;MIR2355;MIR2355;
1_merged_PDX_cell_lines_AML_13762_lociStitched;IPO8;;IPO8;
1_merged_PDX_cell_lines_AML_13763_lociStitched;IGHMBP2;MRPL21;IGHMBP2;
1_merged_PDX_cell_lines_AML_13764_lociStitched;;;HMBOX1;
1_merged_PDX_cell_lines_AML_13765_lociStitched;LOC400759;GBP6;LOC400759;
1_merged_PDX_cell_lines_AML_13766_lociStitched;;;C8orf37;
1_merged_PDX_cell_lines_AML_13767_lociStitched;;MAP1LC3B2;MAP1LC3B2;
1_merged_PDX_cell_lines_AML_13768_lociStitched;THRAP3 C1orf113;C1orf113 FAM176B;C1orf113;
1_merged_PDX_cell_lines_AML_13769_lociStitched;RAD51L1;;ZFP36L1;
1_merged_PDX_cell_lines_AML_1377_lociStitched;;AGR3;AGR3;
1_merged_PDX_cell_lines_AML_13770_lociStitched;MRFAP1;LOC93622;MRFAP1;
1_merged_PDX_cell_lines_AML_13771_lociStitched;;;SNX18;
1_merged_PDX_cell_lines_AML_13772_lociStitched;ARPC3;GPN3 C12orf24 ANAPC7;ARPC3;
1_merged_PDX_cell_lines_AML_13773_lociStitched;;ZNF672 SH3BP5L MIR3124;SH3BP5L;
1_merged_PDX_cell_lines_AML_13774_lociStitched;TBC1D5;;TBC1D5;
1_merged_PDX_cell_lines_AML_13775_lociStitched;DLC1;DLC1;DLC1;
1_merged_PDX_cell_lines_AML_13776_lociStitched;;;;
1_merged_PDX_cell_lines_AML_13777_lociStitched;;WHAMML2 LOC100289656 LOC646278;LOC100289656;
1_merged_PDX_cell_lines_AML_13778_lociStitched;;ANKRD19 BICD2;BICD2;
1_merged_PDX_cell_lines_AML_13779_lociStitched;TMEM102;FGF11 AMAC1L3 POLR2A PLSCR3 CHRNB1 C17orf74 ZBTB4 C17orf61 NLGN2 SPEM1;TMEM102;
1_merged_PDX_cell_lines_AML_1378_lociStitched;ANPEP;MESP2;ANPEP;
1_merged_PDX_cell_lines_AML_13780_lociStitched;;;LOC148189;
1_merged_PDX_cell_lines_AML_13781_lociStitched;;;MCTP2;
1_merged_PDX_cell_lines_AML_13782_lociStitched;TRAPPC9;;KCNK9;
1_merged_PDX_cell_lines_AML_13783_lociStitched;;;KCTD12;
1_merged_PDX_cell_lines_AML_13784_lociStitched;;CPM;CPM;
1_merged_PDX_cell_lines_AML_13785_lociStitched;;MIR208B MYH6 NGDN MYH7;MYH7;
1_merged_PDX_cell_lines_AML_13786_lociStitched;CCDC12;NBEAL2;CCDC12;
1_merged_PDX_cell_lines_AML_13787_lociStitched;;;LMO7;
1_merged_PDX_cell_lines_AML_13788_lociStitched;;HELB;HELB;
1_merged_PDX_cell_lines_AML_13789_lociStitched;;;LOC723972;
1_merged_PDX_cell_lines_AML_1379_lociStitched;GLG1;GLG1;GLG1;
1_merged_PDX_cell_lines_AML_13790_lociStitched;TBXAS1;HIPK2 TBXAS1;TBXAS1;
1_merged_PDX_cell_lines_AML_13791_lociStitched;PRKCE;;PRKCE;
1_merged_PDX_cell_lines_AML_13792_lociStitched;PRKACB;;SAMD13;
1_merged_PDX_cell_lines_AML_13793_lociStitched;LOC150992;;LOC150992;
1_merged_PDX_cell_lines_AML_13794_lociStitched;;;ARID1B;
1_merged_PDX_cell_lines_AML_13795_lociStitched;FUNDC2;BRCC3 F8 MTCP1;FUNDC2;
1_merged_PDX_cell_lines_AML_13796_lociStitched;PIP5K1C;C19orf29 PIP5K1C;PIP5K1C;
1_merged_PDX_cell_lines_AML_13797_lociStitched;;;MIR629;
1_merged_PDX_cell_lines_AML_13798_lociStitched;NCOA7;NCOA7;NCOA7;
1_merged_PDX_cell_lines_AML_13799_lociStitched;;;RUNX3;
1_merged_PDX_cell_lines_AML_138_lociStitched;;;LOC730441;
1_merged_PDX_cell_lines_AML_1380_lociStitched;CDK6;;CDK6;
1_merged_PDX_cell_lines_AML_13800_lociStitched;HCN2;BSG POLRMT FGF22;HCN2;
1_merged_PDX_cell_lines_AML_13801_lociStitched;TSSC1;;TSSC1;
1_merged_PDX_cell_lines_AML_13802_lociStitched;;;SATB2;
1_merged_PDX_cell_lines_AML_13803_lociStitched;;;TWSG1;
1_merged_PDX_cell_lines_AML_13804_lociStitched;;KIAA1841 PUS10 PEX13;KIAA1841;
1_merged_PDX_cell_lines_AML_13805_lociStitched;;IVNS1ABP;IVNS1ABP;
1_merged_PDX_cell_lines_AML_13806_lociStitched;IKZF3;;GRB7;
1_merged_PDX_cell_lines_AML_13807_lociStitched;;CD36;CD36;
1_merged_PDX_cell_lines_AML_13808_lociStitched;SLC35F3;;C1orf31;
1_merged_PDX_cell_lines_AML_13809_lociStitched;LDHA;LDHC LDHA;LDHA;
1_merged_PDX_cell_lines_AML_1381_lociStitched;;;SPEF2;
1_merged_PDX_cell_lines_AML_13810_lociStitched;;ERGIC2;ERGIC2;
1_merged_PDX_cell_lines_AML_13811_lociStitched;RPTOR;;CHMP6;
1_merged_PDX_cell_lines_AML_13812_lociStitched;;;KCTD7;
1_merged_PDX_cell_lines_AML_13813_lociStitched;GPR108;VAV1 SH2D3A C3 TRIP10;C3;
1_merged_PDX_cell_lines_AML_13814_lociStitched;;STAC2 CACNB1 ARL5C RPL19;RPL19;
1_merged_PDX_cell_lines_AML_13815_lociStitched;UST;;UST;
1_merged_PDX_cell_lines_AML_13816_lociStitched;LPAR1;;LPAR1;
1_merged_PDX_cell_lines_AML_13817_lociStitched;;;DNAH17;
1_merged_PDX_cell_lines_AML_13818_lociStitched;RANBP9;NOL7;NOL7;
1_merged_PDX_cell_lines_AML_13819_lociStitched;BTBD3;BTBD3;BTBD3;
1_merged_PDX_cell_lines_AML_1382_lociStitched;C18orf1;C18orf1;C18orf1;
1_merged_PDX_cell_lines_AML_13820_lociStitched;YIPF4;NLRC4;YIPF4;
1_merged_PDX_cell_lines_AML_13821_lociStitched;STIM2;STIM2;STIM2;
1_merged_PDX_cell_lines_AML_13822_lociStitched;TTN MIR548N;PLEKHA3;PLEKHA3;
1_merged_PDX_cell_lines_AML_13823_lociStitched;;;SOX6;
1_merged_PDX_cell_lines_AML_13824_lociStitched;;NAT2;NAT2;
1_merged_PDX_cell_lines_AML_13825_lociStitched;OLIG1;OLIG2;OLIG1;
1_merged_PDX_cell_lines_AML_13826_lociStitched;DNAH14;;LBR;
1_merged_PDX_cell_lines_AML_13827_lociStitched;;;RAI14;
1_merged_PDX_cell_lines_AML_13828_lociStitched;PSMB2;;PSMB2;
1_merged_PDX_cell_lines_AML_13829_lociStitched;;ZXDA;ZXDA;
1_merged_PDX_cell_lines_AML_1383_lociStitched;EPSTI1;DNAJC15 EPSTI1;EPSTI1;
1_merged_PDX_cell_lines_AML_13830_lociStitched;TMEM110 TMEM110-MUSTN1;;TMEM110;
1_merged_PDX_cell_lines_AML_13831_lociStitched;;TMEM106A;TMEM106A;
1_merged_PDX_cell_lines_AML_13832_lociStitched;CMIP;;PLCG2;
1_merged_PDX_cell_lines_AML_13833_lociStitched;;LOC730227 BTG2;LOC730227;
1_merged_PDX_cell_lines_AML_13834_lociStitched;SDCCAG8;;SDCCAG8;
1_merged_PDX_cell_lines_AML_13835_lociStitched;;;LOC100129196;
1_merged_PDX_cell_lines_AML_13836_lociStitched;DDX46;C5orf24;C5orf24;
1_merged_PDX_cell_lines_AML_13837_lociStitched;;;PITRM1;
1_merged_PDX_cell_lines_AML_13838_lociStitched;;;RPS6KA3;
1_merged_PDX_cell_lines_AML_13839_lociStitched;;DYRK3 MAPKAPK2;MAPKAPK2;
1_merged_PDX_cell_lines_AML_1384_lociStitched;DACH1;;DACH1;
1_merged_PDX_cell_lines_AML_13840_lociStitched;EPS15L1;;EPS15L1;
1_merged_PDX_cell_lines_AML_13841_lociStitched;PACS1;SF3B2 GAL3ST3;PACS1;
1_merged_PDX_cell_lines_AML_13842_lociStitched;RRBP1;BANF2;RRBP1;
1_merged_PDX_cell_lines_AML_13843_lociStitched;;RGS12 C4orf44;RGS12;
1_merged_PDX_cell_lines_AML_13844_lociStitched;MTERFD1;PTDSS1 UQCRB;MTERFD1;
1_merged_PDX_cell_lines_AML_13845_lociStitched;;;PSD3;
1_merged_PDX_cell_lines_AML_13846_lociStitched;RHOBTB2 TNFRSF10B;;RHOBTB2;
1_merged_PDX_cell_lines_AML_13847_lociStitched;GRSF1;;GRSF1;
1_merged_PDX_cell_lines_AML_13848_lociStitched;C12orf48;PMCH;PMCH;
1_merged_PDX_cell_lines_AML_13849_lociStitched;HIVEP3;;HIVEP3;
1_merged_PDX_cell_lines_AML_1385_lociStitched;CTTNBP2;;CTTNBP2;
1_merged_PDX_cell_lines_AML_13850_lociStitched;;C3orf35;C3orf35;
1_merged_PDX_cell_lines_AML_13851_lociStitched;;ZNF280D;ZNF280D;
1_merged_PDX_cell_lines_AML_13852_lociStitched;NCRNA00114;ETS2 NCRNA00114;NCRNA00114;
1_merged_PDX_cell_lines_AML_13853_lociStitched;SLC8A1;SLC8A1;SLC8A1;
1_merged_PDX_cell_lines_AML_13854_lociStitched;RPS29;MGAT2 PPIL5 RPL36AL C14orf104;RPS29;
1_merged_PDX_cell_lines_AML_13855_lociStitched;;;DKFZp686O1327;
1_merged_PDX_cell_lines_AML_13856_lociStitched;ANGEL2;RPS6KC1;ANGEL2;
1_merged_PDX_cell_lines_AML_13857_lociStitched;FAM54B;PAQR7 LOC646471 C1orf135 SEPN1 FAM54B;LOC646471;
1_merged_PDX_cell_lines_AML_13858_lociStitched;VASP;PPM1N FOSB RTN2;VASP;
1_merged_PDX_cell_lines_AML_13859_lociStitched;;;HGF;
1_merged_PDX_cell_lines_AML_1386_lociStitched;SNORA48 CD68 EIF4A1 SNORD10 SNORA67 SOX15 MPDU1 SENP3;TNFSF13 TNFSF12-TNFSF13 FXR2 MPDU1 SAT2 SHBG;CD68;
1_merged_PDX_cell_lines_AML_13860_lociStitched;LAMA5;RPS21 ADRM1;LAMA5;
1_merged_PDX_cell_lines_AML_13861_lociStitched;GALNTL6;;GALNTL6;
1_merged_PDX_cell_lines_AML_13862_lociStitched;SNN;;SNN;
1_merged_PDX_cell_lines_AML_13863_lociStitched;;OR6N1 OR6K6 OR6N2 MNDA;OR6N2;
1_merged_PDX_cell_lines_AML_13864_lociStitched;;;CHST15;
1_merged_PDX_cell_lines_AML_13865_lociStitched;METTL9;IGSF6;METTL9;
1_merged_PDX_cell_lines_AML_13866_lociStitched;PDK1;;PDK1;
1_merged_PDX_cell_lines_AML_13867_lociStitched;;;LRRC7;
1_merged_PDX_cell_lines_AML_13868_lociStitched;ZNF792;GRAMD1A ZNF30;ZNF792;
1_merged_PDX_cell_lines_AML_13869_lociStitched;;;EPCAM;
1_merged_PDX_cell_lines_AML_1387_lociStitched;CAP1;;CAP1;
1_merged_PDX_cell_lines_AML_13870_lociStitched;;MIR573;MIR573;
1_merged_PDX_cell_lines_AML_13871_lociStitched;LPAR1;;LPAR1;
1_merged_PDX_cell_lines_AML_13872_lociStitched;RCCD1;PRC1 UNC45A HDDC3 RCCD1;RCCD1;
1_merged_PDX_cell_lines_AML_13873_lociStitched;;RBBP7 REPS2;RBBP7;
1_merged_PDX_cell_lines_AML_13874_lociStitched;;;PIAS1;
1_merged_PDX_cell_lines_AML_13875_lociStitched;IDI1 IDI2-AS1;IDI2-AS1 WDR37 IDI2;IDI1;
1_merged_PDX_cell_lines_AML_13876_lociStitched;ADD3;;ADD3;
1_merged_PDX_cell_lines_AML_13877_lociStitched;WDFY2;;WDFY2;
1_merged_PDX_cell_lines_AML_13878_lociStitched;;PLIN4 PLIN5 LRG1 SEMA6B;SEMA6B;
1_merged_PDX_cell_lines_AML_13879_lociStitched;;TMEM121;TMEM121;
1_merged_PDX_cell_lines_AML_1388_lociStitched;LDLR;LDLR;LDLR;
1_merged_PDX_cell_lines_AML_13880_lociStitched;POM121;NSUN5P2 LOC541473;NSUN5P2;
1_merged_PDX_cell_lines_AML_13881_lociStitched;;;FLJ33630;
1_merged_PDX_cell_lines_AML_13882_lociStitched;FAM55C;NFKBIZ;NFKBIZ;
1_merged_PDX_cell_lines_AML_13883_lociStitched;;RNF26 MCAM USP2 C1QTNF5;MCAM;
1_merged_PDX_cell_lines_AML_13884_lociStitched;;CLDN23;CLDN23;
1_merged_PDX_cell_lines_AML_13885_lociStitched;IGF2BP2;C3orf65;C3orf65;
1_merged_PDX_cell_lines_AML_13886_lociStitched;ABLIM1;;ABLIM1;
1_merged_PDX_cell_lines_AML_13887_lociStitched;HOMER2;;HOMER2;
1_merged_PDX_cell_lines_AML_13888_lociStitched;CCL20;CCL20;CCL20;
1_merged_PDX_cell_lines_AML_13889_lociStitched;SPOCK2;;SPOCK2;
1_merged_PDX_cell_lines_AML_1389_lociStitched;MIR3142;PTTG1 MIR146A SLU7;MIR3142;
1_merged_PDX_cell_lines_AML_13890_lociStitched;CABIN1;SUSD2;SUSD2;
1_merged_PDX_cell_lines_AML_13891_lociStitched;STARD5 IL16;;STARD5;
1_merged_PDX_cell_lines_AML_13892_lociStitched;DECR1;NBN;DECR1;
1_merged_PDX_cell_lines_AML_13893_lociStitched;HMGN2;DHDDS;HMGN2;
1_merged_PDX_cell_lines_AML_13894_lociStitched;;;ZHX2;
1_merged_PDX_cell_lines_AML_13895_lociStitched;EEF2;DAPK3 PIAS4 MIR637 SNORD37 ITGB1BP3;EEF2;
1_merged_PDX_cell_lines_AML_13896_lociStitched;;CEP110 C5;CEP110;
1_merged_PDX_cell_lines_AML_13897_lociStitched;AKT2;MIR641 CNTD2;MIR641;
1_merged_PDX_cell_lines_AML_13898_lociStitched;GATAD2A;;GATAD2A;
1_merged_PDX_cell_lines_AML_13899_lociStitched;;;TANK;
1_merged_PDX_cell_lines_AML_139_lociStitched;PBX3;;PBX3;
1_merged_PDX_cell_lines_AML_1390_lociStitched;AIM1;;AIM1;
1_merged_PDX_cell_lines_AML_13900_lociStitched;;LOC100132891 MSC;LOC100132891;
1_merged_PDX_cell_lines_AML_13901_lociStitched;UTRN;;UTRN;
1_merged_PDX_cell_lines_AML_13902_lociStitched;;MEPE IBSP HSP90AB3P;MEPE;
1_merged_PDX_cell_lines_AML_13903_lociStitched;C9orf150;;C9orf150;
1_merged_PDX_cell_lines_AML_13904_lociStitched;CASP9;CELA2B DNAJC16;CASP9;
1_merged_PDX_cell_lines_AML_13905_lociStitched;DTNBP1;DTNBP1;DTNBP1;
1_merged_PDX_cell_lines_AML_13906_lociStitched;;PARP11;PARP11;
1_merged_PDX_cell_lines_AML_13907_lociStitched;;CRYAA U2AF1;CRYAA;
1_merged_PDX_cell_lines_AML_13908_lociStitched;;;KBTBD8;
1_merged_PDX_cell_lines_AML_13909_lociStitched;ANKH;;ANKH;
1_merged_PDX_cell_lines_AML_1391_lociStitched;;FAM81A MYO1E;FAM81A;
1_merged_PDX_cell_lines_AML_13910_lociStitched;RPTOR;;CHMP6;
1_merged_PDX_cell_lines_AML_13911_lociStitched;FAM116B;PLXNB2 PPP6R2 MAPK11;PLXNB2;
1_merged_PDX_cell_lines_AML_13912_lociStitched;TPTE2P1;CENPJ;CENPJ;
1_merged_PDX_cell_lines_AML_13913_lociStitched;SYN3;;TIMP3;
1_merged_PDX_cell_lines_AML_13914_lociStitched;;;PTPN1;
1_merged_PDX_cell_lines_AML_13915_lociStitched;;;C6orf223;
1_merged_PDX_cell_lines_AML_13916_lociStitched;;;PTPRU;
1_merged_PDX_cell_lines_AML_13917_lociStitched;C22orf25;MIR185 ARVCF;C22orf25;
1_merged_PDX_cell_lines_AML_13918_lociStitched;;;FLJ36031;
1_merged_PDX_cell_lines_AML_13919_lociStitched;ZFYVE28;LOC402160 ZFYVE28;ZFYVE28;
1_merged_PDX_cell_lines_AML_1392_lociStitched;SCNN1A TNFRSF1A;PLEKHG6 LTBR;TNFRSF1A;
1_merged_PDX_cell_lines_AML_13920_lociStitched;;PPARGC1B;PPARGC1B;
1_merged_PDX_cell_lines_AML_13921_lociStitched;;ITM2B;ITM2B;
1_merged_PDX_cell_lines_AML_13922_lociStitched;;;SLC1A3;
1_merged_PDX_cell_lines_AML_13923_lociStitched;TMED7 TMED7-TICAM2;TICAM2;TMED7;
1_merged_PDX_cell_lines_AML_13924_lociStitched;TTC28-AS1;MIR3199-1 MIR3199-2 PITPNB;MIR3199-1;
1_merged_PDX_cell_lines_AML_13925_lociStitched;;TNP2 PRM3 PRM2 SOCS1;SOCS1;
1_merged_PDX_cell_lines_AML_13926_lociStitched;;SYNPO2L USP54 MYOZ1;MYOZ1;
1_merged_PDX_cell_lines_AML_13927_lociStitched;;PSAP CDH23;PSAP;
1_merged_PDX_cell_lines_AML_13928_lociStitched;ARRB2;PELP1 MED11 ZMYND15 CXCL16 ARRB2;ARRB2;
1_merged_PDX_cell_lines_AML_13929_lociStitched;;ZNF184;ZNF184;
1_merged_PDX_cell_lines_AML_1393_lociStitched;MED13L;;MED13L;
1_merged_PDX_cell_lines_AML_13930_lociStitched;;;KLF4;
1_merged_PDX_cell_lines_AML_13931_lociStitched;;CRYBA4 MIAT TPST2 CRYBB1;CRYBA4;
1_merged_PDX_cell_lines_AML_13932_lociStitched;;;LRRC7;
1_merged_PDX_cell_lines_AML_13933_lociStitched;LTBP2;NPC2 ISCA2;ISCA2;
1_merged_PDX_cell_lines_AML_13934_lociStitched;;;CTNNA3;
1_merged_PDX_cell_lines_AML_13935_lociStitched;NCRNA00163;C21orf67 C21orf70 NCRNA00162;NCRNA00163;
1_merged_PDX_cell_lines_AML_13936_lociStitched;FCHSD2;;FCHSD2;
1_merged_PDX_cell_lines_AML_13937_lociStitched;;;;
1_merged_PDX_cell_lines_AML_13938_lociStitched;;;IGSF11;
1_merged_PDX_cell_lines_AML_13939_lociStitched;FLVCR2;TTLL5 C14orf1;FLVCR2;
1_merged_PDX_cell_lines_AML_1394_lociStitched;KLF13;;KLF13;
1_merged_PDX_cell_lines_AML_13940_lociStitched;;MMP12 MMP13;MMP13;
1_merged_PDX_cell_lines_AML_13941_lociStitched;INTS3;SLC27A3;SLC27A3;
1_merged_PDX_cell_lines_AML_13942_lociStitched;NUMA1;C11orf59 MIR3165 LRTOMT C11orf51;MIR3165;
1_merged_PDX_cell_lines_AML_13943_lociStitched;MAPKAPK5;ADAM1;ADAM1;
1_merged_PDX_cell_lines_AML_13944_lociStitched;;SPDYE4 CCDC42;CCDC42;
1_merged_PDX_cell_lines_AML_13945_lociStitched;CACNA1S;KIF21B;KIF21B;
1_merged_PDX_cell_lines_AML_13946_lociStitched;;PA2G4P4 LEKR1;PA2G4P4;
1_merged_PDX_cell_lines_AML_13947_lociStitched;;SNAI2;SNAI2;
1_merged_PDX_cell_lines_AML_13948_lociStitched;MARVELD1;ZFYVE27 LOC100270710 AVPI1;MARVELD1;
1_merged_PDX_cell_lines_AML_13949_lociStitched;SLC24A4;;SLC24A4;
1_merged_PDX_cell_lines_AML_1395_lociStitched;;;C2orf46;
1_merged_PDX_cell_lines_AML_13950_lociStitched;TMEM184B;CSNK1E;TMEM184B;
1_merged_PDX_cell_lines_AML_13951_lociStitched;RADIL;KIAA0415;KIAA0415;
1_merged_PDX_cell_lines_AML_13952_lociStitched;;;POTEM;
1_merged_PDX_cell_lines_AML_13953_lociStitched;FAM116A;;FAM116A;
1_merged_PDX_cell_lines_AML_13954_lociStitched;FHIT;;FHIT;
1_merged_PDX_cell_lines_AML_13955_lociStitched;YEATS2;;YEATS2;
1_merged_PDX_cell_lines_AML_13956_lociStitched;EPS15L1;;EPS15L1;
1_merged_PDX_cell_lines_AML_13957_lociStitched;SUN5;BPIL3 BPIL1;SUN5;
1_merged_PDX_cell_lines_AML_13958_lociStitched;AKAP13;;AKAP13;
1_merged_PDX_cell_lines_AML_13959_lociStitched;;TMEM129 FGFR3 TACC3 SLBP;TACC3;
1_merged_PDX_cell_lines_AML_1396_lociStitched;;;ITGA4;
1_merged_PDX_cell_lines_AML_13960_lociStitched;;;NCEH1;
1_merged_PDX_cell_lines_AML_13961_lociStitched;INMT-FAM188B FAM188B;;AQP1;
1_merged_PDX_cell_lines_AML_13962_lociStitched;SH3RF1;;CBR4;
1_merged_PDX_cell_lines_AML_13963_lociStitched;GALNT2;;GALNT2;
1_merged_PDX_cell_lines_AML_13964_lociStitched;HPS3;HLTF;HPS3;
1_merged_PDX_cell_lines_AML_13965_lociStitched;MKRN1;;MKRN1;
1_merged_PDX_cell_lines_AML_13966_lociStitched;EPHA3;;EPHA3;
1_merged_PDX_cell_lines_AML_13967_lociStitched;;;LOC388692;
1_merged_PDX_cell_lines_AML_13968_lociStitched;NAV1;MIR1231 IPO9;MIR1231;
1_merged_PDX_cell_lines_AML_13969_lociStitched;PDZRN4;;PDZRN4;
1_merged_PDX_cell_lines_AML_1397_lociStitched;ZYX;FAM131B LOC285965 EPHA1 ZYX;ZYX;
1_merged_PDX_cell_lines_AML_13970_lociStitched;;RLF;RLF;
1_merged_PDX_cell_lines_AML_13971_lociStitched;;MAS1 IGF2R;IGF2R;
1_merged_PDX_cell_lines_AML_13972_lociStitched;;P2RX7;P2RX7;
1_merged_PDX_cell_lines_AML_13973_lociStitched;;;ARHGAP12;
1_merged_PDX_cell_lines_AML_13974_lociStitched;CCND2;C12orf5;CCND2;
1_merged_PDX_cell_lines_AML_13975_lociStitched;SLC2A6;TMEM8C C9orf7;SLC2A6;
1_merged_PDX_cell_lines_AML_13976_lociStitched;NCEH1;NCEH1;NCEH1;
1_merged_PDX_cell_lines_AML_13977_lociStitched;;;NAA35;
1_merged_PDX_cell_lines_AML_13978_lociStitched;THOC1;;THOC1;
1_merged_PDX_cell_lines_AML_13979_lociStitched;IQSEC1;;IQSEC1;
1_merged_PDX_cell_lines_AML_1398_lociStitched;IQCD;DDX54 CCDC42B C12orf52 TPCN1;IQCD;
1_merged_PDX_cell_lines_AML_13980_lociStitched;;;RUNX1;
1_merged_PDX_cell_lines_AML_13981_lociStitched;ST18;;PCMTD1;
1_merged_PDX_cell_lines_AML_13982_lociStitched;;;ZNF366;
