;;;;
REGION_ID;OVERLAP_GENES;PROXIMAL_GENES;CLOSEST_GENE;
1_merged_PDX_cell_lines_AML_10058_lociStitched;BRD1;LOC90834;LOC90834;
1_merged_PDX_cell_lines_AML_10059_lociStitched;KIAA0556;;KIAA0556;
1_merged_PDX_cell_lines_AML_1006_lociStitched;;GAST EIF1 KRT17 KRT42P;EIF1;
1_merged_PDX_cell_lines_AML_10060_lociStitched;MYO9B;HAUS8;MYO9B;
1_merged_PDX_cell_lines_AML_10061_lociStitched;FOXP1;;MIR1284;
1_merged_PDX_cell_lines_AML_10062_lociStitched;;;SNX19;
1_merged_PDX_cell_lines_AML_10063_lociStitched;KIAA1462;;KIAA1462;
1_merged_PDX_cell_lines_AML_10064_lociStitched;TRNP1 FAM46B;C1orf172;TRNP1;
1_merged_PDX_cell_lines_AML_10065_lociStitched;IGF1R;;IGF1R;
1_merged_PDX_cell_lines_AML_10066_lociStitched;SMU1;DNAJA1 APTX;DNAJA1;
1_merged_PDX_cell_lines_AML_10067_lociStitched;;EPC1;EPC1;
1_merged_PDX_cell_lines_AML_10068_lociStitched;;;MRPL15;
1_merged_PDX_cell_lines_AML_10069_lociStitched;JAG1;;JAG1;
1_merged_PDX_cell_lines_AML_1007_lociStitched;ERC1;;LOC100292680;
1_merged_PDX_cell_lines_AML_10070_lociStitched;;;ATG10;
1_merged_PDX_cell_lines_AML_10071_lociStitched;;;MYRIP;
1_merged_PDX_cell_lines_AML_10072_lociStitched;RSPO2;;RSPO2;
1_merged_PDX_cell_lines_AML_10073_lociStitched;GNAS;;GNAS;
1_merged_PDX_cell_lines_AML_10074_lociStitched;;NSUN7;NSUN7;
1_merged_PDX_cell_lines_AML_10075_lociStitched;;;METTL2B;
1_merged_PDX_cell_lines_AML_10076_lociStitched;;SLC2A9 MIR3138;SLC2A9;
1_merged_PDX_cell_lines_AML_10077_lociStitched;;HHLA2;HHLA2;
1_merged_PDX_cell_lines_AML_10078_lociStitched;LMNB1;;LMNB1;
1_merged_PDX_cell_lines_AML_10079_lociStitched;DUSP16;;DUSP16;
1_merged_PDX_cell_lines_AML_1008_lociStitched;MED12L P2RY14;GPR87 P2RY14 P2RY13;P2RY14;
1_merged_PDX_cell_lines_AML_10080_lociStitched;MAP4K3;;MAP4K3;
1_merged_PDX_cell_lines_AML_10081_lociStitched;SPTBN4 SHKBP1;LTBP4 SPTBN4;SHKBP1;
1_merged_PDX_cell_lines_AML_10082_lociStitched;GMNN;;GMNN;
1_merged_PDX_cell_lines_AML_10083_lociStitched;SNX9;;SNX9;
1_merged_PDX_cell_lines_AML_10084_lociStitched;;;ARGLU1;
1_merged_PDX_cell_lines_AML_10085_lociStitched;PRPF6 SAMD10;UCKL1-AS1 MIR1914 ZNF512B UCKL1 MIR647;SAMD10;
1_merged_PDX_cell_lines_AML_10086_lociStitched;TBC1D15;TBC1D15 MRS2P2;MRS2P2;
1_merged_PDX_cell_lines_AML_10087_lociStitched;HNRNPD;;HNRNPD;
1_merged_PDX_cell_lines_AML_10088_lociStitched;HPCAL1;ODC1 SNORA80B;SNORA80B;
1_merged_PDX_cell_lines_AML_10089_lociStitched;;SEPT5 SEPT5-GP1BB GP1BB;SEPT5;
1_merged_PDX_cell_lines_AML_1009_lociStitched;C22orf45 ADORA2A;;ADORA2A;
1_merged_PDX_cell_lines_AML_10090_lociStitched;IQCG RPL35A;LMLN;RPL35A;
1_merged_PDX_cell_lines_AML_10091_lociStitched;;;LOC348751;
1_merged_PDX_cell_lines_AML_10092_lociStitched;;BMP8B;BMP8B;
1_merged_PDX_cell_lines_AML_10093_lociStitched;;CD1D LOC646268;LOC646268;
1_merged_PDX_cell_lines_AML_10094_lociStitched;KLHL12;ADIPOR1 CYB5R1 RABIF;KLHL12;
1_merged_PDX_cell_lines_AML_10095_lociStitched;ARHGEF40;RNASE7 NDRG2 RNASE13 RNASE8 ZNF219 C14orf176 TPPP2;ARHGEF40;
1_merged_PDX_cell_lines_AML_10096_lociStitched;ASTN1;;MIR488;
1_merged_PDX_cell_lines_AML_10097_lociStitched;BIRC6;TTC27;TTC27;
1_merged_PDX_cell_lines_AML_10098_lociStitched;IKZF2;;IKZF2;
1_merged_PDX_cell_lines_AML_10099_lociStitched;SAG;DGKD;DGKD;
1_merged_PDX_cell_lines_AML_101_lociStitched;;;GSDMC;
1_merged_PDX_cell_lines_AML_1010_lociStitched;TWIST1;FERD3L;TWIST1;
1_merged_PDX_cell_lines_AML_10100_lociStitched;IFT140 CRAMP1L;;IFT140;
1_merged_PDX_cell_lines_AML_10101_lociStitched;SLC16A5;KCTD2 ARMC7 NT5C ATP5H;SLC16A5;
1_merged_PDX_cell_lines_AML_10102_lociStitched;G2E3;;G2E3;
1_merged_PDX_cell_lines_AML_10103_lociStitched;MGST1;MGST1;MGST1;
1_merged_PDX_cell_lines_AML_10104_lociStitched;;;GPD2;
1_merged_PDX_cell_lines_AML_10105_lociStitched;;MEGF9;MEGF9;
1_merged_PDX_cell_lines_AML_10106_lociStitched;ATG4D MIR1238 KRI1;SLC44A2 KEAP1 CDKN2D S1PR5 AP1M2;MIR1238;
1_merged_PDX_cell_lines_AML_10107_lociStitched;C20orf200 C20orf166;MIR1-1 MIR133A2;C20orf166;
1_merged_PDX_cell_lines_AML_10108_lociStitched;;ZFP36L1 C14orf181;C14orf181;
1_merged_PDX_cell_lines_AML_10109_lociStitched;ADCY6;LOC255411 CACNB3;ADCY6;
1_merged_PDX_cell_lines_AML_1011_lociStitched;RAB8A;TPM4 CIB3 HSH2D;RAB8A;
1_merged_PDX_cell_lines_AML_10110_lociStitched;THBS2;;THBS2;
1_merged_PDX_cell_lines_AML_10111_lociStitched;;ATP6V1C1;ATP6V1C1;
1_merged_PDX_cell_lines_AML_10112_lociStitched;RPL39 SNORA69;ANKRD58;RPL39;
1_merged_PDX_cell_lines_AML_10113_lociStitched;DDX6;;DDX6;
1_merged_PDX_cell_lines_AML_10114_lociStitched;;PRELID2 GRXCR2;GRXCR2;
1_merged_PDX_cell_lines_AML_10115_lociStitched;LAMP2;LAMP2;LAMP2;
1_merged_PDX_cell_lines_AML_10116_lociStitched;EGFEM1P;;MIR551B;
1_merged_PDX_cell_lines_AML_10117_lociStitched;;;CXXC5;
1_merged_PDX_cell_lines_AML_10118_lociStitched;CCDC88A;CCDC88A;CCDC88A;
