Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
20201222_DMSO_FLAG_24_MP8533_S18_R1_001	10.297380475156586	41.0	100.0	0.0	30427788.0
20201222_DMSO_FLAG_24_MP8533_S18_R2_001	10.384482536071417	41.0	100.0	0.0	30427788.0
20201222_DMSO_MED1_24_MP8533_S20_R1_001	16.74259084929689	42.0	100.0	0.0	33518287.0
20201222_DMSO_MED1_24_MP8533_S20_R2_001	16.659387598113682	42.0	100.0	0.0	33518287.0
20201222_DMSO_MEF2C24_MP8533_S22_R1_001	29.421777262556617	42.0	100.0	0.0	31704350.0
20201222_DMSO_MEF2C24_MP8533_S22_R2_001	29.641491570032713	42.0	100.0	0.0	31704350.0
20201222_DMSO_MYC_24_MP8533_S19_R1_001	19.731200061978853	48.0	100.0	9.090909090909092	37918142.0
20201222_DMSO_MYC_24_MP8533_S19_R2_001	19.4301169392766	48.0	100.0	9.090909090909092	37918142.0
20201222_DMSO_POL_II_24_MP8533_S21_R1_001	8.244089604345973	44.0	100.0	9.090909090909092	38159772.0
20201222_DMSO_POL_II_24_MP8533_S21_R2_001	8.317031795904413	44.0	100.0	9.090909090909092	38159772.0
20201222_VHL_FLAG_24_MP8533_S23_R1_001	30.87760868973102	42.0	100.0	9.090909090909092	38468864.0
20201222_VHL_FLAG_24_MP8533_S23_R2_001	31.023264455562042	42.0	100.0	9.090909090909092	38468864.0
20201222_VHL_MED1_24_MP8533_S25_R1_001	20.096001327579145	41.0	100.0	0.0	42284687.0
20201222_VHL_MED1_24_MP8533_S25_R2_001	20.0859749160323	41.0	100.0	0.0	42284687.0
20201222_VHL_MEF2C_24_MP8533_S27_R1_001	29.030648587258597	42.0	100.0	0.0	42184975.0
20201222_VHL_MEF2C_24_MP8533_S27_R2_001	28.949487178148658	42.0	100.0	0.0	42184975.0
20201222_VHL_MYC_24_MP8533_S24_R1_001	15.831720421573976	47.0	100.0	9.090909090909092	34623866.0
20201222_VHL_MYC_24_MP8533_S24_R2_001	15.962780321386134	47.0	100.0	9.090909090909092	34623866.0
20201222_VHL_POL_II_24_MP8533_S26_R1_001	8.54888914138101	44.0	100.0	9.090909090909092	38438443.0
20201222_VHL_POL_II_24_MP8533_S26_R2_001	8.746987833465568	44.0	100.0	9.090909090909092	38438443.0
