RegionsCount::Count!!I,ParentID::ID of the parent!!I,ID::ID!!I
"#",,
0, , 
0, , 
0, , 
0, , 
0, , 
0, , 
0, , 
0, , 
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
1,2,4
1, , 
0,2,3
2,2,4
1, , 
0,2,3
2,2,4
1, , 
0,2,3
3,2,4
1, , 
1,2,3
2,2,5
1, , 
2,2,3
3,2,6
1, , 
2,2,3
2,2,6
1, , 
3,2,3
3,2,7
1, , 
3,2,3
6,2,7
1, , 
7,2,3
7,2,11
1, , 
10,2,3
7,2,14
1, , 
9,2,3
10,2,13
1, , 
9,2,3
11,2,13
1, , 
11,2,3
12,2,15
1, , 
12,2,3
13,2,16
1, , 
12,2,3
15,2,16
1, , 
17,2,3
17,2,21
1, , 
19,2,3
16,2,23
1, , 
21,2,3
14,2,25
1, , 
20,2,3
15,2,24
1, , 
22,2,3
15,2,26
1, , 
23,2,3
21,2,27
1, , 
28,2,3
24,2,32
1, , 
27,2,3
19,2,31
1, , 
32,2,3
18,2,36
1, , 
36,2,3
18,2,40
1, , 
36,2,3
21,2,40
1, , 
41,2,3
23,2,45
1, , 
37,2,3
22,2,41
1, , 
37,2,3
19,2,41
1, , 
34,2,3
20,2,38
1, , 
36,2,3
21,2,40
1, , 
35,2,3
22,2,39
1, , 
30,2,3
22,2,34
1, , 
38,2,3
23,2,42
1, , 
42,2,3
22,2,46
1, , 
39,2,3
19,2,43
1, , 
37,2,3
23,2,41
1, , 
35,2,3
23,2,39
1, , 
32,2,3
23,2,36
1, , 
33,2,3
23,2,37
1, , 
32,2,3
20,2,36
1, , 
35,2,3
17,2,39
1, , 
38,2,3
20,2,42
1, , 
35,2,3
17,2,39
1, , 
37,2,3
16,2,41
1, , 
33,2,3
15,2,37
1, , 
32,2,3
12,2,36
1, , 
31,2,3
15,2,35
1, , 
28,2,3
18,2,32
1, , 
30,2,3
18,2,34
1, , 
30,2,3
15,2,34
1, , 
30,2,3
12,2,34
1, , 
31,2,3
10,2,35
1, , 
31,2,3
13,2,35
1, , 
34,2,3
9,2,38
1, , 
33,2,3
9,2,37
1, , 
33,2,3
8,2,37
1, , 
32,2,3
9,2,36
1, , 
26,2,3
10,2,30
1, , 
27,2,3
11,2,31
1, , 
25,2,3
13,2,29
1, , 
25,2,3
12,2,29
1, , 
26,2,3
11,2,30
1, , 
29,2,3
10,2,33
1, , 
25,2,3
9,2,29
1, , 
24,2,3
9,2,28
1, , 
24,2,3
8,2,28
1, , 
23,2,3
11,2,27
1, , 
25,2,3
6,2,29
1, , 
23,2,3
9,2,27
1, , 
18,2,3
9,2,22
1, , 
23,2,3
10,2,27
1, , 
21,2,3
10,2,25
1, , 
22,2,3
9,2,26
1, , 
21,2,3
10,2,25
1, , 
19,2,3
8,2,23
1, , 
17,2,3
8,2,21
1, , 
18,2,3
5,2,22
1, , 
17,2,3
6,2,21
1, , 
20,2,3
8,2,24
1, , 
18,2,3
11,2,22
1, , 
17,2,3
6,2,21
1, , 
16,2,3
9,2,20
1, , 
18,2,3
9,2,22
1, , 
18,2,3
12,2,22
1, , 
16,2,3
12,2,20
1, , 
16,2,3
9,2,20
1, , 
17,2,3
9,2,21
1, , 
16,2,3
8,2,20
1, , 
19,2,3
7,2,23
1, , 
17,2,3
6,2,21
1, , 
15,2,3
4,2,19
1, , 
15,2,3
2,2,19
1, , 
16,2,3
1,2,20
1, , 
16,2,3
3,2,20
1, , 
18,2,3
3,2,22
1, , 
17,2,3
3,2,21
1, , 
17,2,3
2,2,21
1, , 
13,2,3
2,2,17
1, , 
12,2,3
2,2,16
1, , 
13,2,3
2,2,17
1, , 
15,2,3
2,2,19
1, , 
15,2,3
3,2,19
1, , 
14,2,3
2,2,18
1, , 
9,2,3
4,2,13
1, , 
6,2,3
3,2,10
1, , 
6,2,3
4,2,10
1, , 
8,2,3
2,2,12
1, , 
8,2,3
2,2,12
1, , 
8,2,3
4,2,12
1, , 
6,2,3
4,2,10
1, , 
5,2,3
3,2,9
1, , 
6,2,3
3,2,10
1, , 
6,2,3
3,2,10
1, , 
7,2,3
2,2,11
1, , 
6,2,3
2,2,10
1, , 
8,2,3
1,2,12
1, , 
7,2,3
0,2,11
1, , 
7,2,3
0,2,11
1, , 
5,2,3
0,2,9
1, , 
5,2,3
0,2,9
1, , 
4,2,3
0,2,8
