RegionsCount::Count!!I,ParentID::ID of the parent!!I,ID::ID!!I
"#",,
0, , 
0, , 
0, , 
0, , 
0, , 
0, , 
0, , 
0, , 
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
1,2,3
1,2,5
1, , 
2,2,3
2,2,6
1, , 
1,2,3
3,2,5
1, , 
1,2,3
3,2,5
1, , 
2,2,3
5,2,6
1, , 
1,2,3
5,2,5
1, , 
2,2,3
8,2,6
1, , 
3,2,3
11,2,7
1, , 
3,2,3
13,2,7
1, , 
5,2,3
17,2,9
1, , 
4,2,3
16,2,8
1, , 
5,2,3
14,2,9
1, , 
8,2,3
16,2,12
1, , 
9,2,3
20,2,13
1, , 
9,2,3
19,2,13
1, , 
8,2,3
19,2,12
1, , 
8,2,3
19,2,12
1, , 
11,2,3
21,2,15
1, , 
10,2,3
22,2,14
1, , 
9,2,3
24,2,13
1, , 
11,2,3
21,2,15
1, , 
11,2,3
22,2,15
1, , 
12,2,3
21,2,16
1, , 
14,2,3
23,2,18
1, , 
15,2,3
18,2,19
1, , 
16,2,3
19,2,20
1, , 
18,2,3
15,2,22
1, , 
19,2,3
19,2,23
1, , 
18,2,3
18,2,22
1, , 
19,2,3
19,2,23
1, , 
20,2,3
20,2,24
1, , 
20,2,3
17,2,24
1, , 
20,2,3
21,2,24
1, , 
20,2,3
23,2,24
1, , 
17,2,3
22,2,21
1, , 
16,2,3
21,2,20
1, , 
19,2,3
20,2,23
1, , 
18,2,3
20,2,22
1, , 
21,2,3
16,2,25
1, , 
19,2,3
15,2,23
1, , 
14,2,3
12,2,18
1, , 
15,2,3
9,2,19
1, , 
17,2,3
12,2,21
1, , 
16,2,3
11,2,20
1, , 
12,2,3
10,2,16
1, , 
14,2,3
7,2,18
1, , 
15,2,3
9,2,19
1, , 
13,2,3
9,2,17
1, , 
10,2,3
8,2,14
1, , 
9,2,3
8,2,13
1, , 
10,2,3
9,2,14
1, , 
10,2,3
10,2,14
1, , 
10,2,3
11,2,14
1, , 
10,2,3
11,2,14
1, , 
12,2,3
10,2,16
1, , 
11,2,3
10,2,15
1, , 
12,2,3
7,2,16
1, , 
10,2,3
8,2,14
1, , 
9,2,3
8,2,13
1, , 
10,2,3
10,2,14
1, , 
12,2,3
6,2,16
1, , 
11,2,3
7,2,15
1, , 
10,2,3
8,2,14
1, , 
11,2,3
6,2,15
1, , 
11,2,3
5,2,15
1, , 
8,2,3
4,2,12
1, , 
6,2,3
4,2,10
1, , 
6,2,3
2,2,10
1, , 
6,2,3
2,2,10
1, , 
4,2,3
2,2,8
1, , 
3,2,3
3,2,7
1, , 
4,2,3
4,2,8
1, , 
5,2,3
4,2,9
1, , 
3,2,3
3,2,7
1, , 
3,2,3
3,2,7
1, , 
4,2,3
2,2,8
1, , 
3,2,3
2,2,7
1, , 
2,2,3
2,2,6
1, , 
2,2,3
2,2,6
1, , 
2,2,3
2,2,6
1, , 
2,2,3
2,2,6
1, , 
2,2,3
2,2,6
1, , 
2,2,3
2,2,6
1, , 
1,2,3
2,2,5
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
1, , 
0,2,3
0,2,4
