mr201.MV411.MYBi_6h.r1_tcount,mr202.MV411.MYBi_6h.r2_tcount,mr203.MV411.MYBi_6h.r3_tcount,mr205.MV411.PBS_6h.r1_tcount,mr206.MV411.PBS_6h.r2_tcount,mr207.MV411.PBS_6h.r3_tcount
0,0,0,0,0,0
3,1,0,1,8,0
0,2,0,1,8,5
2,3,0,5,9,8
1,0,0,0,2,0
1,2,0,0,1,1
0,0,0,1,5,2
0,0,0,2,0,0
2,0,0,0,0,0
0,0,0,0,0,0
4,10,7,27,35,29
0,0,0,0,0,0
11,11,4,15,20,15
0,2,2,4,5,4
0,3,2,14,20,7
0,0,0,0,0,1
0,0,0,1,3,7
0,0,0,3,0,0
0,0,0,3,3,1
0,2,0,3,5,5
0,1,0,0,2,3
2,0,1,1,2,1
2,0,1,3,0,2
0,0,0,3,2,0
0,0,0,0,0,0
3,3,4,15,17,10
0,1,0,0,4,1
0,2,0,2,5,3
4,6,2,1,16,6
4,7,2,10,22,11
0,1,1,3,5,2
0,0,0,11,15,13
0,0,0,0,0,0
110,172,167,366,583,292
140,225,139,691,1042,591
9,15,0,33,45,27
0,0,0,4,2,1
1,1,2,10,8,8
0,0,0,0,1,0
0,0,0,1,0,1
2,0,1,5,18,7
2,0,0,1,0,1
3,3,0,9,9,4
0,0,0,3,0,0
0,0,0,4,2,0
1,1,0,4,8,2
0,0,0,0,1,0
2,0,1,6,14,6
1,0,0,2,3,0
15,10,6,10,20,13
14,12,1,34,49,31
1,0,0,5,7,6
2,0,2,4,16,9
0,2,1,8,6,3
0,0,0,0,0,0
1,0,0,0,0,0
5,7,1,18,53,13
3,10,2,11,43,18
1,3,2,18,22,9
0,0,0,15,16,7
1,0,2,1,2,0
15,13,6,12,9,11
0,0,0,1,6,4
0,0,0,0,0,0
0,0,0,3,3,5
0,1,0,0,0,0
0,0,0,0,0,0
0,6,1,1,2,2
7,6,3,6,19,8
0,0,0,1,0,0
2,1,2,4,7,1
1,3,0,2,7,6
0,0,0,1,0,0
0,0,0,3,2,2
0,0,0,2,2,0
1,1,1,2,8,4
6,2,2,27,37,17
1,2,2,10,16,11
0,0,0,0,1,1
2,0,2,6,5,1
0,0,0,3,4,0
0,1,0,0,6,1
3,2,0,7,7,7
5,11,7,14,27,14
9,25,7,32,42,26
0,0,0,0,0,0
1,1,2,8,11,10
4,5,2,15,20,16
0,0,0,2,3,2
0,2,3,0,3,0
0,0,0,0,0,0
1,1,0,1,0,2
0,1,0,0,0,1
3,0,0,11,16,17
23,32,19,9,15,11
2,2,0,2,3,1
0,0,0,1,0,0
5,10,5,49,85,40
0,3,1,1,0,0
2,3,0,10,25,4
1,1,0,10,17,2
2,1,0,4,16,8
0,5,3,3,2,3
8,2,1,1,11,4
0,0,0,3,10,6
0,0,0,0,0,0
0,0,0,0,0,1
13,19,8,23,49,35
3,2,1,11,22,15
0,0,0,1,4,3
2,7,6,9,12,5
2,2,1,7,8,5
0,2,0,0,0,0
11,13,13,22,48,33
0,0,0,0,0,0
0,0,0,1,0,0
1,0,2,0,1,1
1,4,1,1,4,5
0,0,4,4,2,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
18,16,16,38,73,37
2,4,1,5,3,4
0,0,0,0,0,0
0,0,0,12,11,7
0,0,3,3,0,0
0,0,0,0,0,0
0,0,0,0,2,1
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,5,6,6,12,5
11,16,14,87,180,100
3,2,0,0,2,0
1,5,2,3,0,3
1,0,0,1,1,0
0,0,0,0,0,0
0,0,0,0,0,1
1,0,1,0,0,0
0,0,0,3,4,2
2,1,0,0,1,0
0,1,0,2,7,3
0,1,0,0,0,1
0,0,0,0,0,1
5,7,3,6,8,2
0,0,0,0,3,0
0,0,0,0,1,0
0,1,1,5,6,4
0,0,0,1,0,0
0,1,2,1,1,1
0,0,0,5,8,2
4,2,1,17,31,13
2,2,3,3,0,0
4,3,2,0,0,0
7,4,3,11,22,16
10,17,7,31,22,16
0,0,0,0,0,0
2,2,6,8,23,19
0,0,0,0,0,0
0,0,0,0,1,1
1,2,3,8,30,10
0,0,0,0,0,0
0,0,0,0,1,0
1,4,1,1,2,3
0,0,0,6,20,5
0,0,0,0,0,0
0,1,1,1,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,5,1,4,10,3
17,25,11,31,58,30
1,3,4,5,4,3
16,30,26,70,116,68
1,3,0,14,31,11
7,12,6,5,17,9
0,0,0,0,0,0
1,1,0,5,2,1
57,70,54,80,96,73
0,0,0,0,0,0
30,42,18,46,89,47
15,32,9,11,34,16
0,0,0,0,0,0
0,1,0,0,0,0
13,18,8,47,64,44
4,3,4,29,40,31
0,0,0,1,4,5
0,0,0,0,0,0
0,0,0,0,0,0
11,29,12,115,221,121
40,85,63,160,273,178
