mr201.MV411.MYBi_6h.r1_tcount,mr202.MV411.MYBi_6h.r2_tcount,mr203.MV411.MYBi_6h.r3_tcount,mr205.MV411.PBS_6h.r1_tcount,mr206.MV411.PBS_6h.r2_tcount,mr207.MV411.PBS_6h.r3_tcount
5,2,1,10,4,4
1,0,3,7,12,6
0,0,0,0,0,0
0,0,0,1,4,3
1,0,0,3,0,1
3,6,1,2,8,5
0,1,0,0,1,0
4,8,5,33,52,29
0,0,1,5,10,4
0,0,0,4,2,0
5,12,1,2,8,5
0,1,0,1,0,1
0,0,3,5,13,1
0,0,0,0,0,1
0,0,1,1,4,0
0,2,2,3,14,4
0,0,0,0,0,0
1,1,0,1,1,2
0,0,0,0,3,1
0,0,0,0,2,1
2,1,4,4,15,5
0,1,0,2,1,0
8,3,3,0,0,0
3,1,0,2,4,3
6,10,8,9,11,14
4,5,7,17,28,7
0,0,0,0,2,0
0,3,0,6,17,8
1,2,1,2,9,5
0,0,0,1,3,1
0,4,1,6,8,4
0,0,0,0,0,0
0,0,0,2,0,3
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
5,3,1,8,9,2
0,0,0,0,0,0
9,12,3,22,60,17
0,2,4,13,23,10
14,15,16,7,8,2
0,0,0,0,0,0
0,0,0,0,2,0
3,2,4,9,8,7
1,1,0,1,3,1
3,1,2,2,22,5
0,1,0,0,0,0
0,0,0,2,4,4
3,0,2,3,8,2
5,3,4,1,3,2
0,1,0,1,2,0
0,0,0,6,6,4
18,18,4,5,17,8
1,0,3,5,10,2
0,0,0,1,1,1
8,8,3,2,9,5
0,0,0,0,0,0
25,38,24,18,48,18
0,17,6,29,34,14
12,5,2,12,21,9
4,4,3,13,12,15
8,7,4,8,10,10
1,1,1,2,4,2
3,0,2,3,8,2
1,0,0,0,0,0
1,0,0,0,0,4
0,0,0,0,1,0
0,0,0,1,0,0
4,10,2,9,6,5
0,0,0,0,0,0
18,8,9,64,121,58
0,0,0,0,0,0
0,1,1,0,1,3
1,4,5,6,8,6
18,20,6,12,31,14
0,0,0,2,6,2
5,3,1,15,30,18
0,0,0,0,0,0
2,3,3,9,17,8
0,0,1,1,1,1
5,3,0,14,23,17
1,1,0,2,4,1
1,0,0,1,3,1
0,0,0,0,1,1
0,1,0,2,6,2
3,5,2,4,11,5
0,0,0,4,3,4
1,0,0,1,6,4
0,0,0,0,0,0
2,1,1,12,18,4
10,26,10,110,156,100
0,1,0,1,2,0
1,6,1,14,25,15
3,4,2,12,15,9
6,13,9,8,12,5
0,0,0,1,5,0
4,12,5,33,55,30
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,1,1,2
0,0,0,0,1,0
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,1,0
0,0,0,0,3,0
0,0,0,0,0,0
0,0,0,0,2,0
10,10,6,11,36,17
1,0,0,2,2,1
23,18,8,7,4,3
1,0,0,0,0,0
4,3,3,5,14,4
1,0,0,0,1,0
0,0,1,0,0,0
0,0,0,2,1,0
2,4,0,0,4,1
1,2,1,2,4,1
0,0,0,1,1,0
0,0,0,0,0,1
0,0,0,1,1,0
1,0,0,5,2,1
0,3,1,0,1,0
1,1,3,9,21,10
1,0,2,6,4,3
9,10,7,19,23,12
0,0,0,0,0,0
1,1,1,4,5,1
0,0,0,0,0,0
0,0,0,2,0,0
0,0,2,1,4,2
0,0,0,0,1,0
0,0,0,0,0,0
2,2,2,22,46,19
1,0,1,0,0,0
3,4,1,4,7,2
16,29,22,8,13,8
107,126,92,379,668,358
6,8,7,23,28,27
0,0,0,0,0,0
0,0,2,2,3,1
0,1,0,0,1,1
1,6,3,3,12,1
0,2,0,0,0,1
6,3,6,7,8,7
19,23,13,8,10,13
3,0,1,5,3,4
1,0,0,0,0,0
5,2,3,3,1,2
1,5,2,18,18,16
0,0,0,2,1,1
6,6,3,5,18,9
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
5,13,10,3,4,1
0,0,0,0,0,0
0,0,0,1,2,0
0,1,0,0,0,0
0,0,0,0,0,0
12,15,8,6,16,3
1,0,0,0,0,0
4,3,5,25,30,23
0,1,0,1,3,3
0,0,0,1,0,0
0,0,0,1,1,1
0,2,0,2,3,2
0,0,0,0,0,0
2,1,0,1,7,10
0,1,0,4,15,4
11,10,14,17,54,18
0,0,0,2,0,1
0,0,0,0,2,0
0,0,0,1,3,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,2,1,0
0,0,0,0,0,0
0,0,0,1,1,0
0,0,0,0,0,0
0,2,0,6,6,3
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,2,5,0
2,0,0,0,0,0
0,0,0,2,5,0
0,0,0,4,2,2
20,21,10,23,42,17
19,13,9,15,21,6
3,9,7,38,51,26
8,18,12,122,174,114
11,6,3,20,41,25
0,0,0,0,0,0
8,7,6,5,6,5
4,5,0,14,22,10
1,0,0,1,4,1
23,15,11,25,56,31
0,0,0,0,0,1
0,0,0,6,3,2
3,2,4,3,10,6
0,0,0,0,3,1
1,4,0,7,22,11
0,0,0,0,2,0
29,19,13,30,52,24
12,5,1,2,4,8
1,0,0,0,4,0
10,5,6,9,22,9
0,1,2,0,3,0
1,2,1,2,3,0
7,22,4,33,64,40
9,15,6,14,28,15
0,0,0,1,1,0
0,0,1,1,3,1
12,2,4,1,2,0
0,1,2,4,3,4
0,0,0,5,2,1
1,2,0,5,6,5
0,0,0,0,0,0
1,0,3,5,6,5
0,0,0,0,0,0
33,38,14,38,65,36
63,98,40,149,247,117
9,11,2,43,70,52
32,45,28,132,201,110
11,9,7,6,26,9
3,10,5,23,27,17
1,1,0,1,6,0
0,0,0,0,0,0
3,11,8,4,13,3
1,3,0,18,20,15
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,2,1,0
0,0,0,2,0,1
7,10,3,7,17,8
3,0,2,0,4,1
5,4,1,5,4,1
4,11,1,27,38,19
10,5,1,64,90,44
0,1,1,10,17,12
17,22,13,22,35,24
10,15,5,12,15,10
0,2,2,1,1,0
0,0,0,0,0,0
36,44,17,52,78,32
15,7,3,13,37,15
11,11,12,16,27,21
0,0,2,7,8,1
5,4,4,15,36,14
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,0,0
0,0,1,23,28,24
0,0,0,0,0,0
0,0,0,0,2,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,1,0,0,1
0,0,0,0,0,1
0,0,0,0,0,0
1,1,0,5,22,10
0,0,0,1,2,1
4,1,5,1,7,2
1,0,0,10,12,6
1,1,2,4,2,2
0,1,0,1,0,1
4,0,0,2,8,2
0,0,1,0,0,0
2,1,0,1,8,4
0,3,1,4,4,2
0,0,0,1,0,0
30,51,31,29,50,21
3,4,0,10,15,9
0,0,0,0,0,0
7,4,5,7,10,3
1,2,0,0,4,3
0,0,0,0,0,0
1,0,0,1,3,1
1,4,2,17,23,17
2,7,0,0,0,0
2,0,0,0,0,0
0,0,0,0,3,0
7,8,6,39,72,37
0,0,0,0,0,0
0,0,0,0,0,0
2,1,0,9,11,11
10,4,5,29,63,22
1,0,0,4,7,3
0,0,0,0,0,0
5,9,4,4,3,1
1,0,0,3,1,1
1,3,0,10,5,8
7,0,2,4,8,2
0,1,0,4,10,7
0,0,0,0,2,1
12,18,9,63,68,46
0,3,1,3,8,2
0,1,0,1,1,0
15,20,4,5,22,9
0,0,1,3,10,6
9,19,13,15,35,14
0,0,0,0,0,0
1,0,2,10,13,8
0,0,0,0,1,1
4,7,2,16,14,6
0,0,0,0,0,0
52,83,30,71,103,60
0,0,0,0,0,0
1,0,3,5,5,3
6,3,5,14,28,8
8,9,8,5,13,5
65,87,68,44,95,30
0,0,0,0,0,1
6,5,4,12,18,8
6,14,6,1,4,1
0,1,0,0,4,3
4,4,2,5,24,6
0,0,0,1,0,0
0,0,0,0,1,0
0,3,3,5,11,2
0,2,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,2
0,0,0,0,0,0
52,131,58,393,567,338
7,13,16,29,36,22
5,9,6,25,41,28
0,0,0,1,1,0
35,51,23,70,116,59
0,0,0,0,0,0
7,10,0,8,15,10
8,7,3,51,71,48
0,0,0,0,0,0
1,0,1,1,0,0
4,1,3,1,7,2
0,0,0,1,5,1
0,0,0,0,0,1
8,10,10,40,83,36
4,4,0,0,12,6
9,5,6,14,20,9
0,0,0,0,0,0
1,4,1,3,7,1
5,2,2,28,50,30
6,5,5,5,14,5
29,32,22,44,52,31
0,0,0,12,9,3
4,2,0,6,6,4
0,0,0,0,0,0
6,3,2,10,9,20
15,19,4,40,73,28
0,0,0,0,0,0
10,12,9,18,28,12
0,0,0,0,0,0
2,2,1,5,13,9
0,0,2,1,2,1
2,0,1,4,9,4
4,15,11,26,57,22
0,0,1,0,0,0
0,0,0,0,0,0
35,30,16,95,135,87
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,1
0,2,0,2,8,2
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
6,5,4,8,10,5
0,2,0,0,3,3
4,10,3,51,71,47
11,11,5,118,191,106
0,4,0,3,3,2
0,0,0,0,0,0
0,0,0,0,1,1
0,0,1,0,0,0
3,3,1,2,1,0
0,0,0,10,2,4
0,0,0,1,5,1
0,2,0,8,20,6
0,0,1,1,1,1
0,0,0,0,0,0
0,1,1,6,6,1
0,2,0,9,11,4
0,1,1,3,7,3
0,5,2,12,6,3
0,0,2,5,15,7
0,0,0,0,2,0
0,1,0,1,3,1
0,0,0,0,1,0
81,53,30,45,90,45
0,0,0,0,0,0
0,5,0,7,9,3
1,3,2,5,13,8
7,6,4,22,29,8
0,1,0,1,1,4
1,1,0,0,4,0
0,1,1,5,12,6
0,2,2,4,9,6
4,2,4,9,14,11
3,0,2,14,22,4
8,16,14,15,33,23
28,22,11,127,196,113
0,0,0,0,0,0
0,4,0,5,12,7
0,0,1,1,1,1
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,1,0,0
0,1,2,17,16,8
0,2,0,1,0,0
0,0,0,0,0,0
0,1,0,2,3,3
6,5,4,30,49,32
4,8,5,22,27,29
0,0,0,0,0,1
0,0,0,2,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,0,2,7,3
1,1,0,4,1,2
0,0,0,2,3,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,5,15,6
5,2,3,2,7,6
2,0,0,0,1,0
34,61,40,35,41,20
2,5,1,5,14,8
3,3,1,2,1,2
0,0,0,0,0,0
1,0,3,2,2,0
4,4,7,11,29,13
0,0,0,1,0,1
1,2,1,0,1,4
0,2,1,6,4,6
1,0,0,3,0,1
2,6,2,7,11,4
0,0,2,2,1,4
0,1,0,1,4,3
2,1,3,10,21,8
3,4,2,16,20,13
0,0,1,9,6,0
1,0,0,9,6,8
0,0,0,0,0,0
0,0,0,0,0,0
51,60,23,26,36,35
0,0,0,0,0,0
4,13,4,15,20,6
1,4,2,6,6,5
1,1,0,0,0,0
2,6,5,34,51,37
1,0,0,2,1,0
0,3,1,3,1,7
0,0,0,0,0,0
0,0,0,2,0,0
0,0,0,2,3,0
25,27,16,15,15,13
3,3,3,7,15,11
1,4,2,5,5,2
0,0,0,0,0,0
1,1,1,0,0,1
0,0,0,0,1,1
0,0,0,0,0,0
0,0,1,4,4,0
0,0,0,0,0,0
1,0,0,3,1,2
32,31,24,57,95,55
0,0,0,0,0,0
0,0,0,0,1,1
3,5,4,17,22,11
0,0,0,0,0,0
0,0,0,0,4,0
0,0,0,0,0,0
10,9,2,29,53,24
12,20,8,34,36,18
0,2,0,5,9,1
6,14,8,0,3,2
5,4,3,12,25,14
1,1,1,1,13,2
3,2,1,9,16,2
0,0,0,0,0,1
0,4,2,16,23,14
14,9,7,11,36,21
7,17,8,26,57,36
1,3,1,8,19,12
2,3,1,6,15,13
7,4,3,2,5,3
7,8,5,23,19,12
0,1,0,4,5,6
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,2,3,3
4,3,3,16,20,4
0,0,0,1,5,0
2,0,1,7,17,10
2,4,0,2,2,0
0,4,1,1,5,3
1,6,2,3,10,4
0,0,0,0,2,0
3,2,2,7,6,2
1,2,0,0,1,1
2,9,1,12,21,14
1,1,0,8,3,6
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
3,1,1,7,6,2
1,1,0,2,13,3
15,16,6,9,18,6
1,4,3,1,7,3
0,0,1,8,16,9
0,0,0,0,0,0
5,9,10,21,19,12
2,2,4,6,17,17
0,0,0,1,6,0
1,0,0,2,2,4
0,0,0,0,2,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,2,0,1,4,1
0,0,0,0,0,0
3,3,7,7,13,12
11,20,14,25,48,24
0,0,1,1,1,1
0,0,0,0,0,0
0,4,1,3,2,3
0,2,1,7,6,5
1,0,3,0,2,0
0,0,0,0,1,0
2,3,3,12,11,12
8,14,10,8,7,6
1,1,0,1,1,0
87,109,63,108,220,104
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,5,2,4,14,1
0,0,0,0,0,0
2,1,1,3,6,0
1,1,0,1,1,0
5,7,1,14,17,13
0,0,0,0,0,0
1,3,0,8,20,11
0,0,0,6,5,5
5,11,7,34,48,31
0,0,0,0,0,0
0,0,3,2,3,1
3,0,1,4,14,12
0,0,0,0,1,1
0,0,0,0,0,0
3,4,2,1,14,5
0,1,2,9,12,6
1,0,0,0,2,0
4,3,3,9,10,6
0,0,0,0,1,0
3,3,3,5,8,5
6,3,2,13,19,18
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,4,11,7
3,2,3,9,8,4
1,0,0,0,2,1
0,0,0,0,0,0
0,0,0,0,0,0
17,18,14,4,22,9
6,6,8,8,14,13
1,0,0,8,7,9
0,0,0,0,0,0
2,0,0,2,0,0
46,48,35,40,59,36
16,3,2,4,14,2
39,38,23,38,75,36
2,2,0,1,4,0
1,4,0,10,17,6
5,1,0,3,4,3
0,1,1,3,11,5
1,0,0,4,15,6
9,4,3,6,14,6
0,0,0,2,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,5,1,10,13,7
0,0,1,4,7,8
1,2,0,12,13,6
0,0,0,0,0,0
0,0,0,0,0,0
3,1,1,0,6,2
1,1,0,1,0,0
5,11,7,55,68,38
3,1,0,12,7,3
3,1,0,7,9,2
0,2,1,12,31,15
2,0,2,8,18,7
4,5,7,2,2,1
12,9,7,40,59,25
0,1,1,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
4,9,7,38,67,36
6,1,0,3,15,9
4,0,1,1,4,1
6,2,0,2,9,2
0,0,0,0,0,0
1,0,0,7,6,2
2,5,1,16,23,11
2,0,0,4,3,1
8,8,4,41,58,32
1,3,5,0,2,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,2,8,3
0,0,0,1,0,0
0,1,0,2,0,1
5,0,1,13,12,5
0,0,0,1,0,0
0,0,0,1,3,3
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,3,3,4
0,2,0,0,0,1
11,8,7,21,39,16
0,0,1,4,13,4
0,0,1,10,6,7
0,1,0,0,0,2
5,3,1,20,34,7
3,3,2,0,3,2
0,0,0,0,0,0
3,4,2,6,3,7
0,0,0,0,0,0
3,6,4,47,52,40
1,1,0,1,4,0
1,14,5,22,57,25
1,0,3,11,11,13
0,0,0,1,0,0
4,0,2,4,2,0
29,35,25,38,50,33
1,2,0,2,0,1
8,11,2,8,10,4
0,0,0,3,3,4
4,3,3,11,23,16
0,0,0,0,1,0
1,0,0,1,2,6
0,0,0,0,0,0
3,8,5,4,9,9
10,19,14,22,60,29
2,4,3,17,7,5
1,3,0,1,6,4
0,0,0,0,0,0
23,21,20,37,44,39
0,0,0,11,14,7
0,0,0,0,0,0
5,7,5,0,4,0
0,2,2,30,51,36
6,12,7,57,130,66
1,7,2,3,2,1
15,20,29,9,19,6
40,35,24,27,51,44
18,33,16,58,114,70
0,0,0,2,5,4
0,1,0,4,9,7
0,0,0,2,1,1
1,1,1,15,10,5
34,43,18,64,79,51
7,5,3,19,34,14
3,3,2,12,14,15
3,4,3,16,30,24
23,14,12,35,47,45
3,2,0,12,15,9
0,0,0,1,0,1
8,6,6,22,20,13
1,1,0,10,13,6
0,0,0,0,0,0
6,8,6,3,6,4
2,1,3,3,3,2
0,0,0,0,1,1
0,1,1,5,6,4
2,1,1,4,9,1
0,0,0,0,0,0
2,1,0,1,3,1
3,14,3,3,9,5
15,24,15,11,17,19
0,0,0,0,0,0
0,0,0,0,0,0
7,13,0,20,43,16
7,6,4,30,49,26
0,0,0,1,0,1
0,1,0,1,4,0
0,0,0,0,0,0
0,3,0,7,9,3
21,41,32,112,228,108
0,0,0,0,0,0
0,0,0,1,6,4
1,1,0,0,3,1
0,0,0,1,0,0
0,0,0,2,2,3
0,0,0,0,0,0
0,0,0,0,0,0
2,0,1,0,6,0
0,0,0,0,2,0
0,0,0,1,0,2
0,1,0,10,17,5
6,2,0,9,9,1
1,16,18,29,65,42
3,4,8,0,0,0
0,24,10,3,11,2
0,0,0,0,0,0
1,0,0,1,2,0
9,4,1,9,13,8
12,18,4,19,41,24
0,3,3,12,13,14
12,9,8,16,21,9
14,19,19,90,139,62
43,37,33,33,59,27
12,11,14,29,43,24
1,1,1,6,8,4
1,5,1,23,48,21
12,15,8,19,36,27
2,5,6,14,27,9
16,27,15,22,39,24
83,103,67,86,123,64
11,7,4,34,53,41
0,0,0,0,0,0
3,9,6,23,33,22
15,13,5,26,48,32
0,0,0,0,0,0
0,0,0,0,0,0
10,16,6,6,29,7
5,7,7,6,16,14
0,0,0,0,0,0
10,21,15,30,45,38
5,2,4,9,14,9
0,7,2,6,12,3
8,11,5,7,27,6
0,0,0,0,1,0
0,0,0,0,1,0
6,4,2,27,29,20
1,11,5,1,2,1
17,21,16,7,13,7
0,0,0,3,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,2,1
0,2,1,3,18,7
13,26,9,51,104,59
0,0,0,0,2,0
0,1,0,0,0,0
4,10,4,19,35,21
0,0,0,7,10,7
13,3,2,9,25,11
0,0,1,0,0,0
0,1,0,3,10,7
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
4,7,2,16,34,23
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,1,0,1
0,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,0,1,5,2,0
0,0,0,0,0,0
1,3,3,23,40,16
0,1,0,2,2,1
0,0,0,0,0,0
0,1,0,0,4,1
0,4,2,20,36,30
0,0,0,0,0,0
0,0,0,0,0,0
4,3,2,6,11,11
0,0,1,0,3,4
1,0,0,3,4,0
2,3,2,3,12,6
0,1,0,1,2,0
0,0,0,1,6,2
2,1,4,19,25,8
5,9,4,6,17,3
1,0,1,2,5,2
0,0,0,0,0,0
0,0,0,1,3,2
0,0,0,0,0,0
0,0,0,0,1,0
2,1,1,13,29,8
0,0,0,0,1,1
27,24,14,28,47,30
1,0,0,0,2,0
0,0,0,0,0,1
0,0,0,0,0,0
3,2,1,1,2,3
33,55,30,52,86,34
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,1,2
0,0,0,0,4,2
0,2,2,2,1,1
40,49,41,150,218,123
9,14,9,12,25,14
3,5,2,4,8,3
8,3,4,6,15,4
0,1,0,0,0,0
2,1,1,4,7,7
0,0,1,1,6,1
1,5,3,14,14,7
4,13,7,24,40,14
3,1,1,4,7,5
4,0,0,4,7,4
0,1,0,2,0,4
0,0,0,0,0,0
69,81,41,21,34,28
0,0,0,0,1,3
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,1,1,3,15,11
0,0,1,6,5,1
1,2,0,0,3,0
0,4,4,6,6,7
25,30,13,20,27,14
3,2,1,2,9,2
6,2,0,7,17,4
0,1,0,0,4,1
4,0,1,12,20,6
1,0,1,3,11,3
0,0,0,0,0,0
0,1,0,3,9,4
0,0,0,1,2,2
0,0,3,12,22,9
1,0,0,4,13,2
0,0,0,0,0,0
0,0,0,0,0,0
1,2,0,1,3,1
2,1,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,1
0,0,1,1,6,0
0,2,0,1,1,1
0,1,1,1,1,0
0,0,1,0,3,2
0,1,0,0,2,0
0,7,1,0,12,4
1,0,0,0,0,0
0,0,1,0,1,0
0,1,0,7,5,3
1,2,3,2,9,3
0,0,0,0,2,0
0,2,1,0,2,0
0,0,0,0,7,1
2,3,0,7,6,4
9,13,12,32,56,46
0,0,0,0,0,0
0,0,1,0,3,0
0,0,0,1,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,0,0
2,2,0,3,7,1
0,0,0,0,0,1
0,0,0,0,0,0
6,3,0,7,13,3
1,0,0,0,2,0
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,3,1
3,2,2,14,16,10
0,0,0,0,0,0
0,0,0,2,4,4
2,1,0,2,1,2
6,8,13,9,23,9
19,13,8,19,43,17
0,0,1,0,0,0
1,0,0,1,1,0
0,0,0,0,0,0
0,0,0,0,0,0
3,5,2,6,11,5
0,0,0,3,5,3
1,2,0,0,1,0
11,17,9,11,21,9
6,11,9,15,23,13
7,4,3,18,37,22
1,0,0,1,3,1
0,0,0,0,0,0
2,1,0,2,3,6
4,3,1,6,5,5
1,1,0,11,8,3
0,0,0,0,1,0
18,22,5,63,131,64
1,0,0,0,2,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,2,1
0,0,0,0,0,0
6,3,3,11,25,12
0,1,0,6,6,7
0,0,0,0,0,0
25,32,31,10,25,17
14,32,22,18,50,19
6,9,6,37,48,27
0,0,0,0,1,4
0,0,0,0,0,0
0,0,0,0,0,0
0,1,1,5,5,6
1,4,1,2,9,6
0,0,0,0,0,1
26,31,36,2,7,4
2,0,0,0,5,1
33,61,57,63,101,58
6,4,0,1,7,0
2,4,2,2,0,0
3,1,1,11,31,4
0,0,0,0,0,0
0,2,0,0,0,0
132,208,119,156,261,169
0,0,0,0,0,0
0,0,0,0,1,0
0,4,1,13,14,5
3,2,1,3,4,5
