task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	16/24e0a1	18020263700918083484	CHECK_DESIGN (Cobinding_ChIP_single_end_design_np.csv)	COMPLETED	0	2020-11-09 23:24:03.702	2m 56s	72ms	55.6%	3.1 MB	5.4 MB	587.2 KB	15 KB
3	fd/d432f8	1039261520924104773	get_software_versions	COMPLETED	0	2020-11-09 23:24:02.824	3m 16s	4.7s	91.5%	71.9 MB	3.9 GB	47.6 MB	38.6 KB
4	2c/b202e1	14849066305083352	output_documentation	COMPLETED	0	2020-11-09 23:24:05.143	3m 15s	332ms	81.8%	15.3 MB	20.9 MB	3.2 MB	1.2 MB
2	fa/1a8196	6633814867583590092	MAKE_GENOME_FILTER (genome.fa)	COMPLETED	0	2020-11-09 23:24:04.480	5m 17s	19.4s	71.9%	4.6 MB	11.6 MB	2.9 GB	18.7 KB
7	12/d6e4ea	7855859560211316511	FASTQC (db30-MV411-CDK9_R1_T1)	FAILED	14	2020-11-09 23:27:02.756	3m 15s	3m 7s	-	-	-	-	-
15	90/943cf9	18055373966151741694	FASTQC (db35-MV411-INPUT_R1_T1)	COMPLETED	0	2020-11-09 23:27:06.809	3m 35s	1m 2s	108.5%	1018.8 MB	4.3 GB	571.3 MB	1.8 MB
17	e3/11e2af	1500689840725596203	FASTQC (db36-MV411-INPUT_R1_T1)	COMPLETED	0	2020-11-09 23:27:08.390	3m 34s	1m 1s	108.4%	1 GB	4.3 GB	559.3 MB	1.8 MB
180	75/c975cb	14032395777625984594	TRIMGALORE (mp623-MV411-MEF2D_R1_T1)	FAILED	14	2020-11-09 23:28:39.111	2m 18s	1m 40s	-	-	-	-	-
83	6d/691eab	3529142156789799470	FASTQC (mp156-D9-SP1_R1_T1)	COMPLETED	0	2020-11-09 23:27:45.993	3m 24s	1m 4s	108.1%	991.7 MB	4.2 GB	514.9 MB	1.7 MB
48	24/a6f748	2121283171000966634	FASTQC (mp100-U937-INPUT_R1_T1)	COMPLETED	0	2020-11-09 23:27:26.412	4m 2s	1m 18s	106.1%	1001.1 MB	4.2 GB	672.9 MB	1.7 MB
52	31/a6efbf	14613932343523329029	FASTQC (mp102-UT7-INPUT_R1_T1)	COMPLETED	0	2020-11-09 23:27:27.980	4m 2s	1m 38s	103.5%	997.3 MB	4.2 GB	772.5 MB	1.7 MB
86	81/5d8ad1	2382883079654240321	FASTQC (mp230-SKNO1-MYB_R1_T1)	COMPLETED	0	2020-11-09 23:27:48.652	3m 44s	1m 17s	106.7%	1 GB	4.3 GB	541.9 MB	1.7 MB
89	dd/206268	558802975043637351	FASTQC (mp233-SKNO1-RUNX1_R1_T1)	COMPLETED	0	2020-11-09 23:27:49.185	3m 45s	1m 21s	105.5%	1.1 GB	4.3 GB	609.7 MB	1.7 MB
16	d0/10fc64	9069040075006611429	TRIMGALORE (db35-MV411-INPUT_R1_T1)	COMPLETED	0	2020-11-09 23:27:07.933	4m 43s	2m 9s	526.8%	1.2 GB	3 GB	12.6 GB	12 GB
