id	score	fpkm
ENST00000456328	108.293110992801	1.1183355144
ENST00000515242	87.2330185289764	0.8306172562
ENST00000518655	175.175608597549	2.3676823979
ENST00000473358	343.232678519699	9.7952652359
ENST00000408384	0	0.0000000000
ENST00000417324	238.938107368993	4.2393254258
ENST00000461467	8.44409480619312	0.0602767989
ENST00000534990	106.26761628158	1.0888026062
ENST00000335137	71.3950636411388	0.6402896969
ENST00000466430	333.189095458076	9.0692962763
ENST00000495576	447.969108156932	21.3111207604
ENST00000544713	346.615395609228	10.0513748612
ENST00000493797	0	0.0000000000
ENST00000484859	54.4116807581435	0.4581274311
ENST00000410691	0	0.0000000000
ENST00000496488	0	0.0000000000
ENST00000466557	100.793994041485	1.0110374393
ENST00000424429	289.997833228759	6.4641518280
ENST00000424587	461.377970146092	23.4842093098
ENST00000426316	201.034915545766	3.0287971161
ENST00000425496	238.061144587753	4.2075740385
ENST00000534873	341.851342998071	9.6923971876
ENST00000455464	0	0.0000000000
ENST00000426406	201.949780629582	3.0544263514
ENST00000450983	311.270543435202	7.6500317870
ENST00000441866	315.091728401983	7.8822013992
ENST00000417636	308.587293039673	7.4906378008
ENST00000423796	305.663695410261	7.3203081111
ENST00000357876	2.51921081096073	0.0176151879
ENST00000452176	0	0.0000000000
ENST00000459059	1186.92683122535	3740.1557470571
ENST00000332831	201.949780629582	3.0544263514
ENST00000414688	0	0.0000000000
ENST00000545502	343.456903917973	9.8120564121
ENST00000416385	58.9643779646093	0.5048751281
ENST00000411249	0	0.0000000000
ENST00000417659	238.498866530975	4.2233981100
ENST00000428504	151.246322773929	1.8529673327
ENST00000422528	0	0.0000000000
ENST00000457084	336.794697286435	9.3241204473
ENST00000434264	194.658672643365	2.8546148821
ENST00000358533	268.038501040724	5.4102694939
ENST00000447500	269.448581647878	5.4732302305
ENST00000435300	136.314989494782	1.5724622299
ENST00000326734	0	0.0000000000
ENST00000412115	0	0.0000000000
ENST00000473798	358.240913934782	10.9787805204
ENST00000445118	239.467195763116	4.2585752014
ENST00000446136	43.9795046567697	0.3564116180
ENST00000408219	485.289367067546	27.8979184157
ENST00000539392	0	0.0000000000
ENST00000448179	22.0291586482968	0.1649690173
ENST00000398216	0	0.0000000000
ENST00000417705	0	0.0000000000
ENST00000534924	0	0.0000000000
ENST00000342066	26.8806837379518	0.2048109919
ENST00000474461	0	0.0000000000
ENST00000327044	476.480100482747	26.1861698454
ENST00000477976	212.458881011739	3.3607878631
ENST00000455747	187.59391058872	2.6704046034
ENST00000473277	172.883143422311	2.3145923154
ENST00000338591	192.205433055831	2.7896229934
ENST00000540863	186.279426073162	2.6371142901
ENST00000379407	28.228185135233	0.2161168460
ENST00000379410	25.6953419465436	0.1949526226
ENST00000379409	33.3975103682199	0.2604816395
ENST00000491024	0	0.0000000000
ENST00000433179	0	0.0000000000
ENST00000341290	0	0.0000000000
ENST00000479361	0	0.0000000000
ENST00000428771	149.328448333469	1.8152918400
ENST00000304952	23.0306252766896	0.1730839430
ENST00000481869	163.19900092895	2.0994022603
ENST00000484667	75.0877114895888	0.6828156205
ENST00000458555	0	0.0000000000
ENST00000379389	325.426563848665	8.5418277209
ENST00000379370	343.693585909467	9.8298087383
ENST00000539069	114.226061109002	1.2072661687
ENST00000379364	30.7277651506244	0.2373705919
ENST00000461111	277.01995801047	5.8220228165
ENST00000418300	332.272645908822	9.0055353704
ENST00000427998	136.756125433539	1.5803401406
ENST00000453464	0	0.0000000000
ENST00000379339	162.631451503215	2.0872333097
ENST00000294576	8.79711175165406	0.0628743956
ENST00000448924	3.28966671968219	0.0230641903
ENST00000421241	108.380542800081	1.1196196807
ENST00000487177	55.0459512942021	0.4645520963
ENST00000379320	20.7936793714349	0.1550351799
ENST00000379319	31.7547241557209	0.2462100370
ENST00000457999	22.6802140652572	0.1702381374
ENST00000437760	3.78226486113027	0.0265633419
ENST00000416774	0	0.0000000000
ENST00000384997	0	0.0000000000
ENST00000384875	0	0.0000000000
ENST00000362106	0	0.0000000000
ENST00000379317	0	0.0000000000
ENST00000379290	0	0.0000000000
ENST00000379289	0	0.0000000000
ENST00000379288	0	0.0000000000
ENST00000460998	0	0.0000000000
ENST00000328596	0	0.0000000000
ENST00000379268	0	0.0000000000
ENST00000486728	0	0.0000000000
ENST00000379265	0	0.0000000000
ENST00000379236	0	0.0000000000
ENST00000497869	0	0.0000000000
ENST00000360001	461.481007662917	23.5017022183
ENST00000263741	216.205614985464	3.4755225886
ENST00000494748	173.129879512245	2.3202659281
ENST00000545427	498.536409064782	30.6770062722
ENST00000379198	145.090799471285	1.7338005551
ENST00000462849	149.872063932602	1.8259200291
ENST00000330388	81.3662395375626	0.7576677624
ENST00000347370	148.917153870334	1.8072772219
ENST00000349431	134.791122444158	1.5454332337
ENST00000339385	317.453259973636	8.0287896428
ENST00000348298	130.324283749521	1.4678296950
ENST00000400929	167.280231394264	2.1883329932
ENST00000360466	51.4499525508697	0.4284985041
ENST00000400930	282.618283471045	6.0919523094
ENST00000491779	131.085478431157	1.4808848673
ENST00000453732	0	0.0000000000
ENST00000379110	18.8608743307169	0.1396641556
ENST00000379101	3.75467678564278	0.0263670551
