id	score	fpkm
ENST00000456328	290.752542651368	6.5033009606
ENST00000515242	253.36445323852	4.7903258274
ENST00000518655	23.1909621696032	0.1743883988
ENST00000473358	510.475081380327	33.4098766142
ENST00000408384	0	0.0000000000
ENST00000417324	282.657574455849	6.0938840256
ENST00000461467	58.5705188594131	0.5007723868
ENST00000534990	51.6917694307301	0.4308948852
ENST00000335137	35.6370072886957	0.2802007624
ENST00000466430	419.501032105183	17.3157175999
ENST00000495576	459.964952000055	23.2455742689
ENST00000544713	355.918041806306	10.7874554896
ENST00000493797	0	0.0000000000
ENST00000484859	28.6145850910651	0.2193783623
ENST00000410691	0	0.0000000000
ENST00000496488	0	0.0000000000
ENST00000466557	100.773887542055	1.0107571853
ENST00000424429	313.964401477725	7.8130660333
ENST00000424587	515.106535548018	34.5324522941
ENST00000426316	167.366306989986	2.1902358177
ENST00000425496	300.390238316351	7.0216687000
ENST00000534873	355.918041806306	10.7874554896
ENST00000455464	0	0.0000000000
ENST00000426406	210.695608322199	3.3078143695
ENST00000450983	271.184211698051	5.5515765642
ENST00000441866	400.322143459805	15.0357667704
ENST00000417636	408.881345750741	16.0159224414
ENST00000423796	261.204862427696	5.1137121348
ENST00000357876	109.934427755776	1.1425728783
ENST00000452176	0	0.0000000000
ENST00000459059	1026.19755017063	1226.8984206963
ENST00000332831	210.695608322199	3.3078143695
ENST00000414688	0	0.0000000000
ENST00000545502	355.918041806306	10.7874554896
ENST00000416385	28.6145850910651	0.2193783623
ENST00000411249	0	0.0000000000
ENST00000417659	190.001104374287	2.7321605355
ENST00000428504	210.885136541179	3.3134773051
ENST00000422528	0	0.0000000000
ENST00000457084	340.699828930192	9.6073935045
ENST00000434264	198.681785716036	2.9636178076
ENST00000358533	227.662245423091	3.8454224540
ENST00000447500	250.604335541317	4.6806001432
ENST00000435300	0	0.0000000000
ENST00000326734	0	0.0000000000
ENST00000412115	0	0.0000000000
ENST00000473798	289.36503427707	6.4314840521
ENST00000445118	286.288611447171	6.2746917317
ENST00000446136	81.109678627588	0.7545448009
ENST00000408219	514.781878900493	34.4525817989
ENST00000539392	0	0.0000000000
ENST00000448179	37.443608964209	0.2963327543
ENST00000398216	0	0.0000000000
ENST00000417705	0	0.0000000000
ENST00000534924	0	0.0000000000
ENST00000342066	13.5895746208463	0.0987748137
ENST00000474461	0	0.0000000000
ENST00000327044	564.168072198454	48.9246608487
ENST00000477976	293.251297753494	6.6343904739
ENST00000455747	152.403720288294	1.8759472270
ENST00000473277	254.675920305066	4.8432021572
ENST00000338591	236.170431494035	4.1397718289
ENST00000540863	261.070606888746	5.1080254311
ENST00000379407	15.2633092805446	0.1115964196
ENST00000379410	4.84899982620876	0.0341819271
ENST00000379409	2.22797865201981	0.0155630332
ENST00000491024	8.61005907385486	0.0614972184
ENST00000433179	0.0393688341289712	0.0002729212
ENST00000341290	2.11643346866976e-05	0.0000001467
ENST00000479361	117.883730375535	1.2639424795
ENST00000428771	27.4448435870043	0.2095315786
ENST00000304952	129.614033332794	1.4557102272
ENST00000481869	136.428627849751	1.5744893079
ENST00000484667	26.6029578163196	0.2024939022
ENST00000458555	0	0.0000000000
ENST00000379389	370.400452588366	12.0321618923
ENST00000379370	365.171513244935	11.5682783505
ENST00000539069	89.2878369332182	0.8568771485
ENST00000379364	203.476338943461	3.0975552136
ENST00000461111	301.960278637822	7.1094427783
ENST00000418300	321.502538509083	8.2857947028
ENST00000427998	116.475739190775	1.2419551102
ENST00000453464	0	0.0000000000
ENST00000379339	273.00108755158	5.6346063802
ENST00000294576	4.86522446676224	0.0342982384
ENST00000448924	0.323307279624327	0.0022435082
ENST00000421241	122.725781089723	1.3412156229
ENST00000487177	139.736418450433	1.6341987201
ENST00000379320	45.5137279095635	0.3709132475
ENST00000379319	148.858899016957	1.8061438950
ENST00000457999	20.4993680815839	0.1526812979
