baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,genes,gene_id
0.9122566439890609,0.562397261287033,1.594130590108585,-0.35279246554620414,0.724244032681822,,A2M,A2M
63.557582981118145,-0.35605833696950073,0.24372662222316008,1.4608922641347235,0.14404500992306646,0.7591297873455508,NAT1,NAT1
227.8791863537639,0.023081015507363276,0.15932287847821017,-0.14486943575099892,0.8848139585585845,0.9961715929793756,AAMP,AAMP
290.3434202890046,0.16879764943164235,0.1707241040194174,-0.9887159777534639,0.32280212321321045,0.8732000366942858,AARS1,AARS1
39.35501385600066,0.6406755565968991,0.3016889245631633,-2.123629687515306,0.03370112107309885,0.4420753290931711,ABAT,ABAT
65.14498379697432,1.4533704233790812,0.2627529917336399,-5.531318268879708,3.1783303816080684e-08,3.6863335209350916e-06,ABCA1,ABCA1
38.85222568658959,0.15886650124503301,0.31854203399634995,-0.49873010243556554,0.6179695349508644,0.9621461165361103,ABCA2,ABCA2
0.907203253133232,0.19806066009307852,1.4534744452371744,-0.13626703981077526,0.8916101792181844,,ABCA3,ABCA3
32.050276979212676,-0.422297834780032,0.29305120249256855,1.441037713505854,0.14957402853589988,0.7661299719551541,ABCB7,ABCB7
218.89862064029134,0.19249881775725763,0.1807384452078821,-1.0650684614214145,0.2868449501174625,0.8623693162776661,ABCF1,ABCF1
188.4647479696881,0.07273722696183946,0.19811391262175043,-0.36714850562117374,0.713508247591806,0.9739464782680359,ABL1,ABL1
218.66351530757407,-0.07694542110950571,0.16342777743756864,0.4708221718238797,0.6377677299143059,0.9640430658912892,ABL2,ABL2
548.9927143103401,0.3486307855439749,0.1725227497870776,-2.020781525765411,0.04330238605522859,0.4927903590487911,ABR,ABR
366.5826473657192,0.1286896066799846,0.15885351908316875,-0.8101149248862933,0.417874127141978,0.909898774585758,ACAA1,ACAA1
437.4977895069769,0.1847860697829278,0.161897764896366,-1.141375051726088,0.2537138821010305,0.8490478026165287,ACACA,ACACA
8.57556924198565,-0.03676095256557781,0.5688886344268407,0.06461889083548793,0.9484774434323625,0.9992554222749886,ACACB,ACACB
445.2294970083162,-0.04664182770053244,0.21041142276584496,0.2216696559883895,0.8245710534660278,0.9871071343045558,ACADM,ACADM
22.095132638877764,0.10332432577146919,0.3506241633037804,-0.2946868373185938,0.7682331192034942,0.9793348196008529,ACADS,ACADS
493.1173973175359,0.29039263323664066,0.1640871504866254,-1.7697463352580451,0.07676940730223723,0.6229429286540609,ACADSB,ACADSB
198.73892735950693,-0.1981633850384434,0.1872194428058699,1.0584551586552975,0.28984798378396587,0.8629747472792313,ACADVL,ACADVL
318.701189794862,0.028957139857094957,0.15689679954524927,-0.18456169877922637,0.8535728297143277,0.9905657737919308,ACAT1,ACAT1
2143.028913993179,0.043242565630279076,0.1610255528869894,-0.26854474246474086,0.7882800396599945,0.9813438613654502,ACAT2,ACAT2
59.61374206450018,0.14939349360186058,0.2632320977131819,-0.5675352470299422,0.5703505865688607,0.9478375479242273,ASIC1,ASIC1
1103.2145349649263,0.13279529878239074,0.12821891890102494,-1.0356919237862114,0.3003458913290857,0.8645030083444548,ACLY,ACLY
95.99631308868574,0.24448593595408094,0.20422282525562255,-1.1971528434594012,0.23124698624841733,0.8345740726845614,ACO1,ACO1
248.3980095758565,0.1331366897583975,0.17127796348546553,-0.7773135962682982,0.43697377535044674,0.9180254952754008,ACO2,ACO2
236.40334440560903,-0.08200721681228594,0.15972044889788378,0.5134421883870156,0.6076420407895444,0.9595146271509961,ACOX1,ACOX1
1400.3455828305089,0.1769348095933941,0.11819091364442671,-1.4970254830730592,0.13438662742745425,0.750257954486686,ACP1,ACP1
27.15521809773605,0.5456123531311392,0.340919456462901,-1.600414240923539,0.10950671795065456,0.7012639758827197,ACP2,ACP2
0.6769704434598607,-0.17517851929021386,1.7367462971176646,0.10086592358420068,0.919656894150093,,ACP5,ACP5
168.62694953150825,0.4314499414315873,0.1891594637320298,-2.2808794914051727,0.02255557884246583,0.36125264249647804,ACP3,ACP3
0.6941475573315601,1.2918813852451827,1.601760016497827,-0.8065386649304811,0.4199323232186238,,ACRV1,ACRV1
0.8827835743050741,0.510994864744551,1.4682477673485883,-0.34803040475063884,0.7278173495041511,,ACTA1,ACTA1
14289.332397026425,0.06853793863908669,0.11678592528733053,-0.5868681390369734,0.5572922694269404,0.9452615415710087,ACTB,ACTB
20559.300328647892,0.3039530775974848,0.14969516874098493,-2.030480209574497,0.0423077508229796,0.4874497317501904,ACTG1,ACTG1
1028.132291834106,0.17395888960632552,0.12735454422577056,-1.365941754680823,0.1719572457043129,0.790110864940331,ACTN4,ACTN4
493.4285715458366,-0.030751605224823852,0.15212316019454336,0.20214939780042057,0.8397999310678403,0.9894548715958137,ACTL6A,ACTL6A
349.033610783896,0.1574173190470311,0.1588545321668199,-0.9909526464232098,0.3217087034106321,0.8729319504022508,ACTN1,ACTN1
16.052251695635913,0.0686488447441474,0.40921045487813257,-0.1677592640310028,0.8667726708301534,0.9931088107785855,ACVR1,ACVR1
72.19042508569466,0.2281169595189665,0.2560168724391599,-0.8910231475981195,0.3729167522115463,0.8926173231434619,ACVR1B,ACVR1B
46.93027726429074,-0.5453375332587028,0.2512688781494587,2.170334572570215,0.02998150936124485,0.4223508575807751,ACVR2A,ACVR2A
39.15699460134051,0.31401883888022736,0.287128238062194,-1.0936536266844248,0.2741069199633158,0.8546999761151396,ACVR2B,ACVR2B
32.714807547772914,0.414655993697759,0.3373894083262607,-1.2290130735129077,0.21906690438643542,0.8283007132378158,ACVRL1,ACVRL1
