,ERCC pseudo-counts,var,Experiments
DMSO,0.3116630505021022,0.05882828895541253,DMSO
Naphthol,0.30674453416412306,0.020090550905328575,Naphthol
Plumbagin,0.27892474016698876,0.01180799705245811,Plumbagin
Celastrol,0.2738447219790155,0.012861849448450893,Celastrol
TM1-001,0.31343271773576853,0.10662202538812247,TM1-001
Tretinoin,0.26781861583975825,0.023747568488394998,Tretinoin
