baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,genes,gene_id
0.22114379084280064,-1.0383847549739265,2.5287780786524623,0.4106270786431611,0.681346004809044,,A2M,A2M
47.44784491881443,-0.02236164867614674,0.21768840487896837,0.10272319597628314,0.918182663302577,0.9681214544005001,NAT1,NAT1
137.9078756407822,-0.24177632338981275,0.14956940354989487,1.616482500106772,0.10599003399566695,0.37892100143655244,AAMP,AAMP
186.96883949731162,0.09416703864823175,0.12962531896175747,-0.7264555983543096,0.46755951792333034,0.7486912215009143,AARS1,AARS1
21.359987275289203,0.2412314338310524,0.349575596107776,-0.6900694342424277,0.4901505237468138,,ABAT,ABAT
33.403810604926136,0.9734369564494404,0.28454830150890215,-3.4209902195426958,0.0006239357603221489,0.018572921087645078,ABCA1,ABCA1
21.69998265362236,-0.31298598059051813,0.3172261750681335,0.9866335289743835,0.3238223270349706,,ABCA2,ABCA2
0.4291581385837961,-0.3241637756828782,1.7547105542728307,0.18473917244842403,0.8534336197943228,,ABCA3,ABCA3
25.4134398135209,0.08483559300004433,0.292170750095541,-0.29036305986243577,0.771538500854879,,ABCB7,ABCB7
120.4955385254599,-0.30551269830562056,0.15141022110640137,2.017781204420314,0.04361405322750726,0.24827574921608217,ABCF1,ABCF1
125.16716178880573,0.06827138785995607,0.16126339455230096,-0.42335328516115467,0.6720375226985696,0.8702273327546992,ABL1,ABL1
191.5920995416214,0.6074317345258192,0.12984367115711376,-4.678177450719282,2.894360187413966e-06,0.00026681021383548315,ABL2,ABL2
313.8110775739633,-0.016602239342146455,0.12269467126569127,0.1353134506240687,0.8923640508256406,0.9594180821314539,ABR,ABR
212.0205978153722,-0.2266517274699813,0.1372176408651893,1.6517681403126387,0.09858182579758051,0.36697437801244365,ACAA1,ACAA1
273.1227292423703,0.03200538777242793,0.11930351704656117,-0.2682686023408432,0.7884925723911937,0.923588854093415,ACACA,ACACA
6.416002317384488,0.13491193573871116,0.5783865893632968,-0.2332556428862325,0.8155629004585087,,ACACB,ACACB
328.51599179638094,0.22135028856081623,0.1380122523290309,-1.603845200881887,0.10874817838019485,0.38350396267108616,ACADM,ACADM
13.297250176826854,-0.18276289007208682,0.37737584827158727,0.4842993819269464,0.6281734145276112,,ACADS,ACADS
308.9573991106007,0.1634367745913378,0.1085049809602233,-1.5062605711276227,0.13200029565194651,0.42107173871770076,ACADSB,ACADSB
132.6900410231479,-0.17272566460419292,0.1515550163817173,1.1396895248201728,0.25441567281433436,0.5727078914004434,ACADVL,ACADVL
190.37942585543726,-0.2331359423751889,0.12631415889663908,1.8456833692409766,0.06493819337187974,0.300115974003841,ACAT1,ACAT1
1433.8169549739089,0.06995601741317593,0.11493389848259375,-0.6086630518651595,0.5427478022321628,0.7977501416105953,ACAT2,ACAT2
35.993602127269554,-0.0714390571220493,0.2504371074809844,0.2852574757815139,0.775446889331185,0.9193619391835498,ASIC1,ASIC1
666.6594491554646,-0.11474238970080161,0.08903544259658479,1.2887271220820875,0.19749296995497592,0.5124416560000026,ACLY,ACLY
60.06352946555965,0.11075653924893254,0.1960337811813836,-0.5649870067366255,0.5720826019168752,0.8142195194267449,ACO1,ACO1
143.4522691583794,-0.217714027738862,0.14015028283144998,1.5534326677077999,0.12031980353186851,0.4022650263759045,ACO2,ACO2
150.727685770256,-0.1918077546836732,0.14094863741728533,1.360834401795719,0.17356602758767056,0.485654472663156,ACOX1,ACOX1
908.5841312664687,0.12271354599428334,0.08008277301919899,-1.532333876161657,0.12544006559985968,0.40967530757622744,ACP1,ACP1
14.555009447530425,0.016456542670929646,0.37286116377144923,-0.04413584537599343,0.9647961201344062,,ACP2,ACP2
0.2234860498806597,-2.309947115497334,2.6827085851108112,0.8610503311159755,0.38921032318133675,,ACP5,ACP5
102.4949341976583,0.24037672044947286,0.1710983655790614,-1.4049036624981621,0.16004992735673412,0.4663609542962538,ACP3,ACP3
