GENE,mr492-MV411-DMSO-r1_tcount,mr493-MV411-DMSO-r2_tcount,mr494-MV411-DMSO-r3_tcount,mr495-MV411-DMSO-r4_tcount,mr496-MV411-DMSO-r5_tcount,mr497-MV411-Naphthol-r1_tcount,mr498-MV411-Naphthol-r2_tcount,mr499-MV411-Naphthol-r3_tcount,mr500-MV411-Naphthol-r4_tcount,mr501-MV411-Naphthol-r5_tcount,mr502-MV411-Plumbagin-r1_tcount,mr503-MV411-Plumbagin-r2_tcount,mr504-MV411-Plumbagin-r3_tcount,mr505-MV411-Plumbagin-r4_tcount,mr506-MV411-Plumbagin-r5_tcount,mr507-MV411-Celastrol-r1_tcount,mr508-MV411-Celastrol-r2_tcount,mr509-MV411-Celastrol-r3_tcount,mr510-MV411-Celastrol-r4_tcount,mr511-MV411-Celastrol-r5_tcount,mr512-MV411-TM1-001-r1_tcount,mr513-MV411-TM1-001-r2_tcount,mr514-MV411-TM1-001-r3_tcount,mr515-MV411-TM1-001-r4_tcount,mr516-MV411-TM1-001-r5_tcount,mr517-MV411-Tretinoin-r1_tcount,mr518-MV411-Tretinoin-r2_tcount,mr519-MV411-Tretinoin-r3_tcount,mr520-MV411-Tretinoin-r4_tcount,mr521-MV411-Tretinoin-r5_tcount
401588,6,10,3,2,5,6,2,7,3,5,6,5,5,2,6,1,25,19,13,18,6,17,5,9,49,40,122,22,200,25
SLC25A53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERTM2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
GOLGA7B,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
LDLRAD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,3,5,2
SRRD,8,7,0,1,1,2,3,4,2,7,0,1,2,4,1,2,8,3,6,4,5,10,12,5,18,6,48,3,68,9
402176,1,3,4,0,1,6,0,2,3,2,2,0,2,0,0,2,8,4,3,3,3,3,2,3,4,10,16,1,16,2
C7orf61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,4,0
IGLON5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFSP1,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,3,1,0,0,1,0,0,3,0,6,0,5,0
IFITM10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,12,3,24,2
403150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0
PLPP6,4,7,9,3,4,12,13,16,4,12,8,7,12,7,8,7,44,19,21,27,17,23,1,15,47,26,62,15,124,17
CIBAR1P2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,2,0,0,0
403340,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,5,0
ZBTB34,4,25,12,14,14,24,18,18,14,15,19,11,30,17,20,15,103,63,64,62,35,60,8,33,117,51,149,30,282,45
HAPLN4,1,7,0,2,3,6,8,9,4,8,3,1,2,1,4,5,19,12,14,13,11,19,7,4,65,8,22,3,28,4
CUEDC1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0
CTXN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C6orf201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOXB-AS3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
YY2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,2,3,1,4,1,3,1,1,5,3,3,0,4,0
C16orf74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,1,1,0,2,2
DENND10,23,23,10,13,9,15,23,26,18,19,25,9,14,14,14,18,94,58,76,87,45,70,58,55,83,59,137,50,327,49
CACTIN-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
GTF2H5,1,3,0,4,0,3,3,3,1,4,4,3,3,4,4,2,5,8,3,9,6,12,14,5,11,8,34,8,52,9
ANKHD1-EIF4EBP3,1,1,1,1,1,1,0,2,1,0,2,0,1,2,1,2,11,1,6,4,6,4,9,5,23,2,17,3,29,6
NPSR1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIRLET7A1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,2,0,6,0
MIRLET7D,2,2,0,0,1,2,2,2,3,1,1,2,6,4,3,1,3,5,3,5,1,1,0,4,8,8,29,6,20,2
MIRLET7G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,0,4,1
MIR103A2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,5,0
MIR106B,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,6,0,5,3
MIR124-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,2,1,0,0,0,0,3,4,6,1,4,1
MIR135A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
MIR142,8,3,1,2,2,1,4,3,0,3,1,2,3,5,4,0,5,5,5,6,1,5,2,4,19,1,11,2,63,6
MIR146A,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,5,0,4,0,4,0
MIR149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR155,0,3,0,1,0,1,1,0,0,2,3,1,0,1,0,1,4,6,4,5,0,1,0,4,4,0,1,2,3,0
MIR181B1,2,1,2,0,0,2,1,1,2,6,5,2,2,6,1,1,21,14,15,8,2,15,1,3,14,3,10,0,22,2
MIR186,1,1,0,1,0,0,0,1,0,1,0,0,1,0,2,1,4,2,4,4,1,5,1,1,2,2,4,1,10,0
MIR191,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
MIR197,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIR19B1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,2,0
MIR21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,1,2,0,0,0,4,1,0,1,0,1
MIR181A1,0,0,1,0,1,2,0,0,2,0,1,0,0,1,0,0,4,0,0,0,0,5,0,0,1,0,2,0,13,1
MIR219A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR22,0,1,0,0,0,0,0,0,2,0,5,1,1,3,1,1,4,4,2,4,1,6,0,3,22,8,27,6,34,4
MIR221,0,5,1,1,2,0,2,1,1,7,2,4,7,3,3,1,15,14,13,10,6,21,0,10,34,12,30,8,81,9
MIR223,2,10,7,1,3,8,9,12,13,5,10,5,12,12,10,7,60,39,24,43,11,33,5,11,91,32,162,15,246,27
MIR23A,0,3,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,4,2,3,1,7,0
MIR24-2,0,1,0,0,2,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,2,0,0,4,1,2,1,5,1
MIR25,2,6,0,1,0,4,2,2,2,2,5,2,2,1,2,3,14,9,6,1,2,11,8,1,19,14,32,4,42,10
MIR26A2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIR27A,0,2,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,2,2,0,0,3,0,10,1,6,0
MIR29A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,1,0,0,0,1
MIR302A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR7-1,0,0,0,2,1,2,3,2,1,2,0,1,1,4,2,2,8,4,10,10,3,4,0,8,22,7,10,5,31,2
MIR92A1,0,2,0,2,0,2,3,1,0,3,2,0,2,2,2,2,11,6,5,0,0,0,0,1,3,1,8,2,8,0
MIR93,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,2,0,0,5,0,3,1,11,1
TNFSF12-TNFSF13,2,0,1,1,0,0,2,1,0,2,0,0,1,1,2,0,5,0,3,1,2,1,1,0,9,1,9,1,11,3
NOMO3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,4,2,1,2,0,2,2,0
TBC1D3C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACBD7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,5,0
C10orf105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AGAP6,2,1,0,0,1,3,0,4,4,2,0,0,0,0,5,0,5,6,2,6,6,10,5,5,13,8,15,11,21,0
CELF2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,2,0
ZNF32-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF32-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAP12P,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,4,0,3,0,7,1
C10orf55,0,3,0,0,2,3,3,5,0,2,3,1,2,3,2,0,4,3,3,1,0,4,0,6,13,7,26,3,48,4
414241,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,2,1,0,0,2,3,0,0,3,1
DNAJC9-AS1,6,5,0,5,1,6,3,5,7,6,5,3,8,3,6,3,21,11,7,10,15,22,7,0,48,15,38,13,70,11
IDNK,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,3,1,1,1,0,0,6,0
HCG14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCG25,0,2,0,0,0,1,1,1,2,2,1,1,0,1,1,2,4,4,0,2,5,7,1,3,12,3,15,0,9,1
HCG18,6,19,12,8,4,20,17,15,12,23,15,8,18,23,16,19,81,48,43,35,33,87,8,38,183,41,154,30,234,34
HCG17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
DENND6B,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0,5,0
C8orf82,1,1,0,4,0,1,3,3,1,2,0,0,1,4,3,0,5,5,0,2,1,3,2,3,13,5,18,2,8,2
PIM3,12,27,14,14,15,25,26,27,27,26,32,10,24,22,23,10,60,39,33,23,76,130,34,41,368,126,392,65,737,107
432369,8,7,1,2,2,5,7,17,8,4,5,1,4,2,2,2,19,7,5,15,6,16,15,10,23,12,62,4,111,7
MXRA7,1,0,0,1,4,0,2,0,0,2,1,0,2,0,3,0,2,5,2,1,4,1,0,0,4,1,2,2,5,0
THAP7-AS1,1,2,1,1,0,2,2,1,2,1,0,1,1,0,2,3,19,3,2,1,4,7,1,1,20,5,9,1,8,1
TMEM41B,9,11,13,10,7,16,18,9,12,13,9,5,20,23,17,10,41,52,51,44,50,85,18,41,190,41,107,37,200,48
LINC02709,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,2,1,2,0,0,0,0,0,1,1,0,7,0
440044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
IQSEC3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,3,1
440078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
440081,1,4,2,1,2,9,5,1,4,4,8,0,6,1,4,3,17,9,14,7,3,10,2,8,41,12,35,5,51,7
H3-5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,6,3,2,1,2,0,0,0,10,4,8,0,14,3
440101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM198B,1,2,0,1,1,3,1,5,3,1,0,2,1,4,2,4,12,4,4,4,7,8,2,5,26,11,29,4,55,4
ALG11,13,10,10,10,9,35,24,25,21,31,16,9,36,22,30,16,87,55,62,45,67,126,43,52,175,77,225,46,333,64
MZT1,15,20,12,15,12,19,27,27,18,20,13,12,14,21,9,16,67,42,36,75,35,70,14,63,83,35,129,47,268,46
CCDC88C,3,6,0,4,3,4,7,11,7,3,9,1,8,6,10,5,24,24,10,11,18,27,5,15,57,20,62,14,77,19
HERC2P9,2,7,3,2,3,4,4,7,4,8,4,2,6,1,3,6,27,10,12,18,10,23,2,10,25,20,53,15,59,9
GOLGA8B,0,1,0,0,0,0,1,0,0,0,1,1,2,0,0,2,1,2,1,0,0,0,0,0,0,0,2,0,8,0
EIF2AK4,3,1,1,3,0,1,0,2,3,2,1,0,2,1,0,0,1,4,1,6,6,4,4,3,7,4,5,0,15,1
CATSPER2P1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,3,4,0,0,3,0,2,1
UBL7-AS1,0,3,0,0,0,3,3,1,1,2,1,0,2,2,0,4,8,9,8,3,4,5,0,1,10,5,10,2,44,6
GOLGA6L9,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,1,4,3,5,0,1,1,2,3,1,1,0,4,3,0
440311,0,2,2,7,3,6,7,4,7,4,4,0,5,4,4,1,14,6,4,1,10,14,5,5,48,19,38,4,77,12
NPIPB4,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,6,2,5,2
440354,4,4,3,3,2,5,5,6,4,4,4,1,6,3,2,4,26,15,18,10,18,21,11,21,38,16,28,11,84,15
CDIPTOSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440359,3,2,2,2,4,2,3,2,4,3,6,2,6,4,5,3,6,9,10,14,6,13,0,0,24,13,46,1,45,10
RNASEK,8,3,4,3,5,6,8,7,6,10,3,2,8,6,4,2,22,7,10,10,13,10,10,7,33,20,54,14,65,18
CCDC144NL-AS1,7,2,2,6,2,1,0,2,0,1,1,2,1,1,2,3,0,0,0,0,3,0,1,0,0,0,0,0,0,0
