GENE,mr492-MV411-DMSO-r1_tcount,mr493-MV411-DMSO-r2_tcount,mr494-MV411-DMSO-r3_tcount,mr495-MV411-DMSO-r4_tcount,mr496-MV411-DMSO-r5_tcount,mr497-MV411-Naphthol-r1_tcount,mr498-MV411-Naphthol-r2_tcount,mr499-MV411-Naphthol-r3_tcount,mr500-MV411-Naphthol-r4_tcount,mr501-MV411-Naphthol-r5_tcount,mr502-MV411-Plumbagin-r1_tcount,mr503-MV411-Plumbagin-r2_tcount,mr504-MV411-Plumbagin-r3_tcount,mr505-MV411-Plumbagin-r4_tcount,mr506-MV411-Plumbagin-r5_tcount,mr507-MV411-Celastrol-r1_tcount,mr508-MV411-Celastrol-r2_tcount,mr509-MV411-Celastrol-r3_tcount,mr510-MV411-Celastrol-r4_tcount,mr511-MV411-Celastrol-r5_tcount,mr512-MV411-TM1-001-r1_tcount,mr513-MV411-TM1-001-r2_tcount,mr514-MV411-TM1-001-r3_tcount,mr515-MV411-TM1-001-r4_tcount,mr516-MV411-TM1-001-r5_tcount,mr517-MV411-Tretinoin-r1_tcount,mr518-MV411-Tretinoin-r2_tcount,mr519-MV411-Tretinoin-r3_tcount,mr520-MV411-Tretinoin-r4_tcount,mr521-MV411-Tretinoin-r5_tcount
A2M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAT1,3,3,2,5,1,5,4,5,7,1,4,1,4,1,1,4,20,9,6,13,5,14,6,16,6,7,25,6,46,7
AAMP,1,3,2,5,0,1,1,2,3,7,2,2,3,4,7,2,19,9,4,3,5,14,2,3,14,14,17,6,45,7
AARS1,11,7,1,4,2,6,10,10,6,7,7,2,8,11,6,6,73,42,33,34,38,65,44,22,215,28,86,10,99,23
ABAT,0,0,0,0,0,1,2,2,0,2,0,2,1,1,2,0,4,1,4,0,3,2,0,0,9,4,12,3,8,2
ABCA1,0,2,1,1,1,3,7,3,3,9,1,4,5,5,5,3,29,21,20,41,5,16,4,15,16,34,112,23,223,40
ABCA2,0,3,2,2,0,2,4,1,0,3,0,0,1,0,0,1,2,0,0,3,1,0,0,0,0,3,20,2,20,3
ABCA3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ABCB7,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,1,2,0,1,0,0,1,0,0,3,0,1,0,6,1
ABCF1,8,13,7,3,5,17,6,9,9,10,13,3,23,19,8,5,25,21,12,17,22,33,14,17,104,45,105,17,180,22
ABL1,4,6,4,8,9,15,14,8,8,9,15,3,17,17,13,6,61,35,34,33,18,29,2,9,57,32,135,18,238,33
ABL2,16,20,8,11,16,16,23,19,17,19,16,10,17,18,16,18,137,78,76,88,42,87,44,34,161,59,112,36,292,46
ABR,9,22,7,12,16,13,14,20,19,15,13,6,20,14,12,10,61,37,37,36,35,61,7,27,173,69,226,36,352,50
ACAA1,5,4,0,3,2,2,4,8,4,1,8,0,11,3,3,2,6,8,6,5,2,8,6,2,20,6,23,2,44,8
ACACA,11,31,8,11,11,16,30,26,14,23,18,8,28,23,13,18,87,51,53,67,71,89,22,31,237,97,282,49,463,77
ACACB,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,2,0,0,3,5,3,0,6,3
ACADM,4,2,1,2,2,0,6,1,2,1,3,4,3,0,2,4,9,3,7,6,5,15,0,7,14,3,19,8,36,3
ACADS,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,1,3,0,0,5,1,0,5,0,4,0
ACADSB,0,2,2,0,2,4,3,1,6,6,3,6,7,3,5,1,12,14,9,5,7,22,0,10,29,17,33,3,58,16
ACADVL,1,2,0,2,1,1,0,4,2,7,0,0,3,1,4,2,11,8,6,1,4,4,5,0,5,7,3,3,19,4
ACAT1,0,0,0,1,2,2,1,0,0,7,0,1,1,0,0,1,3,3,5,1,3,3,1,0,5,7,11,5,38,7
ACAT2,4,6,0,6,3,9,9,4,4,5,3,9,2,4,6,2,17,10,12,14,35,48,36,24,66,19,49,5,79,18
ASIC1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,5,0
ACLY,4,11,7,5,3,14,19,19,12,16,12,10,17,19,12,4,38,26,21,34,30,55,12,21,131,41,162,29,271,31
ACO1,0,3,0,0,0,1,1,1,1,3,2,0,0,0,1,1,4,1,2,0,1,2,0,1,7,5,3,2,4,1
ACO2,3,3,2,3,1,8,4,5,10,2,3,0,6,1,0,0,15,11,7,8,9,14,9,3,28,12,48,3,65,9
ACOX1,3,5,3,6,2,7,2,6,4,10,5,8,14,6,4,2,26,18,15,25,6,14,6,12,57,9,49,10,96,17
ACP1,12,36,11,16,11,20,32,23,18,26,20,10,22,24,26,28,122,54,50,61,43,79,7,36,166,94,236,48,443,72
ACP2,0,3,1,0,0,3,0,1,2,3,2,2,2,2,1,0,2,2,1,1,0,5,0,1,12,5,11,5,38,4
ACP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACP3,2,2,1,1,2,0,1,0,0,3,0,2,3,1,3,1,5,10,4,7,2,3,3,1,6,35,75,15,139,19
ACRV1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ACTA1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
ACTB,92,148,63,76,62,143,160,122,124,125,98,52,118,88,104,90,603,317,299,365,187,376,183,174,818,317,1127,226,1835,296
ACTG1,154,348,128,158,147,374,335,348,264,308,242,104,258,245,246,193,1184,721,574,485,356,643,117,209,2225,872,3193,441,5317,659
ACTN4,14,19,5,7,4,20,21,20,11,12,14,2,18,19,13,13,90,25,24,18,18,37,10,16,79,52,122,31,225,37
ACTL6A,4,10,0,3,3,4,2,7,9,9,3,1,9,7,2,2,27,14,12,8,10,13,2,3,18,14,36,6,55,12
ACTN1,4,5,1,3,5,3,4,3,4,1,1,0,1,1,6,3,17,11,5,10,5,9,4,4,11,4,21,9,34,9
ACVR1,1,0,1,0,0,3,0,0,1,2,1,0,2,0,1,0,6,4,2,1,1,3,0,0,10,1,1,2,11,0
ACVR1B,4,14,1,5,4,8,6,6,9,5,7,0,5,7,6,7,29,24,12,9,11,12,0,5,47,26,88,11,155,14
ACVR2A,0,2,2,2,2,2,2,2,5,3,3,2,6,3,5,4,17,7,18,30,4,8,3,7,19,4,22,4,43,3
ACVR2B,2,3,1,2,3,6,3,0,1,6,1,1,4,3,2,2,11,14,3,6,5,18,0,5,26,12,31,3,40,5
ACVRL1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,2,2,0,0,0,0,0,0,6,3,9,2,16,3
ACY1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,3,3,0,0,2,4,4,4,0,1,3,0,6,2
ACYP1,1,4,0,2,1,0,3,9,5,2,2,1,5,5,3,1,11,14,5,4,5,5,3,6,19,7,25,6,55,7
ACYP2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,4,1
ADA,0,6,0,0,1,2,0,4,0,5,0,1,3,0,2,1,3,4,5,5,2,3,1,1,3,8,18,3,36,4
ADAM8,2,0,0,0,0,1,1,1,1,1,2,0,1,0,2,0,1,1,2,2,3,3,2,0,10,5,23,1,21,1
ADAM10,3,28,12,13,12,32,27,32,20,38,12,12,25,31,14,28,115,101,85,105,50,135,14,86,189,69,202,48,374,63
ADAR,16,45,18,23,14,31,32,30,51,44,32,17,36,41,27,27,169,82,85,86,74,132,9,56,314,144,336,61,666,87
ADARB1,1,11,4,3,5,3,6,8,2,2,3,1,1,0,0,1,12,6,4,2,10,16,10,10,29,7,45,7,67,8
ADCY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCY3,0,5,0,0,1,7,3,1,4,2,3,1,1,1,0,1,13,2,2,3,1,7,0,7,8,13,41,6,69,7
ADCY5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ADCY6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0
ADCY7,1,10,2,6,6,12,12,10,7,14,9,4,8,6,14,11,55,38,32,33,4,15,1,5,52,26,117,15,166,20
ADCY9,3,4,4,7,11,16,18,21,20,21,3,4,14,4,9,10,35,32,21,21,22,45,2,10,111,60,212,32,345,37
ADCYAP1R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADD1,3,9,1,5,2,7,9,16,8,11,14,9,8,5,9,7,43,19,22,19,12,33,5,2,61,49,173,24,281,36
ADD2,0,5,3,3,3,5,2,2,4,5,1,3,8,3,4,5,15,19,9,6,14,10,1,2,28,20,64,18,107,4
ADD3,0,3,1,5,0,2,9,6,3,4,2,0,2,3,2,0,17,9,12,9,7,7,8,6,7,16,47,24,85,24
PLIN2,10,16,7,4,5,9,19,10,9,11,12,10,19,11,13,23,178,116,90,92,31,24,8,14,108,72,166,39,373,52
ADH5,5,5,3,0,1,7,5,6,3,7,2,2,9,7,4,4,19,15,13,15,7,15,2,11,30,13,48,4,67,9
ADK,3,6,0,3,0,1,4,5,2,0,0,3,2,2,1,0,17,6,9,6,7,10,0,12,20,5,35,4,64,7
ADM,2,1,0,0,1,0,0,0,1,1,2,0,2,3,3,2,14,9,4,10,0,2,0,0,2,1,6,0,11,3
ADORA1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
ADORA2A,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,3,2,1,3,4,1,2,8,6,25,7,55,12
ADORA2B,3,12,7,3,5,8,12,11,5,5,9,5,9,8,8,8,50,32,23,26,12,15,8,13,66,7,43,3,64,12
ADORA3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0
ADPRH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
PARP1,6,11,3,5,1,9,2,6,12,5,5,1,4,1,2,3,19,21,10,12,8,16,8,9,27,9,49,8,62,13
PARP4,0,1,0,1,0,1,3,4,0,1,1,0,4,4,0,1,2,9,2,1,4,3,2,1,4,2,5,1,14,6
ADRA1D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADRA2C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ADRB1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,1,3,3,5,0,2,0
ADRB2,5,4,0,1,0,2,4,4,0,1,2,1,5,0,3,3,8,10,6,8,2,11,1,8,14,2,2,1,6,0
GRK2,4,16,1,6,1,8,11,23,9,7,7,4,10,14,8,4,45,14,18,15,9,14,4,7,24,24,65,9,75,15
GRK3,0,4,5,1,5,7,3,11,5,11,6,2,7,5,7,5,25,14,15,22,23,19,3,9,53,18,48,16,110,18
ADSL,0,2,0,0,0,5,1,3,2,2,3,1,2,1,1,4,6,1,3,5,3,10,1,4,1,4,10,5,12,2
ADSS2,1,1,4,5,2,6,2,7,5,6,7,2,5,5,5,5,15,12,10,18,9,11,4,11,29,10,20,12,74,11
AP2A1,0,2,0,0,1,1,1,0,3,1,2,0,2,1,1,1,3,1,0,3,4,1,2,0,7,1,7,2,4,4
AP2A2,2,2,0,1,1,0,2,4,0,3,2,0,3,0,0,2,9,11,2,4,5,8,12,2,23,9,8,2,16,3
AP1B1,2,1,1,1,3,2,1,5,5,4,2,1,2,2,1,1,11,7,2,6,3,9,4,1,36,11,36,3,48,8
AP2B1,9,25,2,9,11,20,20,25,14,19,25,14,34,21,21,20,95,55,57,37,44,75,10,35,168,68,187,36,313,46
AP1G1,20,81,12,36,23,71,55,59,40,50,46,22,57,59,42,47,271,166,156,139,136,238,33,113,452,183,505,122,870,137
TLE5,0,1,1,0,0,0,1,2,2,0,1,0,0,4,0,1,5,1,4,2,0,0,0,1,4,3,6,5,8,6
AFG3L1P,3,11,3,6,4,12,17,11,11,9,7,5,12,6,11,2,44,18,26,21,15,30,13,11,111,40,98,13,190,27
AGA,1,1,0,3,2,1,3,5,2,5,8,1,2,1,4,3,25,18,12,15,13,28,4,14,54,4,18,5,27,3
AGER,0,1,0,1,0,2,1,0,2,2,0,0,1,2,0,1,6,4,5,0,4,7,0,2,22,4,16,1,22,4
AGL,0,2,0,4,2,2,3,1,2,0,0,0,4,2,0,2,8,6,5,1,3,8,3,15,6,9,1,3,26,0
JAG1,0,1,0,0,2,0,2,0,0,0,2,1,2,2,0,4,10,16,9,13,0,5,1,2,8,1,2,0,2,1
AGT,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,0,2,0,0,0,0,0,3,0,7,0
AHCY,10,12,4,6,3,15,13,18,9,16,6,2,13,13,5,5,23,13,5,22,14,20,9,7,39,33,86,17,168,16
AHR,12,24,14,14,15,17,27,30,8,22,22,21,20,19,20,23,94,87,76,113,91,171,12,80,284,59,185,64,299,69
AIF1,3,7,2,1,1,4,1,3,4,0,0,1,4,5,0,0,7,2,1,3,2,8,1,4,6,7,11,4,20,3
CRYBG1,0,4,0,1,4,3,7,4,1,5,4,1,8,4,3,5,41,16,18,20,9,10,3,4,26,3,19,4,26,3
AK1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0,5,1,4,0,3,1
AK2,35,74,29,34,22,66,65,46,57,80,41,18,70,45,57,42,248,149,143,128,156,283,54,127,595,326,1011,194,1595,233
AK4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0
AKT1,4,3,1,2,3,5,4,5,6,5,7,1,6,5,5,1,11,5,9,4,3,3,0,2,11,19,44,9,71,13
AKT2,5,9,3,3,5,10,12,9,6,9,4,2,5,10,6,1,40,16,9,15,8,21,8,4,65,23,92,9,152,15
ALAD,1,2,1,2,5,3,3,3,1,4,3,1,6,3,4,2,7,7,9,3,7,8,1,1,21,11,47,10,105,15
ALAS1,2,3,0,0,1,3,1,3,4,2,3,0,3,4,3,2,3,4,4,9,13,6,12,5,33,40,115,25,236,38
ALAS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCAM,0,2,0,0,0,0,3,3,0,7,1,1,0,3,3,1,6,6,7,9,5,11,4,2,18,3,20,4,26,7
ABCD1,2,2,1,0,2,0,1,3,2,2,2,1,6,2,0,0,7,4,2,3,4,3,0,2,2,22,40,3,76,17
ALDH2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,3,1,1,0
ALDH1B1,5,17,3,11,5,17,13,10,6,11,4,4,9,11,9,1,25,19,12,17,11,19,6,14,60,17,79,20,133,33
ALDH1A3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0
ALDH3B1,1,3,0,1,0,1,3,0,2,1,2,0,2,1,1,2,2,1,2,2,0,2,0,3,4,4,10,0,25,5
ALDH9A1,9,10,2,10,3,9,13,12,9,12,17,5,18,16,13,12,78,73,36,60,31,64,18,29,84,24,39,15,156,28
ALDH3A2,0,1,1,0,0,2,0,3,2,2,0,0,2,2,1,0,7,2,1,2,4,8,0,1,10,3,6,0,13,0
ABCD2,0,4,0,1,0,2,3,2,0,0,1,0,1,1,3,1,6,0,5,4,10,12,0,6,13,4,15,3,18,6
ALDOA,18,20,9,16,13,19,24,27,25,13,14,12,14,23,18,9,59,31,42,36,21,60,30,15,125,58,210,36,356,54
ALDOB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDOC,3,1,1,0,0,1,0,1,1,1,0,1,0,0,0,2,0,0,3,2,1,3,1,1,2,1,5,0,14,5
AKR1B1,0,1,0,0,0,0,1,1,1,0,2,3,1,0,1,0,7,2,3,1,0,4,0,0,6,3,7,0,19,2
ALOX12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,2,0,1,2,5,16,4,20,4
ALOX5AP,7,5,2,3,2,6,5,4,4,7,5,0,4,0,6,3,32,24,16,26,8,14,2,12,24,40,132,27,271,49
ALOX12B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALOX15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
ALX3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMD1,31,96,27,54,47,83,112,131,93,111,76,47,110,88,62,86,457,272,294,325,189,348,73,191,482,261,695,217,1402,205
AMFR,4,4,3,3,1,3,4,6,5,3,7,1,3,10,9,5,35,7,4,17,6,12,4,1,28,14,25,7,80,8
AMH,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0
AMPD2,2,1,1,4,0,1,6,1,0,1,1,0,3,2,1,1,3,0,2,3,4,5,0,1,22,6,22,4,20,6
AMPD3,0,1,0,0,1,1,0,2,1,0,1,0,0,1,0,1,1,0,4,2,1,2,1,2,11,3,5,1,24,1
AMPH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIN1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,9,1
AMT,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0
AMY1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMY1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMY1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMY2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ANG,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,10,2,0,3,2,1,0,2,0
ANGPT1,0,1,0,0,0,0,0,1,2,0,0,0,2,0,1,1,3,3,3,3,3,6,0,4,9,5,8,1,17,2
ANGPT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ANK2,0,2,0,1,1,1,2,0,2,0,0,1,2,3,0,1,8,3,1,3,5,9,3,4,19,8,14,0,22,3
ANK3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANPEP,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
SLC25A5,5,13,4,7,0,7,9,16,7,14,4,4,10,9,5,12,51,11,14,29,8,32,5,12,34,28,57,6,143,22
SLC25A6,17,32,10,15,9,39,30,34,26,50,33,10,40,26,30,12,76,62,54,60,50,67,27,28,199,80,276,59,590,67
ANXA1,3,9,1,2,3,4,6,12,8,5,4,4,15,5,12,3,29,16,18,27,24,78,21,17,116,39,81,38,185,32
ANXA2,21,20,9,6,9,17,17,18,7,13,20,6,21,9,15,5,49,41,33,24,21,58,36,20,157,19,83,12,163,17
303,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,2,1,0,1,1,1,1,1,1,0,2,0,1,2
ANXA4,1,0,0,1,0,1,1,1,1,1,0,1,3,1,0,0,2,4,1,0,0,5,0,1,0,0,3,2,3,0
ANXA5,4,5,4,9,5,10,9,12,7,13,8,5,18,12,6,4,23,24,18,11,33,63,12,25,74,18,52,15,81,16
ANXA6,2,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,1,3,3,0,4,3,3,5,0,5,0,1,1
ANXA7,1,4,3,1,1,2,5,3,3,6,3,1,4,0,6,0,24,6,7,11,3,11,4,3,25,5,27,1,41,5
ANXA11,0,6,3,3,2,1,4,11,5,1,4,3,6,4,4,2,15,10,12,6,5,8,5,2,18,7,9,3,44,3
AOAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,3,2,0,0,4,0
AOX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
APAF1,4,6,4,4,4,4,5,8,5,5,2,4,8,2,5,4,20,22,12,26,12,11,2,3,28,14,18,2,50,7
NUDT2,0,2,0,1,0,1,0,0,3,4,1,0,0,2,2,0,3,6,2,0,2,2,1,2,2,2,17,2,15,2
APBA1,0,4,0,1,2,5,1,2,1,6,7,0,0,2,0,0,6,6,2,6,9,7,1,3,34,8,21,2,35,2
APBA2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,0
APBB1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,0,2,6,14,26,5,34,9
APBB2,0,1,0,1,0,0,1,0,0,0,1,0,2,0,0,0,1,1,1,1,3,4,0,2,8,1,7,1,8,0
APC,3,5,1,2,2,5,5,4,5,7,1,1,2,3,2,4,21,22,9,20,4,16,3,8,26,13,25,9,49,7
APEH,1,5,0,0,0,0,2,3,3,1,5,0,0,1,0,1,2,2,2,2,0,3,2,1,4,5,5,0,17,3
APEX1,9,17,5,14,7,19,24,12,17,23,19,7,16,13,11,12,90,39,27,64,24,50,21,21,122,45,139,18,250,37
BIRC2,3,3,0,1,1,2,4,2,4,0,3,0,6,2,2,6,12,9,10,7,8,19,7,6,15,8,19,3,36,5
BIRC3,1,5,0,0,1,2,1,0,1,0,0,2,3,2,0,0,1,3,0,0,3,17,5,6,22,4,29,5,30,9
XIAP,20,25,12,11,10,24,25,31,26,24,12,5,21,17,16,15,78,33,43,46,61,110,48,49,147,84,223,57,371,64
BIRC5,15,30,18,10,8,18,15,29,12,27,13,4,28,15,13,13,86,40,48,25,6,22,5,7,58,57,199,30,329,33
APLP1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
APLP2,3,15,4,8,4,8,11,13,12,10,8,5,15,18,10,13,73,27,31,28,25,57,11,14,101,147,353,61,657,99
APOA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
APOC1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,1,1,1,2,1,0,0,9,23,7,40,10
APOC2,22,14,4,12,10,11,14,23,15,15,9,6,12,9,3,11,37,22,31,25,32,36,29,17,68,129,224,64,387,122
APOC4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,1,2,1
APOD,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0
APOE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
APP,3,1,0,3,2,6,5,4,4,6,2,3,5,4,3,3,20,8,14,12,12,15,5,6,21,10,27,9,43,9
APRT,5,5,2,1,3,3,2,1,4,3,5,1,2,1,0,2,8,7,4,1,2,12,8,2,21,4,10,3,40,10
FAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0
SHROOM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AQP1,1,3,2,1,0,1,1,1,0,2,0,0,0,0,0,1,3,2,2,1,10,22,2,12,53,4,23,2,38,4
AQP3,0,1,1,0,0,1,1,0,0,1,1,0,2,0,1,0,1,3,0,0,2,1,0,0,1,1,0,0,4,0
AQP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,4,0
ARAF,6,8,1,4,1,8,3,0,8,8,3,5,4,5,7,1,16,11,12,12,8,13,5,9,34,19,56,11,85,23
ARCN1,34,74,27,50,31,71,56,88,55,79,64,23,55,52,50,39,273,174,132,147,196,350,36,155,623,238,581,164,1208,197
TRIM23,2,0,0,2,0,0,7,2,1,6,1,1,5,5,1,2,17,7,11,15,6,13,2,12,14,5,14,7,34,6
ARF1,37,104,28,34,32,67,84,91,52,67,66,21,77,71,61,55,325,201,144,129,176,345,72,152,927,283,886,141,1597,202
ARF3,2,23,8,11,12,18,21,26,21,29,20,5,28,18,16,5,62,47,22,24,43,62,5,15,155,79,211,28,263,55
ARF4,15,52,15,23,18,34,37,55,30,37,29,9,37,32,26,28,154,87,92,93,105,267,43,151,360,97,295,74,671,89
ARL4D,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,2,1,2,0,1,1,0,2,3,3,0,2,0,13,3
ARF5,1,1,0,1,1,1,1,2,2,1,2,1,2,1,4,0,7,4,4,4,3,2,5,0,16,6,15,0,23,6
ARF6,37,95,37,62,53,107,97,107,91,90,79,33,95,62,71,36,295,192,157,164,163,331,54,134,510,177,531,135,987,165
ARG2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,3,3,0,9,2,2,0,7,0
RHOA,46,87,26,49,43,101,89,102,71,101,63,23,68,50,83,43,263,161,139,158,139,213,84,134,616,233,772,150,1355,215
RHOB,6,18,4,11,12,17,9,10,11,7,12,9,6,14,13,3,22,12,10,19,47,64,18,43,192,32,138,25,184,41
RHOC,4,5,1,0,0,2,3,1,4,2,0,1,0,1,0,0,2,1,1,3,1,8,3,0,11,3,12,2,23,2
RND3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RHOG,15,18,3,6,9,18,19,13,13,26,13,7,16,17,11,7,47,37,16,22,36,32,14,11,95,42,114,15,208,29
ARHGAP1,4,3,1,4,5,10,11,7,10,12,6,1,13,8,6,3,27,10,16,6,12,18,0,7,61,28,51,12,71,12
ARHGAP4,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,2,2,1,1,0,2,3,0,1,3,1,1,20,3
ARHGAP6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0
ARHGDIA,16,52,10,26,14,41,43,34,30,34,23,8,40,37,27,14,102,54,46,60,46,68,26,16,286,97,306,45,569,77
