task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	6e/221e50	18251226327695892939	output_documentation	CACHED	0	2021-02-03 19:05:48.932	3m 43s	3s	14.2%	23.7 MB	29.9 MB	4.9 MB	2.5 MB
3	d6/7ebe49	13567528175752244504	checkDesign (slamseq_YLK_MV411.csv)	CACHED	0	2021-02-03 19:05:47.444	3m 44s	982ms	21.3%	7.4 MB	14.7 MB	2.4 MB	2 KB
5	02/eec099	6476536250846967522	trim (mr343-MV411-DMSO)	CACHED	0	2021-02-03 19:09:33.184	1h 10m 8s	1h 4m 57s	311.4%	4 GB	4.8 GB	213 GB	206.9 GB
7	49/07ada8	5969542706183255308	trim (mr345-MV411-DMSO)	CACHED	0	2021-02-03 19:09:34.065	1h 17m 17s	1h 12m 8s	315.7%	4 GB	4.7 GB	251.6 GB	244.4 GB
11	b9/e20a8c	14513581008724220301	trim (mr349-MV411-YLK)	CACHED	0	2021-02-03 19:09:36.078	47m 6s	43m 9s	313.3%	3.8 GB	4.6 GB	148.3 GB	144 GB
6	13/3815ed	12856960557954293197	trim (mr344-MV411-DMSO)	CACHED	0	2021-02-03 19:09:33.665	1h 27m 18s	1h 21m 46s	311.8%	4.1 GB	4.8 GB	275.4 GB	267.6 GB
8	9f/c3f440	2887626908357502784	trim (mr346-MV411-DMSO)	CACHED	0	2021-02-03 19:09:34.669	1h 10m 8s	1h 5m 8s	315.4%	4 GB	4.7 GB	220.1 GB	213.7 GB
9	80/cb37bb	7553752428718719660	trim (mr347-MV411-YLK)	CACHED	0	2021-02-03 19:09:35.258	39m 7s	35m 13s	310.0%	3.5 GB	4.3 GB	117.8 GB	114.3 GB
10	0b/a69c14	5186309674786516640	trim (mr348-MV411-YLK)	CACHED	0	2021-02-03 19:09:35.675	51m 36s	47m 30s	316.3%	3.9 GB	4.6 GB	175.3 GB	170.3 GB
2	3c/f72235	10236214080952497000	get_software_versions	ABORTED	-	2021-02-04 14:01:55.579	-	-	-	-	-	-	-
1	22/60fb82	3130386289971691469	gtf2bed (hg38_ERCC92.gtf)	ABORTED	-	2021-02-04 14:01:56.181	-	-	-	-	-	-	-
12	e9/1f6795	12835624853563454568	trim (mr350-MV411-YLK)	CACHED	0	2021-02-03 19:09:36.566	1h 11m 25s	1h 6m 15s	316.2%	4 GB	4.8 GB	230.8 GB	224.1 GB
13	c9/750481	15040576801592007342	map (mr343-MV411-DMSO)	ABORTED	-	2021-02-04 14:01:57.858	-	-	-	-	-	-	-
