KO,AAVS1,,,,MEIS1,,,
gene_id,mr351-MV411-DMSO-r1,mr352-MV411-DMSO-r2,mr353-MV411-DMSO-r3,mr354-MV411-DMSO-r4,mr355-MV411-72h_MEIS1-r1,mr356-MV411-72h_MEIS1-r2,mr357-MV411-72h_MEIS1-r3,mr358-MV411-72h_MEIS1-r4
ABHD17B,613,1067,1100,796,801,853,799,1424
ABHD17C,55,103,102,82,66,55,72,112
ABHD18,565.95,741.96,775.98,571,419,473,425.98,884
ABHD2,1261.2,1845.7,1674.1,1239.2,874.04,872.14,853.35,1686.3
ABHD3,225,442,440,290,354,377,356,672
ABHD4,100,203,204,156,68,68,73,104
ABHD5,230,298,316,246,238,211,181,407
ABHD6,27,40,54,34,29,23,28,51
ABHD8,37.35,92.51,80.44,67,32.3,38.42,25.31,73.38
ABI1,1292,1771.5,2066.9,1549,1020,1098,1070,2073.6
ABI2,583.03,880.98,879.57,665.34,534.79,532.92,523.04,999.62
ABI3,22,33.26,20,28.37,18,15,14.4,38.3
ABI3BP,2,2,1,0,0,1,5,1
ABITRAM,410,680,781,558,471,532,451,945
ABL1,1561,2692,2422,1661,1268,992,1021,2138
ABL2,540,783,767,516,406,374,377,738
ABLIM1,0,2,1,0,0,0,0,0
ABLIM2,2,1,2,1,1,1,0,2
ABLIM3,0,0,0,0,0,0,0,1
ABO,12,11,10,14,5,6,7,19
ABR,4071,6625.8,6050.6,4351,3350.7,3008.4,3023,6458.1
ABRA,1,2,0,1,0,0,0,0
ABRACL,927,1563,1669,1178,998,1001,905,1886
ABRAXAS1,580.65,733.55,910.96,648.76,509.29,531.02,463.54,941.49
ABRAXAS2,652,1005,1098,772,630,655,674,1313
ABT1,527,949,974,678,510,434,454,1009
ABT1P1,0,0,0,0,0,0,0,1
ABTB1,157,313,286,179,195,138,143,277
ABTB2,151,259,203,140,61,58,41,118
ACAA1,554,967.32,958.15,585.04,569,475,501,1055
ACAA2,595,986.89,1135,681,623,518,574,1131
ACACA,2779,4388,3842,2754,2009,1798,1893,3756
ACACB,204,306,302,200,175,165,170,336
ACAD10,366,754,789,444,386,364,334,799
