"GENE","mr291.MV411.RNP_AAVS1.r8","mr292.MV411.RNP_AAVS1.r9","mr293.MV411.RNP_AAVS1.r10","mr294.MV411.RNP_AAVS1.r11","mr303.MV411.RNP_MEF2C.r11","mr304.MV411.RNP_MEF2C.r12","mr305.MV411.RNP_MEF2C.r13","mr306.MV411.RNP_MEF2C.r14"
"A1BG",12.8189563080784,4.22470016213341,0.852484707141576,2.83649175730455,9.78986160135582,4.26150360955617,6.8933837256077,11.1569700087244
"A1BG-AS1",9.3228773149661,14.7864505674669,12.7872706071236,8.50947527191366,4.89493080067791,6.39225541433426,22.6496893841396,16.7354550130866
"A2M",1.16535966437076,2.11235008106671,3.4099388285663,0,0,0.710250601592695,1.96953820731649,0
"A2M-AS1",0,1.05617504053335,0,0,0,0,0,0
"A4GALT",23.3071932874152,17.954975689067,37.5093271142294,20.8009395535667,25.698386703559,19.8870168445955,15.7563056585319,23.4296370183213
"A4GNT",0,0,0,0,0,0,0.984769103658243,0
"AAAS",1419.40807120359,1103.70291735735,1353.74571494082,1058.0114254746,1253.10228497355,1279.16133346844,1555.93518378002,1568.66998322665
"AACS",865.862230627476,678.064376022413,831.172589463037,707.231944821269,591.062894181858,717.353107608622,717.896676566859,733.012929573195
"AAGAB",1105.92632148785,1028.71448947949,1013.60431679133,1130.81471391208,1151.53247085948,1191.80050947254,987.723410969218,1055.44936282533
"AAK1",2051.03300929254,2232.75403568751,1715.19923076885,2309.84978769834,1871.08729855913,1786.99051360722,1752.88900451167,1799.61926240725
"AAMDC",125.858843752042,104.561329012802,122.757797828387,76.5852774472229,117.47833921627,133.527113099427,155.593518378002,151.734792118652
"AAMP",2993.80897776849,2177.83293357977,2631.62029094605,1925.97790320979,2643.26263236607,2726.65205951436,3290.11357532219,3245.56257553793
"AAR2",1293.54922745155,1030.82683956055,1249.74258066955,931.314793648328,1020.59307194134,1115.09344450053,1308.75813876181,1199.37427593788
"AARS1",4463.32751454002,3762.0954943798,4451.67514069331,3864.24727070124,3750.74072601945,3895.01429913434,4008.01025188905,4119.15332722106
"AARS2",653.766771711997,497.458444091209,555.820029056308,456.675172926033,576.378101779824,534.818702999299,665.703914072972,676.1123825287
"AARSD1",664.255008691334,565.053646685344,619.756382091926,489.767576761253,549.455982376096,635.674288425462,775.013284579038,717.39317156098
"AASDH",157.323554690053,210.178833066137,229.318386221084,243.938291128192,277.787322938471,245.03645754948,148.700134652395,95.94994207503
"AASDHPPT",848.381835661915,1164.96106970829,1138.067084034,1365.29803251592,1298.38039487982,1175.46474563591,737.592058640024,884.747721691847
"AATBC",45.4490269104597,22.1796758512004,29.8369647499552,33.0924038352198,35.4882483049149,16.335763836632,45.2993787682792,22.3139400174488
"AATF",3424.99205358567,3364.97367913926,3028.02567976688,3194.83521597736,3329.77667716115,3275.67577454551,3451.61570832214,3515.56124974907
"AATK",9.3228773149661,12.6741004864002,6.81987765713261,7.56397801947881,11.0135943015253,1.42050120318539,10.8324601402407,13.3883640104693
"ABALON",16.3150353011907,10.5617504053335,7.67236236427419,23.6374313108713,13.4610597018643,14.9152626334466,2.95430731097473,7.8098790061071
"ABAT",151.496756368199,192.22385737707,109.118042514122,154.116052146881,143.176725919829,125.714356481907,174.304131347509,91.4871540715403
"ABCA1",37.2915092598644,60.2019773104011,39.2142965285125,56.7298351460911,41.6069118057622,24.1485204541516,3.93907641463297,20.082546015704
"ABCA10",5.82679832185381,5.28087520266676,3.4099388285663,1.8909945048697,0,3.55125300796348,0,2.23139400174488
"ABCA11P",11.6535966437076,9.50557536480018,15.3447247285484,9.45497252434851,24.4746540033896,12.7845108286685,28.5583040060891,11.1569700087244
"ABCA12",4.66143865748305,4.22470016213341,0.852484707141576,0.945497252434851,0,0,2.95430731097473,1.11569700087244
"ABCA17P",5.82679832185381,2.11235008106671,12.7872706071236,0.945497252434851,4.89493080067791,15.6255132350393,19.6953820731649,16.7354550130866
"ABCA2",1928.67024453361,1431.11717992269,1799.59521677587,1454.1747742448,1552.91679651507,1628.60462945205,2318.1464700115,1853.17271844913
"ABCA3",34.9607899311229,41.1908265808008,28.9844800428136,39.7108846022637,20.8034559028811,29.8305252668932,42.3450714573045,47.974971037515
"ABCA5",16.3150353011907,36.9661264186674,17.9021788499731,48.2203598741774,31.8170502044064,49.007291509896,30.5278422134055,21.1982430165764
"ABCA6",27.9686319448983,33.7976012970673,33.2469035785215,43.4928736120031,7.34239620101687,14.2050120318539,5.90861462194946,11.1569700087244
"ABCA7",837.893598682578,598.851247982411,624.018805627634,493.549565770992,582.496765280671,552.574968039117,970.982336207028,716.277474560108
"ABCA9",0,0,0,0,0,0,0,2.23139400174488
"ABCB10",4410.88632964333,4881.64103734516,5419.245283299,6185.4430254288,5345.26443434028,5343.21527578184,3822.8736604013,4211.75617829347
"ABCB10P1",0,0,0.852484707141576,0,0,0,0,0
"ABCB10P3",2.33071932874152,1.05617504053335,0.852484707141576,0,0,0.710250601592695,0,0
"ABCB10P4",0,2.11235008106671,0.852484707141576,0,0,0.710250601592695,0,0
"ABCB4",3.49607899311229,0,0.852484707141576,0.945497252434851,0,0,0.984769103658243,0
"ABCB6",19.811114294303,12.6741004864002,8.52484707141576,17.0189505438273,9.78986160135582,10.6537590238904,10.8324601402407,12.2726670095969
"ABCB7",671.247166677559,668.558800657612,732.284363434614,777.198741501448,671.829252393043,765.650148516925,574.120387432756,628.137411491185
"ABCB8",647.939973390144,472.110243118409,620.608866799067,381.035392731245,487.045614667452,561.808225859822,736.607289536366,724.087353566215
"ABCB9",57.1026235541673,33.7976012970673,47.7391435999283,27.4194203206107,45.2781099062707,62.5020529401572,68.933837256077,52.4377590410048
"ABCC1",1505.64468636702,1328.66820099096,1406.5997667836,1444.71980172045,1069.54237994812,1134.27021074353,1256.56537626792,1232.84518596405
"ABCC10",453.324909440226,321.077212322139,421.97993003508,307.286607041327,336.526492546606,358.676553804311,460.871940512058,401.650920314079
"ABCC11",3.49607899311229,1.05617504053335,0.852484707141576,0,0,1.42050120318539,0,0
"ABCC13",16.3150353011907,30.6290761754672,11.9347858999821,24.5829285633061,13.4610597018643,8.52300721911234,7.87815282926595,6.69418200523465
"ABCC2",39.6222285886059,29.5729011349339,21.3121176785394,31.2014093303501,41.6069118057622,26.2792722589297,52.1927624938869,30.1238190235559
"ABCC4",1054.65049625554,1289.58972449122,1215.64319238389,1526.03256542985,1310.61772188151,1212.39777691873,850.840505560722,982.929057768622
"ABCC5",438.175233803407,382.335364673074,453.521864199319,415.0732938189,387.923265953724,438.224621182693,505.186550176679,430.659042336763
"ABCC6",8.15751765059533,7.39322528373347,6.81987765713261,6.61848076704396,7.34239620101687,16.335763836632,15.7563056585319,12.2726670095969
"ABCC6P1",0,1.05617504053335,0,0.945497252434851,0,0.710250601592695,2.95430731097473,0
"ABCC9",0,1.05617504053335,0,0,0,1.42050120318539,0,4.46278800348977
"ABCD1",1441.54990482663,1025.54596435789,1102.26272633406,937.933274415372,950.840308031684,846.618717098492,1235.8852250911,1257.39051998324
"ABCD2",116.535966437076,135.190405188269,125.315251949812,131.424118088444,85.6612890118634,93.0428288086431,49.2384551829122,73.6360020575812
"ABCD3",581.51447252101,965.343987047485,733.989332848897,1021.13703262964,1094.01703395151,901.30801342113,450.039480371817,591.319410462394
"ABCD4",365.922934612419,310.515461916806,328.206612249507,262.848236176889,313.275571243386,357.966303202718,409.663947121829,382.684071299248
"ABCE1",3857.34048906722,6025.47860624278,5073.98897690666,7043.95453063964,5462.74277355655,4663.50545005764,2778.0336414199,3356.01657862431
"ABCF1",3613.78031921373,3125.22194493819,3028.87816447402,3001.00827922822,3096.04373142878,3324.68306605541,3426.01171162703,3720.8494979096
"ABCF2",2471.72784813039,1924.35092385177,2281.24907631086,1714.18651866438,2124.39996749421,2241.55089862655,2536.76521102363,2425.52527989669
"ABCF2P1",0,1.05617504053335,0.852484707141576,0,1.22373270016948,0,0.984769103658243,0
"ABCF3",919.468775188531,664.334100495479,814.975380027347,622.137192102132,752.595610604229,718.773608811807,929.622033853382,908.177358710168
"ABCG1",0,1.05617504053335,0,0,0,0.710250601592695,0,0
"ABCG4",1.16535966437076,2.11235008106671,0,0,0,2.84100240637078,0,0
"ABCG8",0,0,0.852484707141576,0.945497252434851,2.44746540033896,2.13075180477809,9.84769103658243,0
"ABHD1",9.3228773149661,9.50557536480018,8.52484707141576,3.7819890097394,3.67119810050843,5.68200481274156,10.8324601402407,12.2726670095969
"ABHD10",629.294218760211,713.974327400547,659.82316332758,890.65841179363,830.914503415075,739.370876257996,555.409774463249,641.525775501654
"ABHD11",452.159549775856,316.852512160006,444.144532420761,305.395612536457,380.580869752708,375.722568242536,540.638237908376,450.741588352467
"ABHD11-AS1",2.33071932874152,2.11235008106671,0.852484707141576,0,2.44746540033896,0.710250601592695,0.984769103658243,0
"ABHD12",1117.57991813156,816.423306332282,947.962994341433,810.291145336667,986.328556336599,1015.65836027755,1063.5506319509,1265.20039898935
"ABHD12B",23.3071932874152,17.954975689067,37.5093271142294,19.8554423011319,4.89493080067791,17.7562650398174,10.8324601402407,11.1569700087244
"ABHD13",377.576531256127,682.289076184546,432.209746520779,850.947527191366,609.4188846844,453.850134417732,305.278422134055,349.213161273074
"ABHD14A",386.899408571093,303.122236633072,330.764066370932,242.047296623322,329.18409634559,365.068809218645,517.003779420578,523.261893409176
"ABHD14A-ACY1",29.133991609269,21.1235008106671,33.2469035785215,17.0189505438273,22.0271886030506,17.0460144382247,15.7563056585319,10.041273007852
"ABHD14B",1608.19633683165,1291.70207457229,1456.89636450495,1220.63695289339,1518.65228091032,1704.60144382247,1709.55916395071,1699.20653232873
"ABHD15",6204.37485310994,4926.00038904756,5675.84318014861,5183.21593784785,5040.55499199808,5466.79888045897,5577.73220312029,5716.83143247039
"ABHD15-AS1",0,2.11235008106671,0,0.945497252434851,0,1.42050120318539,0,0
"ABHD16A",604.821665808425,421.413841172808,509.785854870663,425.473763595683,485.821881967283,510.670182545148,666.688683176631,593.550804464139
"ABHD17A",2395.97946994629,1716.2844408667,2121.83443607538,1354.89756273914,1734.02923614015,1801.90577624067,2570.24736054801,2426.64097689756
"ABHD17AP1",0,1.05617504053335,0.852484707141576,1.8909945048697,0,2.84100240637078,0.984769103658243,1.11569700087244
