"GENE","mr220.MV411.RNP_AAVS1.r4","mr221.MV411.RNP_AAVS1.r5.new","mr222.MV411.RNP_AAVS1.r6","mr223.MV411.RNP_AAVS1.r7","mr228.MV411.RNP_RUNX2.r7","mr229.MV411.RNP_RUNX2.r8","mr230.MV411.RNP_RUNX2.r9","mr231.MV411.RNP_RUNX2.r10"
"A1BG",8.66189944349418,12.100873431701,12.5469178468954,1.12968172273827,8.56313331607206,9.55385708680537,8.91177755480978,6.56537394309498
"A1BG-AS1",5.77459962899612,8.37752776040839,18.820376770343,1.12968172273827,14.5573266373225,14.0123237273145,8.91177755480978,6.56537394309498
"A2M",7.21824953624515,7.44669134258524,9.41018838517152,7.90777205916791,3.42525332642883,0.636923805787025,1.11397219435122,5.25229915447598
"A2M-AS1",0,0.930836417823154,0,0,0,0,0,0
"A4GALT",10.1055493507432,11.1700370138779,14.1152825777573,14.6858623955975,9.41944664767927,11.4646285041664,12.2536941378634,10.504598308952
"AAAS",1072.63188108603,1322.7185497267,1358.98803929185,922.949967477168,1222.81543753509,1600.58952394279,1321.17102250055,1340.64935917999
"AACS",1222.77147143993,1369.26037061786,1394.27624573625,1222.31562400281,934.237844783462,930.545680254843,859.986534039144,1148.94044004162
"AAGAB",1300.72856643138,1315.27185838412,1329.18910940548,1408.71310825463,1316.15359068028,1250.91835456572,1359.04607710849,1383.98082720442
"AAK1",3124.0583992869,2639.85208094647,2718.76026094914,2747.38594969948,2538.11271488376,2287.19338658121,2163.33400143007,2460.702153872
"AAMDC",92.3935940639379,109.838697303132,132.526819757832,102.801036769183,87.3439598239351,133.753999215275,119.195024795581,126.055179707424
"AAMP",2533.60558722205,3091.3077435907,2958.72006477101,2348.60830157287,3015.93555392058,3364.86846597285,3083.47503396418,2850.68536609184
"AANAT",0,0,0,0,0,0.636923805787025,0,0
"AAR2",1056.75173210629,1322.7185497267,1259.39687888212,948.932647100149,1216.82124421384,1350.27846826849,1292.20774544742,1250.04719876528
"AARS1",5195.69601618926,5455.63224486151,5257.15857784916,4520.98625439857,4463.10508433676,4752.08851497699,4464.8005549597,5036.95488914246
"AARS2",581.790912621359,687.888112771311,639.892810191663,429.279054640544,700.464305254695,729.91468143193,595.975123977904,614.51900107369
"AARSD1",645.311508540316,615.282872181105,610.878062670718,569.359588260089,643.947625368619,701.890033977301,719.62603755089,676.233516138782
"AASDH",394.116424678985,323.000236984635,314.457128537815,395.388602958395,352.801092622169,285.978788798374,354.243157803689,342.712519829558
"AASDHPPT",2563.92223527428,1857.94948997502,2082.0041802192,2393.7955704824,2229.83991550517,1788.48204664997,2390.58432907772,1948.60298631059
"AATBC",51.9713966609651,65.1585492476208,62.7345892344768,66.6512216415581,89.9128998187567,98.0862660912018,70.180248244127,97.1675343578056
"AATF",3145.71314789564,2983.33071912321,3103.79380237574,2540.65419443837,2731.63952782699,2898.64024013675,2936.43070430982,3018.75893903507
"AATK",5.77459962899612,13.9625462673473,24.3096533283598,11.2968172273827,26.5457132798234,18.4707903678237,12.2536941378634,5.25229915447598
"ABALON",31.7602979594787,17.6858919386399,16.4678296740502,16.9452258410741,8.56313331607206,21.0184855909718,8.91177755480978,17.0699722520469
"ABAT",138.590391095907,129.386262077418,131.742637392401,151.377350846928,166.124786331798,175.790970397219,165.981856958332,169.38664773185
"ABCA1",177.568938591631,153.58800894082,156.052290720761,180.749075638124,130.159626404295,110.824742206942,115.853108212527,119.489805764329
"ABCA10",8.66189944349418,10.2392005960547,9.41018838517152,13.5561806728593,8.56313331607206,5.0953904462962,8.91177755480978,14.4438226748089
"ABCA11P",67.8515456407044,59.5735307406819,58.813677407322,59.8731313051284,72.7866331866125,70.0616186365727,60.154498494966,53.8360663333788
"ABCA12",2.88729981449806,0,0,0,1.71262666321441,3.82154283472215,1.11397219435122,0
"ABCA13",0,0,0,0,0,0.636923805787025,0,0
"ABCA17P",14.4364990724903,26.0634196990483,24.3096533283598,16.9452258410741,19.6952066269657,31.8461902893512,25.6213604700781,19.6961218292849
"ABCA2",2384.9096467754,2548.6301119998,2245.89829459427,1512.64382674655,1920.71080279496,2291.01492941593,1607.46187644881,1760.83329153807
"ABCA3",83.7316946204437,95.8761510357849,83.9075131011127,54.2247226914371,81.3497665026846,83.4370185581003,59.0405263006148,87.9760108374727
"ABCA5",83.7316946204437,65.1585492476208,81.5549660048198,110.708808828351,82.2060798342918,71.9723900539338,102.485441880312,93.2283099919486
"ABCA6",93.837243971187,68.8818949189134,69.7922305233554,94.8932647100149,69.3613798601837,87.8954851986094,60.154498494966,95.8544595691866
"ABCA7",679.959106314293,838.683612458662,768.498718122341,481.244413886504,796.371398394702,1015.8934702303,669.497288805085,673.607366561544
"ABCA9",2.88729981449806,0,1.56836473086192,0,1.71262666321441,1.27384761157405,2.22794438870245,1.313074788619
"ABCB1",0,0,0,1.12968172273827,0,0,0,0
"ABCB10",8166.72752530776,5831.69015766206,5913.51921771487,6205.34170300133,7582.65455138181,6276.88410603113,7119.39629409866,6810.91892856673
"ABCB10P1",0,0.930836417823154,0,0,0,0,0,0
"ABCB10P3",0,0,2.35254709629288,0,0,1.27384761157405,0,1.313074788619
"ABCB10P4",0,1.86167283564631,0.78418236543096,0,1.71262666321441,0.636923805787025,0,0
"ABCB11",0,0,0,0,0,0.636923805787025,0,0
"ABCB4",7.21824953624515,4.65418208911577,4.70509419258576,6.77809033642963,0.856313331607206,1.27384761157405,5.56986097175611,1.313074788619
"ABCB6",25.9856983304825,19.5475647742862,21.9571062320669,28.2420430684568,24.833086616609,23.5661808141199,16.7095829152683,21.0091966179039
"ABCB7",895.062942494399,752.115825601109,767.71453575691,891.318879240497,831.480244990597,733.736224266653,872.240228177007,820.671742886872
"ABCB8",552.917914476379,625.52207277716,661.065734058299,404.426056740301,670.493338648443,750.933167022902,675.067149776841,660.476618675355
"ABCB9",76.5134450841986,82.8444411862607,69.0080481579245,40.6685420185778,71.0740065233981,76.430856694443,71.2942204384782,68.2798890081877
"ABCC1",1918.61072673396,1898.90629235923,1744.80576308389,1700.1709927211,1685.22463660298,1710.77734234395,1458.18960240575,1705.68415041607
"ABCC10",457.637020597943,483.104100850217,456.394136680819,317.440564089455,488.954912347715,533.742149249527,451.158738712245,480.585372634552
"ABCC11",2.88729981449806,6.51585492476208,1.56836473086192,1.12968172273827,2.56893999482162,2.5476952231481,4.45588877740489,7.87844873171397
"ABCC13",17.3237988869884,29.7867653703409,24.3096533283598,28.2420430684568,39.3904132539315,34.3938855124993,43.4449155796977,61.7145150650928
"ABCC2",34.6475977739767,37.2334567129262,44.6983948295647,35.0201334048864,34.2525332642883,47.7692854340269,24.5073882757269,47.2706923902838
"ABCC3",1.44364990724903,1.86167283564631,1.56836473086192,0,1.71262666321441,0,0,0
"ABCC4",2138.04551263581,1585.21441955283,1756.56849856535,1954.34938033721,1860.76886958246,1601.22644774858,1793.49523290547,1846.18315279831
"ABCC5",441.756871618203,470.072391000693,451.689042488233,543.376908637109,542.046338907362,617.816091613414,452.272710906596,495.029195309361
"ABCC6",23.0983985159845,11.1700370138779,14.8994649431882,11.2968172273827,21.4078332901802,19.1077141736107,6.68383316610734,19.6961218292849
"ABCC6P1",0,0,0.78418236543096,2.25936344547654,2.56893999482162,1.91077141736107,1.11397219435122,0
"ABCC8",0,0.930836417823154,0,0,0,0,0,0
"ABCC9",0,0,0.78418236543096,0,0,0,0,0
"ABCD1",1567.80379927245,1803.96097774127,1728.33793340984,1031.39941286004,1485.7036303385,1845.8051891708,1454.8476858227,1550.74132535903
"ABCD2",330.595828760028,226.193249531027,223.491974147824,316.310882366716,206.371512917337,164.326341893052,222.794438870245,195.64814350423
"ABCD3",1307.94681596762,1074.18522616792,1048.45182258119,1427.91769754118,1234.80382417759,978.31496568887,1306.68938397398,1138.43584173267
"ABCD4",277.180782191814,411.429696677834,348.176970251346,326.478017871361,405.892519181816,471.960540088185,345.331380248879,368.974015601938
"ABCE1",9312.98555166349,6317.58676776575,6718.87450701246,8414.99915267739,7308.63428526751,5835.49590862072,7197.37434770325,6883.13804194077
"ABCF1",2998.46085735624,3301.67677401873,3314.73885867667,2764.33117554055,3231.7265134856,3405.63158954322,3319.63713916664,3341.77533703534
"ABCF2",2139.48916254306,2325.22937172224,2171.40096987833,1787.15648537195,2365.1374218991,2350.88576715991,2045.25294882884,2492.21594879885
"ABCF2P1",0,0,0.78418236543096,1.12968172273827,0.856313331607206,1.91077141736107,2.22794438870245,0
"ABCF3",832.98599648269,986.686602892544,946.508115075169,685.716805702131,975.340884700608,1094.23509834211,1013.71469685961,946.726922594295
"ABCG1",4.33094972174709,0.930836417823154,2.35254709629288,1.12968172273827,0,1.27384761157405,4.45588877740489,3.93922436585698
"ABCG2",0,0.930836417823154,0,0,0,0,0,0
"ABCG4",0,0,0,0,1.71262666321441,0,0,1.313074788619
"ABCG5",0,0,0,0,0,1.27384761157405,0,1.313074788619
"ABCG8",0,0,2.35254709629288,1.12968172273827,3.42525332642883,3.18461902893512,1.11397219435122,5.25229915447598
"ABHD1",8.66189944349418,18.6167283564631,7.8418236543096,13.5561806728593,11.1320733108937,14.6492475331016,12.2536941378634,9.19152352033297
"ABHD10",1250.20081967766,904.772998124106,1052.37273440835,1266.3732111896,1005.31185130686,868.764071093502,1071.64125096588,942.787698228438
"ABHD11",339.257728203522,442.147298465998,442.278854103061,333.25610820779,452.133439088605,497.437492319666,460.070516267055,426.749306301173
"ABHD11-AS1",0,3.72334567129262,0.78418236543096,0,1.71262666321441,0.636923805787025,0,0
"ABHD12",905.168491845142,1018.33504109853,990.422327539302,851.780018944657,1083.23636448312,1204.42291674326,1120.65602751733,1076.72132666758
"ABHD12B",36.0912476812258,29.7867653703409,35.2882064443932,53.0950409686988,40.2467265855387,42.6738949877307,32.3051936361855,31.5137949268559
"ABHD13",1040.87158312655,753.977498436755,806.923654028458,1037.04782147373,923.962084804176,686.603862638413,839.935034540822,698.555787545305
"ABHD14A",306.053780336794,396.536313992664,393.659547446342,248.52997900242,381.059432565207,433.108187935177,432.221211408274,345.338669406796
"ABHD14A-ACY1",11.5491992579922,28.8559289525178,36.0723888098242,25.9826796229803,50.5224865648252,42.6738949877307,60.154498494966,21.0091966179039
