"GENE","mr221.MV411.RNP_AAVS1.r5.new","mr228.MV411.RNP_RUNX2.r7","mr231.MV411.RNP_RUNX2.r10","mr291.MV411.RNP_AAVS1.r8","mr294.MV411.RNP_AAVS1.r11","mr316.MV411.RNP_RUNX2.r12"
"SRRT",5612.353,5003.786,5086.16,7241.829,6128.476,5696.715
"SRSF1",12735.88,13447.77,13150.55,10591.68,14487.71,12720.71
"SRSF10",4831.333,5949.615,5153.373,3776.827,6586.969,5303.231
"SRSF10P1",0.8203995,0.7524491,0,0,1.063787,0
"SRSF11",4284.947,5075.269,4623.782,3568.513,5537.011,3609.877
"SRSF12",1.640799,1.504898,3.476528,0,1.063787,0
"SRSF2",9491.202,10352.19,10372.8,9585.041,10357.03,10140.54
"SRSF3",12415.93,13427.45,13408.97,12910.3,17147.18,12308.62
"SRSF3P1",0,0,0,0,0,0
"SRSF4",2704.857,2593.692,2533.23,2639.509,2757.336,2314.902
"SRSF5",5047.098,5411.614,5430.337,8104.845,9296.434,7461.522
"SRSF6",5954.46,6823.961,6639.01,6622.062,8096.482,7488.929
"SRSF6P2",0,0,0,0,0,0
"SRSF7",5339.16,5679.486,6012.076,5925.956,5562.542,6488.578
"SRSF8",630.8872,729.8756,657.0638,588.714,588.2742,585.3326
"SRSF9",5669.781,5076.021,5161.485,6497.85,4844.486,5131.938
"SRSF9P1",5.742797,5.267143,5.794213,10.35102,1.063787,1.957634
"SRXN1",762.1512,717.084,799.6014,923.8281,802.0953,1003.287
"SRY",0,0,0,0,0,0
"SS18",1626.032,1778.79,1627.015,1271.881,2005.238,1519.124
"SS18L1",287.9602,373.2147,353.447,165.6163,217.0125,172.2718
"SS18L2",496.3417,586.1578,552.7679,644.3507,692.5253,491.3662
"SS18L2P1",0,0,0,0,0,0
"SSB",5643.528,6278.435,6211.397,5557.202,9933.642,6506.197
"SSBL2P",0,0,0,0,0,0
"SSBL3P1",0,0,0,0,0,0
"SSBL4P",0,0,0,0,0,0
"SSBL5P",0,0,0,0,0,0
"SSBP1",2405.411,2322.058,2767.316,2953.921,3659.427,3240.863
"SSBP2",264.1687,386.7588,339.5409,245.8366,371.2616,340.6283
"SSBP3",1041.907,882.6228,884.197,991.1097,988.2581,830.0369
"SSBP3-AS1",6.563196,8.27694,4.635371,2.587754,4.255148,6.851719
"SSBP3P2",0,0,0,0,0,0
"SSBP4",2137.961,2270.139,1890.072,2821.946,1648.87,1852.901
"SSC4D",7.383596,7.524491,15.06495,5.175508,6.382722,11.7458
"SSC5D",8.203995,25.58327,20.85917,15.52652,9.574082,17.61871
"SSH1",625.1444,580.8907,565.5152,542.1344,584.019,711.6
"SSH2",1912.351,1725.366,1775.347,1591.469,1750.993,2544.924
"SSH3",566.0757,537.2486,464.6959,552.4855,438.2802,502.1331
"SSMEM1",0,0,0,1.293877,6.382722,0
"SSNA1",995.1446,945.8285,915.4857,1233.065,653.1652,747.8162
"SSPN",0,1.504898,0,0,0,0
"SSPO",6.563196,5.267143,2.317685,1.293877,7.446508,0.9788171
"SSPOP",0,0,0,0,0,0
"SSR1",7262.997,7017.34,6763.006,4818.398,7649.692,6304.561
"SSR2",5495.036,4647.878,5076.89,6222.254,5092.348,5560.66
"SSR3",4651.665,4779.556,4620.306,3771.651,5178.515,4606.313
"SSR4",3407.94,3117.396,3192.612,4146.876,1862.691,2761.243
"SSR4P1",25.43239,18.81123,20.85917,36.22855,21.27574,10.76699
"SSRP1",8800.426,8244.584,9026.225,12123.63,11092.11,11533.4
"SSTR1",0,0,0,0,0,0
"SSTR2",3.281598,2.257347,1.158843,6.469385,2.127574,7.830536
"SSTR3",0,0,0,0,0,0
"SSTR4",0,0,0,0,0,0
"SSU72",3081.421,2899.186,3050.074,4290.496,3888.141,3504.165
"SSU72P2",0,0,0,0,0,0
"SSU72P3",0,0,0,0,0,0
"SSUH2",1.640799,0,0,0,0,0
"SSX2IP",338.825,407.0749,338.3821,244.5427,561.6795,357.2682
"SSX5",0,0,0,0,0,0
"SSXP10",0,0,0,0,0,0
"ST13",8021.867,8309.295,8804.887,8782.837,10166.61,9686.374
"ST13P10",0,1.504898,0,1.293877,0,0.9788171
"ST13P11",0,0,0,2.587754,0,0
"ST13P12",0,0,0,0,0,0
"ST13P13",0,0,0,0,0,0
"ST13P15",4.922397,3.762245,3.476528,3.881631,4.255148,2.936451
"ST13P16",0,0,0,0,0,0
"ST13P18",4.101998,3.009796,5.794213,2.587754,1.063787,1.957634
"ST13P19",4.922397,3.762245,4.635371,2.587754,1.063787,0.9788171
"ST13P2",0,0,0,0,0,0
"ST13P3",4.922397,3.009796,2.317685,0,3.191361,3.915268
"ST13P4",5.742797,6.019593,3.476528,5.175508,3.191361,2.936451
"ST13P5",4.922397,8.27694,3.476528,2.587754,3.191361,2.936451
"ST13P6",18.86919,15.04898,18.54148,9.057139,10.63787,5.872902
"ST13P7",0,0,0,0,0,0
"ST14",539.8229,523.7045,509.8908,615.8854,489.342,555.9681
"ST18",9.024395,3.762245,6.953056,1.293877,5.318935,15.66107
"ST20",41.84038,30.09796,24.3357,40.11019,38.29633,22.51279
"ST20-AS1",41.01998,30.85041,33.60644,56.93059,32.97739,25.44924
"ST20-MTHFS",14.76719,14.29653,22.01801,0,8.510295,21.53398
"ST3GAL1",1710.533,1138.455,1191.29,2093.493,1887.158,1544.573
"ST3GAL1-DT",0,0,0,0,0,0
"ST3GAL1P1",0,3.762245,0,0,0,2.936451
"ST3GAL2",427.4282,449.2121,405.5949,443.7998,355.3048,435.5736
"ST3GAL3",2418.538,2589.177,2554.089,2881.464,2049.917,2172.974
"ST3GAL4",1346.276,1024.836,1041.8,1487.959,1074.425,975.8806
"ST3GAL5",123.0599,151.9947,162.238,78.92649,82.97538,124.3098
"ST3GAL5-AS1",0,0,0,0,0,0
"ST3GAL6",187.8715,221.9725,203.9563,166.9101,274.457,155.6319
"ST3GAL6-AS1",0,2.257347,0,0,5.318935,0.9788171
"ST6GAL1",1597.318,1688.496,1732.47,1546.183,1445.686,1974.274
"ST6GAL2",0,0,0,0,0,0
"ST6GALNAC1",0,1.504898,0,0,0,0
"ST6GALNAC2",0.8203995,2.257347,3.476528,7.763262,0,1.957634
"ST6GALNAC3",0,0,2.317685,0,2.127574,0
"ST6GALNAC4",362.6166,294.96,311.7287,388.1631,231.9055,264.2806
"ST6GALNAC4P1",0,0,0,0,1.063787,0
"ST6GALNAC5",0,0,0,0,0,0
"ST6GALNAC6",248.5811,218.2102,219.0213,235.4856,194.673,202.6151
"ST7",448.7585,407.8274,422.9776,450.2692,552.1054,493.3238
"ST7-AS1",0.8203995,2.257347,5.794213,18.11428,7.446508,4.894085
"ST7-AS2",0,0.7524491,0,0,0,0
"ST7-OT4",0,1.504898,0,0,0,0.9788171
"ST7L",150.9535,129.4212,105.4547,104.804,148.9302,101.797
"ST8SIA1",0,0.7524491,0,0,0,0
"ST8SIA2",0,0,0,0,0,0
"ST8SIA3",0,0.7524491,0,0,0,0
"ST8SIA4",1230.599,1538.006,1417.265,950.9996,1722.271,1508.357
"ST8SIA5",50.04437,41.3847,42.87718,56.93059,54.25313,37.19505
"ST8SIA5-DT",0,0,0,0,0,0
"ST8SIA6",165.7207,137.6982,174.9852,113.8612,199.9919,216.3186
"ST8SIA6-AS1",1.640799,1.504898,0,0,2.127574,0
"STAB1",4.922397,9.781838,10.42958,5.175508,5.318935,0
"STAB2",0.8203995,0.7524491,0,3.881631,0,1.957634
"STAC",0,0,0,0,0,0
"STAC2",0,0.7524491,0,0,0,0
"STAC3",607.9161,561.327,692.9879,885.0118,729.7578,683.2143
"STAG1",926.2311,941.3138,883.0381,614.5916,980.8115,1273.441
"STAG1-DT",0,0,0,0,0,0
"STAG2",4353.04,4424.401,4365.36,2702.909,5023.202,4265.685
"STAG3",154.2351,130.9261,137.9023,64.69385,48.9342,45.02558
"STAG3L1",172.2839,133.9359,111.2489,126.7999,92.54946,196.7422
"STAG3L2",593.1489,480.0625,471.649,782.7956,445.7267,544.2223
"STAG3L3",1173.992,1178.335,1046.435,1225.301,910.6016,1070.826
"STAG3L4",109.9335,114.3723,128.6315,117.7428,122.3355,119.4157
"STAG3L5P",67.27276,88.78899,88.07204,93.15914,62.76343,58.72902
"STAG3L5P-PVRIG2P-PILRB",121.4191,211.4382,112.4077,214.7836,154.2491,170.3142
"STAM",417.5834,401.8078,448.4721,363.5794,498.9161,492.345
"STAM-AS1",4.922397,11.28674,2.317685,2.587754,10.63787,8.809353
"STAM-DT",0,0,0,0,0,0
"STAM2",604.6345,636.5719,591.0098,407.5712,798.904,612.7395
"STAMBP",1032.883,969.1544,1085.836,983.3465,1153.145,1090.402
"STAMBPL1",14.76719,11.28674,8.111899,9.057139,5.318935,3.915268
"STAP1",4.922397,6.772042,12.74727,3.881631,1.063787,3.915268
"STAP2",0.8203995,1.504898,0,1.293877,0,0
"STAR",1238.803,1077.507,1243.438,904.42,703.1632,715.5153
"STARD10",13.94679,17.30633,26.65338,7.763262,12.76544,20.55516
"STARD13",49.22397,72.98756,57.94213,40.11019,34.04118,93.96644
"STARD13-AS",0,0,1.158843,0,2.127574,0
"STARD3",861.4195,918.7403,842.4786,1231.771,804.2229,971.9653
"STARD3NL",928.6923,920.9977,1005.875,882.4241,965.9185,986.6476
"STARD4",815.4771,538.7535,660.5403,298.8856,629.7619,272.1111
"STARD4-AS1",31.99558,68.47286,27.81222,25.87754,52.12556,55.79257
"STARD5",59.88917,51.91899,66.05403,24.58366,40.4239,57.75021
"STARD6",0,0,0,0,1.063787,0
"STARD7",6783.063,7446.988,7602.008,6997.287,7690.116,7792.363
"STARD7-AS1",45.94237,43.64205,49.83023,41.40406,28.72225,37.19505
"STARD8",807.2731,632.8097,680.2406,701.2813,570.1898,637.2099
"STARD9",86.96235,94.05613,78.8013,80.22037,90.42189,121.3733
"STARP1",0,0,0,0,0,0
"STAT1",2451.354,2744.934,2697.786,1694.979,2738.188,2792.565
"STAT2",1053.393,991.7279,1046.435,1094.62,964.8547,1206.881
"STAT3",1585.012,1434.168,1474.048,1494.428,1459.516,2077.05
"STAT4",0,0,2.317685,0,1.063787,0.9788171
"STAT5A",913.1047,984.9558,982.6986,855.2527,728.694,949.4525
"STAT5B",1293.77,1360.428,1436.965,1346.926,1246.758,1730.549
"STAT6",4531.887,4012.058,4053.632,5628.365,4361.526,5059.505
"STATH",0,0.7524491,0,1.293877,0,0
"STAU1",2364.391,2492.111,2600.443,2109.019,2624.362,2408.869
"STAU2",1944.347,2164.796,2205.278,1324.93,2407.35,2319.796
"STAU2-AS1",2.461199,2.257347,0,2.587754,0,0
"STBD1",165.7207,156.5094,108.9312,80.22037,64.891,49.91967
"STC1",0,0,0,0,0,0
"STC2",7.383596,0,1.158843,1.293877,0,0
"STEAP1",4.922397,3.009796,6.953056,5.175508,12.76544,1.957634
"STEAP1B",0,0.7524491,0,0,0,0
"STEAP2",0,0,0,0,0,0
"STEAP3",484.8561,492.8541,514.5261,456.7386,420.1958,585.3326
"STEAP3-AS1",1.640799,0,2.317685,0,0,0
"STEAP4",0,0,0,0,0,0
"STEEP1",0,0,0,0,0,0
"STH",0,0,0,0,0,0
"STIL",1330.688,1235.521,1289.792,967.82,1339.308,1440.819
"STIM1",1255.211,1051.924,1126.395,1547.477,1316.968,1678.671
"STIM1-AS1",0,0,0,0,0,0
"STIM2",260.0667,286.6831,279.2811,254.8938,404.239,248.6195
"STIM2-AS1",1.640799,0,0,0,0,0
"STIMATE",711.2864,684.7286,687.1937,662.465,585.0828,848.6344
"STIMATE-MUSTN1",161.6187,164.7863,181.9383,185.0244,187.2265,187.9329
"STING1",2836.121,2724.618,2869.294,3277.39,2395.648,2531.221
"STIP1",6822.443,6511.694,7088.641,8521.474,8046.484,8495.153
"STIP1P3",2.461199,3.009796,0,1.293877,1.063787,1.957634
"STK10",3025.633,2653.888,2716.327,3260.57,2480.751,3120.469
"STK11",2578.516,2613.256,2435.887,2761.133,1991.409,1934.142
"STK11IP",717.8496,643.344,631.5693,852.6649,529.7659,640.1464
"STK16",567.7165,546.278,567.8329,666.3466,579.7639,537.3706
"STK16P1",0,0,0,0,0,0
"STK17A",443.0158,499.6262,420.6599,355.8162,627.6343,478.6415
"STK17B",1239.624,1057.943,892.3088,949.7057,1959.496,1094.317
"STK19",137.8271,138.4506,108.9312,175.9673,110.6338,134.0979
"STK19B",0.8203995,0,0,0,0,0
"STK24",1659.668,1655.388,1757.964,1744.146,2052.045,2064.325
"STK24-AS1",0.8203995,2.257347,0,1.293877,0,0.9788171
"STK24P1",0,0,0,0,0,0
"STK25",1172.351,1236.274,1126.395,1445.261,1001.023,1121.724
"STK25P1",0,0,0,0,0,0
"STK26",3089.625,3091.813,2953.89,2045.619,3461.563,3227.16
"STK3",387.2286,435.668,420.6599,243.2489,439.344,407.1879
"STK31",0,0.7524491,1.158843,0,0,0
"STK32A",0,0,0,0,0,0
"STK32B",0,0,0,0,0,0
"STK32C",689.1356,604.2166,644.3165,802.2037,464.8749,545.2011
"STK33",0.8203995,6.019593,1.158843,2.587754,0,0.9788171
"STK35",539.0025,466.5184,438.0425,615.8854,518.0642,624.4853
"STK36",157.5167,173.0633,128.6315,165.6163,177.6524,200.6575
"STK38",722.772,814.1499,829.7313,586.1263,836.1365,725.3034
"STK38L",484.0357,510.1605,538.8618,342.8774,615.9326,553.0316
"STK39",210.0223,243.7935,216.7036,270.4203,339.348,404.2514
"STK4",2631.842,2741.924,2739.504,2085.73,3228.593,3248.694
"STK4-AS1",6.563196,3.009796,0,3.881631,2.127574,7.830536
"STK40",826.9627,699.0252,810.031,803.4976,597.8483,676.3626
"STKLD1",10.66519,12.03919,10.42958,9.057139,10.63787,10.76699
"STMN1",13444.71,13424.44,14287.37,15432.07,17324.83,14376.86
"STMN1P1",0.8203995,1.504898,0,0,4.255148,1.957634
"STMN2",0,0,0,0,0,0
"STMN3",707.1844,653.8782,633.8869,626.2364,415.9407,478.6415
"STMN4",0,0,0,0,0,0
"STMP1",1332.329,1410.09,1339.622,1057.097,1562.703,1049.292
"STN1",513.5701,524.457,574.786,535.6651,486.1506,555.9681
"STOM",2584.259,2573.376,2802.082,2238.407,3163.702,3139.066
"STOML1",114.8559,118.1345,107.7724,113.8612,62.76343,82.22063
"STOML2",2343.061,2250.575,2424.299,2881.464,2164.806,2918.832
"STOML3",0,0,0,0,0,0
"STON1",283.0378,361.1756,336.0644,151.3836,181.9076,240.789
"STON1-GTF2A1L",8.203995,12.03919,10.42958,0,0,33.27978
"STON2",75.47676,76.7498,81.11899,67.2816,81.91159,82.22063
"STOX1",26.25279,17.30633,23.17685,14.23265,23.40331,24.47043
"STOX2",132.9047,176.8255,180.7795,305.355,408.4942,380.7598
"STPG1",63.17076,75.99736,62.5775,55.63671,51.06177,62.64429
"STPG2",0,0,0,0,0,0
"STPG3",0,0.7524491,0,0,0,0
"STPG3-AS1",1.640799,0,3.476528,2.587754,1.063787,0.9788171
"STPG4",1.640799,0,0,1.293877,0,0
"STRA6",0,0,0,0,0,0
"STRA6LP",0,2.257347,12.74727,10.35102,0,0
"STRA8",0,0,0,0,0,0
"STRADA",863.0603,926.2648,951.4098,1015.693,824.4349,977.8382
"STRADB",338.0046,342.3643,307.0933,265.2448,440.4078,437.5312
"STRADBP1",0,0,1.158843,0,0,0
"STRAP",3357.075,3905.963,3823.022,3217.872,4348.761,3505.144
"STRBP",730.1556,875.0983,872.6085,743.9793,1012.725,1246.034
"STRC",0.8203995,0.7524491,0,1.293877,1.063787,0
"STRCP1",0,0,0,0,0,0
"STRIP1",557.8717,530.4766,555.0856,517.5508,445.7267,631.337
"STRIP2",118.1375,136.1933,121.6785,113.8612,89.3581,184.0176
"STRIT1",0,0,0,0,0,0
"STRN",1030.422,1082.774,1040.641,626.2364,1238.248,1310.636
"STRN3",435.6322,484.5772,432.2483,310.5305,510.6177,334.7554
"STRN4",1844.258,1788.571,1693.069,2303.101,1824.395,1789.278
"STS",739.18,671.937,692.9879,524.0202,603.1672,415.9972
"STT3A",7040.669,6034.642,6570.638,6699.695,7727.348,8037.067
"STT3B",7116.966,7171.592,6921.767,4976.251,9413.451,7271.632
"STUB1",2138.782,1990.228,1973.509,2565.758,1725.462,1622.879
"STUB1-DT",0,0,0,0,0,0
"STUM",0,0,3.476528,0,0,0
"STX10",443.8361,474.0429,479.7609,681.8732,408.4942,409.1455
"STX11",68.91356,85.77919,79.96014,150.0897,169.1421,154.6531
"STX12",779.3796,770.5078,885.3558,530.4896,776.5645,735.0916
"STX16",1384.014,1741.92,1432.33,1551.358,1578.66,1673.777
"STX16-NPEPL1",2.461199,3.762245,2.317685,6.469385,4.255148,1.957634
"STX17",178.8471,202.4088,245.6746,107.3918,180.8438,257.4289
"STX17-AS1",0,0,1.158843,0,0,0
"STX18",597.2509,674.1944,721.959,765.9752,782.9472,687.1296
"STX18-AS1",9.844794,9.029389,17.38264,19.40815,22.33953,19.57634
"STX18-IT1",0,0,0,0,0,0
"STX19",0.8203995,0,0,0,0,0
"STX1A",95.16635,72.98756,67.21287,115.155,70.20994,69.49601
"STX1B",41.84038,28.59306,17.38264,29.75917,39.36012,49.91967
"STX2",138.6475,152.7472,149.4907,168.204,228.7142,222.1915
"STX3",425.7874,440.1827,376.6239,371.3427,406.3666,379.781
"STX4",652.2176,675.6993,686.0349,838.4323,627.6343,640.1464
"STX5",892.5947,772.7652,791.4895,852.6649,824.4349,752.7103
"STX6",996.7854,968.4019,1007.034,861.7221,1032.937,853.5285
"STX7",757.2288,851.0199,803.078,403.6896,763.799,675.3838
"STX8",471.7297,459.7464,524.9557,605.5344,613.8051,689.0872
"STX8P1",2.461199,6.019593,4.635371,0,2.127574,0
"STXBP1",273.193,206.171,244.5158,340.2896,335.0929,244.7043
"STXBP2",4698.428,4255.099,4350.295,6073.458,4158.343,4471.236
"STXBP3",1075.544,1307.756,1134.507,837.1384,1485.047,1219.606
"STXBP4",125.5211,173.0633,165.7145,90.57139,141.4837,155.6319
"STXBP5",140.2883,169.301,178.4618,71.16323,170.2059,171.293
"STXBP5-AS1",0,0.7524491,0,1.293877,4.255148,0
"STXBP5L",3.281598,9.781838,4.635371,5.175508,3.191361,0
"STXBP6",4.101998,9.029389,10.42958,2.587754,14.89302,9.788171
"STYK1",17.22839,9.781838,3.476528,10.35102,12.76544,11.7458
"STYX",837.6279,930.7795,869.132,415.3345,846.7744,743.901
"STYXL1",555.4105,508.6556,628.0927,804.7915,548.9141,706.7059
"STYXL2",0,0,0,0,0,0
"SUB1",7651.046,7956.396,7933.437,6698.401,10695.31,6892.83
"SUB1P1",1.640799,0,2.317685,3.881631,0,0
"SUB1P3",0,0.7524491,0,0,0,0
"SUB1P4",0,0,0,0,0,0
"SUCLA2",1092.772,1112.872,1164.637,907.0077,1223.355,1387.963
"SUCLA2-AS1",0,0,0,0,0,0
"SUCLA2P1",0,0,0,0,0,0
"SUCLA2P3",0,0,0,0,0,0
"SUCLG1",1336.431,1299.48,1443.918,1641.93,1579.724,1621.9
"SUCLG2",1327.406,1508.66,1580.661,1060.979,1582.915,1787.32
"SUCLG2-AS1",0.8203995,0,0,0,0,0
"SUCLG2P2",2.461199,1.504898,2.317685,1.293877,1.063787,1.957634
"SUCNR1",45.12197,36.87,41.71834,20.70203,74.46508,29.36451
"SUCO",514.3905,529.7241,470.4901,322.1754,556.3606,462.0016
"SUDS3",1672.795,1653.883,1777.665,1599.232,1948.858,1668.883
"SUDS3P1",5.742797,1.504898,6.953056,1.293877,3.191361,10.76699
"SUFU",452.0401,436.4205,434.566,355.8162,319.1361,451.2347
"SUGCT",4.922397,3.762245,9.270741,5.175508,6.382722,1.957634
"SUGCT-AS1",0,0,0,0,0,0
"SUGP1",891.7743,765.2407,819.3018,1062.273,805.2867,884.8506
"SUGP2",2110.888,2662.165,2019.863,2455.778,2312.673,2716.217
"SUGT1",1142.817,1319.043,1241.12,1015.693,1686.102,1176.538
