"GENE","mr220.MV411.RNP_AAVS1.r4","mr222.MV411.RNP_AAVS1.r6","mr228.MV411.RNP_RUNX2.r7","mr230.MV411.RNP_RUNX2.r9","mr292.MV411.RNP_AAVS1.r9","mr294.MV411.RNP_AAVS1.r11","mr316.MV411.RNP_RUNX2.r12","mr318.MV411.RNP_RUNX2.r14"
"A1BG",7.90086919509835,11.4752540888179,7.81139223630947,8.12048025610513,4.99678959639769,3.29945728902165,1.0102949928121,10.3895764746382
"A1BG-AS1",5.26724613006556,17.2128811332268,13.2793668017261,8.12048025610513,17.4887635873919,9.89837186706495,5.05147496406051,7.55605561791872
"A1CF",0,0,0,0,0,0,0,0
"A2M",6.58405766258196,8.60644056661339,3.12455689452379,1.01506003201314,2.49839479819884,0,5.05147496406051,3.77802780895936
"A2M-AS1",0,0,0,0,1.24919739909942,0,0,0
"A3GALT2",0,0,0,0,0,0,0,0
"A4GALT",9.21768072761474,12.9096608499201,8.59253145994041,11.1656603521446,21.2363557846902,24.1960201194921,24.2470798274904,26.4461946627155
"A4GNT",0,0,0,0,0,0,0,0
"AAAS",978.390968659679,1242.91345849508,1115.46681134499,1203.86119796759,1305.4112820589,1230.69756880508,1522.51455416784,1539.54633215094
"AACS",1115.33936804138,1275.18761061988,852.222892981363,783.626344714145,801.984730221828,822.664684062732,809.246289242493,728.214860176916
"AACSP1",0,0,0,0,0,0,0,0
"AADAC",0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0
"AADACP1",0,0,0,0,0,0,0,0
"AAGAB",1186.44719079727,1215.65973003414,1200.61098672077,1238.37323905603,1216.71826672284,1315.3836392233,1230.53930124514,1217.46946143715
"AAK1",2849.58015636547,2486.54412037072,2315.29665884213,1971.24658216952,2640.80330169618,2686.85805235996,2206.48426430163,2049.58008636045
"AAMDC",84.275938081049,121.207371313139,79.6762008103566,108.611423425406,123.670542510843,89.0853468035846,125.276579108701,131.286466361338
"AAMP",2311.00423956627,2706.00835481936,2751.17234562819,2809.68616861238,2575.84503694301,2240.3314992457,2793.46565512546,2831.63184281504
"AANAT",0,0,0,0,0,0,0,0
"AAR2",963.906041801998,1151.82862916509,1109.99883677958,1177.46963713524,1219.21666152104,1083.32180989544,1355.81588035384,1330.81029570593
"AARD",0,0,0,0,0,0,0,0
"AARS1",4739.20470552649,4808.13146321468,4071.29763356449,4068.36060830867,4449.64113559214,4494.96064674383,5682.90933456807,5785.10508246902
"AARS2",530.675047604106,585.237958529711,638.971884930114,543.057117127031,588.371974975827,531.212623532486,612.238765644133,589.37233819766
"AARSD1",588.614755034827,558.701433449319,587.416696170472,655.72878068049,668.32060851819,569.706291904405,685.990300119417,696.101623800762
"AARSD1P1",0,0,0,0,0,0,0,0
"AASDH",359.489548376975,287.598555600997,321.82936013595,322.789090180179,248.590282420785,283.753326855862,336.42823260643,304.131238621228
"AASDHPPT",2338.65728174911,1904.17497536321,2034.08653833499,2178.3188287002,1377.86473120666,1588.13877511575,1580.10136875813,1479.09788720759
"AASS",0,0,0,0,0,0,0,0
"AATBC",47.4052151705901,57.3762704440893,82.0196184812494,63.9487820168279,26.2331453810878,38.4936683719193,38.3912097268598,49.1143615164717
"AATF",2869.33232935322,2838.69098022132,2491.83412338272,2675.69824438664,3979.94291353076,3716.28872653472,3654.23698900137,3583.45937679795
"AATK",5.26724613006556,22.2333047970846,24.2153159325593,11.1656603521446,14.9903687891931,8.7985527707244,8.08235994249681,5.66704171343904
"ABALON",28.9698537153606,15.0612709915734,7.81139223630947,8.12048025610513,12.4919739909942,27.4954774085138,30.308849784363,3.77802780895936
"ABAT",126.413907121574,120.490167932587,151.541009384404,151.243944769958,227.353926636095,179.27051270351,236.409028318032,256.905891009236
"ABCA1",161.967818499516,142.723472729672,118.733161991904,105.566243329367,71.204251748667,65.989145780433,59.607404575914,36.8357711373537
"ABCA10",7.90086919509835,8.60644056661339,7.81139223630947,8.12048025610513,6.24598699549711,2.1996381926811,3.0308849784363,0.944506952239839
"ABCA11P",61.8901420282704,53.7902535413337,66.3968340086305,54.8132417287097,11.2427765918948,10.9981909634055,24.2470798274904,12.2785903791179
"ABCA12",2.63362306503278,0,1.56227844726189,1.01506003201314,4.99678959639769,1.09981909634055,0,0
"ABCA13",0,0,0,0,0,0,0,0
"ABCA17P",13.1681153251639,22.2333047970846,17.9662021435118,23.3463807363023,2.49839479819884,1.09981909634055,6.06176995687261,8.50056257015856
"ABCA2",2175.37265171708,2054.0704818984,1752.09527860421,1464.73162619496,1692.66247577972,1691.52177017177,2173.14452953883,2048.63557940821
"ABCA3",76.3750688859507,76.7407617189694,74.2082262449399,53.7981816966965,48.7186985648774,46.1924020463031,52.5353396262293,33.0577433283944
"ABCA4",0,0,0,0,0,0,0,0
"ABCA5",76.3750688859507,74.5891515773161,74.9893654685709,93.385522945209,43.7219089684798,56.0907739133681,53.5456346190414,29.279715519435
"ABCA6",85.5927496135654,63.8311008690493,63.2722771141067,54.8132417287097,39.9743167711815,50.5916784316653,44.4529796837324,33.0577433283944
"ABCA7",620.21823181522,702.859312940094,726.45947797678,610.051079239898,708.294925289372,574.105568289767,740.54622973127,782.996263406827
"ABCA8",0,0,0,0,0,0,0,0
"ABCA9",2.63362306503278,1.43440676110223,1.56227844726189,2.03012006402628,0,0,5.05147496406051,0.944506952239839
"ABCA9-AS1",0,0,0,0,0,0,0,0
"ABCB1",0,0,0,0,0,0,0,0
"ABCB10",7449.20283944523,5408.43069273596,6916.98782525203,6487.24866459599,5773.79037863753,7195.01652825988,8965.35776621459,8353.21948560914
"ABCB10P1",0,0,0,0,0,0,0,0
"ABCB10P3",0,2.15161014165335,0,0,1.24919739909942,0,1.0102949928121,0
"ABCB10P4",0,0.717203380551116,1.56227844726189,0,2.49839479819884,0,0,1.88901390447968
"ABCB11",0,0,0,0,0,0,0,0
"ABCB4",6.58405766258196,4.3032202833067,0.781139223630947,5.07530016006571,0,1.09981909634055,6.06176995687261,2.83352085671952
"ABCB5",0,0,0,0,0,0,0,0
"ABCB6",23.702607585295,20.0816946554312,22.6530374852975,15.2259004801971,14.9903687891931,19.7967437341299,15.1544248921815,11.3340834268781
"ABCB7",816.423150160163,702.142109559542,758.486186145649,794.79200506629,790.741953629934,904.051297191932,944.625818279314,886.892028153209
"ABCB8",504.338816953778,604.602449804591,611.632012103031,615.126379399964,558.391237397441,443.227095825242,629.413780521939,646.98726228429
"ABCB9",69.7910112233687,63.1138974884982,64.8345555613686,64.9638420488411,39.9743167711815,31.894753793876,78.8030094393439,57.6149240866302
"ABCC1",1750.04252671428,1595.77752172623,1537.2819921057,1328.7135819052,1571.49032806707,1680.52357920836,2013.51792067452,1855.01165419904
"ABCC10",417.429255807696,417.412367480749,446.030496693271,411.099312965322,379.756009326224,357.441206310679,457.663631743882,436.362211934806
"ABCC11",2.63362306503278,1.43440676110223,2.34341767089284,4.06024012805257,1.24919739909942,0,3.0308849784363,2.83352085671952
"ABCC13",15.8017383901967,22.2333047970846,35.9324042870235,39.5873412485125,36.2267245738832,28.5952965048543,47.4838646621687,52.892389325431
"ABCC2",31.6034767803934,40.8805926914136,31.2455689452379,22.3313207042891,34.9775271747838,36.2940301792382,35.3603247484235,32.1132363761545
"ABCC3",1.31681153251639,1.43440676110223,1.56227844726189,0,0,0,0,3.77802780895936
"ABCC4",1950.19787965678,1606.5355724345,1697.41553295005,1634.24665154116,1525.27002430039,1775.10802149365,1957.95169606985,1951.35136332751
"ABCC5",402.944328950016,413.109147197443,494.461128558389,412.114372997336,452.209458473991,482.820583293501,560.713721010716,520.423330684152
"ABCC5-AS1",0,0,0,0,0,0,0,0
"ABCC6",21.0689845202623,13.6268642304712,19.5284805907737,6.09036019207885,8.74438179369595,7.69873367438385,8.08235994249681,2.83352085671952
"ABCC6P1",0,0.717203380551116,2.34341767089284,1.01506003201314,1.24919739909942,1.09981909634055,3.0308849784363,0
"ABCC6P2",0,0,0,0,0,0,0,0
"ABCC8",0,0,0,0,0,0,0,0
"ABCC9",0,0.717203380551116,0,0,1.24919739909942,0,0,3.77802780895936
"ABCD1",1430.0573243128,1580.71625073466,1355.27655299969,1325.66840180916,1212.97067452554,1091.02054356983,1169.92160167641,1170.24411382516
"ABCD1P2",0,0,0,0,0,0,0,0
"ABCD2",301.549840946254,204.402963457068,188.254552895058,203.012006402628,159.897267084726,152.874854391336,183.873688691802,168.122237498691
"ABCD3",1193.03124845985,958.900919796842,1126.40276047583,1190.66541755142,1141.76642277687,1187.80462404779,1016.35676276897,1102.23961326389
"ABCD4",252.827814243147,318.438300964695,370.259992001069,314.668609924074,367.26403533523,305.749708782673,397.045932175156,425.028128507928
"ABCE1",8494.75119626324,6144.99856456196,6667.02327369013,6558.30286683691,7126.6711618622,8193.6522677371,6769.98674683389,6657.82950633863
"ABCF1",2735.01755303654,3031.61868958957,2948.01942998319,3024.87889539916,3696.37510393519,3490.82581178491,3176.36745740125,3238.71433923041
"ABCF2",1951.51469118929,1985.93616074604,2157.50653566867,1863.65021877613,2276.03766115915,1993.97202166542,2521.696302059,2527.50060419381
"ABCF2-H2BE1",0,0,0,0,0,0,0,0
"ABCF2P1",0,0.717203380551116,0.781139223630947,2.03012006402628,1.24919739909942,0,2.0205899856242,0
"ABCF3",759.800254261958,865.664480325197,889.717575715648,923.704629131959,785.745164033536,723.680965392082,847.637498969353,868.946396060652
"ABCG1",3.95043459754917,2.15161014165335,0,4.06024012805257,1.24919739909942,0,2.0205899856242,0
"ABCG2",0,0,0,0,0,0,4.0411799712484,0
"ABCG4",0,0,1.56227844726189,0,2.49839479819884,0,0,0
