"GENE","mr351.MV411.DMSO.r1","mr352.MV411.DMSO.r2","mr353.MV411.DMSO.r3","mr354.MV411.DMSO.r4","mr355.MV411.72h_MEIS1.r1","mr356.MV411.72h_MEIS1.r2","mr357.MV411.72h_MEIS1.r3","mr358.MV411.72h_MEIS1.r4"
"A1BG",2.37877718401765,6.48304668641111,7.25575216909247,5.11454293403086,0,0,5.54242110195482,5.25074442835086
"A1BG-AS1",4.7575543680353,6.48304668641111,6.53017695218323,11.2519944548679,7.50552354954148,8.07590330309398,12.4704474793984,5.25074442835086
"A2M",26.1665490241942,18.0084630178086,19.5905308565497,10.2290858680617,5.00368236636098,20.1897582577349,18.0128685813532,6.56343053543858
"A4GALT",15.4620516961147,17.2881244970963,14.5115043381849,11.2519944548679,11.2582853243122,14.805822722339,15.2416580303758,4.59440137480701
"A4GNT",0,0,0,0,0,0,0,0.656343053543858
"AAAS",931.29126754291,999.109528228024,909.871322004196,902.205373563044,954.452411383358,903.155186062677,878.473744659839,911.004158318875
"AACS",1082.34361872803,1208.72803775532,1358.27680605411,1246.92556731672,1044.51869397786,1076.7871070792,1086.31453598315,1000.92315665438
"AACSP1",0,0,0,0,0,1.345983883849,0,0
"AAGAB",700.549880693198,750.592738582264,745.891322982706,704.784016309453,889.404540620665,802.206394774002,817.507112538336,796.1441239487
"AAK1",2108.78597363165,1638.04979609987,1681.15777757873,1889.312159831,1921.41402868262,1974.55835760648,1956.47464899005,1910.61462886617
"AAMDC",79.6890356645913,82.1185913612074,90.6969021136559,84.9014127049123,86.313520819727,72.6831297278458,78.9795007028562,89.9189983355085
"AAMP",1930.37768483032,2021.26988911884,1954.69963435351,1808.50238147331,2217.88220888951,1872.26358243395,1859.48227970584,1886.32993588505
"AANAT",0,0,0,0,0,0,1.38560527548871,0
"AAR2",650.595559828827,807.49948171854,774.914331659076,751.837811302537,743.046831404606,712.025474556119,665.090532234579,704.912439506103
"AARD",0,0,0,1.02290858680617,0,0,0,0
"AARS1",5045.38640730144,5302.41185096358,5466.48368419427,4965.19828035716,4256.88277318161,4071.60124864321,4158.20143174161,4096.23699716722
"AARS2",457.914607923398,484.067485918696,452.75893535137,407.117617548857,471.597063029523,394.373277967756,421.224003748567,433.186415338946
"AARSD1",367.521074930727,404.830248640338,409.949997553725,366.20127407661,417.807477591142,429.36885894783,428.15203012601,439.093502820841
"AARSD1P1",2.37877718401765,1.44067704142469,2.17672565072774,0,0,1.345983883849,2.77121055097741,1.31268610708772
"AASDH",258.097324465915,227.626972545101,274.993007208605,270.047866916829,281.457133107805,308.23030940142,293.748318403606,284.19654218449
"AASDHPPT",1235.77474709717,1074.02473438211,1195.02238224953,1165.09288037223,1404.78382435585,1658.25214490196,1450.72872343667,1407.85584985158
"AATBC",44.0073779043265,43.9406497634531,50.0646899667381,45.0079778194716,53.7895854383806,33.6495970962249,40.1825529891725,37.4115540519999
"AATF",2533.3977009788,2042.1597062195,2250.73432285249,2380.30828149796,2177.85274995862,2202.02963397696,2104.73441346734,2358.24059138308
"AATK",2.37877718401765,6.48304668641111,3.62787608454624,1.02290858680617,3.75276177477074,9.42188718694297,2.77121055097741,1.31268610708772
"ABALON",5.94694296004413,8.64406224854815,10.1580530367295,15.3436288020926,7.50552354954148,4.03795165154699,1.38560527548871,5.25074442835086
"ABAT",117.749470608874,100.127054379016,95.0503534151114,80.8097783576876,136.350344483337,135.944372268749,103.920395661653,135.863012083579
"ABCA1",76.1208698885648,82.1185913612074,69.6552208232877,82.8555955312999,125.092059159025,125.176501197957,120.547658967517,151.615245368631
"ABCA10",3.56816577602648,2.88135408284938,5.80460173527398,10.2290858680617,5.00368236636098,4.03795165154699,1.38560527548871,3.93805832126315
"ABCA11P",10.7044973280794,20.1694785799457,18.1393804227312,20.4581717361234,26.2693324233952,20.1897582577349,12.4704474793984,23.6283499275789
"ABCA12",0,0,0,2.04581717361234,0,0,1.38560527548871,0
"ABCA13",0,0,0,0,0,0,0,0.656343053543858
"ABCA17P",7.13633155205295,10.8050778106852,11.609203470548,5.11454293403086,13.7601265074927,12.113854954641,11.0848422039096,9.84514580315787
"ABCA2",1724.6134584128,1861.3547375207,1580.30282242834,1576.30213226831,1566.15258067099,1274.646738005,1375.90603856028,1434.10957199333
"ABCA3",34.4922691682559,30.2542178699185,23.9439821580052,22.5039889097358,26.2693324233952,16.151806606188,22.1696844078193,17.0649193921403
"ABCA5",64.2269839684766,44.6609882841654,60.9483182203768,61.3745152083703,58.7932678047416,83.4510007986378,44.3393688156386,68.9160206221051
"ABCA6",29.7347148002206,25.2118482249321,28.2974334594606,25.5727146701543,22.5165706486244,43.0714842831679,33.2545266117289,34.1298387842806
"ABCA7",509.058317379777,586.35555585985,485.409820112287,501.225207535024,614.202010470811,545.123472958844,526.530004685708,517.854669246104
"ABCA9",0,2.16101556213704,4.35345130145548,6.13745152083703,0,0,1.38560527548871,1.31268610708772
"ABCB1",1.18938859200883,2.88135408284938,0.725575216909247,1.02290858680617,0,0,0,0.656343053543858
"ABCB10",3877.40680994877,3395.675786638,3289.03245824962,3497.3244582903,4385.7275941154,4350.21991259996,4172.05748449649,4107.39482907746
"ABCB10P3",0,1.44067704142469,0,0,2.50184118318049,0,0,0.656343053543858
"ABCB10P4",1.18938859200883,0,0.725575216909247,1.02290858680617,0,0,0,0
"ABCB4",8.32572014406178,5.76270816569877,6.53017695218323,6.13745152083703,2.50184118318049,4.03795165154699,0,5.90708748189472
"ABCB6",14.2726631041059,24.4915097042198,16.6882299889127,20.4581717361234,20.0147294654439,8.07590330309398,27.7121055097741,22.3156638204912
"ABCB7",574.474689940263,608.686050001932,621.092385674316,612.722243496897,639.220422302616,635.304393176726,573.640584052324,569.049427422525
"ABCB8",400.823955506974,470.381054025162,370.768935840625,326.307839191169,426.563921732274,363.415648639229,363.028582178041,352.456219753052
"ABCB9",42.8179893123177,67.7118209469605,39.9066369300086,38.8705262986345,46.2840618888391,51.1473875862619,37.4113424381951,40.0369262661753
"ABCC1",1248.85802160927,1252.66868751877,1148.58556836734,1189.64268645558,1252.17151218184,1096.97686533693,1170.83645778796,1163.03989087972
"ABCC10",329.460639986445,383.94043153968,294.583538065154,306.872576041852,311.479227305971,255.736937931309,239.709712659546,254.004761721473
"ABCC11",2.37877718401765,1.44067704142469,2.17672565072774,2.04581717361234,3.75276177477074,6.72991941924498,1.38560527548871,1.96902916063157
"ABCC13",3.56816577602648,8.64406224854815,4.35345130145548,5.11454293403086,7.50552354954148,9.42188718694297,15.2416580303758,6.56343053543858
"ABCC2",53.5224866403971,42.4999727220284,40.6322121469179,41.9392520590531,43.7822207056586,52.4933714701109,40.1825529891725,47.9130429087016
"ABCC3",1.18938859200883,0.720338520712346,0,0,0,0,0,1.96902916063157
"ABCC4",1121.59344226432,994.067158583037,994.763622382578,1014.72531811172,1173.36351491165,1223.49935041874,1240.11672156239,1145.97497148758
"ABCC5",441.263167635274,476.143762190861,412.852298421362,415.300886243306,546.652298524938,483.20821430179,575.026189327813,492.257290157893
"ABCC6",3.56816577602648,4.32203112427408,7.98132738600172,7.16036010764321,15.011047099083,6.72991941924498,5.54242110195482,4.59440137480701
"ABCC6P1",0,0,0,0,0,0,0,0.656343053543858
"ABCC9",0,0,0.725575216909247,0,1.25092059159025,1.345983883849,1.38560527548871,0.656343053543858
