"GENE","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",6.60429398498776,0.65419649831903,0.793072517587044,0.824888624699101,0.40943482504509,0.697851368858238
"A1BG-AS1",12.0098005467136,0.152287428912657,0.579925011561948,0.262598484073814,0.792860068600608,0.914795986280573
"A2M",1.17092967286412,-1.27393283369362,1.68348869895089,-0.756721939676523,0.449216467744086,NA
"A2M-AS1",0.132021880066669,-0.735105123123018,3.5338115409304,-0.208020465893174,0.835212987412121,NA
"A4GALT",23.0429727336607,-0.251814131684261,0.379865491125156,-0.66290341599178,0.507392413803655,0.763599946325463
"A4GNT",0.12309613795728,0.707567397276255,3.5338115409304,0.200227824568699,0.841302406916417,NA
"AAAS",1323.96711430313,0.19699407781248,0.144675943672015,1.36162289882188,0.173316924806989,0.503964996433201
"AACS",730.207093608091,-0.158391519914613,0.132117977102068,-1.19886425291123,0.230580733560054,0.558374215405325
"AAGAB",1083.19569947467,0.0365760047034358,0.105407805631605,0.346995219986526,0.728594909834646,0.882330128529427
"AAK1",1939.92776781656,-0.204411268648167,0.117557352227184,-1.73882164556695,0.0820661399500768,0.39882450835356
"AAMDC",123.512126356601,0.379982596284039,0.207556180659604,1.83074575315691,0.0671385005559451,0.371848731519059
"AAMP",2704.35386853058,0.291389365581415,0.159642439327875,1.82526254803059,0.0679614189832445,0.372893575210697
"AAR2",1143.65654655894,0.0440566163946248,0.144566582782688,0.304749656155673,0.760556827177949,0.897293435851832
"AARS1",4039.28300307228,-0.0686012239229007,0.0986705049678319,-0.695255628267696,0.486895116204144,0.751266964901098
"AARS2",577.091689895793,0.181121827216389,0.151255890319536,1.19745305015071,0.231130016810742,0.558780395209674
"AARSD1",627.046167646429,0.196128375451581,0.152686577813937,1.28451615236659,0.198961415619483,0.53144982814172
"AASDH",201.029115290105,-0.132037115718237,0.300415721491783,-0.439514666751049,0.66028865704026,0.846977759668008
"AASDHPPT",1076.61161784597,-0.141441737205616,0.205602204620411,-0.687938815961383,0.491491311633335,0.753974741779327
"AATBC",31.2494252842637,-0.135717081923251,0.396702584217288,-0.342112926214049,0.732265910046401,0.884647045536563
"AATF",3323.18200478088,0.0609718371115136,0.0831050138401567,0.733672185276164,0.463148554598843,0.733381670508466
"AATK",9.1294691416748,-0.016923467956848,0.659446470096322,-0.0256631413227158,0.979526023130919,0.991619775792173
"ABALON",12.1658860042578,-0.558828146232201,0.59660637201238,-0.93667813896665,0.348924144598958,0.655495931319577
"ABAT",142.704634528382,-0.180198910750976,0.243116853334791,-0.74120287540423,0.458570440237238,0.730395899961187
"ABCA1",35.40183411689,-1.11825365232323,0.493234007189401,-2.2671868444258,0.0233788141375229,0.234672484413443
"ABCA10",2.77390673345812,-1.39517812596621,1.12381209965107,-1.24146921571622,0.214432463538302,0.546090002676936
"ABCA11P",15.3666635135345,0.727419453658347,0.478499280727715,1.52021012978759,0.128458172304458,0.457555329369284
"ABCA12",1.84426563638001,-1.38529700231985,1.41241658471034,-0.980799161745863,0.326691791724957,NA
"ABCA17P",9.82789967305597,1.38166927876881,0.74775005081922,1.84776888648163,0.0646357837176878,0.366509038438871
"ABCA2",1745.79975373809,0.153019229653655,0.165165205700513,0.92646165398249,0.354206116146076,0.659620203430168
"ABCA3",35.7251256026993,-0.0365713710132441,0.327189940015504,-0.11177413037672,0.911002499931133,0.965733366523581
"ABCA5",31.4942659235366,0.160333111686482,0.430935862455257,0.372057945637162,0.709849706739535,0.872736624535718
"ABCA6",22.1398754120044,-1.81203765643743,0.405977864129756,-4.46339028932443,8.06729133594868e-06,0.000710254429531471
"ABCA7",672.080595268817,0.14451144319398,0.21708719126234,0.665683877310589,0.505613180934822,0.762738190119095
"ABCA9",0.278924250218111,1.60589868678873,3.51534793886677,0.456824961487715,0.647796862715491,NA
"ABCB10",4952.54065306665,-0.158562181356369,0.157186224273794,-1.00875367475065,0.313092783030845,0.627175500399168
"ABCB10P1",0.106560588392697,-0.735105123123018,3.5338115409304,-0.208020465893174,0.835212987412121,NA
"ABCB10P3",0.618703709751144,-1.79815534005797,2.18488828949399,-0.822996465633679,0.410510003315008,NA
"ABCB10P4",0.459385673725122,-1.30773477196974,2.70139939810626,-0.484095307375316,0.628318231471367,NA
"ABCB4",0.78485375704337,-2.12051292592154,2.07810269794672,-1.02040814826751,0.307534931047155,NA
"ABCB6",12.6972200213788,-0.400965097656096,0.467331694883423,-0.857988238431202,0.390898958013683,0.685323782737285
"ABCB7",686.128284013143,-0.10928095200432,0.127916938441579,-0.854311816212121,0.392932241807531,0.686988388806654
"ABCB8",578.90536995859,0.242603264027294,0.206233864085853,1.17635028128213,0.239454930823414,0.566884787569785
"ABCB9",49.4013184894104,0.475606290025656,0.297302731881266,1.59973736876256,0.109656858193554,0.434666443599924
"ABCC1",1297.35695109821,-0.27640835636211,0.0994673766781324,-2.77888455082658,0.00545459074750979,0.102371503764889
"ABCC10",382.674320751978,0.0516782188934947,0.176030247423543,0.293575789671833,0.769082078006228,0.902528980340991
"ABCC11",0.853154992996576,-1.56533565703461,2.0755711201454,-0.754171052893119,0.450746516931464,NA
"ABCC13",15.0022784619279,-1.20091724670578,0.487480385778654,-2.4635191112101,0.0137580560666274,0.179124735318846
"ABCC2",33.9889277893205,0.305071270170845,0.341873393145241,0.892351602340808,0.372204503515165,0.671057008133943
"ABCC4",1180.33763008626,-0.223609105918348,0.171955974582913,-1.30038579037873,0.193468777618061,0.525892540624499
"ABCC5",431.38740451807,0.0619447341603261,0.12877622000777,0.481026187572431,0.630497886717026,0.831341282558045
"ABCC6",10.0870292580354,0.862828031725951,0.518231795539181,1.66494614794572,0.0959235001895358,0.41435939603638
"ABCC6P1",0.708278775691954,0.87987857545526,2.16892089095307,0.405675734474863,0.684980873909878,NA
"ABCC9",0.867433030901064,2.27853955730914,2.28854829586429,0.995626599371647,0.319431605770716,NA
"ABCD1",1099.75333001731,-0.0710679975903294,0.182727995995433,-0.388927800598795,0.697329556169066,0.866788132255469
"ABCD2",101.255539590575,-0.750221621768207,0.221857457829445,-3.38154790516416,0.000720786636276773,0.027324366120674
"ABCD3",792.333595406736,-0.121219088148355,0.272111693461305,-0.445475483270963,0.65597617342609,0.844873911787802
"ABCD4",341.38539222785,0.209942596421594,0.150952683933385,1.39078412487347,0.164290898479518,0.494517571169523
"ABCE1",4782.63263081434,-0.43628985968834,0.235183778067736,-1.85510184109162,0.0635816849502308,0.365028762639076
"ABCF1",3292.05958935937,0.0878787514247572,0.107008600618977,0.82123073207606,0.411514854481962,0.69923151675083
"ABCF2",2214.96946549981,0.152917017372861,0.13948087658667,1.09632962679183,0.272934548536737,0.594726744684036
"ABCF2P1",0.514645193937831,0.0863261590347879,2.35488598626036,0.036658317871209,0.970757443807305,NA
"ABCF3",791.260507474134,0.131505272945789,0.162472952488689,0.809397939358208,0.418286287114461,0.702195112034554
"ABCG1",0.220803205265756,-0.013766610880037,3.5338115409304,-0.00389568337773114,0.996891702241236,NA
"ABCG4",0.764839018976031,-0.0754913730709973,2.41037248351692,-0.0313193805468811,0.975014834547609,NA
"ABCG8",2.02798627515949,2.88522190902752,1.61077631320744,1.79119961311223,0.0732612682841289,NA
"ABHD1",7.94920235300112,0.0630040799870488,0.620354629467699,0.101561392458875,0.919104825291105,0.968085246231665
